Cycle,0.76925
Average Width,17.4851039133
Width,,0,0,0,0,4.38571108945,0,0,0,0,0.0,0.0,0.0,0,0,30.4127157011,0,0,14.2707208746,0,7.41578443301,30.9405874684
Point0,H1,(16.4159784164 37),(19.1392385736 203),(20.0966030836 373),(18.6955292767 536),(19.1425008008 699),(20.0564380483 869),(19.2245539364 1034),(17.9187030142 1206),(19.0764756363 1368),(17.8317775316 1528),(15.1262504123 1701),(14.7997229474 1862),(15.38852597 2022),(14.7745575142 2184),(12.7440517138 2357),(14.3005275993 2520),(13.815078925 2679),(13.0957262108 2843),(14.234823805 3002),(13.7890035167 3164),(14.8876242265 3335),
Point0,H2,,(10.0358166219 249),,(4.38226030016 618),(10.5917466244 744),,,,,(6.20903781554 1576),(6.33324834268 1736),(8.5943544515 1893),,,,,(6.51119152148 2729),(6.65222875731 2889),(7.47973950556 3046),,
Point0,H3,,(10.0430307066 252),,(4.38676277849 620),(10.6176657185 748),,,,,(6.52363754077 1586),(6.44217939048 1743),(8.87664691931 1902),,,,,(6.51120452161 2730),(6.71424033653 2895),(7.50493159472 3050),,
Point0,H4,(1.32960190961 145),(3.78504634832 304),(2.94352844069 480),(2.42028708486 643),,(3.09716961868 977),,,(5.60173743846 1448),(1.66103532167 1624),(2.79241309215 1791),(2.05532193128 1956),(1.56177588551 2130),,(2.40027741404 2448),,(2.84429574995 2766),(2.506335509 2945),(3.5005557551 3083),,
Point0,H5,(1.60871734993 156),(3.94303918426 312),(3.29200042826 491),(2.68234441328 652),,(3.222826675 985),,,(6.1607738095 1462),(2.25633980516 1639),(3.17869478977 1803),(2.17087277949 1964),(1.78887712465 2140),,(2.75262518818 2459),,(2.8528424957 2770),(2.67081916723 2954),(3.54854175829 3089),,
Point0,H6,(-3.5527136788e-15 171),(5.3290705182e-15 336),(6.2172489379e-15 508),(-0.00627495194782 668),(0.0 831),(8.881784197e-15 1004),(-9.7699626167e-15 1168),(-7.1054273576e-15 1330),(1.24344978758e-14 1500),(1.7763568394e-15 1664),(4.4408920985e-15 1824),(1.06581410364e-14 1988),(1.24344978758e-14 2156),(-0.00120393523752 2319),(-6.2172489379e-15 2479),(-7.9936057773e-15 2643),(-8.881784197e-16 2812),(-5.3290705182e-15 2973),(3.5527136788e-15 3132),(3.5527136788e-15 3296),
Point1,H1,(12.1716704503 37),(15.0776466792 200),(16.216815535 373),(14.7587754356 535),(15.5787041008 698),(15.3958070372 868),(14.5303380703 1032),(14.9364078129 1203),(14.4183542762 1366),(12.7186096892 1526),(11.08904383 1698),(10.3133559204 1862),(10.6579602949 2020),(10.4959265515 2184),(9.03851673915 2354),(9.84020959691 2516),(9.62739179239 2677),(8.88943411067 2841),(10.2945843332 2998),(9.01229047748 3160),(9.69351892943 3332),
Point1,H2,(6.93016655536 70),(9.35335996382 245),,,(9.5557211912 742),,,,(7.43885194048 1411),(4.44221700714 1576),,,(9.06202587828 2036),,,,(5.38722629358 2726),,(5.70749906675 3043),,
Point1,H3,(6.96592582161 76),(9.43411065763 252),,,(9.58170007127 746),,,,(7.62147422392 1420),(4.61650785359 1584),,,(9.18959748084 2044),,,,(5.38855540174 2728),,(5.76729583387 3049),,
Point1,H4,(2.04456219663 142),(3.41390228626 302),(2.60973986454 480),(2.07445954345 641),(2.33796426386 800),(9.82397538018 899),(7.19893495298 1075),(2.69413548 1295),(4.911913936 1445),(1.20697692132 1627),,,(1.09170142471 2128),(6.21191204843 2225),(1.8019214537 2445),(0.687921191457 2612),(2.93345317466 2763),,(2.32943680022 3077),,
Point1,H5,(2.38782541927 153),(3.69778013509 312),(2.70291624467 487),(2.23824724279 649),(2.50741987031 809),(9.9960940384 909),(7.50731472425 1084),(2.91263401784 1305),(5.80714041085 1461),(1.38864080639 1638),,,(1.45009429976 2139),(6.95725828456 2238),(1.83026540948 2452),(0.735035279103 2620),(2.93437591445 2765),,(2.70303163768 3090),,
Point1,H6,(-0.00742080616058 170),(0.0 334),(1.7763568394e-15 506),(7.1054273576e-15 666),(3.5527136788e-15 830),(-3.5527136788e-15 1002),(-7.9936057773e-15 1166),(7.1054273576e-15 1329),(-0.00540653752483 1499),(-0.00563710776567 1662),(7.1054273576e-15 1822),(5.3290705182e-15 1983),(8.881784197e-16 2155),(-4.4408920985e-15 2316),(-8.881784197e-16 2477),(-0.00210194789383 2638),(1.50990331349e-14 2811),(8.881784197e-15 2971),(7.1054273576e-15 3131),(9.7699626167e-15 3293),
Point2,H1,(6.70763350253 132),(6.15647379285 292),(7.49165888015 468),(5.72311104586 632),(4.04856462437 726),(5.0439684561 796),(7.95969883686 965),(6.05588794556 1133),(6.296068333 1294),(9.37615013017 1436),(8.63031241402 1573),(6.91905649139 1759),(5.64696040909 1950),(6.07036043407 2097),(5.53416258224 2244),(5.39472793458 2442),(4.08877721418 2612),(5.09569415113 2773),(5.54701204527 2934),(4.94136608588 3092),(4.78783920536 3259),
Point2,H2,,,(-0.00445441550688 502),,(3.14954871308 750),(-0.00658898232626 835),(4.4408920985e-15 996),,,,(5.7745830122 1606),(6.38869375358 1775),,(5.93427287969 2107),,,,,,,
Point2,H3,,,(4.1685830767 579),,(3.37306567718 763),(4.81410425095 881),(1.9864251138 1035),,,,(6.58709538468 1623),(6.50876541816 1786),,(6.0462639737 2115),,,,,,,
Point2,H4,(1.33226762955e-15 165),(1.7763568394e-15 335),(3.98447484443 591),,,(4.68716267093 890),(1.44495071703 1050),,,(-3.5527136788e-15 1484),(1.7763568394e-15 1660),(-0.00288505297909 1827),,(1.7763568394e-15 2154),,(-1.33226762955e-15 2483),(1.7763568394e-15 2641),(0.0 2821),(0.0 2966),,
Point2,H5,(4.66265606659 241),(6.0117233219 424),(4.15523566349 604),,,(5.90316546021 912),(5.373409891 1099),,,(2.3680328146 1505),(3.25984731909 1710),(3.47022299922 1863),,(5.06391039993 2201),,(3.5893395799 2556),(4.42700983011 2733),(4.61486813725 2904),(2.52967191869 3011),,
Point2,H6,(1.33226762955e-15 165),(1.7763568394e-15 335),(-0.00445441550688 502),(9.32587340685e-15 660),(-0.00658898232626 835),(4.4408920985e-15 996),(5.3290705182e-15 1167),(-1.7763568394e-15 1327),(-3.5527136788e-15 1484),(1.7763568394e-15 1660),(-0.00288505297909 1827),(0.0 1983),(1.7763568394e-15 2154),(2.22044604925e-15 2313),(-1.33226762955e-15 2483),(1.7763568394e-15 2641),(0.0 2821),(0.0 2966),(-1.33226762955e-15 3147),(0.0 3302),
