Cycle,0.746184210526
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.74565060764 28),(11.7108453511 185),(11.0697546548 346),(10.062841369 496),(10.3158360441 652),(11.4279299565 794),(11.3233170325 954),(12.7229151753 1115),(10.7601583519 1274),(9.5957224734 1434),(9.66361867822 1599),(11.9107425558 1740),(11.0352035087 1903),(11.1935981354 2060),(10.5044719893 2221),(10.6001246492 2379),(11.2208910572 2535),(12.5801893271 2699),(10.513530972 2856),(10.421258794 3020),
Point0,H2,,,,(10.0104194461 502),,,(3.77000376042 1002),,(2.90569457802 1338),(0.587567532052 1524),(4.50886491658 1627),,(10.9302377938 1911),(10.5971289649 2072),,,(9.03713043235 2555),,,
Point0,H3,,,,(10.047589762 507),,,(3.93000412225 1011),,(2.95995068333 1344),(1.33502612 1538),(4.66825057781 1635),,(10.9578316871 1916),(10.6948367359 2079),,,(9.04626745453 2558),,,
Point0,H4,(0.59881910861 118),(1.79253690067 281),(0.962273717125 438),(3.90309277835 544),(4.57788335517 691),(3.84129236096 844),(1.55251155428 1043),,(1.2166657842 1366),(5.3290705182e-15 1552),(0.963688073078 1684),(2.21364458837 1817),,,,,(3.99014532634 2588),(1.18788446263 2787),,
Point0,H5,(0.601218818339 121),(1.79362140207 284),(1.44357941364 449),(3.90647046901 546),(4.58236607261 694),(3.87996707122 850),(1.64171840874 1052),,(1.58869122926 1377),(9.62759242111 1581),(1.38323766072 1696),(2.48717152551 1829),,,,,(4.12997253723 2596),(1.76581435463 2800),,
Point0,H6,(-0.0103409257576 146),(7.1054273576e-15 305),(-1.7763568394e-15 464),(8.881784197e-15 609),(7.1054273576e-15 766),(2.6645352591e-15 917),(0.0 1076),(-0.00105782766129 1233),(-0.00209613824977 1395),(5.3290705182e-15 1552),(7.1054273576e-15 1711),(1.7763568394e-15 1870),(-1.7763568394e-15 2030),(-8.881784197e-16 2189),(-0.000178345572133 2346),(-5.3290705182e-15 2499),(-4.4408920985e-15 2655),(-5.3290705182e-15 2818),(-5.3290705182e-15 2976),
Point1,H1,(7.00944187814 28),(8.56945771477 185),(8.84037519404 349),(7.65479657844 508),(7.17623769963 651),(7.28170401057 794),(8.17947806264 953),(9.10916792743 1116),(7.5364286893 1274),(7.77156851532 1434),(9.60921857547 1584),(9.60303179267 1739),(8.54214776446 1921),(8.86620766106 2062),(7.57700545472 2224),(7.97382009045 2379),(8.04999336341 2538),(10.0522714231 2697),(7.63510186032 2854),(7.16448280551 3021),
Point1,H2,,(7.06354260702 204),,,(4.00848753934 682),,,,,(2.28278483434 1499),,(0.606302532141 1845),,,(3.73769611187 2263),,,,,
Point1,H3,,(7.07015081252 208),,,(4.41062479389 697),,,,,(2.36064973011 1507),,(0.762495039087 1856),,,(4.52754478753 2277),,,,,
Point1,H4,(1.22140245266 79),,(0.971478754626 439),,(0.377336774338 742),(0.540404753564 885),(0.73452549625 1044),,(1.27758985114 1361),(1.89074779031 1524),,(4.4408920985e-16 1871),,,(3.18366903555 2296),(1.50549968772 2462),,(1.32989356585 2786),,
Point1,H5,(1.23247555843 83),,(1.13991412464 448),,(0.938248146943 754),(0.58285088007 893),(1.02841418941 1057),,(1.5264505937 1374),(2.08633330712 1534),,(7.89693689055 1904),,,(3.4084984691 2307),(1.58500955841 2472),,(1.91010722577 2800),,
Point1,H6,(-0.0639111675178 118),(-4.4408920985e-15 305),(-7.1054273576e-15 464),(-5.77315972805e-15 609),(-5.3290705182e-15 768),(-5.77315972805e-15 917),(-5.3290705182e-15 1077),(-0.000384755091269 1233),(4.4408920985e-16 1395),(-8.881784197e-16 1553),(8.881784197e-16 1711),(4.4408920985e-16 1871),(1.7763568394e-15 2028),(3.5527136788e-15 2189),(0.0 2347),(4.4408920985e-16 2499),(-3.5527136788e-15 2651),(-0.00664147991378 2819),(-3.10862446895e-15 2949),
