Cycle,0.815962009804
Average Width,3.16098321177
Width,,0.0,0.0,2.67295192949,0.0,0.0,0.0,0.0,0,0.0,6.40706154497,0.0,0.0,0.0,0.0,0.402936160853,0.0,0.0
Point0,H1,(22.4875395408 43),(21.0319789938 222),(19.8063644693 409),(18.8894386745 585),(20.5662197076 762),(19.9645014958 939),(18.9405968838 1120),(19.2768739028 1302),(18.2531748806 1468),(20.7958682086 1641),(21.5842168918 1821),(21.4180073211 1995),(19.4876083524 2172),(16.2891944139 2347),(20.0349417316 2522),(19.7266899119 2687),(20.5964697669 2876),
Point0,H2,(8.73933327574 94),,(6.48692963283 454),,,(7.73750721149 987),(9.20481404227 1164),,(4.76783272914 1546),,(4.72838738854 1900),,,,,(4.29563579501 2777),,
Point0,H3,(8.78213570028 99),,(6.56369337995 463),,,(7.97858652187 995),(9.32888048012 1171),,(4.91222697486 1553),,(4.73419209771 1903),,,,,(4.60807896071 2787),,
Point0,H4,(0.302957607855 164),(-0.00558195503008 315),(1.52295703671 516),,,(1.65115979448 1060),(4.83435798503 1218),(1.24709157088 1419),(3.0221534365 1573),,(2.74940469312 1926),(2.80459438011 2092),(0.994900482482 2277),(2.60990118391 2451),,(2.79332047824 2805),,
Point0,H5,(1.29277238813 178),(1.23977662978 343),(1.52563460091 518),,,(2.07871522118 1071),(4.93958424156 1228),(1.25709941437 1422),(3.42253072898 1583),,(2.86106074818 1933),(2.8567107841 2099),(1.16943616623 2289),(2.87916583127 2462),,(3.40447366759 2816),,
Point0,H6,(3.5527136788e-15 190),(-0.00558195503008 315),(5.3290705182e-15 549),(-3.5527136788e-15 726),(2.6645352591e-15 907),(5.3290705182e-15 1087),(-1.42108547152e-14 1264),(8.881784197e-16 1437),(1.7763568394e-15 1601),(-7.1054273576e-15 1776),(-8.881784197e-15 1954),(-0.00604985613431 2131),(-2.6645352591e-15 2311),(0.0 2480),(-5.3290705182e-15 2655),(-0.00110938440063 2833),(-0.035616219747 3014),
Point1,H1,(12.3130802166 47),(14.4735373256 225),(12.7640608437 412),(10.3088927212 589),(13.0031980846 765),(10.4416448438 942),(10.5374584938 1128),(11.5012919581 1306),(9.92938380108 1470),(12.1350795702 1641),(12.76150483 1824),(12.5008653464 1999),(10.8750647799 2174),(8.9609492129 2354),(12.0636287262 2528),(11.3280342368 2698),(11.4396177981 2880),
Point1,H2,(4.68371438505 92),,(3.46504201739 450),(5.48374024922 634),,,(5.34093268121 1166),(2.4151598716 1389),,,(2.6422512572 1898),,(2.80366336716 2224),(6.25216668614 2381),,,,
Point1,H3,(6.64916142793 116),,(4.87084200364 481),(6.08284264296 646),,,(5.71012792256 1179),(2.55146006353 1398),,,(3.06702853996 1910),,(3.03746864634 2237),(6.33449202232 2389),,,,
Point1,H4,(-1.7763568394e-15 164),(-4.4408920985e-15 316),(1.31465926799 513),(1.82423024722 699),,,(3.29656522288 1212),(1.1008035691 1420),,(4.56425746063 1706),(1.73879339708 1928),(1.29582248391 2088),(1.12749877111 2276),,(4.27915517651 2604),,,
Point1,H5,(1.59339055803 183),(2.58686309052 343),(1.37276728486 520),(1.8515216687 705),,,(4.23930356285 1233),(1.14862041538 1426),,(4.5705241137 1711),(2.07351756739 1939),(2.20431752272 2105),(1.5243331292 2291),,(4.39350438802 2615),,,
Point1,H6,(-1.7763568394e-15 164),(-4.4408920985e-15 316),(-9.32587340685e-15 554),(-7.9936057773e-15 733),(-6.2172489379e-15 888),(-0.00186285745357 1089),(-1.24344978758e-14 1268),(-3.5527136788e-15 1441),(1.7763568394e-15 1605),(-5.3290705182e-15 1779),(-8.881784197e-16 1959),(-0.00277893307306 2136),(-8.881784197e-16 2314),(-2.6645352591e-15 2483),(-1.7763568394e-15 2658),(-3.5527136788e-15 2838),(-0.0186698917704 3019),
Point2,H1,(7.99279641257 112),(11.5500385439 290),(7.14842978463 477),(5.75658112334 653),(8.25823550249 830),(6.49333523221 1009),(5.66000471991 1195),(3.79507587609 1296),(7.05252490691 1372),(5.02289930028 1537),(7.0913344823 1706),(8.73213763825 1894),(7.9965986692 2065),(7.05987061025 2241),(6.09814855107 2423),(6.99411040931 2596),(7.68584673815 2761),(6.91958656414 2972),
Point2,H2,,(5.26112140973 344),(-0.00134819824394 510),,,,,,(2.99986247822 1419),(2.9424937328 1581),(6.27036528277 1724),(2.07541042672 1963),,(1.47412652356 2285),(3.75292024132 2443),,,,
Point2,H3,,(5.31275326354 350),(2.91182211981 545),,,,,,(3.07788165046 1429),(3.13345796964 1592),(6.31084300763 1731),(2.31911576008 1974),,(2.74716550472 2306),(4.81176479403 2459),,,,
