Cycle,0.82221261108
Average Width,37.3692296728
Width,,27.0433671168,31.1845418564,0,0.0,21.4162520791,0.0,0,78.2697119836,19.3088366971,50.2333621889,48.6756346276,29.3574139721,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,86.7499583712,48.0014450855,20.4210492417,23.4390297612,0.0,13.7128696411,127.781146307,26.0641678131,0,18.4790842706,0.0,24.8407126029,15.8301176779,0.0,0.0,13.4350487159,0.0,23.140843447
Point0,H1,(16.434378401 27),(18.8940873127 200),(17.4719456246 380),(16.4396793087 539),(12.5267362574 697),(17.4067789548 898),(11.2326159002 1049),(12.0512724893 1223),(11.9109631966 1387),(11.9377203774 1542),(12.3211505119 1710),(13.4996842048 1882),(13.0609927379 2070),(11.0661861279 2217),(14.3844983049 2379),(11.600529539 2556),(16.3144480057 2744),(11.0781444526 2910),(14.2154621339 3092),(11.6638319512 3251),(10.9116623006 3431),(12.9163735751 3597),(12.6824009497 3778),(8.55026366828 3919),(11.6681734148 4115),(9.16629240491 4253),(10.2398216249 4425),(6.46449433043 4588),(8.63689570307 4765),(8.0722865232 4934),(7.89337099828 4994),(8.35127560999 5100),(9.25064 5271),(8.46132750632 5448),(10.1662064801 5633),(7.44649096477 5785),(9.20081230527 5964),(11.289730193 6124),(8.47425599235 6294),(7.61938232881 6482),(9.21907460757 6633),(9.68503970609 6806),(8.8091192931 6865),(11.1099798823 6997),
Point0,H2,(15.4749834298 38),,,,,(5.30615649827 954),,,,(5.86574933141 1586),(8.21461468129 1756),,,,,(2.96670593574 2635),,,,,,(0.714184372998 3686),(10.5669925839 3798),,(9.10075392829 4139),,,(1.25621209291 4653),,(6.98335194369 4951),,(8.00604773976 5111),(5.86025619463 5314),(3.95502513712 5497),,(6.5202514198 5798),,(10.7216205251 6136),(5.7964509227 6319),(1.09753596762 6557),,
Point0,H3,(15.9772103163 49),,,,,(5.33410727652 958),,,,(7.94015549936 1603),(8.21977939659 1760),,,,,(3.28659818652 2645),,,,,,(0.748318585093 3692),(10.8779164596 3808),,(9.22270883384 4148),,,(1.41361995989 4665),,(7.51903879039 4965),,(8.13523355018 5119),(6.99636342022 5330),(4.078730002 5505),,(7.29823697541 5813),,(11.0229415907 6148),(6.191926347 6344),(1.11098562486 6561),,
Point0,H4,(2.01011044359 122),,,(1.85772924245 647),,(2.41279174325 984),,,(1.44094598576 1474),(1.18022538503 1646),,,(1.17021330694 2145),(2.02969471025 2301),(1.11880207145 2484),(2.75857676812 2659),(2.16653904719 2840),,,(-1.06581410364e-14 3366),,(-4.4408920985e-15 3709),(6.18179620894 3835),(5.33228811067 3975),,,,(0.76184261227 4705),,,,(5.1451790352 5147),(1.50008702478 5379),(-0.00203246301324 5553),(1.50890257594 5732),,,(7.77680356914 6181),(-0.00613086235117 6429),(0.0688564548371 6585),,
Point0,H5,(2.50670581341 133),,,(1.89823886391 653),,(2.45064936029 989),,,(1.49999189926 1481),(1.96807567996 1662),,,(1.40841216809 2157),(2.07355779611 2307),(1.40845979739 2495),(3.04562532101 2669),(2.20391018912 2845),,,(10.6592564675 3401),,(11.681764457 3754),(6.26834367854 3841),(5.40197259115 3983),,,,(1.00392725691 4718),,,,(5.16738893504 5152),(1.78048779497 5390),(1.26464675728 5570),(2.03445812752 5744),,,(8.25882421327 6194),(7.54556758868 6460),(0.120477312738 6592),,
Point0,H6,(-0.0233980864302 161),(-3.5527136788e-15 332),(-6.2172489379e-15 497),(-1.86517468137e-14 670),(3.5527136788e-15 839),(-4.4408920985e-15 1014),(1.59872115546e-14 1184),(-1.7763568394e-15 1343),(1.50990331349e-14 1506),(-1.7763568394e-15 1679),(4.4408920985e-15 1846),(-3.5527136788e-15 2016),(-7.1054273576e-15 2175),(-0.000237484905988 2339),(-3.5527136788e-15 2513),(-1.7763568394e-15 2688),(1.42108547152e-14 2864),(-0.000746466355936 3035),(-1.7763568394e-15 3198),(-1.06581410364e-14 3366),(-6.2172489379e-15 3538),(-4.4408920985e-15 3709),(-0.0046838078075 3889),(-0.0186618502111 4044),(1.7763568394e-15 4223),(-0.0194531993735 4384),(-4.4408920985e-15 4560),(-0.000432807740669 4734),(7.9936057773e-15 4896),(1.33226762955e-14 5071),(-0.00659077501994 5230),(1.7763568394e-14 5409),(-0.00203246301324 5553),(8.881784197e-15 5760),(1.15463194561e-14 5923),(1.59872115546e-14 6092),(2.13162820728e-14 6258),(-0.00613086235117 6429),(-0.00407177005363 6600),(9.7699626167e-15 6767),(1.24344978758e-14 6921),
Point1,H1,(18.6090482509 26),(19.1155262912 200),(16.862201192 383),(15.1848252635 541),(13.191064813 698),(16.3949418342 898),(11.0260707628 1048),(11.3195047558 1225),(11.0517855081 1389),(11.1595375383 1542),(11.3848654793 1709),(13.1010134698 1882),(12.4397082318 2068),(11.0525544795 2213),(13.2728891984 2378),(11.216863481 2558),(14.7353534912 2744),(10.7864579688 2911),(12.8684453341 3091),(11.0068805511 3250),(9.74158065422 3401),(11.4664067275 3580),(11.8892242975 3777),(8.19566067774 3918),(10.3226301836 4115),(8.83044073205 4253),(9.97484036955 4425),(5.97571593212 4585),(8.16735278201 4765),(7.44505137957 4935),(7.35039643182 5099),(8.43060065702 5272),(8.65424077659 5447),(9.43228315754 5632),(7.56926714594 5785),(8.75952923081 5963),(10.7419575886 6124),(7.66953210022 6295),(7.07870465634 6460),(8.52199345376 6633),(9.05479103132 6807),(9.16223151088 6997),
Point1,H2,(16.3634748582 41),,,,,(9.75912280474 922),(9.68996241059 1062),,,(5.1561999312 1587),(11.1570287046 1718),,,(10.3539663454 2230),(11.8877771027 2395),(2.84877246314 2636),,,,,(8.94108235613 3414),,(9.11207131507 3801),,(7.74368736312 4138),,(2.44347478361 4509),(-0.00145389478306 4656),,(6.54940731367 4951),,(5.39720674479 5316),(1.6861057887 5528),(5.57608918784 5672),(6.27160008346 5800),(8.44916626718 5976),(10.3195099486 6135),,(6.82065711858 6471),(7.62447517184 6649),,,
Point1,H3,(16.677723321 49),,,,,(9.93515608503 928),(10.183952957 1072),,,(6.74119195373 1603),(11.2847701722 1726),,,(10.4350059096 2238),(11.8946741126 2398),(3.01861740258 2646),,,,,(9.72440398368 3430),,(9.27822030127 3809),,(7.94264692289 4148),,(2.44658634436 4512),(0.803174037638 4698),,(6.78332325126 4962),,(5.80685873212 5329),(2.05183788823 5539),(5.63189718131 5680),(6.68992549536 5812),(8.48901187767 5983),(10.6258735351 6147),,(7.00601998797 6482),(7.74230021925 6657),,,
Point1,H4,(2.31909287577 123),(1.02611634758 314),,,,(2.23320383624 983),(2.37007408971 1152),,(1.28869539486 1474),(1.23954230756 1651),(7.13939177525 1760),,(1.13581626117 2146),,(1.18830560253 2484),(2.77472248508 2658),,,(0.99011727151 3174),(3.95417961808 3323),,,,(-0.00415183370165 4039),,,(1.7756535605 4532),(0.777889833483 4705),(1.42623669418 4866),(5.89473378836 4979),,(2.35393834974 5378),(0.826663478888 5556),(2.12071880566 5735),,,(6.87248605815 6183),,(1.51508788397 6556),,,,
Point1,H5,(2.81466727818 134),(1.03209045534 317),,,,(2.25299708509 988),(2.43693379251 1160),,(1.50929691075 1485),(1.30059494867 1659),(7.14501636898 1763),,(1.62029302931 2159),,(1.52067153077 2495),(3.05750531319 2669),,,(1.27122292881 3184),(3.9620473293 3327),,,,(9.31187524531 4090),,,(1.84461963983 4540),(0.796465470324 4713),(1.43690276096 4871),(6.70394561757 4995),,(2.62279167616 5389),(1.2553819356 5568),(2.14362607369 5740),,,(7.12078444659 6194),,(1.54004249991 6562),,,,
Point1,H6,(-1.59872115546e-14 163),(-7.1054273576e-15 332),(-1.59872115546e-14 497),(4.4408920985e-15 670),(6.2172489379e-15 839),(1.15463194561e-14 1014),(1.68753899743e-14 1183),(6.2172489379e-15 1343),(-3.5527136788e-15 1506),(2.6645352591e-15 1677),(7.1054273576e-15 1846),(2.6645352591e-15 2016),(7.9936057773e-15 2176),(1.15463194561e-14 2339),(1.7763568394e-15 2513),(-7.1054273576e-15 2688),(-1.06581410364e-14 2863),(-2.6645352591e-15 3035),(-7.1054273576e-15 3199),(8.881784197e-16 3366),(1.7763568394e-15 3538),(-5.3290705182e-15 3709),(-1.24344978758e-14 3888),(-0.00415183370165 4039),(-1.50990331349e-14 4222),(-0.0176060734506 4384),(8.881784197e-16 4560),(-0.00145389478306 4656),(-8.881784197e-16 4732),(-0.00460288889747 4896),(0.0 5071),(-0.00522261717191 5230),(6.2172489379e-15 5410),(-5.3290705182e-15 5583),(-3.5527136788e-15 5759),(-7.1054273576e-15 5924),(-8.881784197e-15 6091),(-0.00025200455448 6258),(-3.5527136788e-15 6429),(-0.0010218254663 6598),(-1.7763568394e-15 6769),(-3.5527136788e-15 6923),
Point2,H1,(22.678525175 27),(22.4960424674 201),(20.0571001209 385),(18.0958031806 539),(16.1327845002 698),(19.2283249827 874),(13.3129736471 1047),(13.4376430869 1216),(14.8096697291 1381),(14.3093784099 1544),(14.0853615994 1710),(16.0995968031 1881),(13.9706139654 2068),(13.3934393933 2221),(15.7610770268 2378),(13.7805327447 2556),(17.5892450787 2741),(11.963898561 2913),(13.5844632965 3066),(13.8019401759 3251),(12.0286031989 3401),(13.2870310975 3596),(13.4099583937 3776),(10.0668596398 3920),(11.9899978065 4114),(10.3948638866 4254),(12.1744700643 4425),(7.76840111167 4587),(8.97629805891 4764),(10.6432014466 4937),(9.0521387898 5119),(10.3526400644 5271),(10.0759667821 5458),(11.7308279771 5616),(9.36493161606 5789),(9.0629525521 5960),(13.858056341 6125),(8.84957964862 6296),(9.29786411335 6462),(10.9797544182 6632),(9.25796567584 6807),(10.2910970544 6994),
Point2,H2,(19.8832690712 42),(1.79012238885 311),,,(13.8442537226 712),(18.0379501273 886),(10.746498274 1065),,,(5.98797853477 1589),(13.5203410947 1722),(14.4765536144 1896),,,,,,(6.48685951798 2946),(12.3583511282 3078),,(10.3729034639 3415),,,(0.60790351314 4018),(8.25687089694 4136),(7.644575551 4298),(6.37010439018 4475),(7.1054273576e-15 4657),,(7.54368810998 4985),,(5.83621945113 5320),(1.56351320201 5532),(11.4766594143 5627),,(7.7830963391 5976),,(5.23591918854 6338),(9.04264320295 6472),(9.31317842731 6647),,,
Point2,H3,(20.0595024753 49),(2.01622580114 319),,,(14.5808343528 723),(19.1442401723 898),(11.0970577421 1074),,,(7.65247855142 1604),(13.5486897768 1726),(14.7209480318 1905),,,,,,(6.5695980489 2955),(13.4806281383 3092),,(11.7342175771 3430),,,(0.919767359549 4034),(9.16807470044 4150),(7.67770721171 4304),(6.43256775906 4481),(0.723091802697 4694),,(7.63427447839 4994),,(6.34651309768 5333),(1.62095200899 5539),(11.5028302569 5633),,(8.34225016928 5989),,(6.67287507681 6357),(9.26998296249 6483),(10.079145608 6658),,,
Point2,H4,(3.46030787498 128),(-0.00125897018819 335),,,(2.97113142414 803),,(2.41939857826 1155),(3.92021030437 1316),,(1.71755072532 1651),(9.66982146422 1756),(9.86647244459 1930),(1.97183196324 2146),,,(2.51824558104 2660),(3.5527136788e-15 2864),(3.46525661921 2990),(1.50985423819 3178),(4.29214829077 3324),(5.3290705182e-15 3537),,,(5.3290705182e-15 4058),,,(2.09201722733 4537),(0.185783448047 4712),,(-4.4408920985e-15 5072),(0.585184316176 5202),(1.34805256177 5379),(0.858938192489 5555),(6.76312343394 5673),,,,(4.1706383335 6382),(2.12089121082 6555),(5.41083953876 6681),,,
