Cycle,0.71575
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(10.9602704969 33),(9.80813272312 185),(7.19161594269 338),(10.1945089127 488),(10.2354735001 634),(8.57150092694 790),(7.65917816604 938),(8.22244570408 1086),(11.2896380936 1241),(9.36886906826 1400),(7.28047785072 1547),(11.1600843765 1701),(9.18956985115 1865),(6.51781315697 2015),(9.30578838475 2167),(8.95241262309 2317),(10.0697976059 2472),(7.82897492983 2615),(11.0981286371 2758),(11.6521716 2904),(10.576912239 3048),
Point0,H2,(5.02132383948 99),(2.61306816619 229),,,,,,,,,,,,,(0.995565117355 2223),,,(1.3637235819 2656),,,
Point0,H3,(5.22292644063 112),(3.34361631606 252),,,,,,,,,,,,,(1.73773473955 2241),,,(2.31233486202 2671),,,
Point0,H4,(4.43261431561 131),(1.00877227464 275),(0.329944156211 408),(-0.000215436301886 572),(0.435126391576 716),,(0.957281891401 1017),,(2.97080262331 1302),(1.44176720841 1490),,(1.12466094462 1791),(1.33336603888 1955),(1.77351504323 2078),(0.828737163058 2259),(2.6359579868 2359),,(3.99680288865e-15 2695),(0.288649575529 2831),,
Point0,H5,(4.43918273165 134),(1.4475985689 287),(1.38731411682 432),(1.86660548464 592),(1.19721279365 735),,(2.78591109573 1038),,(2.97382009231 1306),(2.02087590667 1502),,(1.8258881589 1807),(1.43716962299 1964),(3.03027959476 2103),(1.09092074599 2269),(3.26217330529 2376),,(1.45353938019 2720),(1.15318696756 2850),,
Point0,H6,(8.881784197e-16 159),(-0.00807208554376 306),(-0.00763210596722 455),(-0.000215436301886 572),(-3.99680288865e-15 753),(0.0 911),(-5.77315972805e-15 1056),(3.5527136788e-15 1206),(-0.000766052623661 1360),(8.881784197e-16 1519),(-0.00295986778146 1646),(0.0 1829),(4.88498130835e-15 1982),(1.33226762955e-15 2130),(2.22044604925e-15 2285),(1.7763568394e-15 2427),(-0.00500004624237 2581),(3.99680288865e-15 2695),(-0.00432428792133 2869),(5.3290705182e-15 3018),
Point1,H1,(19.2887782256 31),(19.0380672091 187),(16.1460357299 340),(18.8881303434 489),(20.3381422095 636),(18.873264601 791),(17.646263939 938),(18.8343815163 1087),(22.0839682373 1242),(19.9275049271 1401),(16.6940650092 1548),(20.7378281158 1705),(19.1875817594 1864),(15.3047688031 2012),(18.2402097998 2168),(19.5367462924 2318),(20.3286158413 2471),(17.3460707801 2615),(21.1923181528 2760),(22.9893431857 2906),(22.084502366 3050),
Point1,H2,,(4.30708072678 235),,,,(5.27656348727 829),,,,,,,,,(2.77446326322 2232),,,(3.31297730633 2662),,,
Point1,H3,,(4.71349958191 253),,,,(5.31599225361 834),,,,,,,,,(2.83665516844 2239),,,(3.39667821514 2669),,,
Point1,H4,,(1.85563258339 277),(1.47769302005 414),(-0.233004302315 575),(1.38880876809 720),(0.80254337186 883),(1.86384975527 1023),,,(2.21929835496 1493),,(2.19530386128 1792),(2.40223222388 1955),(2.75647178483 2091),(1.13199949673 2258),(5.38258283716 2367),,(0.422655725314 2697),(1.02758751758 2836),,
