Cycle,0.727297297297
Average Width,4.72146294767
Width,,4.14820310599,4.54398021119,4.46991170246,4.05622489112,4.26435721805,4.44877599914,4.26697660541,4.37220190317,5.42617073709,4.60694825898,4.63883602347,4.77036950188,5.49551728894,5.02461941193,4.39104676235,5.03425439959,4.59430140131,4.35357013071,4.25711496059,4.96657302601,4.31751224712,4.18946966257,3.99352162593,4.1761608274,4.28621713512,4.23948185113,4.129445001,4.59725236501,4.16940066814,4.11379008151,4.12062440707,5.12630204475,6.61686557228,4.94120636074,5.55940724366,7.0959889503,5.42455910326,6.18843332503
Point0,H1,(10.0004840474 105),(12.3908284338 220),(11.7501464422 363),(9.70476535863 530),(11.5148835231 665),(11.0629416652 836),(11.7712817694 977),(11.4942608761 1097),(9.52954973674 1268),(12.6946159676 1385),(10.1883371577 1560),(11.7862754835 1707),(11.2213210224 1858),(12.1286394345 2007),(9.60793563299 2152),(9.82190020811 2309),(10.9312864592 2454),(9.49235838439 2576),(10.4721692256 2737),(10.1554996962 2919),(10.9874402112 3064),(9.19227324229 3195),(12.5635257649 3366),(9.73180748881 3484),(10.8802208456 3660),(10.4014766375 3813),(10.4728765396 3963),(10.3451111296 4113),(13.5179702664 4230),(11.9995980749 4405),(13.1623544392 4552),(13.7826499094 4695),(13.2268158773 4850),(11.6397798696 5001),(12.3132927471 5157),(12.5119634017 5311),(12.4854555713 5463),(11.1609286671 5623),
Point0,H2,,(11.0249227506 236),(11.0766796831 378),,(10.7989393761 683),(-7.9936057773e-15 868),,(11.150971119 1114),,,,,,,,(-0.00137854059603 2355),,(8.67355320091 2600),(4.4408920985e-15 2803),(8.881784197e-16 2947),,(8.30090835254 3211),,(9.05130911917 3500),,,,,,(1.7763568394e-15 4437),,,,,,,,,
Point0,H3,,(12.0148093314 251),(11.6162055302 391),,(10.8460412047 689),(7.81025791727 912),,(11.2377547776 1121),,,,,,,,(8.39766629274 2390),,(9.20638204891 2613),(8.74590819238 2849),(7.93149399167 2994),,(8.75815035573 3221),,(9.60483453382 3513),,,,,,(0.353334350217 4447),,,,,,,,,
Point0,H4,,,(-0.00706483291215 438),,(-0.00509506437927 723),(7.63621859958 920),,(-0.00938965199962 1174),(3.5527136788e-15 1298),,(1.15463194561e-14 1605),,(1.7763568394e-15 1890),(-0.0120225316323 2054),(9.7699626167e-15 2195),(8.36913714896 2394),(-0.0046163019531 2497),,(8.13531435669 2863),(7.75160008173 3003),(8.881784197e-16 3108),(0.0 3250),,(-2.93098878501e-14 3556),(9.7699626167e-15 3699),(1.33226762955e-14 3855),(1.7763568394e-14 4004),,,,,,,(-1.7763568394e-14 5042),(-1.33226762955e-14 5202),(-7.9936057773e-15 5345),(-1.33226762955e-14 5507),,
Point0,H5,,,(8.31781084685 481),,(9.98901306272 803),(10.2979649309 944),,(8.04019700973 1238),(9.81467854748 1347),,(10.7581464582 1666),,(11.6772619558 1969),(8.22917387151 2115),(8.35693608613 2247),(10.5131844298 2428),(8.99140369927 2544),,(9.21535635692 2890),(9.51879019951 3034),(8.39070484729 3159),(9.13803414977 3296),,(9.14384295462 3600),(9.34653484536 3770),(9.55995631235 3927),(8.48842887496 4048),,,,,,,(11.3720970874 5123),(10.6972760201 5271),(11.3522885004 5430),(10.2221036375 5595),,
Point0,H6,(-0.501497790271 7),(-0.0168245082824 149),(0.0 291),(-0.00706483291215 438),(-1.59872115546e-14 577),(-0.00509506437927 723),(-7.9936057773e-15 868),(-1.7763568394e-15 1012),(-0.00938965199962 1174),(3.5527136788e-15 1298),(-0.00111251198692 1463),(1.15463194561e-14 1605),(1.50990331349e-14 1749),(1.7763568394e-15 1890),(-0.0120225316323 2054),(9.7699626167e-15 2195),(-0.00137854059603 2355),(-0.0046163019531 2497),(-0.00388126441616 2654),(4.4408920985e-15 2803),(8.881784197e-16 2947),(8.881784197e-16 3108),(0.0 3250),(-1.59872115546e-14 3413),(-2.93098878501e-14 3556),(9.7699626167e-15 3699),(1.33226762955e-14 3855),(1.7763568394e-14 4004),(-7.1054273576e-15 4146),(0.0 4290),(1.7763568394e-15 4437),(7.9936057773e-15 4594),(-5.29859606306e-05 4740),(-0.00484143746151 4886),(-1.7763568394e-14 5042),(-1.33226762955e-14 5202),(-7.9936057773e-15 5345),(-1.33226762955e-14 5507),(-8.881784197e-15 5650),
Point1,H1,(17.8719296635 119),(21.0679222999 233),(18.4480921688 408),(18.4304141518 549),(20.8982722701 685),(16.1273831718 847),(19.2003225528 990),(20.53894167 1105),(13.7082934541 1278),(21.2397980155 1424),(15.3606436498 1571),(18.0827343636 1718),(14.7958902442 1872),(16.6641004383 2021),(15.9889114185 2169),(14.3910059057 2323),(17.8992791147 2469),(16.7846623347 2628),(17.962055126 2778),(14.9094910795 2883),(19.4722678098 3076),(16.1172075177 3232),(23.3161898398 3379),(17.1341162425 3494),(19.8215328394 3673),(17.5190936759 3826),(17.6694665994 3980),(15.9763632771 4089),(24.6038446971 4242),(21.3932607663 4418),(24.120642085 4566),(19.4312038953 4704),(16.1911691616 4863),(17.2711071574 5016),(16.8356061254 5169),(14.3994842381 5325),(15.944213559 5477),(13.9440151436 5605),
Point1,H2,,(19.1529494705 251),,,,,,(18.1543568529 1126),,,,,,,,,(1.95399252334e-14 2510),,,(12.1611573243 2917),(3.5527136788e-15 3117),,,(15.183889537 3512),,(-0.054786238789 3867),,(14.4623820055 4105),,,,,,,(-0.015367040068 5216),(0.0 5357),,,
Point1,H3,,(19.3443184121 259),,,,,,(19.3845870218 1139),,,,,,,,,(12.8410022651 2558),,,(14.1502562843 2932),(14.663886633 3183),,,(16.5888665667 3527),,(15.2264487208 3913),,(15.9021991281 4123),,,,,,,(7.67811225451 5249),(10.6483293929 5409),,,
Point1,H4,,(-0.0181949881427 302),(-0.0798269913004 448),,(-0.025575310435 735),,,(-0.0127878085252 1187),,(1.7763568394e-15 1459),(-0.000839551358437 1609),(3.5527136788e-15 1758),(4.61852778244e-14 1902),,(1.7763568394e-15 2208),,(12.6530908494 2566),(-0.000108572303777 2657),,(5.3290705182e-15 2961),(14.6081116738 3190),(5.3290705182e-15 3262),,(-1.95399252334e-14 3567),,(14.1663612092 3927),(-0.0236902729276 4015),,(-0.00370686570163 4304),,,,,(2.84217094304e-14 5055),(7.67637285435 5250),(10.6479871987 5410),(-7.1054273576e-15 5516),,
Point1,H5,,(16.6124491592 374),(12.3086757344 492),,(13.5915348529 814),,,(11.6236620584 1246),,(14.233557787 1545),(15.1199908192 1664),(14.0447240568 1856),(14.9910282176 1988),,(12.2057012024 2263),,(15.8611258616 2598),(12.7736652186 2706),,(11.0659082486 3007),(15.5530011183 3210),(20.873988887 3356),,(17.4479037123 3629),,(16.1584062365 3943),(12.6458863366 4062),,(19.5229811444 4392),,,,,(15.8011758495 5133),(13.1717302398 5281),(14.1070314536 5445),(9.86776985742 5564),,
Point1,H6,(-3.68544822962 22),(-0.0143915779813 166),(-0.0181949881427 302),(-0.0798269913004 448),(-8.881784197e-15 590),(-0.025575310435 735),(2.84217094304e-14 878),(-0.0277009537431 1025),(-0.0127878085252 1187),(5.3290705182e-15 1310),(1.7763568394e-15 1459),(-0.000839551358437 1609),(3.5527136788e-15 1758),(4.61852778244e-14 1902),(1.95399252334e-14 2066),(1.7763568394e-15 2208),(-8.881784197e-15 2366),(1.95399252334e-14 2510),(-0.000108572303777 2657),(-3.5527136788e-15 2816),(5.3290705182e-15 2961),(3.5527136788e-15 3117),(5.3290705182e-15 3262),(-0.00618218341974 3424),(-1.95399252334e-14 3567),(0.0 3712),(-0.054786238789 3867),(-0.0236902729276 4015),(-0.0155648877909 4161),(-0.00370686570163 4304),(1.06581410364e-14 4449),(0.0 4608),(8.881784197e-15 4753),(-2.6645352591e-15 4896),(2.84217094304e-14 5055),(-0.015367040068 5216),(0.0 5357),(-7.1054273576e-15 5516),(-4.4408920985e-15 5663),
Point2,H1,(17.0961479849 120),(21.1499139045 235),(17.5389765242 409),(17.7729047782 550),(20.6165646904 686),(14.5785207179 848),(17.9512324745 991),(20.5182810923 1107),(13.9890944942 1279),(21.3591992613 1424),(14.6637659926 1572),(17.7826916273 1719),(14.3691151101 1873),(15.818928099 2022),(15.4767772376 2172),(14.2528714547 2324),(17.7709432603 2469),(16.6312920805 2629),(17.2180409204 2759),(14.6632598956 2884),(19.1887906424 3078),(15.4076633154 3233),(21.9209457033 3380),(16.3677786448 3495),(19.6691314132 3673),(16.5757197025 3827),(16.3397817933 3980),(15.3687802481 4123),(23.8486640078 4241),(20.2873055214 4418),(23.2129942412 4567),(18.9945310909 4707),(16.1332391388 4863),(17.0396709815 5017),(16.852233131 5170),(13.9806673014 5326),(15.0184882996 5478),(13.7551338096 5606),
Point2,H2,,,,,,,,,,,,,,,(2.6645352591e-14 2208),(-7.1054273576e-15 2365),(1.06581410364e-14 2511),,(16.8965632217 2775),(12.0599243114 2918),(-1.16229215941e-06 3117),,,(14.7883315825 3513),,(-0.0759784527549 3868),(-0.0312887748222 4016),,,,,,,,(-0.0182655871114 5217),(6.2172489379e-15 5358),,,
Point2,H3,,,,,,,,,,,,,,,(11.635064446 2263),(9.4778616239 2402),(12.7356265591 2556),,(16.99891932 2781),(13.7733103714 2933),(14.0027987403 3183),,,(15.9773193698 3528),,(14.6386542734 3913),(11.7738374728 4063),,,,,,,,(7.54697380759 5247),(10.4406063516 5407),,,
Point2,H4,,(-0.00671995844426 302),(-0.0691556641399 449),,(7.1054273576e-15 736),(3.90798504668e-14 879),,,(-0.00948206757406 1311),(-0.0197098001703 1460),(-0.003384584839 1605),(-0.0061716310263 1758),(-0.00319164519571 1903),,(10.6744275715 2281),(9.4361979305 2406),(12.3601487115 2567),,,(-8.881784197e-15 2962),(13.9231685515 3192),(-2.6645352591e-14 3263),,(1.42108547152e-14 3567),(-0.00574812622559 3713),(13.1340663874 3929),(11.6974466239 4068),,(-0.0137830427482 4305),,,,,(-0.0150924357611 5056),(7.35393108587 5254),(10.302522996 5414),,,
Point2,H5,,(16.182511204 374),(11.7000200556 493),,(12.5680323539 812),(14.7378849319 958),,,(18.9096591176 1388),(13.3513680823 1546),(14.9497668559 1667),(13.8440364987 1855),(14.4905887805 1984),,(12.7588210306 2303),(16.6987015949 2447),(15.679318638 2597),,,(11.2430362846 3007),(14.8793669096 3212),(20.5074675209 3355),,(17.8847068881 3630),(13.955585816 3783),(15.0225533566 3945),(15.2022536666 4091),,(18.5694562655 4392),,,,,(16.033375023 5144),(12.7146101522 5282),(13.7916788369 5446),,,
