Cycle,0.820396541967
Average Width,12.9759895057
Width,,11.3912193855,8.30820162121,9.06935326499,8.79453564682,11.3946173489,11.994521507,11.1986355344,10.6647846944,12.1394910132,11.754327735,11.1267528588,13.1126977957,12.7781993092,11.8358581142,10.0955599949,12.136824731,14.1808129177,0,11.6154288202,17.5260895747,10.1051024831,12.9737197237,11.3586855199,11.9039101651,12.8785944327,0,0,0,0,11.8427648857,0,10.2874798923,12.4032239924,9.96571762522,11.9367155321,11.3225379006,12.6983955804,12.1714310462,14.3606003141,12.0659647388,10.7530708824,11.3309388534,10.4010516687,10.9930979334,11.3758227962,11.2501759696,11.3035375703,11.2067402918,10.9374911756,11.3668568791,0,13.9641466432,11.2257766254,10.6448459464,11.5314185728,12.381333931,11.1255627425,12.5620706718,10.494803727,12.5021410116,12.4397906498,12.4379327705,8.49694559401,0.0,0.0,14.5700896474,14.6590112558,14.0490635213,12.8995310869,18.1152761568,15.7068159221,14.7775499494,19.2335425223,16.1655051059,12.9784318273,20.6292566814,13.832705417,20.1022359272,19.5997076227,27.0034481893,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8007009666,18.0060535082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(26.1672048148 45),(21.9838717906 214),(25.9630342472 385),(27.3605776639 562),(27.6438636132 741),(23.6576980387 915),(26.3261830536 1076),(25.9331658847 1252),(25.2591453031 1441),(23.582950956 1617),(24.7110509564 1798),(23.635780477 1987),(23.2017161155 2151),(23.4644298589 2334),(21.0232330224 2510),(19.1897550197 2658),(16.8004217565 2921),(19.3129340773 3007),(23.8256283768 3153),(26.3429127601 3313),(26.7732887136 3473),(27.2167607171 3639),(25.8079341827 3800),(27.8939790385 3960),(28.5899423806 4140),(27.6664620361 4323),(24.7454610688 4492),(26.6844619715 4659),(26.3417100653 4835),(25.584551234 4996),(26.6235975884 5170),(25.0165657109 5330),(27.4090634439 5503),(24.9050233865 5682),(27.2319448015 5861),(25.0223242757 6039),(24.394680806 6209),(23.6498798329 6368),(27.4404002287 6534),(27.0166068262 6718),(24.716986312 6885),(25.7613029599 7054),(26.5304009942 7231),(25.4854961624 7410),(24.5551919329 7570),(26.3816680711 7741),(25.4197996839 7922),(24.248028432 8084),(22.8237093963 8259),(26.0653040125 8436),(25.1204084113 8612),(25.8660490628 8789),(25.6361337754 8964),(22.6252202238 9124),(22.4274428309 9267),(25.4025677849 9428),(25.772033383 9599),(24.0445515102 9769),(21.9308976818 9937),(24.9113166943 10099),(24.5735928764 10268),(26.8221042948 10435),(13.3609977839 10604),(22.6160972924 10762),(22.9116952185 10900),(25.3669958093 11057),(24.1128145541 11208),(26.0515888178 11370),(24.2470157696 11527),(26.5631107585 11684),(25.3266858269 11853),(23.6432829173 12010),(25.6563736006 12177),(24.9222824167 12344),(24.8396745186 12518),(23.8893990846 12690),(21.6387521004 12836),(23.1596640054 12995),(20.5534117296 13154),(19.6795349188 13329),(20.2544493608 13505),(22.0775097454 13688),(21.6573502473 13877),(20.2334430666 14051),(20.8783992326 14226),(20.8702076711 14399),(18.400489581 14563),(16.3114262043 14709),(19.6212074751 14882),(12.7281027686 15059),(15.5237628876 15225),(18.4563851032 15396),(20.6505386959 15573),(19.1739029871 15734),(19.5469737472 15912),(23.3084686387 16099),(22.4171305208 16280),(19.3539760095 16430),(22.441794924 16596),(19.0835485545 16758),(16.1339545012 16923),(17.5789042211 17076),(12.9619101576 17230),(15.0346829169 17394),(14.4662148171 17563),(14.3888630987 17716),(16.8781241489 17869),(16.6109858835 18004),(17.5655873577 18147),(17.8303441178 18287),(15.5079352186 18425),(16.9732354825 18577),(18.0270160187 18739),(16.3054033942 18895),
Point0,H2,(12.5804657514 71),,(14.1120993143 418),,,,,(13.3205410154 1299),,(12.5842567687 1662),,,(12.7016573433 2192),(14.3236052473 2369),(10.6037997018 2543),,,(8.72765869378 3046),,(5.01539452308 3407),,,,,(3.9538668685 4248),,(12.4360343927 4525),,,,,,,,(15.6090637394 5904),,,(13.104101736 6400),(15.2984102403 6577),,(12.169570788 6926),,,,,,(15.0557687731 7948),(11.5528949374 8130),(12.1505710373 8306),(10.8621155122 8481),(13.5096563851 8659),,,(9.80883531051 9165),,(12.9877612724 9473),,(11.959719959 9808),(12.5122808917 9962),(12.8025323425 10145),,,(5.2675917429 10636),(12.0640339537 10795),,,(14.3819768893 11248),(14.9631290769 11409),(12.7312918471 11567),,(14.3092810181 11887),(13.1733894331 12046),(8.70522375563 12258),(15.7105459274 12385),(14.3415639899 12559),,,,,(11.692731791 13360),,(13.9326524674 13727),(13.9219423609 13920),,(6.53539037269 14307),(12.0945519319 14430),(8.95099144084 14605),(8.55028457186 14753),,(7.92928591862 15082),(10.516200697 15266),(10.3666868664 15441),(11.3335770299 15619),(10.6253805141 15774),(10.1962909912 15952),(12.1586763562 16144),(5.16874518761 16366),(10.0415534077 16464),(12.5150092612 16642),(10.9206735981 16800),(9.96745703358 16964),,,,(9.45604233182 17596),(7.83709051074 17761),(9.01688936181 17903),(7.39466941059 18048),(7.48320768991 18191),(9.75341526995 18319),(8.59588159816 18465),(3.25411199383 18665),(4.28219851809 18831),,
Point0,H3,(13.8445010987 83),,(14.1141831743 421),,,,,(13.3653309472 1304),,(12.5885692506 1665),,,(13.1209084478 2202),(14.3332385782 2373),(10.6058428788 2545),,,(9.13401190594 3060),,(5.07380616912 3412),,,,,(3.95563849571 4250),,(12.7794011378 4535),,,,,,,,(15.9063203752 5912),,,(13.1934781795 6408),(15.7775769317 6586),,(12.4069776141 6935),,,,,,(15.0840492447 7953),(11.6375723582 8136),(12.270136227 8313),(11.4655814378 8491),(13.5164045575 8661),,,(10.0578251857 9174),,(13.4617639276 9483),,(12.7847218776 9820),(13.0370327799 9974),(13.1442450936 10154),,,(5.35877855821 10644),(12.6844440012 10806),,,(14.6716477279 11258),(15.1958707232 11417),(13.0613242269 11576),,(14.7739798837 11899),(13.9433179975 12059),(8.83654574588 12265),(15.7756116092 12390),(14.8648639132 12570),,,,,(11.8144165501 13370),,(15.3958089074 13742),(14.176510883 13929),,(6.74192468609 14315),(13.0426911102 14445),(9.83187314355 14618),(8.96532033315 14763),,(10.1318963005 15115),(10.5664443219 15271),(11.1002190948 15454),(11.5012069485 15627),(12.0772950966 15789),(10.9474109688 15974),(12.3159442681 16152),(5.43543394719 16374),(10.5935416263 16476),(12.6927012372 16650),(11.0356296803 16808),(9.99997517324 16969),,,,(9.66399011417 17606),(8.17853956299 17772),(9.48658584568 17914),(7.74855621977 18058),(8.14128174618 18203),(9.91433535136 18327),(8.88158867335 18475),(3.49066264336 18676),(4.50117470092 18839),,
Point0,H4,(-0.719860005794 159),(2.36712258488 317),,,,,(2.44856264297 1200),,(4.67538623315 1551),(2.30810589223 1747),,(4.60255310824 2093),(4.1806843019 2271),(5.54440671852 2447),,,,(2.73231887303 3088),(1.67847085049 3245),,(4.72508743468 3582),(5.04200831769 3743),(3.80363374428 3904),(4.59645279543 4077),(1.04738470159 4275),(2.95355399993 4430),(2.08615269498 4607),(1.86561597579 4787),(2.97733848107 4945),,,(3.64044749051 5437),(3.25180528028 5615),,(4.95220702683 5981),,,(4.07753069186 6480),(4.43290759863 6655),(4.67935284606 6833),(4.01997643664 6990),(4.84307365921 7166),,,(3.70057299235 7677),,,(1.03671474754 8207),,,,,,,(3.77482474894 9376),(4.80477188376 9534),(4.8302284956 9711),,,(5.15642413327 10204),,,(4.68174175943 10675),(4.5077029857 10847),(2.87771587628 10990),(5.55335046405 11148),(5.31699549528 11310),(5.83019637367 11470),,(5.73851706771 11790),(5.23023796048 11949),(3.84900520727 12110),(4.66617992253 12289),,,,,,(2.31716443012 13263),(3.82383528232 13439),(3.87051121282 13631),(4.98695043627 13823),(4.57995161028 13983),,(4.6022838387 14337),,(3.75687967477 14654),,,(4.21089108865 15166),,(5.96682403294 15492),(4.36064997048 15676),(3.93284666726 15854),,(4.08192815282 16222),,(2.68914316197 16545),(5.05703482708 16706),(4.53621431293 16864),,(2.60414130754 17165),,(4.24098995513 17501),,(3.01788435528 17810),,,,(2.94229663784 18366),,,,,
Point0,H5,(0.28545635512 173),(3.05517608106 329),,,,,(3.07724788675 1210),,(4.67784773224 1553),(2.33044813691 1751),,(5.06689311196 2103),(4.3117577189 2278),(5.57838663111 2451),,,,(3.32332349304 3099),(3.41017174381 3260),,(4.92477810692 3590),(5.3356433319 3751),(4.08557009859 3912),(5.46606256598 4089),(1.16928957668 4281),(3.83536044143 4442),(2.45917188799 4617),(1.87620103925 4790),(3.00754479261 4950),,,(4.38397335449 5449),(3.47524265807 5624),,(5.42005047499 5991),,,(4.17889142922 6486),(4.71092137195 6664),(4.70412618612 6837),(4.51465117219 7000),(5.14269443425 7175),,,(4.82981088274 7690),,,(1.46389392593 8218),,,,,,,(3.81121335426 9381),(5.2323162042 9544),(5.11526167865 9719),,,(5.97194253723 10216),,,(11.6935781937 10714),(4.71652189858 10855),(3.62765378307 11002),(6.32706621609 11160),(5.78991445742 11319),(6.03292148013 11478),,(6.68130638252 11801),(5.5819246628 11959),(4.55235463029 12121),(4.97940218438 12296),,,,,,(2.57801934041 13272),(3.87544738086 13444),(4.25118105223 13640),(5.19810113885 13831),(4.80874702873 13992),,(4.61696781532 14341),,(3.79820783044 14659),,,(4.44938409932 15175),,(6.23946290416 15501),(4.82269566804 15687),(4.48155984182 15865),,(4.64848043455 16232),,(2.74107585134 16551),(5.07177354141 16709),(4.54410717217 16867),,(3.93085422901 17179),,(4.89468838953 17513),,(3.0365914536 17815),,,,(3.56133678617 18377),,,,,
Point0,H6,(-0.0867754841759 2),(-0.719860005794 159),(1.06581410364e-14 349),(7.1054273576e-15 525),(1.7763568394e-14 712),(2.13162820728e-14 882),(5.3290705182e-15 1047),(-3.5527136788e-15 1225),(-0.00273512896672 1404),(-3.5527136788e-15 1583),(1.24344978758e-14 1767),(1.59872115546e-14 1955),(2.84217094304e-14 2122),(4.61852778244e-14 2299),(2.30926389122e-14 2476),(2.6645352591e-14 2627),(2.13162820728e-14 2807),(1.06581410364e-14 2973),(7.1054273576e-15 3118),(8.881784197e-15 3276),(8.881784197e-15 3437),(7.1054273576e-15 3610),(0.0 3770),(-0.00313565071434 3929),(8.881784197e-15 4107),(2.13162820728e-14 4293),(5.3290705182e-15 4459),(0.0 4631),(1.42108547152e-14 4806),(1.24344978758e-14 4968),(-0.00121544032578 5140),(-0.00175795029869 5299),(3.19744231092e-14 5467),(1.7763568394e-15 5646),(1.7763568394e-14 5832),(-5.3290705182e-15 6010),(2.30926389122e-14 6179),(0.0 6332),(-7.1054273576e-15 6505),(3.5527136788e-15 6683),(7.1054273576e-15 6857),(0.0 7019),(-7.1054273576e-15 7195),(-1.7763568394e-14 7379),(-1.95399252334e-14 7538),(-1.7763568394e-14 7707),(3.5527136788e-15 7889),(-8.881784197e-15 8056),(-8.881784197e-15 8231),(-0.000643724387743 8408),(3.5527136788e-15 8584),(-1.06581410364e-14 8760),(1.06581410364e-14 8935),(-0.00385098996431 9097),(1.24344978758e-14 9238),(-1.7763568394e-15 9401),(2.13162820728e-14 9564),(2.48689957516e-14 9738),(4.79616346638e-14 9905),(-3.5527136788e-15 10070),(-0.00677460960226 10236),(-3.46389583683e-14 10404),(-4.79616346638e-14 10574),(4.68174175943 10675),(-3.10862446895e-14 10874),(-0.0221261535211 11021),(-3.90798504668e-14 11179),(-2.84217094304e-14 11339),(-1.59872115546e-14 11498),(-2.13162820728e-14 11655),(-1.7763568394e-15 11820),(-5.3290705182e-15 11979),(-3.5527136788e-15 12141),(-1.7763568394e-14 12314),(1.7763568394e-15 12489),(-7.1054273576e-15 12661),(-0.00138897100329 12808),(-5.3290705182e-15 12967),(-0.00650290792599 13121),(-1.7763568394e-15 13292),(-1.24344978758e-14 13469),(-1.7763568394e-15 13658),(2.13162820728e-14 13850),(1.42108547152e-14 14020),(-0.000120803151635 14190),(1.59872115546e-14 14364),(7.1054273576e-15 14536),(-0.00297753279981 14682),(-3.5527136788e-15 14846),(-7.9936057773e-15 15032),(-1.50990331349e-14 15195),(-2.13162820728e-14 15366),(-1.7763568394e-14 15545),(-2.30926389122e-14 15707),(-1.42108547152e-14 15883),(-6.2172489379e-15 16071),(-0.00189100647822 16251),(-1.24344978758e-14 16396),(-3.37507799486e-14 16568),(-7.1054273576e-15 16730),(-1.42108547152e-14 16891),(-1.7763568394e-15 17048),(-8.881784197e-15 17197),(-5.3290705182e-15 17359),(-0.00607116173839 17533),(-1.06581410364e-14 17689),(-3.5527136788e-15 17835),(1.7763568394e-15 17977),(0.0 18118),(7.1054273576e-15 18252),(-3.5527136788e-15 18395),(-7.9936057773e-15 18543),(-2.6645352591e-15 18708),(-1.7763568394e-15 18861),
Point1,H1,(27.1013916859 44),(23.4126885491 213),(25.8836486748 385),(25.6932028059 562),(26.0442189133 742),(23.3813357556 915),(26.4180242874 1076),(26.24446413 1252),(26.5244228172 1441),(24.4943771261 1617),(26.5244159231 1798),(24.6448110664 1987),(24.5813658684 2152),(25.8036537183 2335),(23.4365401107 2510),(22.1848142018 2658),(15.0119109246 2833),(18.399792883 2922),(20.1081551702 3008),(22.8421479043 3153),(24.1375494096 3314),(25.1605140913 3473),(24.7702867152 3640),(23.9908095966 3801),(25.9202551638 3961),(25.6869428965 4141),(24.4943236715 4322),(21.6800725275 4492),(23.72835875 4659),(23.2652812613 4835),(23.0163238063 4996),(24.1256809289 5170),(23.9299113865 5330),(25.2214783237 5504),(24.0472922523 5683),(25.9431859975 5862),(23.7139639526 6040),(23.3178237963 6210),(23.679555195 6369),(26.5864573339 6535),(25.3235252114 6719),(23.0557885805 6885),(25.2663986775 7054),(25.4600687129 7231),(24.236841315 7410),(23.9812834833 7570),(26.7703357865 7742),(25.0710528319 7922),(24.4594908935 8084),(23.5573762405 8260),(27.1718717879 8436),(26.8662721367 8613),(27.4820976316 8789),(26.3299111075 8964),(23.6288155093 9124),(24.5824661076 9267),(26.8937551106 9429),(27.7142562215 9600),(26.615610858 9770),(24.4484176109 9937),(26.7605126911 10100),(26.596855994 10269),(27.3314491648 10436),(21.1825594417 10604),(17.285233098 10763),(21.9036301477 10902),(24.8727976399 11058),(23.9174097411 11209),(25.6060195202 11372),(24.2208492127 11527),(26.533719967 11685),(25.6243714132 11854),(24.3793161709 12011),(25.8634286216 12178),(24.3655666523 12345),(25.2619188183 12518),(24.1784557251 12690),(21.9035281878 12837),(23.7862845972 12996),(20.5779456996 13154),(20.4113156455 13329),(21.0779549098 13507),(23.1163124555 13689),(23.1645530992 13878),(22.3783904275 14051),(25.0997638545 14226),(24.7744395214 14399),(22.1735901577 14564),(19.7935877785 14709),(24.0220810623 14883),(18.1896208034 15058),(19.1420517308 15226),(23.0130557884 15396),(24.302694807 15573),(23.53755212 15735),(24.4438395841 15913),(26.9289264807 16099),(28.2516764392 16280),(24.4944093918 16430),(29.1848944919 16597),(24.5080753649 16759),(21.701269307 16924),(22.1159413524 17076),(17.3108146122 17233),(20.5977539542 17394),(17.099894179 17564),(17.797372449 17717),(20.1331043467 17869),(20.3009131525 18005),(21.3116058023 18147),(21.0577430541 18288),(18.8806338251 18426),(21.1460563915 18579),(23.5221186737 18739),(19.5773817175 18895),
Point1,H2,(14.4496397634 71),(11.0198632506 260),,,,(10.1765021385 953),(4.7524694495 1176),(5.06481705008 1345),,(5.16639722446 1717),(7.50911461811 1887),,(13.2450052843 2192),,(11.6383388072 2541),(11.8796832326 2703),(10.0762026246 2850),,(8.11887682679 3044),,,,(11.4632702933 3683),,(11.8654138902 4003),(2.5231661542 4246),,(9.40676992773 4526),,,,,(4.47890878019 5414),,,,,,(12.0326874806 6406),(13.4722948605 6577),,,,,,,,,,(11.7361166211 8309),(10.5320034153 8482),(13.3307332925 8657),(13.7428108299 8835),(11.4639070994 9007),(10.0130998237 9163),(10.1802029525 9312),(13.4630837165 9476),(7.36378615051 9686),(12.8079124293 9809),(13.1466047235 9966),(13.6085729653 10145),,(19.4038963272 10480),,(8.29258378869 10795),(3.01786439494 10992),,(14.1106726884 11252),(14.7626906314 11410),(13.0522108919 11566),,(14.7151031288 11889),(13.3351726444 12047),(8.75698136165 12259),(15.7394135492 12385),(15.0092794444 12559),,(11.3899239067 12878),,,,,(15.4799221409 13729),(15.2770146155 13920),,(8.25826986214 14308),(15.0854907907 14431),(11.1506478547 14606),(10.7093044605 14753),,,(12.6835467403 15264),(13.0652265231 15442),(13.4389357774 15618),(14.1076991944 15775),(14.1493674737 15954),(15.0497901751 16146),(6.6032478083 16368),(13.2384524379 16463),(16.3692095411 16640),(14.2017061883 16800),(13.1278872521 16965),,,(8.37950922699 17476),(10.7357199294 17600),(9.45055495061 17760),(11.6146471743 17903),(9.88085052772 18048),(10.3264048863 18190),(12.0252615849 18320),(11.3769865048 18466),,,
Point1,H3,(15.8233697855 85),(11.0336524709 263),,,,(10.2174558606 958),(4.75432657146 1177),(5.32082201103 1354),,(5.23525004564 1723),(7.53442264793 1891),,(13.4960068842 2200),,(11.7771055606 2548),(12.8647058237 2716),(12.5502049174 2866),,(8.34384360952 3054),,,,(11.7441963252 3692),,(11.9231931011 4009),(2.54713997953 4251),,(9.47174654904 4532),,,,,(4.50044118387 5418),,,,,,(12.0395931474 6409),(14.2151195585 6588),,,,,,,,,,(11.737213377 8310),(10.8361155548 8490),(13.3848852751 8662),(13.7497850854 8838),(11.7084286409 9016),(10.6481957688 9174),(10.2715530414 9319),(13.4704490651 9479),(7.37649828084 9689),(13.4267005023 9820),(13.1674980991 9970),(14.2333240628 10155),,(19.4349319702 10485),,(9.2746997017 10808),(3.08873479447 10998),,(14.1318555147 11256),(14.8229046447 11416),(13.5973510152 11577),,(14.8602874144 11898),(14.2116623362 12059),(8.84746766696 12265),(15.8899520171 12392),(15.4998887642 12569),,(11.4850096513 12885),,,,,(16.1628119133 13741),(15.6536501333 13929),,(8.3492791333 14314),(15.2481100368 14441),(11.4177624446 14615),(11.0743382487 14763),,,(12.9198941269 15273),(13.8043443605 15453),(13.7287873795 15626),(15.8098609446 15790),(14.2666823609 15964),(15.1498494943 16152),(6.70422752165 16373),(13.9694518893 16476),(16.9377321887 16651),(14.6393952043 16811),(13.1322945457 16968),,,(8.50820843258 17483),(10.8777976372 17609),(9.85116428184 17771),(11.8779941683 17912),(10.0221296695 18055),(11.2054733753 18202),(12.0891071274 18326),(11.5301086095 18474),,,
Point1,H4,(-0.0271949006624 159),(1.20621821061 319),(2.21580112948 498),(3.04657501471 687),(0.505886861085 866),(4.20270354528 1001),(2.60043920223 1199),(2.92339004424 1376),(3.29363744252 1550),(2.86102521252 1747),,(3.94188183947 2093),(3.98372236353 2270),(5.35960828012 2446),,(6.48825857689 2759),,,(2.11790763211 3087),(1.04277194072 3244),,(3.00076511232 3580),(4.15539419498 3743),(3.79177989812 3903),(3.74052786587 4077),(0.283308879294 4272),(1.46001103962 4429),(1.90951104417 4605),(1.5578604177 4784),(2.5568686492 4942),,,(3.35966348089 5437),(2.15501161653 5616),,(5.32528963835 5982),,(2.87886906954 6300),(3.42556223713 6480),(3.62162346001 6655),(3.88690850102 6831),(3.32013210987 6989),(4.56887872161 7165),,,(4.72026066866 7676),,,(0.948516713701 8205),(4.33813255805 8386),,(3.21323411209 8738),(5.57931628468 8888),,,(3.96297855028 9375),(4.78895723666 9534),(4.59848904041 9711),(4.47660666976 9871),(4.55253516256 10026),(5.43586639277 10205),(2.72911737983 10365),,(-0.103703083992 10689),(3.65262331908 10845),,(4.22627809178 11149),(4.5757472844 11310),(5.77280613327 11470),,(5.72870948839 11789),(5.67913459967 11950),(3.77582418889 12110),(4.65951325742 12288),,,,,,(3.01680901952 13261),(4.764912157 13438),(4.10377640675 13631),(5.62548556027 13823),,,,,,,,,,,(5.1680225035 15678),(5.9238661918 15855),,(5.25985797838 16222),,(3.08839010498 16544),(6.01962235692 16705),(5.66993777456 16862),,(3.80563963558 17165),(6.00255777047 17326),(5.81097861041 17506),,(4.44015916776 17809),,,,(3.448347727 18366),,,,
