Cycle,0.778069852941
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.60621314487 78),(8.36997522762 247),(7.67873951911 415),(8.39208025785 602),(6.25108474774 752),(8.46393817236 902),(4.01897042517 1104),(10.3739148171 1233),(7.59864997542 1443),(8.80997638892 1584),(6.52826949151 1774),(10.9282411132 1893),(9.72662466973 2031),(7.12635860462 2238),(8.87912454909 2432),(8.52815863353 2599),(8.00432175132 2764),
Point0,H2,(6.3255488918 108),,(7.01589939713 433),(-0.00457953055948 647),(5.27136717722 767),(-0.0928791030811 943),,,(0.0 1478),(-6.2172489379e-15 1620),,,,,,(-2.6645352591e-15 2635),,
Point0,H3,(6.63151540836 122),,(7.60899277681 451),(3.73621666541 677),(6.1951950428 782),(1.91247070803 976),,,(6.04342455431 1522),(3.87028108532 1669),,,,,,(5.44321501376 2681),,
Point0,H4,,,(-1.06581410364e-14 490),(3.66115507814 684),,(1.5411431332 991),,,(5.38052477274 1534),(3.81321166119 1678),,(-0.00784772385805 1937),(8.77740893634 2057),,(0.0 2467),(4.77773048704 2707),,
Point0,H5,,,(5.43309603833 531),(5.63703380437 715),,(1.9046471124 1006),,,(7.13406833918 1553),(4.00421891593 1696),,(8.9007806462 2002),(9.68112482846 2081),,(8.2242543799 2559),(6.67941394264 2737),,
Point0,H6,(-1.24344978758e-14 161),(-1.24344978758e-14 329),(-1.06581410364e-14 490),(-0.00457953055948 647),(-7.9936057773e-15 816),(-0.0928791030811 943),(-0.0346160775644 1053),(-0.176896893123 1137),(-0.0102779810522 1315),(0.0 1478),(-6.2172489379e-15 1620),(3.64488880174 1726),(-0.0116153356691 1816),(-0.00784772385805 1937),(-0.00631628674901 2135),(1.7763568394e-15 2301),(0.0 2467),(-2.6645352591e-15 2635),(4.4408920985e-15 2795),
Point1,H1,(11.2964659532 41),(9.04402598684 203),(9.17881291114 361),(8.76709957484 533),(9.03353879531 685),(9.14904512412 857),(6.61202135618 983),(11.0713946253 1176),(10.6402525013 1356),(8.54733436119 1518),(7.94226695126 1656),(8.07383315687 1848),(6.20211854646 1982),(8.11807873011 2169),(7.43068442346 2337),(7.82563254888 2502),(6.73112149666 2674),(6.52950060855 2832),
Point1,H2,,,,,(5.93751213879 715),,,(6.17130611052 1225),,,,,,,,(3.9944377841 2567),,
Point1,H3,,,,,(5.95874060167 721),,,(6.17636385422 1228),,,,,,,,(3.9988516196 2570),,
Point1,H4,,,(4.23535208654 409),,(2.14252785292 782),,,(4.15475152364 1256),,,,,(0.253624789238 2119),(1.04529273704 2272),(4.27111026643 2376),(1.60778682377 2603),,
Point1,H5,,,(4.50114737647 424),,(2.20986175968 790),,,(4.23924680705 1264),,,,,(0.265562540028 2124),(1.30747918782 2285),(4.34109679997 2383),(1.65268608235 2610),,
Point1,H6,(-1.7763568394e-15 158),(5.3290705182e-15 328),(3.99680288865e-15 490),(-8.881784197e-16 638),(-0.00574519240092 816),(-0.0051653894167 946),(-0.00269525069523 1134),(4.4408920985e-15 1311),(7.54951656745e-15 1483),(1.24344978758e-14 1620),(5.3290705182e-15 1810),(2.6645352591e-15 1939),(-2.6645352591e-15 2136),(-1.7763568394e-15 2303),(8.881784197e-16 2465),(-0.00171986945453 2637),(3.10862446895e-15 2800),
Point2,H1,(22.5963685699 38),(18.7025028132 200),(17.0790235594 362),(17.6535473988 526),(18.43811629 673),(17.2846689355 855),(13.8626023049 982),(20.6699212669 1177),(19.8646709598 1353),(18.4693638218 1516),(15.3334275671 1656),(16.6712777816 1847),(14.9110868837 1980),(16.6519369985 2169),(14.8404387571 2336),(15.1960119235 2506),(14.2912713125 2671),(12.9459431378 2833),
Point2,H2,,,(6.95751886983 412),,,,(5.1547960915 1016),,,,,,,,,,,
Point2,H3,,,(6.99779900267 419),,,,(5.69576241735 1028),,,,,,,,,,,
Point2,H4,,,(2.33906536873 467),(1.51441869195 610),(3.62232746244 785),,(1.20747899225 1088),(2.53881250956 1286),(2.30084164205 1460),,(5.92167177864 1732),(3.04078586205 1904),(8.43419859337 2011),(2.12214522942 2277),(6.05895659816 2382),(5.3505358779 2554),,
Point2,H5,,,(2.64516730629 477),(2.23899004031 623),(3.67504123327 791),,(2.19488305551 1117),(2.68138864463 1294),(2.50562067365 1469),,(6.03271373966 1743),(3.08563406203 1911),(8.63840710143 2020),(2.17553091639 2284),(6.07137718026 2386),(5.40777726209 2560),,
Point2,H6,(-3.5527136788e-15 160),(7.1054273576e-15 327),(1.24344978758e-14 495),(7.1054273576e-15 639),(-0.00426759651078 817),(-2.6645352591e-15 945),(-0.00983753133254 1135),(1.06581410364e-14 1313),(6.2172489379e-15 1486),(6.2172489379e-15 1617),(3.5527136788e-15 1810),(-2.6645352591e-15 1938),(8.881784197e-16 2137),(-2.6645352591e-15 2302),(-5.3290705182e-15 2466),(0.0 2636),(-0.000388026355719 2800),
