Cycle,0.801627906977
Average Width,8.59731086039
Width,,6.84643431426,6.18849794174,7.17691272758,7.1969322859,6.84327595168,6.94585066103,7.30848999045,8.12624617027,7.00580387912,7.92650354219,7.99341939523,8.80950617573,7.9146940801,7.82079827845,7.82415968893,7.53292856339,7.32415584004,8.0660809921,7.66963876029,7.94082427537,8.03119338425,8.07799694324,8.68644058086,9.5320647129,8.26359078765,9.16482888023,9.77472231437,9.31032120827,8.92377597817,8.88704017842,9.52420637453,9.12219920588,9.34579356536,8.80970931618,8.901668782,9.64217837514,10.9619422904,9.70547289485,10.0036197318,10.0361203662,9.49535018349,10.4411891799,12.1701496023,11.0089495069
Point0,H1,(8.5938814466 56),(7.42887745961 204),(8.4125473941 388),(8.43558384749 546),(7.12122698832 684),(6.67353410817 828),(6.94909549261 1003),(6.65811879887 1161),(7.54590491482 1323),(6.16577288273 1498),(6.60068234456 1625),(7.98681449477 1814),(6.85601830861 1979),(6.74208666699 2163),(5.90427868791 2312),(5.00771913875 2460),(5.54557979395 2633),(5.25085209481 2797),(7.52299190393 2959),(5.43817590123 3160),(6.6806322345 3304),(6.48508463302 3460),(6.20230127225 3637),(8.31151392645 3818),(6.81174153417 4001),(5.99579799725 4153),(8.36145576188 4315),(5.87871109879 4473),(5.33046214272 4648),(4.74164744373 4744),(5.95854672275 4955),(6.50828545559 5131),(6.70427149437 5306),(5.5805618485 5434),(6.76224361549 5579),(5.22735620868 5782),(6.23538338609 5953),(5.63959767235 6118),(6.60319642711 6282),(5.78228456161 6440),(4.68344326224 6586),(5.8793447587 6775),(6.15072415378 6915),(6.07667106998 7097),
Point0,H2,,,,,(5.99794088255 700),(6.10354632216 841),,,(6.29162123848 1341),,,(6.59272512525 1841),,(4.59836363238 2195),,(3.84055684877 2479),(4.34118247934 2648),(2.07960404641 2870),,,,,,(1.37759359356 3925),(1.25506771487 4058),,(7.32543904784 4330),(0.771307020652 4551),,(3.32826948053 4762),(0.0973899850405 5046),(2.76366766463 5177),,(4.92482377095 5447),,(0.301409718704 5864),(5.32666526055 5980),(0.267085901564 6200),(5.51930471225 6296),(4.70987287297 6456),,(3.86804387781 6798),(3.5527136788e-15 6992),,
Point0,H3,,,,,(6.03589879252 705),(6.4751555545 853),,,(6.36308164835 1348),,,(6.59296510887 1842),,(4.60112935608 2198),,(4.32860679646 2506),(5.17182556746 2662),(2.15112463249 2881),,,,,,(1.50493417117 3935),(1.47113186671 4068),,(7.6211614861 4341),(1.1636034092 4564),,(3.83926132081 4775),(0.7951361155 5065),(2.95109561455 5187),,(5.47005514008 5459),,(0.56400709883 5876),(5.33283892737 5985),(0.868317455008 6216),(6.00503563565 6308),(5.08445728811 6467),,(4.61362482699 6818),(1.03722477885 7012),,
Point0,H4,,,,(1.11557181026 628),,,(7.1054273576e-15 1103),(2.53501874233 1229),(1.89688724868 1419),(2.31934840442 1546),,,,,(3.17748528967 2358),(-0.000620137829555 2582),(3.21359187885 2685),(1.13722710687 2902),,(1.0356578858 3213),(1.33226762955e-15 3406),,(-0.00082823047727 3722),(-0.00619523020566 3954),(0.561759911295 4089),(-3.10862446895e-15 4258),(1.07276800724 4408),(6.2172489379e-15 4583),,(-0.00216655384561 4875),(0.444534992176 5080),(1.61522277017 5207),(0.12984804647 5383),(-0.00311983677343 5514),,(-2.22044604925e-15 5891),(0.507281765643 6053),(0.50172697257 6229),,(0.185526920867 6534),,,(0.147870219722 7029),,
Point0,H5,,,,(1.81482580484 642),,,(6.03105957655 1133),(2.59484934501 1238),(2.11462429429 1433),(2.44382109805 1555),,,,,(3.97870919188 2374),(0.14388182454 2595),(3.2363954662 2690),(1.37150806092 2913),,(1.12599019983 3223),(6.45715217504 3435),,(1.42571429134 3759),(6.46748217475 3984),(0.609846811876 4096),(1.96847730116 4278),(1.1483326854 4416),(5.12231082988 4616),,(0.430053653631 4898),(0.546048940661 5089),(2.26499556042 5224),(0.304580470746 5395),(0.462544436703 5536),,(1.11404395472 5908),(0.901510688203 6066),(0.911138525156 6242),,(0.534795881463 6548),,,(1.08423037975 7046),,
Point0,H6,(8.881784197e-16 171),(-3.5527136788e-15 338),(-0.00513165301454 498),(-2.6645352591e-15 658),(5.3290705182e-15 800),(-0.00345031820863 969),(7.1054273576e-15 1103),(1.7763568394e-15 1296),(7.54951656745e-15 1471),(-6.2172489379e-15 1596),(-0.0134523218829 1745),(-0.00261317159586 1946),(1.33226762955e-15 2113),(8.881784197e-15 2273),(4.4408920985e-15 2433),(-0.000620137829555 2582),(4.88498130835e-15 2738),(-5.3290705182e-15 2929),(-3.99680288865e-15 3107),(1.33226762955e-15 3261),(1.33226762955e-15 3406),(-2.6645352591e-15 3571),(-0.00082823047727 3722),(-0.00619523020566 3954),(-3.33066907388e-15 4114),(-3.10862446895e-15 4258),(-4.4408920985e-16 4434),(6.2172489379e-15 4583),(1.7763568394e-15 4715),(-0.00216655384561 4875),(0.0973899850405 5046),(-3.5527136788e-15 5103),(-0.00389610296054 5265),(-0.00412891887668 5406),(-0.0667327661805 5550),(-0.0047616952206 5656),(-0.0603287442262 5719),(-2.22044604925e-15 5891),(3.99680288865e-15 6082),(0.267085901564 6200),(7.54951656745e-15 6256),(-0.00920533910634 6397),(-2.44249065418e-15 6561),(-0.000737041181779 6738),(-0.00388001171339 6867),(3.5527136788e-15 6992),
Point1,H1,(14.4375106764 53),(13.7403018244 202),(13.7207181771 366),(14.7166809586 537),(13.0442838966 683),(11.8613826248 830),(12.5101273419 1002),(12.2965397133 1155),(14.046150861 1322),(10.7388774034 1497),(11.8231814262 1626),(12.5551868253 1817),(12.3167171692 1978),(12.4758348514 2139),(12.0298564381 2312),(10.6692601253 2459),(12.0254419504 2633),(10.5962373979 2778),(12.9401821653 2962),(10.9024988986 3140),(11.7185741424 3303),(12.1927015754 3433),(12.0261437965 3640),(13.4261571059 3817),(12.3238918205 3984),(11.6857300971 4149),(13.4866698064 4316),(11.6929930486 4468),(10.4735555319 4620),(10.1584302159 4745),(11.8513046744 4951),(12.6823815596 5129),(12.3786879517 5306),(11.2512681695 5434),(12.1163218642 5577),(11.4312070774 5784),(11.7114803464 5956),(10.6150496054 6117),(12.1877631251 6282),(11.3927523348 6441),(9.98390965941 6588),(11.3345025143 6775),(10.5674489917 6907),(11.3702633066 7097),
Point1,H2,,,(13.3947599553 376),,,,(10.513024291 1021),,(12.1370170693 1337),,(5.47584108206 1675),,,,,(9.07661706502 2474),(9.92098648817 2649),(1.92104475964 2879),,,,,,,,(1.07959817875 4232),(12.5792831867 4328),,,(5.25370792038 4792),(9.20128168357 4968),(2.65819563633 5210),,(3.86898587409 5481),(-4.4408920985e-15 5684),,,(-0.0453108360517 6208),,,,,(0.32047036746 6991),,
Point1,H3,,,(13.4999424357 383),,,,(10.5164483278 1023),,(12.4289640717 1346),,(5.49038576959 1679),,,,,(9.23588399964 2482),(10.3184811417 2658),(1.92238705602 2882),,,,,,,,(1.62200065617 4243),(12.7726616348 4336),,,(5.44516511649 4801),(9.92225428406 4979),(2.80281362839 5219),,(4.08560088794 5490),(1.01742608535 5701),,,(0.0169758368457 6217),,,,,(1.03724551092 7009),,
Point1,H4,,,,(1.74285191468 628),(1.91206889339 775),,(-4.4408920985e-15 1103),,(1.56352885956 1429),,(0.609172928185 1743),(-0.00357734658335 1931),(-8.881784197e-15 2084),,(2.19548663761 2408),,(6.29213258153 2685),(1.40040702268 2901),(1.19375023497 3064),(1.15781935963 3235),,,(0.412375412941 3724),(2.41749609276 3900),,(-3.5527136788e-15 4260),(1.30658029157 4407),,,(0.738528716492 4877),(0.405705559533 5055),(2.22741421135 5237),(0.794625524946 5381),(0.0504373958198 5529),(0.317093216011 5715),(-7.9936057773e-15 5888),(0.708198696015 6049),(-0.0033802289896 6223),(-0.00497242268767 6376),,(1.05140973921 6702),,(7.9936057773e-15 7028),,
