Cycle,0.877619047619
Average Width,3.20155926222
Width,,3.39930099314,3.07407478644,3.07642231901,3.10962108039,3.09136312875,3.11399631906,3.14309301358,3.10737176643,3.17287178483,3.20587577877,3.09473374812,3.14800518634,3.28510479336,3.41532011172,3.29696304683,3.22676853413,3.2418001857,3.28630257583,3.39703514778,3.33933519143,3.25992291083,3.15689964756,3.36626451515,3.26935528679,3.3287265261,3.07397543147,3.23960113936,3.17380505735,3.21032266917,3.20797383736,3.17963091581,3.13814446264,3.09051009647,3.01134548962,3.22065082579,3.16977643319,3.17430717017,3.28304719507,3.02209101835,3.01595697767,3.14629705902,3.19373114578,3.11320288608,3.12285750406,3.23797128671,3.34973267376,3.34141200151,3.10033181506,3.19907163072,3.45568801099
Point0,H1,(10.3162451413 98),(9.21641527513 279),(9.08794810243 474),(9.08977335341 648),(9.57168132707 823),(10.0446823384 1001),(10.6985928116 1192),(9.40021527548 1369),(11.7456550551 1546),(13.0526262591 1722),(10.7172600983 1896),(10.5609154092 2074),(11.3249230297 2245),(12.0682506704 2442),(12.0497742168 2613),(11.9172442301 2788),(11.7674093624 2966),(12.4262265134 3145),(12.9231883681 3337),(13.9734264301 3509),(12.7692171243 3687),(11.9672733921 3881),(13.7054720524 4059),(14.136829619 4230),(13.8364679684 4405),(11.9364454768 4584),(14.0443347 4774),(13.4643885629 4950),(13.2688116787 5126),(14.1327508049 5306),(15.1060141068 5496),(16.0171731564 5671),(15.7339614429 5846),(14.3908069852 6024),(15.8352617233 6199),(14.6513844435 6376),(15.1567471047 6553),(16.4121316069 6744),(15.1594501347 6920),(14.4374629104 7096),(15.3927307847 7274),(16.4892615299 7449),(14.6799742866 7621),(13.5714698793 7798),(15.0253297293 7977),(14.6447089342 8171),(14.2297403696 8347),(12.3257804625 8519),(13.7643921587 8693),(15.0399155991 8887),
Point0,H2,,(2.59520761709 370),,(1.94510121629 724),,,,(5.64312647807 1396),,,,(2.30771403441 2146),,,,(5.38601791525 2836),(11.2909210256 2977),(12.2005088249 3153),,,,,(7.50069336003 4087),(7.49565749557 4277),,(7.00058705792 4628),,,,,,,,,,,,,,,,,,,,,,(3.34833558579 8595),,
Point0,H3,,(2.74505061921 382),,(1.99632349688 731),,,,(5.74895813181 1403),,,,(2.59838925941 2156),,,,(5.41132891412 2841),(11.485666917 2985),(12.3599083651 3162),,,,,(7.73411483013 4097),(7.52128972671 4281),,(7.14229605103 4636),,,,,,,,,,,,,,,,,,,,,,(3.40368539712 8602),,
Point0,H4,,(-7.1054273576e-15 420),,(0.725560384265 753),(2.52502264439 903),(-0.000199698440371 1143),(0.179978110479 1301),(3.40239449789 1427),(1.30966034332 1649),,(0.541459206612 2000),(0.889420103488 2180),,(1.00776109734 2540),,,(1.24617729189 3088),(0.802679864496 3263),(3.06090995917 3413),,,(1.22494678527 3983),,(1.60746091441 4334),(-0.0221283575652 4528),,(2.76359229789 4851),(3.40376650133 5027),,(4.84674434041 5380),(1.80134441014 5599),,,,,,(1.43660627083 6672),,(1.45987358535 7024),,,,(0.0917429230809 7749),,,(1.07320912535 8273),(1.3042446002 8447),(1.26448726271 8627),,
Point0,H5,,(8.81830799247 457),,(0.886878021752 763),(2.53418152717 907),(10.641363486 1177),(0.248575972964 1308),(3.48500298006 1435),(1.43683165358 1657),,(1.01665567052 2013),(0.916896577651 2185),,(1.5725623802 2554),,,(1.4593310276 3098),(1.17059351956 3275),(3.15398497992 3421),,,(1.73805188805 3995),,(1.72383954115 4342),(0.273854308616 4540),,(3.01424151528 4861),(3.48468335914 5034),,(4.86164943797 5384),(2.07577096189 5609),,,,,,(1.53804662177 6680),,(1.89760377466 7035),,,,(0.108241555663 7754),,,(1.1435703795 8281),(1.50483164889 8457),(1.29472863045 8633),,
Point0,H6,(-2.6645352591e-15 236),(-7.1054273576e-15 420),(0.0 601),(1.50990331349e-14 778),(7.1054273576e-15 959),(-0.000199698440371 1143),(6.2172489379e-15 1318),(-1.33226762955e-14 1497),(-7.9936057773e-15 1675),(-0.0013859385641 1853),(1.15463194561e-14 2030),(7.1054273576e-15 2207),(1.15463194561e-14 2393),(1.50990331349e-14 2571),(-2.6645352591e-15 2746),(-1.50990331349e-14 2931),(-1.42108547152e-14 3113),(-1.7763568394e-15 3290),(5.3290705182e-15 3466),(-2.6645352591e-15 3655),(-1.06581410364e-14 3831),(-1.59872115546e-14 4011),(-5.3290705182e-15 4188),(3.5527136788e-15 4366),(-0.0221283575652 4528),(-7.1054273576e-15 4729),(-6.2172489379e-15 4907),(0.0 5087),(7.9936057773e-15 5258),(-6.2172489379e-15 5447),(-6.2172489379e-15 5626),(-7.1054273576e-15 5802),(-5.3290705182e-15 5979),(-1.42108547152e-14 6155),(-1.15463194561e-14 6338),(0.0 6517),(-0.00027018819005 6696),(-7.9936057773e-15 6874),(8.881784197e-16 7051),(8.881784197e-15 7226),(8.881784197e-15 7403),(-0.00508455896049 7580),(-8.881784197e-16 7762),(6.2172489379e-15 7939),(-4.4408920985e-15 8120),(-1.15463194561e-14 8296),(-3.5527136788e-15 8475),(-8.881784197e-16 8651),(0.0 8829),
Point1,H1,(18.8585321561 48),(19.5745743824 222),(19.472272633 398),(19.9202835551 577),(21.3309051927 767),(21.1341457649 942),(22.3320803789 1119),(20.3116465493 1294),(23.3117051021 1488),(24.9093537675 1665),(21.0120206021 1840),(21.9225656146 2014),(21.54219182 2190),(21.4800658608 2369),(22.5395224582 2560),(21.763879126 2734),(22.6018916764 2909),(22.5489489593 3087),(21.9603627388 3277),(22.5842205982 3453),(22.5568331729 3631),(22.1168526208 3807),(22.812695695 3995),(24.2991811642 4175),(22.7570411638 4350),(21.2058846726 4526),(21.5146229245 4718),(22.2929778875 4895),(21.0661576896 5069),(21.6340848329 5246),(22.168719369 5425),(23.0758007728 5617),(22.9328156237 5791),(22.1587614588 5969),(22.505000496 6143),(21.4480644179 6317),(21.53386925 6495),(22.2535967591 6673),(22.886164778 6865),(22.0750910968 7040),(21.8296530759 7214),(22.7948298828 7392),(21.5467902951 7566),(20.9478160834 7742),(21.3328000475 7919),(20.3083397034 8112),(20.2836849127 8289),(20.0071732978 8463),(21.4706434669 8640),(20.8915203787 8816),
Point1,H2,,,(7.81804804771 446),,,,,,,,,,(8.33222077969 2238),,,,,(21.8662731035 3098),,,,(21.0817052388 3820),,,,,(5.18763599349 4796),,,,(21.7254741238 5435),,,,,,(9.26067588933 6541),(21.9323795563 6682),,,,,,,(9.25416446363 7969),,,,,
Point1,H3,,,(7.88057063089 451),,,,,,,,,,(8.42800658806 2244),,,,,(21.924970742 3103),,,,(21.0930308024 3822),,,,,(5.25271525371 4802),,,,(21.7290787114 5437),,,,,,(9.36812982056 6547),(21.9524002672 6685),,,,,,,(9.25434443455 7970),,,,,
Point1,H4,,(3.76218284508 302),(1.78476787911 520),,,(8.1585074499 990),(1.26185151922 1242),,(1.94544204998 1591),,(1.70069473464 1945),(4.58303382869 2092),(0.834848076284 2312),,(2.23425120082 2666),,(1.48722750347 3036),(1.85238583069 3210),(2.50344064721 3383),(-8.881784197e-15 3577),,,(1.94320654294 4101),(5.11709450563 4252),(0.9394644147 4472),,(3.2067102494 4823),,,,(2.43638315388 5544),(2.32881164152 5723),(3.24124892304 5896),,(0.0892076295048 6270),(4.41633515805 6396),(1.69476700457 6615),,(2.48050361863 6968),(2.09407514055 7143),(2.99935704999 7316),,(8.27181270153 7613),,(1.91869922906 8039),(1.54587656002 8215),(2.38254812136 8391),(2.40335748636 8568),,
