Cycle,0.86875
Average Width,0
Width,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(21.0325768276 116),(7.77458023133 347),(11.0716209447 456),(11.0142934711 704),(12.4775452648 882),(11.6358239009 1046),(16.6051167157 1247),(12.0667464013 1422),(11.8423436652 1598),(10.9544431692 1778),(13.9471387986 1929),(13.2829920467 2118),(11.8996719137 2319),(11.7418314337 2496),(10.3109421561 2673),(12.1642473885 2816),(10.9143391959 3039),(10.986160247 3216),(10.7176608426 3390),(11.5211826174 3576),(10.4028255163 3758),(11.4960724568 3937),(10.5147842536 4111),(9.37721131798 4245),(12.4031745181 4456),(6.01179006458 4658),(14.3450841293 4778),(9.80027052433 5008),(11.6786348284 5198),(9.30497014137 5368),(10.680964126 5552),(10.931103547 5728),(9.886036545 5906),
Point0,H2,,,,,,,,,,,,,(0.529092116623 2347),,,,,,,(9.7699626167e-15 3612),,,,(8.67469966641 4271),,,,,,,,,,
Point0,H3,,,,,,,,,,,,,(1.06854372371 2357),,,,,,,(6.70298737855 3659),,,,(8.91259370255 4293),,,,,,,,,,
Point0,H4,(-0.0895836153132 209),(-0.0326154133505 378),,(-0.00833509461897 749),(2.13162820728e-14 927),,(-0.000328609675666 1289),(-2.84217094304e-14 1470),,(9.7699626167e-15 1821),,,(-1.15463194561e-14 2369),(4.4408920985e-15 2543),,,,,(3.28626015289e-14 3436),(6.51071362543 3667),,(1.06581410364e-14 3983),,(-0.00286667487515 4334),,,(11.7831151329 4819),(9.7699626167e-15 5054),,(1.06581410364e-14 5404),(7.9936057773e-15 5601),(-3.5527136788e-15 5774),,
Point0,H5,(2.83245326415 233),(9.2961228375 426),,(11.3886339696 857),(11.1540290871 1014),,(11.9066780285 1390),(11.6054304135 1575),,(12.506344934 1900),,,(11.1747761192 2465),(7.98293318692 2616),,,,,(11.460692725 3565),(9.64756263121 3734),,(9.44417723691 4060),,(10.9736388226 4422),,,(12.5796770501 4831),(10.2729574342 5173),,(9.98683978008 5521),(8.90460106128 5673),(9.31297411296 5876),,
Point0,H6,(-0.0895836153132 209),(1.1990408666e-14 279),(-0.0326154133505 378),(-2.6645352591e-15 556),(-0.00833509461897 749),(2.13162820728e-14 927),(2.30926389122e-14 1104),(-0.000328609675666 1289),(-2.84217094304e-14 1470),(-3.81916720471e-14 1644),(9.7699626167e-15 1821),(2.84217094304e-14 1997),(-0.00573063353283 2171),(-1.15463194561e-14 2369),(4.4408920985e-15 2543),(-0.00675672653799 2715),(-3.19744231092e-14 2891),(-0.0025556057849 3072),(7.1054273576e-15 3262),(3.28626015289e-14 3436),(9.7699626167e-15 3612),(1.15463194561e-14 3789),(1.06581410364e-14 3983),(-1.7763568394e-15 4153),(-0.00286667487515 4334),(-0.99269910302 4528),(-0.110986263797 4606),(-0.347901554675 4683),(-0.0265244758743 4878),(9.7699626167e-15 5054),(1.86517468137e-14 5229),(1.06581410364e-14 5404),(7.9936057773e-15 5601),(-3.5527136788e-15 5774),(1.06581410364e-14 5950),
Point1,H1,(20.915567018 154),(17.5072083668 339),(15.1883831562 521),(18.9043630418 700),(20.0487054907 876),(18.7773047548 1064),(23.4782056679 1243),(17.83212937 1418),(18.5667628459 1595),(18.0617368533 1773),(19.4733111215 1935),(18.3804632389 2115),(17.6668814651 2312),(18.4620278599 2490),(16.5240749727 2667),(18.6732572875 2845),(17.5695392578 3033),(17.2373857117 3211),(17.2226277909 3386),(18.2213755122 3568),(16.5898062795 3754),(18.18933 3931),(16.9319154402 4108),(16.1115600211 4288),(16.7043473956 4473),(14.4496290776 4651),(17.703301809 4828),(16.3085695123 4997),(16.856568717 5191),(14.455799154 5368),(16.9739585937 5547),(17.8114862021 5723),(16.2723310415 5900),
Point1,H2,,,(-2.84217094304e-14 551),,,(8.881784197e-15 1097),,,,,,,(0.773795875412 2343),,,,,,,,(8.881784197e-15 3787),,,(-7.1054273576e-15 4329),,,,,,(-1.42108547152e-14 5400),,,,
Point1,H3,,,(0.984778125207 564),,,(10.4912340538 1143),,,,,,,(1.21809301538 2351),,,,,,,,(9.77425309749 3828),,,(14.0861085836 4417),,,,,,(8.20248625845 5447),,,,
Point1,H4,(-0.00782203048028 198),,(0.948345358367 568),,(-1.06581410364e-14 921),(10.4626297838 1146),(7.1054273576e-15 1286),(-5.3290705182e-15 1466),(2.6645352591e-14 1641),,,,(5.3290705182e-15 2364),(-1.7763568394e-15 2537),,,(-0.00580617315001 3065),,,(-1.7763568394e-15 3608),(9.25717636647 3838),(-1.06581410364e-14 3979),,(13.675524195 4429),,,,,(-0.00798788937223 5226),(8.17381950023 5451),,,,
