Cycle,0.720175438596
Average Width,4.49942527233
Width,,3.81583219776,4.06276729077,4.26325895734,4.02697945128,4.28268067296,4.0485004433,4.73271233183,4.35752989621,3.930317708,4.31190581956,5.02659397755,4.75625229872,4.52900950512,4.72535203221,4.27411295886,5.23546377022,5.4993789144,4.42829718941,4.70037727624,4.98118275495
Point0,H1,(8.04636294576 26),(9.03420416747 184),(10.8177037735 331),(9.67674484133 480),(11.2277225489 635),(9.71854421245 782),(11.1895683252 936),(10.1960439726 1083),(10.1560651745 1241),(11.8352960006 1389),(13.1538401067 1546),(12.7530347784 1697),(13.520753618 1850),(13.8858320302 2006),(10.8362423037 2155),(12.846921899 2311),(12.1256435016 2459),(11.3904145087 2616),(11.3921145091 2769),(11.9325473698 2921),
Point0,H2,,,,,(1.63058138986 701),(5.8174863812 821),,,,(4.75908451491 1432),,,,(6.95984071626 2038),,,,(2.80977839982 2686),,
Point0,H3,,,,,(1.77262420784 710),(5.87405653744 828),,,,(4.89659995574 1441),,,,(7.00120062569 2044),,,,(2.81653461574 2689),,
Point0,H4,(2.70337298186 67),,(1.34294899708 423),(0.690696547717 563),(0.677836697067 728),,(0.69595888722 1029),(0.143543199714 1170),(1.43282419597 1337),(0.856966041013 1477),(0.264347368095 1638),(2.16311951199 1781),(2.8985705516 1939),,(1.68428199125 2243),(2.68333397584 2406),(4.89045996445 2507),(1.26227656642 2712),,
Point0,H5,(2.73900674254 75),,(2.42315938219 436),(2.78166219553 583),(1.04326943039 739),,(1.11812592905 1042),(1.0697765796 1188),(1.70694978259 1346),(0.890113509492 1483),(0.665784755422 1651),(2.31258043068 1790),(3.41003118826 1952),,(1.78623479702 2252),(2.68474393065 2408),(4.9277769267 2512),(1.49886436856 2722),,
Point0,H6,(-0.00684023300862 141),(8.881784197e-15 300),(4.4408920985e-15 452),(7.1054273576e-15 606),(7.1054273576e-15 753),(4.4408920985e-15 898),(1.7763568394e-15 1056),(-0.00355403271749 1205),(-1.7763568394e-15 1361),(0.0 1514),(0.0 1663),(1.06581410364e-14 1819),(5.3290705182e-15 1973),(7.9936057773e-15 2127),(0.0 2274),(-1.7763568394e-15 2433),(-1.7763568394e-15 2577),(1.7763568394e-15 2738),(2.6645352591e-15 2884),
Point1,H1,(16.9944789571 26),(15.6555643125 182),(16.793382129 331),(15.0112870775 481),(17.4505392941 634),(15.8143175472 782),(14.8863767825 935),(14.3228579956 1083),(16.634239839 1239),(16.1038744276 1389),(16.4746301764 1544),(16.9387218005 1695),(17.1444051761 1849),(17.5366920587 2005),(15.3054908756 2155),(15.3202387657 2310),(14.2931080165 2459),(15.6640229926 2616),(14.5016610427 2765),(15.1139011639 2919),
Point1,H2,,,,,(4.61217271124 699),,,,,,,,,,(6.31167362674 2195),(2.62439510797 2385),,(5.83677323858 2660),,
Point1,H3,,,,,(4.66764840855 705),,,,,,,,,,(6.32710202688 2199),(2.65846560212 2391),,(5.8845952665 2666),,
Point1,H4,(5.93826365571 73),,(3.13061657002 422),(0.268698826917 586),(1.5528830712 728),,(1.0356583425 1027),(2.18811744704 1172),(3.0127531188 1335),,(2.21375123062 1636),(3.20295561594 1774),,(0.762339607603 2106),(2.29821679719 2245),(2.11094195976 2410),,(0.373452201008 2708),,
Point1,H5,(6.10081602236 81),,(3.62515624143 432),(0.356700872161 593),(1.96658524066 738),,(1.56599483189 1040),(2.4980053337 1183),(3.15689347344 1342),,(2.63215499925 1647),(3.33932979355 1783),,(0.855651600888 2113),(2.87017547979 2257),(2.11094627073 2411),,(2.00453655157 2723),,
Point1,H6,(6.2172489379e-15 144),(1.42108547152e-14 300),(7.1054273576e-15 450),(5.3290705182e-15 603),(-2.6645352591e-15 752),(1.7763568394e-15 896),(-8.881784197e-16 1055),(-3.5527136788e-15 1204),(-3.5527136788e-15 1361),(-1.7763568394e-15 1512),(-8.881784197e-15 1664),(2.6645352591e-15 1814),(5.3290705182e-15 1970),(4.4408920985e-15 2125),(4.4408920985e-15 2275),(1.06581410364e-14 2431),(5.3290705182e-15 2576),(8.881784197e-16 2737),(0.0 2883),
Point2,H1,(16.1455030582 25),(14.4608792959 183),(15.2348693092 330),(12.8571293943 480),(15.9080987354 634),(14.0459658889 783),(13.2314984258 935),(12.3740840353 1083),(14.3665433212 1238),(13.4237430487 1388),(14.5641271519 1543),(15.0940424746 1694),(14.0791746747 1848),(14.897236324 2004),(13.0329289651 2154),(13.3203106323 2310),(12.6770658304 2458),(13.5116453044 2615),(12.3522696644 2765),(13.4043464145 2919),
Point2,H2,,,,,,,,,,(4.25205355652 1434),(5.71241502254 1591),,,,(5.65226871642 2190),,,(4.73787984823 2656),,
Point2,H3,,,,,,,,,,(4.35274597 1444),(5.74162389214 1596),,,,(5.81120931151 2199),,,(4.89586594531 2666),,
Point2,H4,(5.78488966858 72),,(2.72070019163 420),(0.84084529126 572),(1.56732118974 728),,(0.762252134515 1024),(2.37091245197 1170),(2.68477074602 1333),(1.42686171947 1478),(2.39968499257 1635),,(2.87905865219 1941),,(2.32011076011 2244),(2.86064873463 2386),(5.34599763581 2506),(0.410055527484 2706),,
