Cycle,0.678533333333
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(12.6134512986 28),(11.3109979611 173),(11.904687154 312),(11.0986722667 456),(12.6495554872 599),(12.1472302954 741),(12.1771534194 880),(11.3726928439 1021),(10.6941156384 1168),(10.1670564988 1317),(8.73768730655 1457),(11.1765033616 1600),(12.2136335476 1740),(11.8485025667 1881),(9.63713516419 2025),(8.75659931608 2167),(8.42640463858 2303),(8.49487577105 2442),(7.43442812012 2585),(8.25420167802 2726),(8.26127615165 2868),(8.81985275455 3007),(9.3542502673 3148),(8.39459155921 3289),(8.43602494027 3431),(9.22644286642 3576),
Point0,H2,(5.71384428875 71),,,,(7.01519656787 624),(7.2660894553 773),,,,,(4.51590418514 1489),,(6.83873317367 1781),,,(5.2132742537 2195),(5.23119378434 2340),,,,,,,,,
Point0,H3,(6.11826087853 83),,,,(7.06903070808 629),(7.27100745347 776),,,,,(5.01017479618 1517),,(6.86902134991 1786),,,(5.27185921157 2203),(5.25983676068 2346),,,,,,,,,
Point0,H4,(2.65858756358 119),,(4.80920602753 362),(5.82358591013 505),(2.75196966804 679),(3.11659417339 821),(3.55807474753 966),(2.57939670669 1109),(2.79310072529 1253),,(2.15541521302 1543),(1.91414281736 1686),(2.10823547568 1828),(5.95105435455 1927),(4.96747163024 2064),(1.6468897393 2247),(1.5067214856 2392),,,(4.55639965446 2751),,(1.81097309401 3096),(1.72212742668 3242),(3.58399016985 3332),,
Point0,H5,(2.71514690133 125),,(4.82494605329 366),(5.84130966233 509),(2.86501834 686),(3.36828036222 830),(3.63213816112 973),(2.78504036549 1118),(2.85285326672 1260),,(2.39655631606 1551),(2.24678823107 1696),(2.24302866739 1837),(5.97162672751 1931),(5.00825784688 2071),(1.70743794907 2254),(1.58323121309 2399),,,(5.08057495385 2770),,(1.95577228881 3104),(1.73101374128 3245),(3.65171097427 3339),,
Point0,H6,(-0.00145649984759 144),(0.0 285),(1.7763568394e-15 425),(2.6645352591e-15 566),(3.5527136788e-15 707),(-1.7763568394e-15 850),(2.6645352591e-15 993),(-1.7763568394e-15 1137),(-5.3290705182e-15 1283),(-7.1054273576e-15 1422),(-3.5527136788e-15 1569),(4.4408920985e-15 1712),(6.2172489379e-15 1855),(-0.00788058036101 1997),(7.54951656745e-15 2131),(-1.7763568394e-15 2273),(-8.881784197e-16 2416),(5.77315972805e-15 2554),(1.15463194561e-14 2692),(-0.00121306438144 2833),(3.5527136788e-15 2977),(3.5527136788e-15 3121),(-0.00272292820146 3264),(1.7763568394e-15 3398),(8.881784197e-16 3538),
Point1,H1,(2.8805708539 123),(6.33876551992 261),(6.99123513282 397),(4.74829630761 545),(5.20732657933 668),(6.67409801097 825),(6.11114312237 968),(8.19407581131 1109),(8.06270267494 1256),(6.62006210081 1402),(6.50602447113 1543),(5.53477613622 1658),(6.34403699892 1828),(7.83760637399 1947),(6.97327387687 2101),(6.51293556848 2248),(6.79035962197 2388),(7.12069742159 2530),(6.34632012992 2654),(7.11119641933 2811),(6.91313683443 2946),(5.50965641126 3091),(6.36838580731 3231),(6.03718937432 3359),(7.10648649102 3513),
Point1,H2,,,,,(3.10862446895e-15 718),,(4.4408920985e-16 996),(3.5527136788e-15 1142),(-8.881784197e-16 1283),(-1.33226762955e-15 1447),,(5.18275762307 1673),,(6.4356864869 1964),,,(-2.6645352591e-15 2417),,,,(-2.6645352591e-15 2982),,,(6.66133814775e-16 3405),,
Point1,H3,,,,,(3.01539184848 753),,(2.50483069261 1033),(2.30632838515 1175),(3.8598760536 1322),(4.84307328979 1486),,(5.50151174852 1685),,(6.72893431454 1972),,,(4.58273905736 2453),,,,(3.75986330514 3019),,,(4.29878249476 3439),,
Point1,H4,(-0.0154984900394 144),(-4.4408920985e-15 288),(-9.7699626167e-15 433),(-6.2172489379e-15 575),(2.86429910796 766),(-0.00326275691022 854),(1.90537486261 1045),(1.52520595101 1191),(2.53825997165 1338),(4.3798895411 1498),(3.5527136788e-15 1571),(-8.881784197e-16 1717),,(5.3290705182e-15 1999),(-0.00161147048499 2143),,(4.47476883172 2462),,,(-5.77315972805e-15 2844),(2.90607500923 3034),,(6.2172489379e-15 3263),(3.61179023769 3460),,
Point1,H5,(6.14975999496 236),(4.38599061213 329),(3.53651449014 492),(3.19711444536 608),(5.65914202522 794),(5.95410256821 936),(6.86383137968 1073),(5.53982933122 1225),(4.67222667588 1361),(5.60735172464 1516),(4.34130667527 1611),(3.89132375471 1758),,(4.18801140223 2059),(3.9363212226 2187),,(6.97243731895 2509),,,(3.60028083935 2873),(4.0225062091 3054),,(4.47785360185 3322),(6.08619324869 3482),,
