Cycle,0.849677419355
Average Width,9.75386878907
Width,,7.73112373319,4.79689633221,5.64009512949,6.96558045175,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.8495929386,0,0,0.0,14.8425313229,0.0,0.0,0.0,15.4512616153,0.0,0.0,0.0,0.0
Point0,H1,(13.7625274087 32),(14.4615135451 245),(16.2524328967 447),(15.5449077893 653),(15.6221663544 858),(17.3182477605 1052),(17.6049180702 1256),(17.7797406302 1448),(15.9192555111 1627),(16.1000974905 1816),(15.9880682809 1991),(16.2048288288 2157),(15.1742592134 2314),(15.6999140253 2479),(16.5374524729 2653),(16.1279164231 2828),(16.3784284891 3001),(17.5014703667 3174),(17.424669115 3355),(18.0651269145 3543),(17.9411058589 3727),(16.6571339279 3916),(18.8868410984 4105),(18.4976563408 4283),(17.3524553016 4446),(16.0771188335 4612),(14.3308908991 4765),(17.9716017668 4922),(16.0246943218 5086),(16.364759897 5241),(17.6620748019 5415),(15.0136266107 5574),
Point0,H2,(3.90802696302 124),(5.16512474314 332),,(9.33140903456 696),,,(11.3632778965 1286),(10.5672098486 1476),(8.82791731045 1671),(3.96987794157 1900),,,,,(5.04962627457 2746),(7.77559327444 2875),,,,(11.2977719424 3569),(10.6312019785 3766),(9.68869299132 3952),,,(10.7509644935 4484),,,,(7.73919064988 5126),,,
Point0,H3,(3.99411838491 136),(5.18931831402 338),,(9.47174176428 704),,,(11.5424408783 1295),(10.7440321333 1489),(8.94450166863 1679),(3.97065938369 1901),,,,,(5.214892786 2755),(7.7958005185 2879),,,,(11.4071464314 3576),(10.8763354437 3776),(10.0917087578 3964),,,(10.7654530915 4488),,,,(7.74617864644 5129),,,
Point0,H4,(2.35725127608 177),(1.42291908493 389),(2.30089972974 597),,,(3.26332843088 1186),(6.17301138558 1334),,(2.54545863114 1750),(1.97553795432 1928),(1.95710155907 2106),,,(2.24478476968 2600),(3.11655145173 2779),,,(1.4255656313 3303),(2.04797932493 3478),(2.54091924068 3672),(1.89583809485 3866),,(2.46848348902 4232),(3.34604195254 4390),(4.01929764364 4551),,,,,(2.4082593059 5352),,
Point0,H5,(2.81221542521 190),(2.45171487975 402),(2.57658250406 607),,,(3.74317645709 1198),(6.24837037116 1343),,(2.75752954028 1759),(2.00789342349 1934),(1.97299396553 2110),,,(2.27182075552 2605),(3.11727004067 2780),,,(1.481093677 3310),(2.24998066199 3487),(2.71260264331 3679),(1.96117197799 3871),,(2.51451219093 4237),(3.64558485469 4399),(4.20325363717 4559),,,,,(2.47379226087 5359),,
Point0,H6,(8.881784197e-16 210),(-1.42108547152e-14 417),(-1.50990331349e-14 624),(-5.3290705182e-15 830),(2.6645352591e-15 1024),(-2.6645352591e-15 1220),(1.7763568394e-15 1407),(1.7763568394e-15 1598),(9.7699626167e-15 1780),(1.68753899743e-14 1955),(5.3290705182e-15 2127),(1.42108547152e-14 2284),(2.6645352591e-15 2448),(-1.7763568394e-15 2624),(-1.7763568394e-15 2800),(-4.4408920985e-15 2969),(-1.68753899743e-14 3138),(-6.2172489379e-15 3326),(0.0 3507),(-1.06581410364e-14 3696),(-1.24344978758e-14 3887),(-1.68753899743e-14 4071),(-1.24344978758e-14 4255),(3.5527136788e-15 4417),(5.3290705182e-15 4579),(2.6645352591e-15 4736),(-4.4408920985e-15 4893),(8.881784197e-16 5056),(4.4408920985e-15 5208),(-7.9936057773e-15 5379),(-0.00816560587355 5539),
Point1,H1,(21.5567216276 30),(20.7430820666 243),(22.9230371648 445),(21.3631235936 652),(20.7620273428 856),(21.6392915479 1050),(21.7648569026 1254),(20.7040389556 1447),(19.1746077049 1625),(19.4053961951 1813),(19.4796564089 1989),(20.3295140869 2154),(19.0342689856 2311),(19.2978582816 2477),(19.5518981945 2651),(19.4873249348 2826),(18.8519035398 2999),(19.6705949907 3172),(20.9462872015 3353),(21.2773550975 3541),(20.910955239 3725),(19.9162008081 3914),(21.1451169062 4103),(20.9664126843 4281),(20.3918520284 4443),(18.5986574699 4610),(17.1843939311 4762),(20.2603257659 4920),(18.7662323329 5084),(19.0266680333 5238),(21.3377360946 5413),(17.2867669522 5572),
Point1,H2,(5.8876595609 120),,,(12.1100538819 694),,(11.8893597738 1097),,(12.3334619176 1476),(9.71981682028 1669),,,,,,(5.83806965489 2746),(8.81296472202 2873),,,,(12.8430520436 3569),(12.1867076826 3764),(11.0817419796 3951),,,(11.5794691432 4481),,,,,,,
Point1,H3,(5.91182659598 127),,,(12.2818399957 702),,(11.8896066533 1098),,(12.3593683074 1482),(9.93587156689 1678),,,,,,(5.85912270736 2750),(8.81405354643 2875),,,,(12.8773036087 3574),(12.5413380218 3774),(11.3248527812 3960),,,(11.9236426361 4492),,,,,,,
Point1,H4,(2.84063744198 172),,(3.3065907359 594),(1.83895760296 805),,(3.92855062261 1183),(6.68048059408 1336),,(3.25953897566 1748),(2.6671633499 1926),,,,(2.42568283852 2597),(3.5168863153 2773),,(2.59233810816 3109),,(3.08072021564 3476),(3.30886381773 3668),(2.72951583171 3863),,(2.31239156767 4230),,(5.17259559915 4549),,,(3.10375104836 5030),,(3.2216905301 5349),,
