Cycle,0.611306818182
Average Width,6.88006755394
Width,,6.22533009735,6.84390276922,7.13543079646,6.35822000734,6.75424350252,7.00771324143,6.35401076772,6.48455176642,6.48458624241,6.37403498057,6.44553499204,6.96051477605,6.87019542898,7.34312245128,7.52706669725,6.74209449869,8.08356413209,7.33388321917,6.85087327471,7.43277241498,6.71832226855,6.8823148613,7.02927055408
Point0,H1,(17.0056405239 33),(19.0259891597 160),(20.0729042926 288),(17.8906553543 419),(18.6618707597 550),(19.5153583765 674),(18.7036663905 792),(19.2799480815 916),(18.3829793205 1041),(16.9902525005 1168),(16.9501403581 1297),(17.9559614096 1424),(17.704146142 1552),(18.800263681 1682),(18.4930706909 1819),(18.2545959553 1953),(16.5912818724 2079),(18.5166624541 2207),(18.5057984336 2334),(17.3391661628 2463),(17.4491233482 2594),(16.1448299503 2718),(18.4004282495 2850),
Point0,H2,,,,,,,,,,,,,,,,,,,,,,,,
Point0,H3,,,,,,,,,,,,,,,,,,,,,,,,
Point0,H4,(2.68021887393 61),(5.08939705165 186),(5.47195081176 318),(3.94992272733 446),(6.38775042807 581),(4.80169837232 701),(4.91627321604 826),(6.41396637728 946),(5.58902946512 1069),(3.77879558505 1197),(2.66912143591 1325),(5.07262840128 1453),(5.63250585225 1580),(6.40147131855 1711),(6.13888023727 1849),(4.02789275135 1979),(3.17325018219 2108),(5.55608115313 2235),(4.66468862861 2363),(4.70230714044 2491),(4.94408388228 2621),(4.65760941545 2748),,
Point0,H5,(5.92183316757 81),(9.19625109201 208),(8.15250227503 339),(6.93374517803 469),(7.36632258736 597),(9.26700021834 724),(6.31208822051 843),(8.05270040438 965),(7.21479070796 1088),(6.3956747564 1215),(5.10278069345 1345),(7.09142511839 1472),(7.88086153925 1598),(8.63944672328 1735),(9.86488660534 1870),(7.55874946798 2001),(6.68863728185 2128),(7.88141308865 2254),(6.88296095012 2383),(6.71290242024 2509),(8.43756093786 2642),(6.44775135208 2764),,
Point0,H6,(-0.0508711719591 2),(-0.00583272188014 126),(5.3290705182e-15 256),(1.33226762955e-14 389),(1.06581410364e-14 522),(2.39808173319e-14 644),(1.06581410364e-14 763),(3.37507799486e-14 889),(2.04281036531e-14 1006),(8.881784197e-15 1135),(1.33226762955e-14 1265),(-8.881784197e-16 1390),(-5.3290705182e-15 1518),(-0.000633366799409 1648),(-4.4408920985e-15 1787),(-0.00651973691773 1924),(-0.00284517020837 2048),(-8.881784197e-16 2175),(-2.6645352591e-15 2302),(-2.6645352591e-15 2426),(5.3290705182e-15 2563),(8.881784197e-16 2686),(-3.5527136788e-15 2816),
Point1,H1,(19.9556868636 32),(21.5010531593 160),(23.2021302683 288),(21.3517917267 418),(21.6995545913 549),(21.4380903559 674),(21.1934425232 792),(23.0741473691 915),(21.2064265411 1040),(19.7553691178 1167),(19.9406993641 1296),(20.3929770791 1424),(20.3433814528 1552),(21.5034710393 1682),(20.6771727775 1818),(19.8905263156 1953),(18.7408364382 2079),(20.6501160275 2207),(20.8099892615 2333),(19.3877282843 2463),(19.9162864264 2594),(18.3521502255 2717),(20.647796341 2849),
Point1,H2,,,,(4.66902305889 446),,,,,,,,,,,,,,,,,,,,
Point1,H3,,,,(7.6312947017 470),,,,,,,,,,,,,,,,,,,,
Point1,H4,(2.03334276812 59),(5.94241658344 186),(6.09464286463 317),(3.21891531739 498),(6.99413840267 580),(3.78453732451 701),(5.55019879212 824),(7.75032094778 945),(6.15056228972 1069),(4.49306723717 1195),(2.41783837163 1323),(5.80201054886 1452),(6.22526015391 1578),(7.40615844724 1710),(6.81431728468 1849),(3.97918112799 1979),(3.19524762952 2107),(6.14282877003 2234),(5.59348634027 2363),(4.98777793437 2490),(6.05827768283 2621),(5.45697138818 2748),,
Point1,H5,(6.13223780407 80),(10.5343482141 208),(9.6464394019 337),(3.32542049272 504),(8.54092999502 598),(9.77886181726 723),(7.20598223816 842),(8.98689318588 967),(8.57191462053 1087),(7.49551021363 1214),(6.45321930249 1345),(8.35006360648 1471),(9.42345636878 1598),(10.1377265477 1735),(10.8282555087 1869),(7.86176112023 2001),(7.41929196596 2128),(8.89474948681 2254),(8.19445885974 2382),(8.10564745006 2509),(9.91051173421 2642),(7.77177856303 2765),,
Point1,H6,(-0.0649304302486 2),(-0.0210190440437 126),(-1.7763568394e-15 255),(-0.00419009598017 390),(-2.22044604925e-14 522),(-1.59872115546e-14 643),(-7.1054273576e-15 764),(-7.1054273576e-15 888),(-7.1054273576e-15 1005),(-0.00535311026301 1135),(-8.881784197e-16 1265),(-0.00925886871764 1389),(5.3290705182e-15 1518),(-9.7699626167e-15 1648),(-1.7763568394e-14 1788),(-2.6645352591e-15 1923),(-3.5527136788e-15 2047),(3.19524762952 2107),(-0.0120113977733 2174),(-1.24344978758e-14 2302),(8.881784197e-16 2428),(-9.7699626167e-15 2562),(-0.000430154994428 2686),(1.06581410364e-14 2816),
Point2,H1,(18.3181974979 34),(20.1174613928 162),(21.3707127529 289),(20.8946383599 420),(19.9588446649 551),(19.0543268543 675),(20.48246897 794),(22.7502441687 918),(21.0244399506 1042),(18.6186552097 1169),(18.1994304366 1298),(19.5207687297 1425),(19.3252685105 1554),(20.4288367867 1684),(19.5601448016 1821),(19.471122116 1954),(17.2090327925 2081),(20.3628035278 2209),(18.8089959311 2335),(18.7055392919 2465),(18.9724174498 2596),(16.503663118 2719),(19.1940728578 2852),
Point2,H2,,,,,,,,,,,,,,,,,(-7.1054273576e-15 2109),,,,,,,
Point2,H3,,,,,,,,,,,,,,,,,(4.20868475709 2131),,,,,,,
Point2,H4,(1.66041199904 61),(5.46704582569 189),(5.46816120456 318),(4.140122906 447),(4.84943113738 582),(2.33200991423 702),(4.49157492272 828),(6.69466934184 948),(5.68250595328 1070),(3.68550180407 1197),(2.77126572209 1325),(4.55271291089 1453),(5.43819606629 1581),(7.48487608186 1711),(7.38262044759 1851),(5.40332057201 1981),(2.17993079169 2152),(6.3175327999 2237),(3.48064283029 2366),(5.23049757186 2494),(5.59809705962 2624),(3.33019662303 2750),,
Point2,H5,(6.31429295298 84),(9.18554385667 211),(8.64369714324 338),(7.97371375754 474),(6.88734300426 603),(7.49793690451 727),(7.08275079081 849),(8.90877649242 967),(9.12606772157 1089),(7.53972484802 1218),(6.29571427493 1346),(7.42196113521 1473),(8.50228703424 1601),(11.0827230326 1733),(10.2542001189 1870),(9.28382830394 2002),(2.1980861557 2156),(9.78909679199 2257),(6.9803550634 2385),(8.10698560157 2512),(9.01929858307 2644),(6.80423496759 2768),,
Point2,H6,(-0.0220541758196 1),(-0.0159214245872 125),(1.7763568394e-15 257),(0.0 392),(-1.7763568394e-15 524),(-8.881784197e-16 646),(-8.881784197e-16 765),(-0.00296117137684 889),(1.7763568394e-15 1007),(1.15463194561e-14 1137),(-0.00451062775301 1267),(-8.881784197e-16 1390),(7.1054273576e-15 1520),(-0.00607190456145 1648),(1.7763568394e-15 1789),(-5.3290705182e-15 1921),(-0.0192304412228 2050),(-7.1054273576e-15 2109),(-0.0474451837564 2176),(0.0 2303),(-7.1054273576e-15 2431),(-5.3290705182e-15 2563),(6.2172489379e-15 2687),(-4.4408920985e-15 2817),
Point3,H1,(13.0646414244 34),(15.252348871 162),(17.3103972539 289),(15.7615648332 420),(15.4663880384 552),(14.0748862074 675),(14.4169445829 795),(17.6013414057 918),(15.5829935159 1042),(13.5698574913 1170),(13.5919720841 1298),(15.1862324813 1425),(15.0551252656 1554),(16.7688256022 1684),(15.9221087809 1821),(13.9339281803 1954),(14.8639413181 2081),(16.2562411806 2210),(14.0980125781 2335),(15.1078358673 2465),(14.3367236962 2597),(12.6092530877 2719),(14.7822680852 2852),
Point3,H2,,,,,,,,,,,,,,,,,,,,,,,,
Point3,H3,,,,,,,,,,,,,,,,,,,,,,,,
Point3,H4,(-0.149786571443 62),(4.18140705755 189),(4.94906587379 318),(3.26342895603 447),(4.04345976487 585),(1.21027063225 703),(3.25224400794 828),(5.44619597636 948),(4.84450708239 1071),(2.76726473794 1199),(1.41340446373 1326),(2.95733426354 1454),(4.92150181741 1580),(7.03459061308 1711),(6.53734105581 1852),(2.84740077918 1981),(2.08164242867 2109),(5.63840450698 2236),(-0.00163222735529 2367),(4.64021753502 2493),(4.62555170681 2626),(2.61236057938 2750),,
Point3,H5,(3.50961467165 84),(7.10334273676 211),(7.43369649673 338),(6.7263265309 472),(5.53862520025 605),(5.09575696374 727),(4.98086853017 848),(7.45421767491 967),(7.2196145471 1090),(5.44743648285 1218),(4.44180924485 1348),(5.35066705209 1475),(6.56568340467 1599),(9.75655729034 1733),(8.94133097168 1872),(6.57346144882 2004),(5.08540559352 2131),(8.52595162056 2257),(3.79356503789 2387),(6.80330780173 2512),(6.853143275 2646),(5.07758540569 2768),,
Point3,H6,(-0.149786571443 62),(-0.0335708762869 120),(-7.9936057773e-15 257),(-7.9936057773e-15 393),(7.1054273576e-15 524),(-0.00682953879999 647),(1.15463194561e-14 765),(-4.4408920985e-15 890),(1.33226762955e-14 1007),(0.0 1137),(7.9936057773e-15 1267),(-0.00471982637791 1388),(4.4408920985e-15 1519),(-0.00385267384665 1647),(-8.881784197e-16 1789),(-0.0103562852234 1923),(1.06581410364e-14 2049),(2.08164242867 2109),(-0.00349309407184 2176),(-0.0102369172242 2304),(-0.00163222735529 2367),(-0.0254641320051 2430),(6.2172489379e-15 2562),(0.0 2687),(3.5527136788e-15 2801),
