Cycle,0.768897058824
Average Width,3.97942136283
Width,,4.38099210796,3.90971052936,3.91679620427,4.13369595991,4.29048629873,4.22083905938,4.26996955951,4.16245623614,3.90185311207,3.81052661283,3.82121125832,3.75092625961,3.83880018825,3.82830440317,3.73826260104,3.77786613112,3.98714914515,3.88973886412
Point0,H1,(14.021493166 69),(11.2228959999 245),(11.7586954985 421),(13.1422142341 599),(15.5648871959 776),(13.6492719098 949),(13.5265711944 1123),(11.685234158 1281),(10.0438414017 1432),(8.04640100761 1581),(9.21020454699 1734),(8.55432550236 1894),(8.21681236892 2051),(8.61477046579 2215),(6.59438481411 2375),(8.07082300231 2535),(8.97420620528 2697),(8.24594975742 2860),
Point0,H2,,(8.10107835934 269),,(9.44997856243 622),(8.43023346249 819),(6.68524406076 979),(8.00769226368 1158),(4.81718223094 1318),(4.86466512677 1480),,,(5.8143710574 1926),,,,(6.33756024562 2555),,
Point0,H3,,(8.79452925765 297),,(9.55139828797 631),(8.68067915287 829),(8.83049396281 1009),(8.0402975099 1167),(5.92395816517 1337),(4.90868680621 1485),,,(6.01151240436 1937),,,,(6.43158543147 2562),,
Point0,H4,(1.67837645286 174),(3.62433983195 347),(7.64661041619 449),(9.49083023992 638),(0.825261014201 883),(2.10866344165 1060),(3.33135562807 1220),(0.23983600242 1381),(1.52762404997 1523),(3.37879982365 1615),(4.24213558595 1780),(0.874924373033 1985),(4.38699672214 2084),(2.38636987179 2304),,(0.332462112937 2624),,
Point0,H5,(2.21916582659 189),(4.2174310598 362),(8.40755398786 469),(10.2723680444 656),(0.879195562081 891),(2.55673208856 1071),(3.64769969365 1229),(0.720430842471 1393),(1.66639542117 1533),(3.8990810786 1634),(4.50186320762 1792),(1.39845764155 1999),(4.74420426185 2105),(3.03611889146 2319),,(2.76313762563 2651),,
Point0,H6,(-2.6645352591e-15 210),(5.3290705182e-15 387),(8.881784197e-16 566),(-8.881784197e-16 747),(-1.7763568394e-15 911),(2.6645352591e-15 1089),(1.7763568394e-15 1249),(1.7763568394e-15 1405),(-0.0014846133914 1552),(3.5527136788e-15 1697),(6.2172489379e-15 1857),(4.4408920985e-16 2017),(3.99680288865e-15 2180),(5.3290705182e-15 2345),(3.5527136788e-15 2502),(0.0 2671),(-0.00198913475176 2831),
Point1,H1,(25.2436624831 33),(25.0636194999 207),(25.0220092023 383),(25.3720138625 561),(28.1278074257 739),(26.4730561377 913),(25.513121688 1084),(23.6978171347 1243),(24.9334805339 1395),(21.7819107307 1544),(23.7179267817 1696),(23.5905607435 1851),(23.0855283543 2011),(23.2141522032 2178),(22.0598321704 2339),(23.4232323999 2498),(23.8053557173 2660),(23.2782167662 2822),
Point1,H2,,(14.1022555447 235),(12.4490648337 411),(13.1186758211 587),(12.8325060488 781),(10.7094624943 941),(11.9853834004 1117),(10.0247849838 1277),(10.8248714885 1439),(8.91446483154 1581),(12.1251616559 1731),(13.7932176347 1889),(11.1216323604 2047),,(10.743074381 2376),(11.9990028116 2524),,
Point1,H3,,(15.7886238419 254),(13.5290449129 430),(14.6194992707 617),(13.7350633039 794),(13.7388349191 969),(13.9990395866 1136),(11.8020848179 1297),(11.9031411978 1451),(10.3238435358 1598),(12.231383375 1744),(14.2385962883 1901),(11.9945175568 2061),,(10.9232580009 2386),(12.0566961462 2528),,
Point1,H4,,(5.63786880764 315),(5.18729164288 490),(5.52078918743 667),(2.07290682067 843),(4.33061748251 1020),(4.52163031359 1181),(2.36008154331 1345),(3.70315196011 1486),(3.09769661525 1632),(4.96292880667 1788),(4.39095510898 1950),(5.10342155661 2105),(3.99085257292 2269),(1.99197781896 2432),(3.2692575057 2588),,
