Cycle,0.913791423002
Average Width,8.59785234518
Width,,0.0,0.0,0.0,0,8.39659839106,0.0,0.0,0.0,0.0,8.7991062993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(10.5541131968 78),(13.2589466188 230),(12.2314289967 413),(9.63087291479 595),(7.66052580222 789),(12.5466213791 1002),(14.6156526271 1213),(13.2251473411 1402),(8.98138866332 1607),(9.74373036431 1796),(12.7298838087 1995),(11.7186243896 2188),(11.9376604973 2379),(13.6609623091 2581),(11.809925947 2795),(12.2196574691 2983),(14.7651199842 3163),(17.29875667 3377),(12.878524785 3591),
Point0,H2,,,,,,,(10.4107000318 1240),(2.81994453231 1488),,(8.12875620276 1813),(10.5285282797 2023),,,,(8.18603483876 2833),,(7.51669706002 3201),,,
Point0,H3,,,,,,,(10.4681568803 1246),(3.1013808514 1501),,(8.33929143628 1822),(10.5647025471 2029),,,,(8.59095711021 2844),,(8.25787645464 3220),,,
Point0,H4,,(1.75008740765 335),,,,(1.55176067836 1138),(3.22746876593 1302),(1.84092942829 1523),(6.00014034018 1671),(6.98810717634 1841),(1.0910184187 2132),(7.83214423741 2227),(2.69348370123 2472),(2.15860263496 2720),(5.26888756169 2879),(8.61847033699 3012),(3.23228222812 3264),,,
Point0,H5,,(1.76659702871 340),,,,(1.67324896483 1146),(3.26980689017 1308),(2.17736658038 1536),(6.04506611627 1680),(7.48791046376 1854),(1.09355221376 2135),(8.01846521209 2236),(2.72112154189 2478),(2.54358847441 2733),(5.3013248037 2887),(8.72943351369 3021),(3.74836298905 3280),,,
Point0,H6,(-0.887403306481 26),(2.6645352591e-15 197),(-0.000467470149117 362),(-0.0140047096714 558),(-8.881784197e-16 762),(3.26154450485 831),(2.6645352591e-15 958),(4.4408920985e-15 1163),(-0.00457556366741 1362),(2.6645352591e-15 1570),(3.5527136788e-15 1764),(-4.4408920985e-15 1954),(-1.7763568394e-15 2153),(-3.5527136788e-15 2338),(-0.00195882342423 2543),(7.1054273576e-15 2758),(1.06581410364e-14 2940),(-0.00285213426509 3121),(-0.00452564954323 3330),(-3.5527136788e-15 3553),
Point1,H1,(7.70113462451 144),(6.44026364453 305),(6.51215678379 483),(7.96196227727 683),(9.45788882005 875),(8.73552640367 1068),(8.83113126386 1221),(2.56259085332 1395),(3.46673421967 1488),(10.93105109 1660),(10.4465936076 1820),(9.37545408205 2065),(9.15631725322 2271),(6.91795062249 2440),(9.43214374424 2656),(8.32901214979 2856),(8.08233821353 3028),(10.8174057936 3247),(8.81123952785 3454),(9.59112491186 3650),
Point1,H2,(-2.6645352591e-15 185),(-3.10862446895e-15 351),(-4.4408920985e-15 521),(-6.2172489379e-15 716),(1.24344978758e-14 917),,(8.1003009875 1241),,(-3.06989823639 1517),,(5.95284187859 1858),,,,,,(7.7734681382 3043),(8.881784197e-16 3301),,
Point1,H3,(3.42879393848 222),(2.83233043246 380),(7.22541529989 625),(2.76342364294 751),(1.27006160051 936),,(8.78397147815 1274),,(0.766350442095 1554),,(7.78505095939 1877),,,,,,(7.85769213322 3051),(5.39060510647 3358),,
Point1,H4,(3.40427827714 228),,(6.27204541976 644),,(1.10835862085 945),,(-0.0649085305139 1318),,,,(1.06581410364e-14 1915),(1.7763568394e-15 2112),,,(8.881784197e-16 2709),,(1.7763568394e-15 3092),(5.36082116945 3370),,
Point1,H5,(6.09145790932 260),,(7.86417771471 667),,(6.81445920629 999),,(1.26769369126 1336),,,,(7.67236546828 2016),(7.90510298698 2217),,,(6.0105489139 2805),,(8.27080459948 3193),(8.01931325932 3425),,
Point1,H6,(-2.6645352591e-15 185),(-3.10862446895e-15 351),(-4.4408920985e-15 521),(-6.2172489379e-15 716),(1.24344978758e-14 917),(-0.0159628989496 1120),(-0.0649085305139 1318),(-3.5527136788e-15 1441),(-3.06989823639 1517),(-0.00190346188609 1726),(1.06581410364e-14 1915),(1.7763568394e-15 2112),(-8.881784197e-16 2322),(0.0 2493),(8.881784197e-16 2709),(-1.7763568394e-15 2909),(1.7763568394e-15 3092),(8.881784197e-16 3301),(3.5527136788e-15 3487),
Point2,H1,(8.63693003649 127),(7.06728107218 319),(10.9862194856 490),(4.31299040667 696),(10.1080018201 883),(8.64683608182 1083),(8.25738291943 1289),(10.198773629 1491),(10.7513636415 1663),(10.9719080201 1829),(10.6883286647 2074),(9.90017355898 2280),(7.59897466855 2470),(10.8489710768 2664),(9.15136548364 2882),(9.29242171781 3060),(11.5244895306 3256),(10.1079155477 3463),(10.9845043237 3658),
Point2,H2,,,(-0.0908775975443 540),,,,,,(8.66886378068 1693),(6.12406051253 1868),,,(-7.1054273576e-15 2505),,,(1.15463194561e-14 3102),,,,
Point2,H3,,,(1.59511191787 571),,,,,,(8.68300774668 1697),(7.68315809405 1886),,,(4.42720402692 2541),,,(2.86687847093 3133),,,,
Point2,H4,,(-0.000338473531102 360),(0.979177130133 592),,(-0.0176680152247 930),(-0.0118687583882 1128),(-3.5527136788e-15 1327),(-0.00898794120596 1528),(2.6645352591e-15 1735),(8.881784197e-15 1923),(8.881784197e-15 2123),,(2.9896993261 2556),(-5.3290705182e-15 2716),,(2.8386965952 3139),(2.6645352591e-15 3306),(-8.881784197e-15 3495),,
Point2,H5,,(7.52775848617 437),(1.59395115236 615),,(4.91800508558 1007),(7.14275348458 1262),(7.09618601636 1413),(3.49410333309 1563),(6.68144989521 1793),(7.75877124378 2029),(7.89145016144 2226),,(6.24513434162 2577),(6.8159599739 2806),,(8.5836509134 3201),(6.12354150467 3373),(5.49217477804 3534),,
Point2,H6,(-0.00788911659325 197),(-0.000338473531102 360),(-0.0908775975443 540),(-0.016973616416 651),(-0.10896254637 723),(-0.0176680152247 930),(-0.0118687583882 1128),(-3.5527136788e-15 1327),(-0.00898794120596 1528),(2.6645352591e-15 1735),(8.881784197e-15 1923),(8.881784197e-15 2123),(-0.00265877058638 2328),(-7.1054273576e-15 2505),(-5.3290705182e-15 2716),(-1.7763568394e-15 2917),(1.15463194561e-14 3102),(2.6645352591e-15 3306),(-8.881784197e-15 3495),
