Cycle,0.751973684211
Average Width,5.9047194605
Width,,0,0,5.57444107946,0,0,4.80183077041,0,5.17871722736,0,0,0,0,6.96553794032,5.92657331256,6.42736256516,6.93229980908,0,0,0,0,0,0,0,6.04592203905,6.04317038322,0,0,0,0,0,0,0,0,5.25148670956,5.76240921601,0,5.94688247377,0,0
Point0,H1,(11.3466817223 33),(10.5176109563 180),(12.8164266119 345),(12.8461563356 514),(13.2156298293 673),(12.8495231603 846),(13.958450626 1015),(11.5205231056 1182),(14.8547995928 1346),(12.5650432106 1516),(14.2670974729 1670),(13.7457151272 1840),(13.4403920046 2001),(12.2129737364 2176),(11.9415753139 2332),(14.2027405843 2487),(13.5142850915 2649),(12.0329076076 2806),(11.8530484707 2958),(12.2530827947 3105),(12.4150824897 3249),(11.6847628367 3398),(11.272045778 3540),(12.1682811917 3686),(13.2157753114 3839),(12.3069500088 3990),(13.1163036225 4137),(12.7997078261 4291),(14.0376133958 4453),(11.8375541979 4606),(13.6741314254 4741),(12.6646172673 4880),(11.2397344447 5017),(13.2279295729 5164),(12.4149571744 5327),(11.9847045227 5473),(11.0091841909 5608),(11.7232557533 5748),(13.4015259213 5895),
Point0,H2,(7.44023422288 55),(6.40989211484 225),,,,,,,,,,,,,(3.20118415739 2405),,(7.37697508741 2690),(7.21634236746 2844),,,(8.34245684699 3272),,(5.77503658943 3583),,,,,,,(5.72061461113 4634),,(6.96839376344 4904),,,,(5.14808150918 5521),(5.51422665999 5648),,,
Point0,H3,(7.97298434247 70),(6.45473609511 231),,,,,,,,,,,,,(3.23726375426 2410),,(7.40893799921 2696),(7.23320977561 2848),,,(8.55739106013 3282),,(5.77568366998 3584),,,,,,,(6.33927589452 4648),,(7.25632850109 4913),,,,(5.19363703507 5526),(5.51915536753 5651),,,
Point0,H4,(3.2921870136 124),(2.88406677221 282),,,,(2.37254289678 957),(2.63559192218 1120),(0.384255951119 1297),(3.60091659275 1455),(2.73637762595 1616),,,,,(1.64634631757 2430),(3.68477015134 2582),,(2.78379297135 2894),,,,(2.09883481083 3482),(2.22193086496 3627),(1.66798743733 3774),,,(1.72990629465 4237),(2.69888469001 4396),,(2.10828179443 4685),,(2.2253796898 4957),(2.45129714205 5102),(3.79895600166 5263),,(2.41780787815 5550),,(2.67847033313 5840),,
Point0,H5,(3.54198752641 134),(2.96895621814 290),,,,(3.21830641674 969),(2.67186838582 1126),(0.496907274033 1305),(3.632514942 1461),(2.75908785614 1620),,,,,(2.16801046968 2441),(3.97233201418 2595),,(2.79330057158 2897),,,,(2.22209490163 3491),(2.47110794278 3638),(2.0042546862 3784),,,(1.81264481345 4246),(3.20399961838 4408),,(2.35450654363 4694),,(2.71970175229 4968),(2.58723289285 5110),(3.81073031529 5266),,(2.94705673583 5561),,(2.74093238155 5846),,
Point0,H6,(-0.00476003465124 1),(1.7763568394e-14 154),(8.881784197e-16 313),(1.33226762955e-14 482),(1.33226762955e-14 645),(1.7763568394e-15 811),(-1.7763568394e-15 986),(-6.2172489379e-15 1147),(-4.4408920985e-15 1316),(3.5527136788e-15 1483),(8.881784197e-16 1641),(-0.000553805598036 1803),(1.15463194561e-14 1971),(-2.6645352591e-15 2140),(-7.1054273576e-15 2298),(-9.7699626167e-15 2457),(-7.9936057773e-15 2618),(6.2172489379e-15 2776),(5.3290705182e-15 2923),(-0.000818282206074 3069),(5.3290705182e-15 3221),(3.5527136788e-15 3369),(0.0 3512),(3.5527136788e-15 3657),(9.7699626167e-15 3802),(-5.3290705182e-15 3960),(-1.42108547152e-14 4105),(-1.86517468137e-14 4263),(-7.9936057773e-15 4426),(-0.00228208270904 4572),(3.5527136788e-15 4712),(-0.00357476091019 4850),(-2.6645352591e-15 4986),(8.881784197e-16 5130),(4.4408920985e-15 5292),(-8.881784197e-16 5444),(-7.9936057773e-15 5579),(-1.7763568394e-15 5720),(-8.881784197e-15 5865),
Point1,H1,(9.17792578868 33),(8.32786035757 181),(11.4220241322 345),(10.4316463741 513),(11.5214700965 673),(12.1141123335 845),(12.7798637896 1016),(11.2711810269 1181),(13.331939707 1346),(10.7301417385 1516),(12.9284112157 1670),(12.1813228016 1840),(12.6205195447 2001),(11.4276915978 2176),(11.4303417329 2332),(13.1487484405 2487),(11.5679342899 2649),(10.439063836 2806),(10.250181095 2958),(10.599950116 3105),(10.7390616678 3249),(10.0503185325 3399),(9.49259595275 3540),(11.1410272611 3686),(12.1443956626 3839),(10.6933159949 3991),(11.3967141682 4138),(10.7486381036 4292),(12.0246695568 4454),(10.37779736 4606),(12.2560095823 4741),(10.2950336547 4880),(9.66439106031 5017),(12.323785997 5164),(11.829455238 5327),(10.6780858577 5474),(10.3122942046 5608),(10.6423938144 5747),(12.2495809285 5897),
Point1,H2,(6.11933093776 54),(5.42065448898 222),,,,,,,,,,,,,,,(6.24007956785 2689),(6.13005981256 2845),,,(7.38804167214 3268),,,,,,,,,(5.29516997041 4632),,(5.78467561958 4902),,,,(4.67248277264 5517),(5.51802720728 5646),,,
Point1,H3,(6.43169585447 65),(5.52461625826 232),,,,,,,,,,,,,,,(6.41514176798 2697),(6.21566987622 2852),,,(7.85244532316 3279),,,,,,,,,(5.65114764718 4644),,(6.20483116525 4913),,,,(4.96377947075 5528),(5.52270780584 5649),,,
Point1,H4,(2.5734917306 111),(2.38690093459 282),,(2.23061564036 598),,(2.24957371095 957),(7.88866333348 1059),,(2.95348859605 1456),,,,,(2.27462729154 2273),(1.8353292974 2429),(2.79742994076 2576),(3.51920088192 2723),(2.26850166826 2894),,,,(1.643576436 3484),(2.33162614874 3627),(2.64102532202 3774),,,(6.27543767424 4170),(2.32578066933 4394),,(2.04446111602 4685),,(1.93403372072 4958),(2.47611316674 5100),,,(2.38316728866 5549),,(4.04120615684 5815),,
Point1,H5,(3.17365220744 129),(2.6267592233 293),,(2.23815080253 602),,(2.77484291911 969),(7.88992005752 1061),,(3.02237692232 1462),,,,,(2.31349275474 2278),(2.26113441475 2440),(3.45468117204 2595),(3.70717079251 2732),(2.2839771114 2898),,,,(1.71660263282 3492),(2.67126192295 3639),(2.88479751612 3783),,,(6.66437310465 4183),(2.73335759913 4407),,(2.37615563686 4695),,(2.16157537157 4968),(2.61832803752 5109),,,(3.1602339881 5562),,(4.04174313948 5816),,
Point1,H6,(-0.0108973933538 1),(-0.00309317788207 153),(1.7763568394e-15 314),(1.7763568394e-15 480),(5.3290705182e-15 644),(1.24344978758e-14 812),(0.0 986),(5.3290705182e-15 1146),(-0.00279847843658 1316),(-8.881784197e-15 1483),(-3.5527136788e-15 1641),(5.3290705182e-15 1803),(4.4408920985e-15 1972),(-0.000733851025738 2141),(-9.7699626167e-15 2298),(-9.7699626167e-15 2457),(-4.4408920985e-15 2618),(-0.00157463440385 2777),(-0.000776860163754 2922),(7.1054273576e-15 3068),(4.4408920985e-15 3222),(8.881784197e-15 3370),(8.881784197e-16 3512),(-0.000197210302687 3657),(-4.4408920985e-15 3803),(2.6645352591e-15 3960),(9.7699626167e-15 4106),(1.06581410364e-14 4263),(5.3290705182e-15 4425),(4.4408920985e-15 4573),(1.06581410364e-14 4713),(7.9936057773e-15 4850),(-2.6645352591e-15 4986),(-7.9936057773e-15 5130),(3.5527136788e-15 5292),(-8.881784197e-15 5443),(3.5527136788e-15 5579),(-0.00448071842559 5719),(1.06581410364e-14 5865),
Point2,H1,(6.32527039672 32),(4.48500093783 177),(6.72550710817 347),(7.27233646176 510),(7.42780090707 671),(6.83014483458 845),(9.67422517954 1014),(7.48813138124 1181),(10.06254731 1345),(6.40123125148 1516),(9.33945684564 1668),(9.27025565225 1836),(9.58141178369 1999),(7.8454392522 2174),(8.58881808204 2330),(9.72984888435 2486),(8.53982888876 2649),(6.4785981193 2806),(6.48886133686 2955),(6.89920055471 3103),(5.76505395739 3251),(5.19045715086 3394),(5.96759440582 3537),(7.44678443145 3687),(8.1725669104 3839),(6.90751578605 3987),(7.75858867981 4138),(6.83900394629 4291),(9.25807642514 4451),(6.25156272911 4603),(8.90681838506 4742),(5.91205318384 4878),(5.78390342445 5012),(7.5423837981 5161),(8.21865222043 5323),(7.25260153833 5472),(7.11109472337 5604),(7.49437064294 5745),(9.19040359896 5891),
Point2,H2,(5.28824214353 48),(2.20740396873 226),,,(4.6193122043 696),(3.26399035382 927),(5.96359839035 1056),,,(5.77685074881 1533),,(5.84220784108 1867),,(6.78480784906 2193),(2.34238177654 2401),,(4.02355422199 2692),(3.91178952517 2841),,,(4.40841171348 3273),,(3.77436914812 3577),,,,(3.88883685729 4172),(6.59607939419 4302),,(3.18788231636 4631),,(3.24698691243 4928),,,,(3.86966057199 5514),,,
Point2,H3,(5.68325692494 61),(2.33735682656 238),,,(5.21325012344 717),(3.28061738999 932),(6.00451411817 1061),,,(6.08030886524 1546),,(6.10697731929 1880),,(6.83870392341 2200),(2.42284310102 2408),,(4.04250340871 2697),(4.12226914196 2852),,,(5.32132105419 3292),,(3.77685190184 3580),,,,(4.05733881894 4184),(6.74793391715 4313),,(3.61667111589 4646),,(3.24774990158 4930),,,,(4.01209516387 5524),,,
Point2,H4,(1.7509235665 118),(0.887830675445 278),(2.64269061361 411),(1.06857675462 596),(1.26972322685 781),(1.7501137337 957),(2.0694512784 1115),,(3.71670538833 1424),,(2.9256335793 1769),,,,(0.962562395764 2429),(2.66053445471 2568),,(1.08628755828 2885),(1.21966343832 3034),,,(0.654972451868 3478),(1.31140417604 3626),(0.982116092044 3766),,,(0.55530133131 4232),(1.94019515844 4381),,(1.06932763978 4681),,(1.28349931744 4960),(2.06409435238 5091),(2.66159965422 5257),,(1.54084879836 5548),,,
Point2,H5,(1.79064928847 126),(0.948780041195 287),(3.17810712357 425),(1.16287346625 607),(1.38947664727 789),(1.82430708681 964),(2.18175016814 1123),,(3.72296495317 1428),,(2.94059608934 1774),,,,(1.1371908124 2438),(3.02877082511 2585),,(1.74421738366 2901),(1.29217745554 3042),,,(1.10799827911 3494),(1.81296870514 3638),(1.10791839225 3776),,,(0.596800552027 4242),(2.42161847068 4401),,(1.34134292644 4693),,(1.29047783989 4963),(2.15959059426 5102),(2.79891482936 5266),,(1.9908679399 5559),,,
