Cycle,0.722901234568
Average Width,7.35007802692
Width,,6.86435323762,6.90194837097,6.89271067954,6.86636969589,6.7978666791,6.91965485408,6.9173994992,6.75281425669,6.95485237107,6.74226714642,6.76220917639,6.76309849135,6.67536335219,6.6236585511,6.76021277237,6.61921600956,6.98964387757,6.90966448311,7.3079249969,7.70587740853,7.76211796595,8.03581065311,8.56291336224,8.26543547038,8.46044914512,8.31949357793,8.95506515013,9.71379351933
Point0,H1,(4.76277965466 31),(5.99454922053 189),(6.25143634402 362),(6.62735292756 521),(7.90826420054 682),(8.16899750955 852),(8.24341293037 1008),(7.62741174761 1162),(7.43563602092 1317),(6.6327484973 1457),(7.8500862802 1593),(4.7273810939 1723),(5.48681314201 1865),(5.21530552004 1991),(6.96757000893 2135),(6.45452101082 2282),(6.87502819235 2426),(7.91786479596 2584),(8.80409438715 2733),(8.23392011002 2877),(7.44410807183 3019),(9.38309212942 3165),(9.03835457219 3319),(9.84051490908 3467),(10.7628367289 3627),(10.6873992001 3786),(8.14521765349 3938),(8.15094975083 4093),
Point0,H2,(3.07660246213 70),,,(4.17121444621 547),(2.40168299929 758),(5.82815600867 874),(5.02575910441 1047),,(2.60073774991 1344),(4.57445990456 1486),(4.58453402185 1618),(3.46249525128 1743),,,,(0.172614657114 2350),(5.23353818478 2448),,,,(4.43990637483 3062),,(5.30368193277 3347),,,(3.26425690633 3827),,
Point0,H3,(3.52484798862 83),,,(5.02258596489 564),(2.54420579128 770),(6.24273701968 886),(5.03119253084 1051),,(3.32947094432 1365),(5.04538687 1501),(4.58465718918 1619),(3.62224230211 1754),,,,(0.238315782531 2358),(5.27182893327 2455),,,,(4.50086379396 3069),,(5.34092956029 3353),,,(3.47459782641 3839),,
Point0,H4,(2.06947566493 103),(2.16886724103 265),(2.01841492972 453),,(1.80664667861 790),(1.80964423717 949),(0.837393703429 1115),(2.21713497023 1251),(0.686783261501 1399),,,(1.20245507241 1798),,,(0.778537653125 2210),(-0.00436251042022 2371),,,(1.73006830893 2816),(1.53380923807 2964),(1.9839673588 3106),,(1.24829948108 3417),,,,,
Point0,H5,(3.00719746744 120),(2.19873565458 272),(2.07773677782 460),,(1.85095681324 797),(2.25455226567 961),(0.856693761381 1120),(2.98246417054 1265),(0.887030100551 1409),,,(1.50208907561 1810),,,(1.64519265031 2228),(0.910007516388 2390),,,(2.03852412468 2830),(1.59162266524 2972),(2.3654191137 3119),,(1.35905953204 3424),,,,,
Point0,H6,(-2.22044604925e-15 161),(-1.7763568394e-15 323),(-4.88498130835e-15 487),(-3.99680288865e-15 651),(-5.77315972805e-15 819),(-1.7763568394e-15 979),(3.99680288865e-15 1135),(0.0 1287),(4.4408920985e-15 1425),(7.9936057773e-15 1568),(-0.00361834307835 1694),(-6.66133814775e-15 1828),(-0.00103545401244 1951),(-3.5527136788e-15 2098),(-0.00250782358823 2251),(-0.00436251042022 2371),(-4.88498130835e-15 2548),(-0.00588855863204 2704),(1.7763568394e-15 2849),(8.881784197e-16 2992),(8.881784197e-16 3138),(-1.7763568394e-15 3284),(-1.7763568394e-15 3440),(-7.1054273576e-15 3600),(-4.88498130835e-15 3759),(-1.7763568394e-15 3903),(1.7763568394e-15 4066),
Point1,H1,(9.84679348571 28),(10.9979890463 188),(11.4175579012 358),(10.4137091901 518),(12.6359964498 680),(13.5710463239 852),(11.6752782264 1006),(12.7791022855 1161),(11.9167537591 1316),(10.445828006 1455),(11.3571015605 1592),(9.18365584312 1721),(9.86210387715 1859),(9.09869279105 1988),(12.2188673494 2133),(10.0554166829 2280),(11.4169478735 2426),(13.2247226617 2582),(12.9539985342 2731),(13.1800701138 2875),(14.3022555327 3016),(15.6537878288 3163),(14.3070536571 3316),(15.9795885188 3465),(17.2736133906 3625),(16.6318267675 3785),(14.5741087005 3936),(16.270965574 4090),
Point1,H2,(5.39035205169 71),,,,(8.90022406009 701),(8.26721110139 879),,,(5.17123811583 1341),,,(6.20908174891 1743),,,,,(8.63103907305 2449),(7.9927829137 2610),,,,,(7.46680700517 3344),,,(7.25073923847 3820),,
Point1,H3,(5.47799244882 79),,,,(8.96093762446 707),(8.37322001849 886),,,(5.87195475941 1354),,,(6.27895608221 1749),,,,,(8.65741836445 2454),(8.09087445256 2618),,,,,(7.88857022413 3356),,,(7.44149781332 3829),,
Point1,H4,(3.38881405132 108),(3.87913378324 267),(7.25521429101 387),(6.24090946443 545),(4.0421782662 761),(2.41474392346 950),(1.27612758994 1113),(3.38806634334 1246),(1.84450311875 1396),(5.37098752284 1480),,(1.69444955136 1798),(1.51076815681 1929),(6.02711251323 2018),(2.82893289533 2210),(0.122082986391 2372),(3.03781313301 2508),,(2.3239049954 2818),(2.27002501597 2963),(3.1765868692 3107),(3.36403245937 3256),(2.07505624227 3415),,,(2.39027871175 3878),,
Point1,H5,(3.42595244159 114),(3.88954809286 271),(7.60700766485 400),(6.51409693065 558),(4.09960160031 768),(2.59309450464 959),(1.35468632825 1119),(4.62949042973 1263),(2.12456429118 1406),(6.92778504716 1497),,(1.88652878856 1807),(1.53863280253 1934),(6.31432008677 2030),(2.88597444067 2217),(0.493226641372 2385),(3.41535912426 2521),,(2.90287895656 2831),(2.4452993732 2973),(3.77306701041 3119),(3.36481761271 3257),(2.29343960498 3423),,,(2.61797162562 3886),,
