Cycle,0.891545454545
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(33.350046271 139),(40.2801581488 320),(31.7918913568 512),(34.0454533203 696),(38.9631817849 882),(37.579875367 1072),(46.35007864 1241),(33.8695410126 1442),(35.4883544116 1631),(42.343090311 1811),(44.0708022626 2002),(33.0059104588 2174),(42.5722305076 2366),(35.3749453428 2559),(41.5982791761 2738),(42.2177546104 2929),(37.5663418993 3120),(44.681401482 3305),(41.8194875382 3491),(40.8468500395 3682),(41.263140697 3873),(39.4027119937 4056),(43.450322241 4241),
Point0,H2,(-0.0318299120058 171),(-0.00170445801427 364),(-3.5527136788e-15 542),(-0.0293268335128 731),(-0.00441492017419 922),(-0.0129435291005 1102),,(-0.0282564721653 1483),(-5.3290705182e-14 1661),,,(-1.06581410364e-14 2217),,(-3.19744231092e-14 2587),(-7.1054273576e-15 2778),,,(7.1054273576e-15 3339),(2.13162820728e-14 3530),(-1.06581410364e-14 3721),(-0.0120992471766 3905),(-1.7763568394e-14 4091),,
Point0,H3,(3.83138703402 187),(18.9927503414 408),(24.8131590889 636),(20.1950276166 778),(21.1999695823 971),(1.57830104087 1115),,(28.9883004702 1575),(2.24021469975 1673),,,(36.0787744654 2301),,(4.65238331829 2603),(22.0955005267 2826),,,(24.6302813716 3386),(31.9680347282 3622),(21.4576348635 3768),(33.7861097655 3995),(5.60047070858 4108),,
Point0,H4,(3.77829072356 190),(17.2025421666 421),(24.8048799551 638),(18.8509226158 789),(20.5233441396 981),,,(28.1113288012 1589),(2.06109183542 1679),(-5.68434188608e-14 1852),,(36.0692015698 2304),(-0.0107325412986 2412),(4.52591264484 2607),(21.1149766571 2836),(-2.84217094304e-14 2973),,(23.6810116093 3395),(31.6686575468 3634),(19.5957395057 3781),(33.7059134847 4001),,,
Point0,H5,(21.5170450278 220),(28.8262381229 484),(28.3782965695 664),(35.3015902802 850),(33.5618606943 1046),,,(31.7794773003 1612),(37.5306784822 1783),(22.0861130868 1900),,(40.5384383067 2341),(27.6784594883 2495),(38.1226878317 2712),(39.7463891328 2902),(16.7863116231 3017),,(39.0481073682 3460),(34.3446360993 3657),(34.2426854539 3847),(35.8392121506 4023),,,
Point0,H6,(-0.0318299120058 171),(-0.00170445801427 364),(-3.5527136788e-15 542),(-0.0293268335128 731),(-0.00441492017419 922),(-0.0129435291005 1102),(-4.97379915032e-14 1292),(-0.0282564721653 1483),(-5.3290705182e-14 1661),(-5.68434188608e-14 1852),(-0.0139491912238 2044),(-1.06581410364e-14 2217),(-0.0107325412986 2412),(-3.19744231092e-14 2587),(-7.1054273576e-15 2778),(-2.84217094304e-14 2973),(-6.75015598972e-14 3150),(7.1054273576e-15 3339),(2.13162820728e-14 3530),(-1.06581410364e-14 3721),(-0.0120992471766 3905),(-1.7763568394e-14 4091),(-1.06581410364e-14 4283),
Point1,H1,(27.7829709445 140),(34.1782790565 321),(26.7905019717 513),(28.1582427716 697),(32.721108036 883),(30.9863089351 1073),(39.2173004437 1241),(28.1243910909 1443),(29.8115755218 1632),(35.2276190623 1812),(37.5121208051 2003),(27.0139147694 2180),(36.9353430217 2367),(30.165996096 2559),(35.1108417753 2738),(36.025660437 2930),(30.7911478413 3120),(36.9141810814 3306),(34.7366126494 3492),(34.7485806202 3683),(33.8814755524 3874),(32.9174748746 4056),(36.2703518906 4242),
Point1,H2,(-0.0316074886653 172),(-7.1054273576e-15 365),(2.84217094304e-14 543),(3.5527136788e-14 733),(-1.7763568394e-14 923),,,(-0.00160370180015 1484),,(3.90798504668e-14 1852),,(6.39488462184e-14 2218),,(1.06581410364e-14 2588),(7.1054273576e-15 2778),,,(7.1054273576e-15 3340),(0.0 3531),(-1.7763568394e-15 3723),(-7.1054273576e-15 3906),(-0.0112648542039 4092),,
Point1,H3,(3.28071248725 188),(16.4960575583 409),(20.5780809729 635),(17.0648707877 778),(17.5352023018 972),,,(15.3643630941 1528),,(2.15791435815 1868),,(31.4590315548 2301),,(3.70845763517 2603),(18.1259215127 2827),,,(19.9259787456 3387),(26.6267744306 3622),(18.0253026273 3768),(28.4711298414 3997),(4.68783592713 4109),,
Point1,H4,(3.24286411154 191),(14.8223333537 422),(20.5554821018 640),(15.3744422286 791),(16.9282976985 982),,,(15.1442510468 1537),,,,(31.3337763598 2308),(-0.0110501869837 2412),(3.41196436284 2609),(17.3153230515 2837),(0.0 2974),,(18.881158657 3396),(26.4491790977 3634),(15.8747291993 3783),(28.3873059728 4003),,,
