Cycle,0.80507183908
Average Width,49.9100140939
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8165778879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,57.0034502999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Point0,H1,(10.1298674378 33),(11.9856562986 214),(9.9027022366 389),(9.75659997146 553),(9.6225382802 722),(11.3371946284 890),(9.90120980769 1064),(10.4015399779 1225),(11.1166445919 1389),(11.1736362586 1562),(12.3521190988 1739),(9.92611865191 1911),(11.0356421642 2072),(12.0428467562 2244),(11.9459252981 2413),(10.7663075298 2583),(11.7326384197 2743),(11.5311253002 2904),(11.7511972131 3072),(12.136577842 3244),(10.443774772 3414),(12.3438679498 3577),(12.4022867349 3742),(11.7377389218 3911),(10.8542958528 4071),(12.0787322741 4230),(11.7661606922 4391),(12.2974048725 4553),(11.4286663105 4724),(11.1123328821 4873),(13.2243779886 5034),(12.7685727956 5200),(11.9804825791 5367),(10.9683297227 5526),(11.4350838163 5679),(11.6392646142 5841),(12.750980021 6008),(11.8501398623 6174),(11.4994241238 6338),(12.0994899984 6503),(12.3768244681 6669),(12.6578757789 6847),(11.219991511 7023),(12.6374339083 7191),(13.2699640454 7357),(13.2217267242 7529),(12.3954035447 7702),(11.4419942377 7863),(12.6207745232 8023),(12.2591377782 8188),(12.5384971123 8359),(11.724065139 8519),(12.1715381032 8681),(12.472906155 8851),(11.7433093939 9027),(11.8237069935 9192),(13.8134071842 9354),(12.4936394021 9526),(13.0820827264 9690),
Point0,H2,,(4.21658251567 264),(4.50859076559 415),(3.79241519387 598),,(4.06250453717 944),,(3.78065148199 1271),(4.64647668466 1447),(5.34937868355 1610),(4.18243828028 1786),(2.86761936816 1960),,(4.30687775833 2298),(4.64627137376 2468),(3.8395730361 2630),(3.5803076085 2792),(3.37628979624 2954),(4.51474196143 3128),(4.9579584348 3290),(3.36336290313 3462),,(5.54084245131 3787),(6.39590661679 3934),(3.44047067252 4120),(4.45853679664 4277),(4.46666638438 4439),,(4.13601555804 4775),(3.03759046959 4919),(6.09040609345 5080),,,(3.45653340318 5573),(5.18749256919 5730),(3.90461854589 5893),(4.87216568701 6057),(5.83055838575 6215),,(5.58123950699 6554),(5.19262078831 6718),(5.39803152802 6901),,(3.74338779245 7240),,(4.88727619046 7578),,(3.49947114526 7910),,,(7.11363649238 8380),(4.16501115514 8566),,(5.9890412192 8903),,(3.93830455881 9237),(6.23872529713 9401),(3.94461717153 9575),,
Point0,H3,,(5.01400573486 279),(4.66371139499 423),(5.26839184312 615),,(4.07350551751 948),,(4.87382155795 1286),(4.93847933747 1460),(5.70015953067 1624),(4.76854696067 1799),(3.37180281639 1974),,(4.71441944788 2310),(4.9242942871 2483),(4.44971379226 2644),(4.46806138657 2807),(4.23778705308 2970),(5.24664171239 3142),(5.21358231819 3302),(4.37434532872 3478),,(5.64099358724 3795),(6.43429988002 3939),(3.52297543595 4130),(5.39705295506 4293),(5.05648344983 4452),,(4.23645098121 4783),(4.29985412977 4935),(6.95916929376 5095),,,(4.21256770648 5589),(5.47512781839 5745),(4.29612699349 5908),(5.52580752802 6070),(7.65680590534 6235),,(5.96298200857 6566),(5.87477608819 6739),(5.89248565804 6916),,(5.22194322246 7257),,(5.6427555495 7593),,(4.75714168128 7927),,,(7.36702858722 8387),(5.24711348765 8582),,(6.59504321672 8917),,(5.13083958771 9254),(7.3134638565 9415),(5.5006491626 9595),,
Point0,H4,,(1.2129643337 326),(4.12830904989 438),(1.50969713291 662),(4.99359315781 768),,,(1.65938191842 1335),(0.818809922141 1511),(1.75764347281 1689),,,,(1.62402688329 2356),(1.27161224847 2517),,,(1.56129028085 3011),(1.84644726131 3189),(1.37166491905 3350),(0.877585010692 3525),,(1.61981166584 3846),(3.84478003198 3961),,(1.31668168931 4325),(0.951937373055 4502),,(0.4720725843 4822),(0.717205748699 4982),(2.30874080621 5140),(1.55818108678 5300),,(1.99788163055 5621),(2.15941311816 5783),(1.57425598095 5939),(1.8893041011 6117),(1.88872555831 6278),,(1.74330222873 6611),(2.09328929178 6790),(1.68635239313 6967),(4.09153759815 7064),(1.81772449375 7300),(5.68677035693 7413),(1.17355581218 7636),(3.82670524309 7752),,,,(3.86168791878 8408),,,(1.21912686903 8966),(4.3685650843 9079),(1.20080988906 9300),(3.89300352446 9461),(1.52217368063 9633),,
Point0,H5,,(1.3895085923 335),(4.40185413868 450),(1.65735264254 671),(5.87699110794 789),,,(1.85107787349 1344),(1.00558434099 1521),(1.7710328233 1693),,,,(2.14610026543 2368),(1.52681737501 2529),,,(2.14876047642 3024),(2.12342615688 3199),(1.67138373551 3361),(1.13056389135 3536),,(1.89037480757 3857),(4.26423834719 3973),,(1.86303276214 4338),(1.21256482014 4513),,(0.749225997546 4833),(1.30945447668 4994),(2.94170639966 5152),(1.74559773193 5311),,(2.3571066776 5632),(2.34398352195 5791),(1.75108380677 5949),(2.30859758691 6128),(2.10723037798 6287),,(2.47211220251 6625),(2.18463045595 6798),(1.89145897328 6976),(4.97569885576 7088),(2.43158126975 7312),(5.72834613371 7424),(1.48978522947 7648),(4.96060509689 7767),,,,(5.1150438248 8423),,,(1.73624279133 8977),(4.62109365191 9092),(1.77171393978 9313),(3.93450648042 9467),(2.27701018135 9648),,
Point0,H6,(-0.00123987920641 1),(4.4408920985e-15 180),(3.5527136788e-15 355),(-1.7763568394e-14 526),(-9.7699626167e-15 689),(0.0 863),(1.15463194561e-14 1029),(1.46549439251e-14 1199),(-0.000381096229137 1360),(-0.00111631823153 1534),(9.7699626167e-15 1711),(-0.00375118010035 1872),(-0.00258026058787 2045),(1.7763568394e-15 2211),(-1.7763568394e-15 2385),(-2.6645352591e-15 2550),(8.881784197e-16 2709),(5.3290705182e-15 2874),(-3.5527136788e-15 3041),(0.0 3216),(-1.50990331349e-14 3380),(-6.2172489379e-15 3550),(-9.7699626167e-15 3713),(-0.00138728408499 3879),(5.3290705182e-15 4034),(-3.5527136788e-15 4194),(7.1054273576e-15 4356),(2.6645352591e-15 4527),(1.42108547152e-14 4691),(8.881784197e-16 4846),(-0.00833527690737 5007),(1.7763568394e-15 5170),(-0.000474703362748 5336),(5.77315972805e-15 5491),(-0.001756944487 5649),(7.1054273576e-15 5810),(7.9936057773e-15 5974),(1.06581410364e-14 6145),(8.881784197e-16 6306),(0.0 6465),(-8.881784197e-16 6641),(8.881784197e-16 6816),(2.6645352591e-15 6993),(-0.000974533689548 7156),(0.0 7329),(8.881784197e-16 7501),(5.3290705182e-15 7667),(4.4408920985e-15 7830),(-0.00503189546586 7988),(3.5527136788e-15 8161),(8.881784197e-16 8330),(0.0 8486),(-8.881784197e-16 8650),(-1.59872115546e-14 8818),(-5.3290705182e-15 8993),(-3.5527136788e-15 9162),(2.6645352591e-15 9328),(2.6645352591e-15 9492),(6.2172489379e-15 9664),
Point1,H1,(7.48280074067 33),(9.25706337031 212),(7.18390131116 389),(7.42237300408 553),(7.77235031063 722),(8.35831140586 889),(7.25480198408 1062),(8.13264455876 1225),(9.02066826367 1387),(9.25737588441 1561),(9.88314744043 1739),(8.33409687766 1910),(9.08293561524 2072),(9.41192463835 2243),(9.46155262085 2413),(8.54306772986 2582),(9.20828630132 2742),(8.87600896579 2904),(9.21829643039 3071),(10.1563590653 3243),(8.30418221991 3414),(9.43325916296 3576),(9.75237198943 3740),(9.05847120907 3910),(8.38782408144 4070),(9.64394948437 4230),(9.86012329545 4390),(9.70344670263 4552),(9.93332906739 4723),(10.0203488835 4871),(10.1761054621 5033),(10.3285782646 5199),(9.61429762986 5366),(8.49271313368 5525),(9.40472058838 5679),(9.78868672675 5842),(10.2496378062 6007),(8.7745437282 6173),(9.22142960827 6338),(9.82176466051 6501),(9.30383838189 6668),(10.3518754278 6844),(9.0806744465 7022),(9.76613966142 7190),(9.63968109525 7357),(10.5499604711 7528),(9.20871738831 7700),(8.8315024376 7862),(10.5004606912 8022),(9.83750673098 8186),(9.51611371416 8358),(9.58785723346 8518),(9.60308031635 8679),(10.2367950812 8849),(8.83056679055 9026),(9.45678331711 9191),(11.1388639051 9354),(9.4992285656 9524),(10.710755968 9690),
Point1,H2,,(3.74472236117 265),,(3.290966995 596),(4.35233450753 773),(6.01123452275 908),(4.38075653563 1084),,(3.9498239536 1447),,(4.03984413756 1783),,,(3.96496329077 2294),(3.45171944104 2468),(2.85821267088 2629),(5.48912912206 2763),(2.61644170488 2954),(4.03857481625 3126),(4.56643109511 3288),(2.18917328071 3459),,(4.67748676923 3785),(5.3840089413 3932),(3.00593798159 4115),(3.62998502378 4276),,(3.47090290844 4599),(3.72863931483 4773),(3.06728299237 4918),(4.72943398359 5079),,(5.10411748824 5389),(3.16030119297 5570),,,(3.48126195352 6055),(4.1690758173 6215),,(4.03733826466 6553),(3.92586844813 6725),(4.4862316707 6900),,(2.93640985877 7239),(3.9130026332 7406),,,(5.06279545227 7884),,(4.06362905051 8235),,(2.69543561238 8566),,(4.9019489876 8903),,,(5.92673821112 9400),(3.54688778852 9571),,
Point1,H3,,(3.98108313666 277),,(4.14913424595 613),(4.78735084468 789),(6.03418387255 912),(4.43306193123 1090),,(4.06233022157 1458),,(4.50684533566 1796),,,(4.39789721059 2308),(3.5612167869 2480),(3.40717609036 2643),(5.60551212288 2770),(3.06540390151 2968),(4.42933819192 3142),(4.7875977449 3298),(3.47609770028 3478),,(4.80241372737 3794),(5.46308085978 3938),(3.56925739019 4130),(4.13174011026 4290),,(4.43898118376 4615),(3.87659434596 4782),(3.86859391295 4933),(5.46048153974 5096),,(5.1502509005 5393),(3.6524830861 5586),,,(4.39070133648 6071),(5.57460422021 6237),,(4.32847594109 6565),(4.48581141256 6742),(5.21445589653 6916),,(3.9259193107 7257),(4.55533728825 7427),,,(5.09019864785 7889),,(4.1385610189 8243),,(3.76381874248 8581),,(5.4664924529 8916),,,(6.3379342799 9413),(5.02995557185 9592),,
Point1,H4,,(0.776240118734 327),,(1.00895906491 661),(0.87985238831 839),(3.09428955734 939),(2.63056975329 1113),,(2.1411829613 1487),,,,,(1.65709652742 2356),(0.957425938534 2515),(1.69608761676 2669),(3.03648184062 2791),(1.2372034489 3010),(2.04167184148 3185),(1.33053801842 3351),(0.162591634919 3526),,,(3.21209181235 3959),(0.967682001941 4163),(1.143370352 4325),,(1.62057877253 4661),,(0.563361394379 4980),(1.85545709361 5139),(1.42500858147 5299),(2.72139164567 5414),(1.27876064984 5620),(1.59725328046 5781),(3.15146928561 5891),(0.579495657962 6116),,(0.886972099022 6436),(0.846386724868 6611),(1.88470356591 6787),(1.54047125552 6965),(3.76611684054 7068),(1.43427657396 7300),(0.838471371876 7478),,,(2.74634299146 7911),,,,,,(1.41301854888 8965),,,(3.32990384377 9459),(1.47572831543 9625),,
