Cycle,0.621435185185
Average Width,8.08120818758
Width,,0,8.36643356889,6.91369421632,7.55758184394,6.79956187633,9.55267779615,7.72294269592,7.20447111392,7.14769289058,7.49552216811,9.21388146377,7.97224519621,7.66808182002,7.69110930013,7.75700702711,7.9680300196,9.89766261149,7.82119309256,7.64034342886,8.96910619685,0,8.61648063779,9.17123933777,0,8.51762912571,7.44974619091,8.83466288293,0
Point0,H1,(20.581609695 32),(18.4781484537 151),(16.6580656151 277),(19.0825155341 405),(17.9052639993 535),(19.0922895321 673),(16.9951630803 798),(18.8505213523 918),(18.3668137711 1044),(19.253254151 1169),(19.9096860412 1294),(18.1537508126 1426),(20.6460816458 1558),(18.254615487 1697),(20.2851712058 1830),(17.4150003538 1956),(21.8269002641 2071),(20.0604142985 2186),(21.7011391624 2296),(22.9750322594 2411),(23.3670306875 2539),(20.7978210359 2686),(21.8916708297 2821),(21.9864328602 2950),(20.168546402 3085),(23.3795608694 3222),(22.7667138921 3365),(19.6149544561 3507),
Point0,H2,,(3.87751063496 178),,(7.53371461819 426),(7.71802083911 560),(3.31931278659 697),(4.29764181884 824),,(5.54275160101 1068),(8.8963797663 1194),,(8.70818740395 1453),(9.00564605742 1580),(6.55739127007 1724),,(3.77149414707 1977),,,,(9.48536402219 2447),(11.7173003327 2572),(8.64685227059 2715),(6.28397041074 2845),(7.5175154519 2975),(7.21445623456 3115),(9.69333999393 3245),,
Point0,H3,,(7.87807871497 199),,(9.84359583321 441),(7.79348246309 565),(6.87782761529 715),(7.80386051754 844),,(7.79689900101 1085),(13.72578963 1214),,(9.14047969587 1462),(9.48226527649 1589),(7.96523103889 1737),,(9.53307433693 2001),,,,(9.89629029271 2457),(12.3889072308 2583),(9.93792890572 2727),(9.84075634187 2864),(9.56039331374 2998),(9.37570953974 3130),(10.8138022167 3266),,
Point0,H4,(10.6910183886 54),(2.08849799462 230),(5.5499720115 300),(1.3512918679 481),(1.81390958726 611),(-0.057567431661 742),(0.908331289705 869),(5.52522749693 942),(1.12886448143 1115),(0.807415569347 1243),(10.0498520562 1325),(1.11053013896 1505),(0.963126379989 1634),(2.43681693031 1777),(6.92522126178 1854),(3.69183459312 2027),(8.19947716542 2100),(8.92346059126 2217),(9.77069008994 2328),(3.04130148037 2484),(3.0570734676 2625),(1.01879804622 2769),(0.690718781094 2896),(2.58411989013 3027),(2.08391456541 3170),(1.59729463037 3316),,
Point0,H5,(16.601812713 74),(2.11711976425 235),(7.96297016713 318),(3.85222822285 496),(1.910085594 617),(0.967597598565 755),(2.45750704026 881),(8.05127393085 962),(1.17568559466 1120),(1.01477968503 1250),(10.7016558972 1336),(1.96596505035 1518),(2.24761046307 1648),(3.34508035248 1790),(8.40188256008 1869),(3.70910987122 2029),(10.2264987571 2117),(10.352958461 2231),(10.6922916417 2341),(4.32993973338 2496),(4.84458457156 2639),(2.30221645589 2783),(2.67789204131 2911),(3.58197214899 3039),(3.10085146707 3182),(2.71526270262 3328),,
Point0,H6,(-1.7763568394e-15 127),(6.2172489379e-15 252),(-2.6645352591e-15 375),(-4.4408920985e-15 511),(-0.00452772708442 638),(-0.057567431661 742),(-1.06581410364e-14 894),(-9.7699626167e-15 1002),(-3.5527136788e-15 1135),(0.0 1262),(1.50990331349e-14 1391),(1.33226762955e-14 1532),(3.5527136788e-15 1664),(3.5527136788e-15 1805),(3.5527136788e-15 1928),(-0.00914621837224 2046),(7.1054273576e-15 2159),(-1.06581410364e-14 2270),(-5.3290705182e-15 2383),(0.0 2512),(-8.881784197e-15 2656),(-3.5527136788e-15 2796),(-3.5527136788e-15 2925),(-1.7763568394e-15 3056),(1.7763568394e-15 3197),(0.0 3341),(0.0 3478),
Point1,H1,(20.4251828449 31),(19.5662202866 150),(19.7951544878 276),(22.2272383658 404),(21.6360089971 534),(20.7323488364 672),(19.4992132475 797),(21.5930071711 917),(21.1927752209 1042),(21.4604676688 1168),(21.0274628215 1294),(21.1168520687 1425),(23.0276592271 1557),(20.9391055399 1696),(22.8894001282 1828),(19.1273583934 1954),(22.6478512213 2070),(21.7073211268 2185),(22.9106269433 2295),(23.6554782179 2409),(23.6268137905 2537),(22.1068478469 2685),(22.6623868394 2820),(21.4662364308 2949),(20.5332133192 3084),(25.8486709627 3221),(23.6071842817 3364),(19.8157103312 3506),
Point1,H2,,(4.15043844795 178),(6.26877362411 298),(8.40977816095 426),,(4.02383249706 696),(5.85785748981 824),,,(9.87962478083 1193),(10.2120210207 1324),(9.75601618689 1453),(10.7970024067 1578),(7.79617256761 1722),,(3.83775449006 1976),,,,(9.39378596195 2446),(11.5824034837 2573),(9.14145863501 2713),(6.18849432938 2844),(7.01771030642 2974),(7.85930361674 3114),(10.0647554395 3244),,
Point1,H3,,(9.07464007658 199),(8.82507324256 315),(10.8658584367 440),,(8.25929337866 714),(9.53200134922 843),,,(13.5292025372 1211),(11.6604046848 1338),(10.3833457781 1462),(11.6230189794 1588),(9.68273264759 1736),,(9.30656173674 1998),,,,(9.95023836449 2458),(12.2783213178 2584),(11.1593601958 2728),(9.94394160047 2863),(9.7013689452 2995),(9.57212821163 3128),(12.1804647579 3266),,
Point1,H4,(9.7722699524 53),(2.14642023392 231),(8.881784197e-16 359),(1.91204276434 479),(2.21972125304 610),(1.05047473483 741),(1.25787335014 869),(6.21852790085 941),(6.63144314428 1066),(1.68933555002 1241),(2.04412981981 1371),(1.10599971676 1505),(1.41532668282 1633),(2.28083518235 1776),(7.28372899263 1852),(3.09281310761 2024),(8.93806345554 2098),(9.90811896138 2218),(11.040914094 2326),(3.44247733542 2484),(3.23780830403 2624),(1.11472346765 2768),(0.453366122944 2897),(2.42121133677 3025),(1.44549151196 3168),(3.12335766476 3311),,
