Cycle,0.861929824561
Average Width,3.96871303776
Width,,3.01458857008,3.75274212654,3.80956713921,3.48292338173,4.15588142743,3.90680080582,3.7825116899,4.00300764456,4.10577612385,4.20712554315,4.06580964501,4.03510731932,4.20318073343,3.96861656046,4.05189579034,3.99996193331,4.08418675823,4.11318058743,4.33058970862,4.3008072668
Point0,H1,(7.06450576837 121),(18.4526385963 292),(17.0364268336 483),(16.7468872266 626),(23.3138612865 837),(19.9479963908 1027),(20.1068472066 1204),(21.1419792747 1396),(22.4274468171 1576),(25.2893203308 1761),(19.139973556 1940),(23.2052589794 2120),(24.8345713627 2307),(20.6402020893 2486),(22.330072409 2666),(20.4453511677 2849),(19.1533963491 3028),(21.744047044 3206),(19.7095409039 3397),(12.8158981047 3565),
Point0,H2,,,(7.26111231889 529),,(8.88243006893 885),,,,,,,(11.4887886478 2166),,,(7.18767687272 2753),,,,,,
Point0,H3,,,(7.2724263089 532),,(8.94697396639 890),,,,,,,(11.4934360606 2168),,,(7.31282407294 2760),,,,,,
Point0,H4,,,(3.08252308494 556),,(3.72331937593 957),(5.58024437938 1126),,,,(4.25958678548 1868),(10.0945988001 1982),(2.63238123505 2237),,(1.42646173582 2603),(5.46966215628 2780),(0.719716885361 2977),(6.07975284563 3103),(8.61831644952 3270),(3.2445128371 3497),,
Point0,H5,,,(4.64062674071 569),,(3.77171185374 963),(5.58115637252 1128),,,,(4.51616621365 1878),(10.4470275815 1993),(3.11350433793 2248),,(1.79642489591 2614),(5.68768398258 2788),(0.725130663158 2980),(6.25727444456 3112),(8.79634064474 3281),(4.53565441393 3511),,
Point0,H6,(-6.57160999435 73),(-0.643338565473 191),(3.90798504668e-14 442),(-0.0176109961178 586),(-0.0158322228672 803),(-1.7763568394e-14 986),(1.59872115546e-14 1174),(7.1054273576e-15 1353),(-0.00167806219131 1539),(-0.00465092818855 1718),(7.1054273576e-15 1903),(2.6645352591e-14 2085),(-3.5527136788e-15 2266),(-1.59872115546e-14 2451),(8.881784197e-15 2629),(2.48689957516e-14 2811),(2.30926389122e-14 2994),(1.42108547152e-14 3169),(1.95399252334e-14 3350),(-0.00607669561949 3532),
Point1,H1,(14.0755098457 116),(27.769222343 290),(23.9337243486 479),(22.9585277003 622),(30.3797894659 835),(26.9515685071 1024),(27.6472588806 1202),(31.8128194662 1393),(32.2873486461 1573),(35.6121599605 1759),(31.5574767176 1937),(32.2314717355 2119),(34.579199347 2304),(32.7820535936 2483),(33.5867852442 2665),(31.8312855524 2847),(32.5635582374 3026),(33.0942847833 3203),(31.5142041114 3387),(28.374282178 3566),
Point1,H2,,(12.105915718 335),,,(10.3403705347 879),,,,,,,,,,(8.38305727453 2749),,,,,,
Point1,H3,,(12.3062742169 342),,,(10.710221502 888),,,,,,,,,,(8.53612243801 2757),,,,,,
Point1,H4,,(6.72886311262 408),(3.70478873991 553),,(3.69661844532 953),,,,(3.46177637161 1688),(4.48024562033 1868),(11.6729220851 1983),(3.24621736971 2233),,(2.21796304036 2601),(5.75121420178 2778),,,,(5.17146373845 3494),,
Point1,H5,,(7.15649912384 417),(5.19025019196 565),,(3.9991359918 962),,,,(3.59537747531 1695),(4.48747721852 1871),(11.7999191629 1989),(4.00411692498 2245),,(2.37137750795 2609),(5.92543282918 2785),,,,(6.07356687626 3507),,
Point1,H6,(-8.00584566204 69),(-0.240817338796 230),(-4.26325641456e-14 438),(-4.08562073062e-14 582),(2.30926389122e-14 801),(5.15143483426e-14 983),(3.37507799486e-14 1171),(-1.7763568394e-14 1350),(-2.48689957516e-14 1536),(-2.13162820728e-14 1716),(-1.95399252334e-14 1900),(2.48689957516e-14 2081),(-0.00264434111789 2264),(-3.37507799486e-14 2448),(-2.84217094304e-14 2626),(1.42108547152e-14 2807),(-1.7763568394e-15 2989),(3.01980662698e-14 3166),(-0.0101811374129 3347),(7.1054273576e-15 3527),
Point2,H1,(8.67282257228 98),(21.2754940468 292),(17.635979316 479),(13.9881358579 624),(23.3739417812 837),(19.828674744 1026),(19.7280177727 1206),(26.489564281 1396),(26.7525883048 1576),(29.7688931306 1762),(28.3724214837 1940),(25.4024569513 2120),(28.6139127226 2307),(28.0649995912 2485),(28.3440077252 2667),(27.1278059329 2849),(29.9230413082 3029),(28.618961627 3206),(29.5052777301 3388),(30.4206314994 3569),
Point2,H2,(7.86524163362 108),,,,,(4.69226335179 1118),,,,,(9.9840815993 1982),,,(4.01602480497 2578),,,,,(12.3897703444 3429),,
Point2,H3,(8.60839666997 120),,,,,(4.86249149055 1127),,,,,(10.6098549895 1994),,,(4.04880465133 2583),,,,,(12.506302442 3436),,
Point2,H4,(-1.34568042642 193),,(-0.0191653507608 556),,(8.09947452677 881),(2.53328870219 1150),,,(2.26981305445 1691),,(1.09215933926 2060),,(1.78950784539 2428),(2.07353534808 2604),,,(4.86371354041 3120),(6.39708195446 3290),(7.66681452613 3472),,
Point2,H5,(0.164545775272 249),,(0.925550783027 568),,(8.66993264499 892),(2.61930756096 1156),,,(2.5142581701 1700),,(1.31054540536 2069),,(1.79069570631 2430),(2.31144672006 2613),,,(4.95441305678 3126),(7.01368739906 3303),(7.76913261354 3479),,
Point2,H6,(-8.87539023025 71),(-1.34568042642 193),(-7.1054273576e-15 440),(-1.06869063885 583),(-0.0162148629513 714),(-0.00231174580206 803),(3.5527136788e-15 985),(-3.10862446895e-14 1173),(5.3290705182e-15 1353),(-5.3290705182e-15 1539),(8.881784197e-15 1718),(-0.00443071519008 1903),(1.7763568394e-14 2083),(-0.00565317347842 2265),(7.1054273576e-15 2450),(7.1054273576e-15 2628),(2.13162820728e-14 2810),(1.24344978758e-14 2989),(-1.7763568394e-14 3171),(-1.24344978758e-14 3348),(-1.06581410364e-14 3529),
