Cycle,0.856129032258
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(15.398955859 34),(16.0559879632 199),(23.7552378203 368),(20.5691513421 542),(17.8014658595 719),(16.7058533538 885),(18.7801674005 1053),(18.9511022139 1222),(18.6374959133 1400),(17.9168857907 1568),(17.8692397495 1742),(17.710277104 1917),(18.0524218213 2087),(15.0838696929 2253),(18.1995016292 2423),(15.3898883457 2590),(18.9185863384 2755),(17.6248232763 2928),(17.3812018346 3110),(15.6520456705 3293),(15.8154439494 3465),(18.769810265 3642),(14.6800303552 3818),(17.9305986076 4003),(18.8561920573 4193),(17.6438681556 4379),(17.268760712 4566),(18.4710480802 4750),(19.0344577986 4940),(18.5368585996 5125),(19.8750160233 5315),(20.7923314755 5508),
Point0,H2,(4.23700393295 72),(7.26397113988 231),,,,,,,,,,,(8.35644048496 2121),,,,,,,,,,,,,,(6.1660424934 4615),,,(8.3941825469 5163),(9.27172573074 5360),,
Point0,H3,(4.31000433406 79),(8.60369283745 248),,,,,,,,,,,(8.83323124697 2132),,,,,,,,,,,,,,(6.64159748336 4631),,,(9.3410218618 5176),(9.39354654753 5370),,
Point0,H4,(0.268742299816 129),(5.66384247078 271),,(2.58603616815 643),(-0.00138904200443 832),(0.781062833983 987),,(6.62410733882 1274),,(8.07068214052 1614),(1.26882331122 1852),,(-0.0132469527073 2171),,,,(1.49244503812 2857),,(4.78845499737 3189),,(0.827070910094 3574),(7.35590703329 3698),(0.494376160486 3917),(3.77155343347 4103),,(1.98070769582 4484),(1.6537695367 4678),(10.7094051658 4785),(2.96011227069 5039),(5.17021334682 5201),(3.11933270516 5431),,
Point0,H5,(1.08698133015 148),(6.43312540305 287),,(2.88886416807 657),(0.0792743521243 840),(1.54980896979 1000),,(7.11495180686 1288),,(8.13780206239 1620),(1.39184900423 1860),,(1.71319229222 2196),,,,(1.78421933314 2869),,(4.92004365461 3201),,(1.62020491857 3589),(7.84594793563 3714),(1.57470549267 3937),(3.80301082559 4112),,(1.98388511055 4487),(1.86303765779 4689),(10.9314324557 4796),(3.1234195266 5048),(5.39066523885 5210),(3.1574067641 5437),,
Point0,H6,(-0.105633819202 2),(-0.00206256071884 163),(1.7763568394e-15 331),(-6.2172489379e-15 506),(-7.1054273576e-15 681),(-0.0036006112622 846),(-0.00677989916776 1014),(-2.22044604925e-14 1184),(-2.39808173319e-14 1363),(-5.3290705182e-15 1530),(-8.881784197e-16 1703),(-1.06581410364e-14 1877),(-0.00825766362805 2050),(-0.0932220355008 2215),(-0.0847429905792 2371),(0.0 2548),(8.881784197e-16 2718),(-1.33226762955e-14 2891),(-0.00170048672993 3073),(-2.04281036531e-14 3254),(1.24344978758e-14 3429),(4.4408920985e-15 3605),(1.50990331349e-14 3781),(-0.00075134827491 3961),(-1.7763568394e-15 4151),(-1.50990331349e-14 4341),(6.2172489379e-15 4530),(-0.0025530841009 4710),(3.5527136788e-15 4902),(-0.00235215368062 5089),(7.1054273576e-15 5278),(-0.000125389776066 5473),(-0.0182456415045 5668),
Point1,H1,(11.4079991056 30),(12.5231058058 197),(20.4649991987 367),(16.2092128513 539),(13.993901603 716),(14.0980140683 883),(16.7925088141 1050),(15.853262527 1220),(16.1538997309 1397),(14.3392093861 1566),(15.4151888538 1740),(16.4224047671 1920),(16.0395923534 2087),(14.7293185372 2251),(15.785946575 2421),(13.0643009353 2589),(15.6306978195 2753),(14.8206262203 2927),(15.4499842826 3109),(14.0962086103 3290),(13.2373508588 3463),(16.1853435043 3641),(12.0062119393 3817),(14.5709148202 4002),(15.8650909668 4189),(13.81060047 4377),(14.7735767359 4566),(15.6751985424 4748),(14.5249533273 4937),(15.4657357281 5122),(16.5043748525 5312),(16.0873065989 5504),
Point1,H2,,(5.49938756154 226),,(2.56751761579 586),(1.52379301195 793),,,,,,,,(7.21868360324 2116),,,(8.17807054706 2625),,(7.75973123691 2966),,,,,,,,(1.24433594973 4474),(5.02596717124 4604),(9.73237772505 4779),(7.31386253869 4971),,,,
Point1,H3,,(7.18191762176 246),,(3.14700294074 599),(1.56000064911 801),,,,,,,,(9.11658995271 2133),,,(8.18179998021 2628),,(8.13845504395 2980),,,,,,,,(1.66272035756 4486),(6.81900705321 4628),(10.2796065588 4794),(7.453621182 4980),,,,
Point1,H4,(-1.00101974725 132),(5.81982077602 265),(3.24595681867 471),(1.53437350463 625),(0.0789908357814 826),(1.03118990431 982),,(2.51860005152 1336),,,(1.50522392869 1848),(1.33226762955e-14 2027),(2.22044604925e-14 2166),(4.6023299903 2317),,,(0.51877822867 2855),(5.33601896174 3020),(4.71617278491 3180),(3.94997041629 3371),,(7.60449791585 3698),(0.339468794714 3913),(1.79570392444 4117),(1.88305981953 4311),(0.400588630153 4507),(2.31077411836 4674),,(1.70733973489 5036),,(8.87907524577 5372),,
