Cycle,0.858888888889
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(9.59452721559 80),(12.8195842575 250),(10.5335854327 417),(10.1896516833 585),(12.0865629225 760),(11.7604223184 941),(11.6824787048 1118),(12.0784417226 1294),(12.9072958972 1472),(13.3938664003 1646),(12.6350765409 1835),(12.9003573282 2020),(11.7806277095 2208),(13.0398249338 2397),(13.8109597176 2582),(11.7668662952 2768),(13.9305108244 2957),(13.55293797 3148),(11.296894866 3342),
Point0,H2,(8.881784197e-16 119),(3.1453585888 285),(1.81604938754 455),,(2.44470961034 797),(2.4331063263 985),,(3.13391995884 1337),,,(1.7763568394e-15 1921),,(2.42730409425 2252),(4.38784963094 2440),,(3.15023509049 2811),,,,
Point0,H3,(1.47680285074 139),(3.87445246 299),(2.84818886851 473),,(2.72372540793 810),(2.45676250025 990),,(3.23879365494 1346),,,(1.28572571796 1946),,(2.49740887967 2260),(4.53283079426 2450),,(3.40582848104 2821),,,,
Point0,H4,(1.04049656455 154),(1.27835321289 345),(0.326739267107 511),,(2.18475692847 831),(2.22044604925e-15 1024),(4.4408920985e-16 1203),(1.15611168475 1395),,,(0.971597401879 1958),,(0.207796140569 2313),(2.32019213602 2515),,(-6.2172489379e-15 2873),,(0.614315761528 3273),,
Point0,H5,(1.15117789627 164),(1.58050962249 365),(0.413085834026 520),,(2.34059793067 844),(1.94603990139 1052),(1.50739896878 1231),(1.15613156275 1396),,,(1.28836605464 1970),,(0.626809126281 2332),(3.07013511522 2530),,(1.27136026135 2897),,(0.694090836773 3282),,
Point0,H6,(8.881784197e-16 119),(-0.00203922033101 193),(-0.00133608124511 386),(-0.000767871344019 538),(-7.9936057773e-15 619),(1.7763568394e-15 725),(-1.33226762955e-15 905),(2.22044604925e-15 1024),(4.4408920985e-16 1203),(-3.5527136788e-15 1437),(4.4408920985e-15 1615),(1.33226762955e-15 1765),(1.7763568394e-15 1921),(6.2172489379e-15 1986),(-0.00112769340595 2139),(-0.0072715223631 2354),(4.4408920985e-15 2549),(-0.0050214682626 2737),(-6.2172489379e-15 2873),(-3.5527136788e-15 3109),(-0.0112954885933 3302),
Point1,H1,(11.970718737 82),(16.4373532579 251),(14.812890589 418),(14.897436364 587),(16.7124648439 761),(15.9780725933 941),(15.3107402587 1120),(16.0668989167 1294),(17.0494993698 1472),(15.7412625162 1648),(16.414768812 1836),(17.0759506239 2019),(15.6522957884 2209),(17.0798348223 2398),(17.3516921858 2582),(15.9254720122 2769),(17.0833638541 2959),(17.9311959288 3150),(15.8314243269 3343),
Point1,H2,(1.45120489711 121),(4.55336938111 286),,(2.6032003662 623),,,,,,(4.23180075805 1696),(0.675947764628 1927),(4.65586457733 2063),(3.83424043467 2251),(4.42522277482 2472),(6.05431559189 2622),,,,,
Point1,H3,(1.49624771085 130),(4.93186401455 297),,(3.2302303019 638),,,,,,(4.43344941235 1704),(1.09306172128 1942),(4.77303085176 2071),(4.06170951753 2262),(4.42527076417 2473),(6.54380560704 2634),,,,,
Point1,H4,(-0.138228410495 185),(1.14729628512 340),(3.45783638232 455),(0.954307615167 694),(3.76625255709 799),(0.93056012046 1033),(0.257797013982 1210),,,(0.829950703453 1754),(0.1339492699 1959),(0.129500513285 2154),(0.799978112256 2300),(2.91949610125 2518),(1.16218690681 2712),(0.18462550407 2880),(2.68125866258 3048),,,
