Cycle,0.618310810811
Average Width,5.13615779263
Width,,6.8194180337,4.96034417369,4.86654498349,4.93751549975,4.9606929208,5.11328201827,4.86844550658,4.93505040466,5.04851029345,4.94693486816,4.8991297272,5.11990574764,5.12087872896,5.26907941622,5.2654709329,5.30615836891,5.20914901895,5.1863260913,5.05016093516,4.87683259858,5.20215113958,5.06272152671,5.07498110653,5.31371817633,5.18137055648,5.45021750221,5.22805839426,5.26736831771,5.1724450415,5.2886518529,5.08176599379,5.3751295629,4.90309349967,4.99392461688,5.02755612903,4.83987388527,5.00368944784,4.94744910212
Point0,H1,(31.4407474409 61),(9.86337861156 213),(11.8479118693 346),(11.6209839601 481),(13.4258590356 618),(14.1211681236 751),(13.1336597323 875),(13.2994915063 1001),(14.5314920413 1127),(13.9117524816 1252),(12.7658896873 1375),(13.7887017753 1498),(14.3861340432 1623),(13.647394818 1749),(13.0896174423 1876),(13.0938171658 2000),(13.8015246223 2121),(13.1307738016 2238),(12.3184392949 2362),(9.10796394744 2462),(14.8498744598 2628),(12.5460834419 2766),(12.5001262864 2892),(12.9577672979 3018),(13.0674566476 3144),(13.6533179167 3270),(13.0571337624 3402),(12.4149811995 3527),(12.8432153915 3645),(14.3978228868 3770),(12.1611518126 3898),(14.23958394 4026),(11.8979352585 4156),(10.6466449784 4283),(11.231193125 4406),(11.252236121 4530),(12.3422515583 4659),(11.8687413082 4787),
Point0,H2,(19.2388289748 94),(-0.0432265571245 249),(2.31397209032 389),,(3.3107297899 659),,,,,,,(5.61188815612 1529),,,,,,,,(3.09105313689 2500),,,,,(5.75257551319 3178),,,,,,,,,,,,,,
Point0,H3,(20.033782952 105),(1.60434570493 266),(3.25155828949 405),,(5.86061092371 678),,,,,,,(5.98213766309 1545),,,,,,,,(4.98948978025 2520),,,,,(6.19563471972 3192),,,,,,,,,,,,,,
Point0,H4,,(0.80110781782 281),(1.6742350782 423),(3.6462054825 518),(2.14819158786 700),(5.0425135909 790),(2.44010459127 915),(5.25565100866 1047),,(5.17068071903 1290),(4.33030709386 1415),,(5.8365517568 1656),(5.61705090091 1784),(4.55166526819 1909),(2.93516127863 2037),(3.98573405865 2159),(3.98009444513 2282),(2.22632209977 2406),(1.06223976681 2565),(6.63185513509 2661),(3.48471396662 2804),(2.805704258 2933),(4.57039319064 3055),,(5.25490957364 3303),(4.78130527193 3434),(4.85260707789 3560),(4.05624397773 3686),(4.08191526019 3809),(4.73082900944 3941),(5.09855338649 4057),(3.78457466961 4198),(2.57880258841 4318),(3.10086254765 4439),(3.27565045382 4569),(5.25842774049 4693),,
Point0,H5,,(1.1820198175 295),(2.31616806805 435),(4.6916492853 535),(2.22087963791 706),(6.23715691093 805),(3.48185173101 935),(5.38363787955 1057),,(5.99675057334 1307),(5.17030215381 1432),,(6.59030526877 1672),(6.87589424735 1799),(6.43286174963 1929),(5.20496327611 2058),(4.65886253508 2177),(4.94332177061 2301),(2.9871725244 2419),(2.36607341465 2580),(7.97641941627 2678),(5.70966775639 2824),(4.59588367684 2953),(5.51875275742 3078),,(6.9710345077 3330),(6.76686313368 3452),(6.1519627663 3579),(5.14458682237 3704),(4.8281762935 3828),(4.96120516713 3955),(5.92040588062 4075),(4.54426356063 4216),(3.5278249228 4342),(4.46750522735 4463),(5.04910893223 4587),(6.56998205176 4711),,
Point0,H6,(-0.313665831346 182),(-0.0432265571245 249),(-0.0144575486141 315),(-1.24344978758e-14 452),(-1.24344978758e-14 589),(-0.000833133581661 723),(-2.6645352591e-15 847),(-0.000737553531438 965),(-1.7763568394e-15 1092),(2.6645352591e-15 1221),(-0.00216658379486 1347),(-8.881784197e-16 1469),(-3.01980662698e-14 1590),(7.9936057773e-15 1717),(-7.1054273576e-15 1845),(-1.7763568394e-14 1972),(4.35207425653e-14 2092),(3.5527136788e-15 2211),(-0.0249857448956 2329),(-1.02140518266e-14 2436),(2.30926389122e-14 2596),(-0.00234748574985 2739),(-1.15463194561e-14 2864),(-0.00580418773147 2987),(1.33226762955e-14 3110),(-4.88498130835e-14 3238),(-1.7763568394e-15 3364),(1.42108547152e-14 3494),(2.57571741713e-14 3619),(-5.3290705182e-15 3740),(-1.06581410364e-14 3866),(9.7699626167e-15 3995),(-8.881784197e-15 4125),(2.22044604925e-14 4251),(-7.1054273576e-15 4373),(-1.50990331349e-14 4500),(7.1054273576e-15 4629),(-3.5527136788e-15 4757),
Point1,H1,(40.879771229 58),(17.0885270308 202),(20.1095870696 337),(18.7693945489 472),(21.6869649871 610),(21.8090317312 742),(21.0199985411 866),(21.7481604536 992),(22.2086189909 1118),(21.4920044131 1243),(20.0211977641 1366),(20.7345305488 1490),(21.2493037895 1614),(19.986128013 1740),(18.8647191336 1867),(18.890669844 1992),(20.115079623 2113),(19.4430006808 2229),(19.141620439 2353),(14.9974124579 2453),(22.1991995687 2618),(19.7596826858 2757),(18.9014186925 2884),(18.6575774865 3009),(19.2561585352 3134),(19.3647490744 3261),(18.7016925706 3392),(17.8566038409 3518),(19.0237446205 3636),(20.982352935 3762),(18.803378665 3889),(20.3176933364 4018),(19.2912343273 4147),(17.6916814381 4274),(17.7890761079 4397),(19.1295794575 4520),(19.5163935127 4648),(18.1834009343 4778),
Point1,H2,(25.7642334909 88),(-0.0309101279136 239),(4.4719241375 380),(4.80533217044 509),(5.30283132991 652),,,,(8.94847490018 1154),,,,,,,,,,,(4.17407499259 2493),,,,,,,,,,,,,,,,,,,
Point1,H3,(26.3432368313 97),(2.45049761808 257),(5.4918470756 396),(6.21467643402 527),(8.36368122507 670),,,,(9.16783380507 1165),,,,,,,,,,,(6.86836849981 2513),,,,,,,,,,,,,,,,,,,
Point1,H4,,(1.33587811398 274),(2.6728004918 415),(0.79516122051 567),(3.72841659546 691),(6.27865723146 780),(3.80776834608 907),(7.83692017445 1040),,(7.4207301741 1280),(6.00831023668 1406),,(7.71086973062 1646),(7.63269943154 1775),(6.46383238145 1901),(4.32955000677 2027),(5.49064539811 2146),(6.45996774046 2272),(3.03369792517 2397),(1.17743472746 2557),(9.89948062449 2652),(4.98215220749 2797),(4.30353287408 2923),(5.72022719494 3046),(7.3609018401 3168),(6.66682192323 3295),(6.34997731776 3425),(6.02181656443 3551),(5.36166875648 3677),(6.31682627469 3800),(6.57403986912 3923),(6.42684644079 4048),(5.86253294325 4184),(3.79542277431 4306),(5.01488528808 4430),(5.27259081701 4560),(6.58740709262 4686),,
Point1,H5,,(1.41527679533 282),(3.630763425 427),(0.796778908489 569),(3.91652937308 697),(8.4398689849 798),(5.05934633136 927),(7.92995419641 1048),,(8.79752084465 1297),(7.93605702026 1426),,(8.67762526627 1664),(9.57646532636 1791),(9.6056290061 1921),(7.27044704862 2050),(7.19909061887 2168),(7.48443041799 2291),(4.6921610985 2411),(3.16215329879 2572),(11.0145801342 2668),(8.52878589729 2816),(6.87787094376 2944),(7.58304676738 3070),(8.46557610179 3189),(8.56685246038 3319),(8.9193083112 3442),(8.37395515251 3571),(7.00871665028 3696),(6.81107091374 3817),(7.31429623289 3946),(8.07738862224 4069),(7.44423103068 4205),(6.06617549414 4330),(7.5345430794 4451),(8.03316511039 4579),(9.91563437012 4704),,
Point1,H6,(-0.409997803492 173),(-0.0309101279136 239),(-0.0327665855136 304),(-2.04281036531e-14 444),(-0.00409919804128 581),(6.03961325396e-14 715),(4.08562073062e-14 838),(-1.17004336531e-06 957),(3.19744231092e-14 1084),(1.95399252334e-14 1212),(-5.3290705182e-14 1339),(-2.6645352591e-14 1460),(-1.7763568394e-14 1581),(4.97379915032e-14 1708),(-5.15143483426e-14 1837),(4.70734562441e-14 1963),(5.06261699229e-14 2082),(-1.16880806438e-05 2202),(-8.881784197e-15 2320),(2.13162820728e-14 2428),(-0.00456533952182 2587),(7.1054273576e-15 2730),(-1.7763568394e-15 2856),(1.33226762955e-14 2978),(-3.01980662698e-14 3101),(-2.30926389122e-14 3229),(-3.5527136788e-15 3356),(-8.881784197e-15 3485),(8.881784197e-16 3610),(-5.3290705182e-15 3732),(1.33226762955e-14 3857),(1.42108547152e-14 3986),(-6.2172489379e-15 4117),(1.15463194561e-14 4242),(9.7699626167e-15 4365),(1.24344978758e-14 4492),(-0.00389496730775 4620),(9.7699626167e-15 4749),
Point2,H1,(50.540652568 57),(20.9014080003 202),(22.4182774158 337),(21.5431218723 472),(23.5744132743 610),(22.8190666471 743),(22.0034538689 867),(21.9693306871 994),(22.1951178126 1119),(21.8838036382 1245),(19.5887866622 1368),(20.6222407118 1491),(21.3538244738 1615),(19.2928696896 1740),(17.6193667944 1869),(17.8445048419 1992),(18.9256737622 2114),(17.872705231 2232),(18.641572303 2353),(14.0483447411 2455),(21.7639438623 2619),(19.1828770964 2757),(18.1789421075 2885),(17.3525654389 3010),(17.1647917172 3135),(17.4953210477 3262),(18.4217014838 3394),(16.6780638239 3518),(18.2392281091 3638),(20.0194552523 3763),(18.5100655334 3890),(19.3057240144 4019),(18.084467629 4148),(16.8494179445 4275),(17.6377796948 4398),(18.7095337044 4522),(17.9505926279 4649),(16.7767818058 4779),
Point2,H2,(32.1581848435 92),(-0.0574996460825 240),(4.28699018748 382),,(5.68072846686 653),,,(8.42939435635 1032),,,,,,,,,,,,(4.12774604026 2490),,,,,,,,,,,,,,,,,,,
Point2,H3,(32.1704824968 95),(3.31233511827 259),(5.74630412676 397),,(8.86116134059 671),,,(8.47084045976 1039),,,,,,,,,,,,(6.90092419462 2513),,,,,,,,,,,,,,,,,,,
Point2,H4,,(2.02321738213 274),(2.41771990309 415),(5.02732927958 510),(3.81844026743 693),(6.04899128676 782),(3.48992811123 904),,,(7.47048493601 1281),(5.46005534019 1406),(7.42459529523 1524),(7.82123403035 1649),(7.25130566413 1777),(6.36297087332 1900),(4.09681976098 2031),(5.4651721495 2146),(6.30870973015 2273),(3.12762396605 2399),(1.26455098015 2559),(10.0634695486 2654),(5.29170965333 2799),(4.56568557123 2924),(5.6305367026 3043),(6.80879160575 3168),(6.48544463937 3295),(6.91146101093 3426),(6.12837850982 3552),(5.52678257172 3677),(6.11924672011 3803),(6.51202396709 3929),(6.23000299674 4055),(5.85688426562 4185),(4.53760354974 4308),(5.4327216435 4431),(5.30269849371 4560),(6.50364061217 4686),,
Point2,H5,,(2.23532051702 283),(4.44563037328 429),(7.4312558142 529),(3.90432875746 698),(8.22534936681 799),(4.78028780964 925),,,(9.04182136828 1298),(7.23352658621 1425),(8.31038706267 1544),(8.64409087157 1664),(8.99016553135 1793),(9.29045180052 1922),(6.61949182699 2051),(7.40698052176 2167),(7.42218908386 2291),(4.47541270361 2412),(2.70444584971 2573),(11.6212042573 2671),(7.97272405652 2817),(6.63159535549 2945),(6.93550707835 3068),(8.06018691399 3187),(9.17363196205 3316),(9.41767092958 3443),(8.74571897528 3572),(7.09940785389 3698),(6.90872012739 3821),(6.97251568321 3946),(7.57443388992 4077),(7.57453412062 4207),(6.56146657758 4333),(8.02221768987 4451),(7.43383482667 4579),(9.47619087862 4705),,
