Cycle,0.672023809524
Average Width,2.74683250698
Width,,2.61584045619,2.65966741829,2.66969712142,2.59536559862,2.62729808896,2.68636806638,2.7664758076,2.64125218224,2.560001783,2.84379581298,2.70000899437,2.6714935963,2.71899557433,2.60576236696,2.73671329266,2.79155092314,2.74117891377,2.69233241501,2.80279161024,2.90354138415,2.88363041362,2.88037767661,2.79088612739,2.85962292102,2.85499685355,2.92248596343,2.78509484352,2.90069728603,2.75021921063
Point0,H1,(5.82636446023 34),(5.47817121517 191),(5.76027677894 317),(5.45911568933 452),(6.44265449904 585),(7.71824265051 725),(7.34635619241 874),(5.47844119532 1008),(3.94628535703 1143),(6.79872334231 1292),(6.44896959509 1418),(7.07741851176 1561),(8.00949134024 1699),(6.03101526184 1830),(8.29763091544 1972),(9.2163954273 2118),(8.76134931793 2255),(6.43724093584 2392),(10.2218466721 2534),(10.7452488627 2677),(10.018056662 2817),(11.6386814662 2950),(10.6139237854 3093),(10.0544217471 3233),(11.3111555434 3367),(12.8432095519 3508),(8.50022022229 3650),(9.31362236545 3794),(6.48506303128 3939),
Point0,H2,(3.36421452582 65),,,,,(5.66625685072 746),,,,(2.91688997953 1316),,,,(3.97126249485 1854),(5.43103770097 1991),(7.84241015752 2140),,,,,,(8.8107287869 2971),,(4.4822283355 3256),,,(4.13621525119 3698),,
Point0,H3,(3.48345636288 75),,,,,(5.7250454801 753),,,,(3.77630143158 1330),,,,(4.00354298023 1861),(6.09226314947 2004),(7.85371248028 2144),,,,,,(8.8433275146 2975),,(5.20918095927 3268),,,(4.51190943961 3710),,
Point0,H4,(5.99520433298e-15 135),(3.71275424547 210),,(-0.015289321545 532),,(2.26374142637 804),(1.87352352032 926),(3.54402762367 1041),(-0.0374263068938 1191),(2.30250350209 1349),(4.07027417727 1454),(4.74803591566 1603),(4.90049899492 1729),(2.70263061912 1895),,(7.24461232863 2166),(4.79049184372 2281),(3.53865675316 2429),,,(0.181318560209 2906),,(8.04715850416 3120),(3.77103067284 3286),,(6.17041150215 3558),(2.12014023757 3734),,
Point0,H5,(5.17397848843 168),(4.85591261111 227),,(0.25357498281 543),,(2.26374923918 805),(3.40522672268 949),(3.89459413378 1055),(0.701650221454 1218),(2.50179919066 1358),(4.12654182896 1463),(5.2654519168 1615),(5.00067993605 1738),(2.81487679041 1904),,(7.24502635141 2167),(5.20695631429 2293),(4.27642956302 2445),,,(0.183006867209 2908),,(8.11522044275 3128),(3.90076412113 3294),,(6.18801996957 3563),(2.15301710661 3739),,
Point0,H6,(5.99520433298e-15 135),(-0.0725285714841 268),(-0.00468290284203 417),(-0.123994878682 555),(-0.0517039554023 688),(-0.00836282630506 833),(2.6645352591e-15 976),(6.2172489379e-15 1117),(-0.0374263068938 1191),(-0.0065488333894 1381),(-8.881784197e-16 1522),(-4.4408920985e-15 1664),(-3.99680288865e-15 1805),(-0.00546294526294 1939),(-7.1054273576e-15 2076),(2.22044604925e-15 2223),(-0.0067280284642 2357),(-0.00831572285819 2493),(-0.0136978929665 2637),(-0.00659828800152 2782),(-1.7763568394e-15 2918),(-1.7763568394e-15 3056),(-0.00406496809082 3201),(-0.00611445176355 3337),(5.3290705182e-15 3466),(4.4408920985e-15 3614),(7.9936057773e-15 3759),(-0.0130341407534 3907),
Point1,H1,(13.5834271667 27),(14.7519385922 168),(13.3687262702 312),(13.4675697417 453),(15.281247071 585),(17.1749479767 726),(14.3166608887 867),(13.7141960611 1002),(13.8695061073 1144),(12.8465470854 1280),(15.2998053331 1416),(15.6964686492 1558),(15.5697418688 1699),(15.0957727823 1831),(16.441609175 1973),(17.5798763937 2116),(17.5210676846 2257),(15.1794876359 2392),(19.7743477302 2533),(19.0408013557 2677),(16.7930458363 2817),(19.8826273742 2951),(19.3411597547 3092),(17.4646351281 3236),(18.312015363 3367),(21.4474108301 3509),(17.62770263 3650),(17.6266025828 3792),(16.510575464 3939),
Point1,H2,,(5.98389106058 215),,(6.24387626877 478),,(8.95865625172 750),,,,,,(8.65781574028 1585),(7.64386501518 1730),(7.56724519118 1855),(8.06100945242 1996),(11.0278145261 2141),(7.63314913592 2287),,,,,(11.1751137841 2973),(10.8318125517 3120),(7.50778832516 3264),(10.1408015129 3390),,,,
Point1,H3,,(6.21680471287 224),,(6.51346814998 487),,(9.23983386881 758),,,,,,(8.66492682613 1587),(7.82057554446 1739),(7.68607710823 1862),(8.64210691405 2006),(11.2926407798 2149),(8.12716958608 2298),,,,,(11.409796181 2980),(10.9642527004 3126),(7.56938917132 3269),(10.2112441335 3395),,,,
Point1,H4,(7.06845419484 69),(-0.00138667803408 267),(5.98327158076 360),(1.43841911037 535),(5.91671009259 632),(3.41305681734 807),(3.50131454989 948),(6.06126553651 1046),(5.01269304249 1192),(5.38562481122 1317),(5.7094690754 1463),(7.20351082813 1609),,,(6.8867705817 2027),,,(6.76776825738 2435),,,(7.56929238658 2851),(8.20046741656 3002),,,(6.88149516714 3419),,(3.36729035293 3733),,
Point1,H5,(7.57662245726 80),(0.110526006865 275),(5.9840177216 362),(1.57728176187 543),(5.92734057226 635),(3.43724332813 811),(3.68051420527 956),(6.44977551198 1057),(5.10766281799 1199),(6.44932472042 1331),(5.80576659621 1470),(7.226155406 1613),,,(6.88832231241 2029),,,(6.99277344851 2445),,,(7.72687643225 2859),(8.26178270397 3007),,,(6.89903844879 3422),,(3.94621220595 3743),,
Point1,H6,(-5.3290705182e-15 139),(-0.00138667803408 267),(-0.000636522551632 418),(1.68753899743e-14 558),(-0.00970395274685 693),(1.06581410364e-14 833),(8.881784197e-15 976),(8.881784197e-15 1118),(-1.06581410364e-14 1248),(1.33226762955e-14 1386),(-0.00453792179894 1523),(2.57571741713e-14 1666),(1.59872115546e-14 1805),(-0.0063562839256 1938),(6.2172489379e-15 2080),(8.881784197e-16 2224),(7.1054273576e-15 2363),(5.3290705182e-15 2497),(-1.24344978758e-14 2642),(-1.7763568394e-14 2785),(-3.5527136788e-15 2921),(-1.7763568394e-15 3057),(-0.010941580503 3202),(-1.06581410364e-14 3338),(-1.59872115546e-14 3472),(-3.5527136788e-15 3617),(-5.3290705182e-15 3761),(-1.7763568394e-15 3906),
