Cycle,0.736527777778
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(9.72641407696 32),(8.54714960329 184),(7.30329514735 334),(8.43099989744 497),(9.18173916528 641),(9.28578887772 805),(9.16062122124 958),(8.81744175081 1120),(10.1299452672 1281),(9.63145938556 1441),(10.6157334413 1599),(11.9682553368 1762),(13.0400445039 1919),(11.1325719224 2068),(8.49012761822 2223),(8.95632891313 2374),(9.46813276077 2534),(10.7137828118 2686),(8.07113840953 2834),
Point0,H2,(8.4940296289 48),,,,,,,,,,(7.75872568777 1619),(4.5946817047 1809),,,,,,,
Point0,H3,(8.69993071542 57),,,,,,,,,,(7.84447068565 1625),(4.61403639995 1813),,,,,,,
Point0,H4,(6.80025470725 80),(1.77422070423 268),(2.82398561337 382),(0.861595791781 589),(3.20861111331 701),(3.70094077507 848),(4.36020178711 1005),,(4.94451614955 1326),(6.36832655266 1466),(6.36710010047 1644),(0.538882734185 1849),(1.48891844338 2011),,(1.2444879371 2316),(3.77560171563 2423),,,
Point0,H5,(6.95502061671 90),(2.1151736884 280),(3.62245299186 398),(1.13780651576 599),(3.32408365433 711),(4.06503314103 861),(5.05048375098 1019),,(5.42791564886 1337),(7.3960098613 1484),(7.06164247507 1656),(0.729972791997 1861),(1.81394936262 2022),,(1.5456261718 2327),(3.84924252134 2432),,,
Point0,H6,(8.881784197e-16 153),(1.7763568394e-15 303),(1.7763568394e-15 458),(-5.77315972805e-15 614),(-0.000809185053846 758),(7.1054273576e-15 922),(-2.6645352591e-15 1090),(-5.3290705182e-15 1251),(-1.06581410364e-14 1408),(-8.881784197e-16 1566),(-0.00196108711645 1715),(3.5527136788e-15 1881),(-8.881784197e-16 2039),(-0.00484683590133 2184),(2.6645352591e-15 2343),(-1.7763568394e-15 2501),(-0.00208792302551 2646),(1.7763568394e-15 2806),
Point1,H1,(16.2067590313 33),(13.189337367 183),(14.1226577719 337),(13.6022540824 496),(12.0277492521 642),(13.9361685371 801),(14.5061605862 960),(12.0976324941 1120),(12.0070938465 1282),(11.3557334066 1440),(12.7022431166 1599),(12.8809260297 1760),(14.0129617106 1919),(13.5078439245 2068),(11.6335993615 2222),(11.9499688142 2379),(12.5116486319 2532),(13.2138350433 2686),(12.7695063231 2836),
Point1,H2,,,(6.18923632678 382),,,,,,(4.27844902687 1327),(5.42419624562 1483),(8.34266504403 1620),(5.41812389919 1806),,,,,,,
Point1,H3,,,(6.60800099521 392),,,,,,(4.27946430908 1330),(5.57897292033 1493),(8.40573786044 1625),(5.51672853211 1814),,,,,,,
Point1,H4,,(5.37547262508 225),(1.82518336224 425),,,,(1.36523207574 1051),(4.29055422632 1167),(0.364541002549 1372),(2.7090858534 1525),(5.63467770043 1648),(1.93742830877 1848),(2.22343529931 2014),(2.29514624876 2158),,(4.96584360873 2420),(5.48288228554 2578),,
Point1,H5,,(5.82574312403 238),(1.87183203316 431),,,,(1.44384302661 1059),(4.90985265241 1179),(0.931694768427 1389),(2.85634834116 1535),(5.97032120006 1658),(2.55429005578 1863),(2.53853577228 2023),(2.33996225491 2164),,(5.23739337498 2433),(5.54497045423 2585),,
Point1,H6,(2.6645352591e-15 153),(7.1054273576e-15 304),(1.7763568394e-15 456),(-0.00848764412057 615),(8.881784197e-16 764),(7.9936057773e-15 922),(-0.00438916161725 1090),(8.881784197e-16 1249),(-0.00105173788088 1409),(-0.00165601140707 1565),(-8.881784197e-16 1726),(-1.7763568394e-15 1884),(3.5527136788e-15 2040),(-8.881784197e-16 2187),(4.4408920985e-15 2343),(1.7763568394e-15 2497),(-1.7763568394e-15 2645),(8.881784197e-16 2808),
