Cycle,0.727722222222
Average Width,11.2630038591
Width,,8.66564009701,11.1002374229,12.0616551849,12.7939875828,11.592317023,12.5901528292,0,12.7040995716,10.4473743108,9.80041028091,12.8404474591,10.1370866257,10.2262872027,11.6119062341,11.7256717386,0,0,11.2992612489,10.6115269329
Point0,H1,(10.7002372233 74),(16.9873741263 224),(18.0674802035 373),(18.7926577168 530),(19.3488759807 688),(17.8996362462 840),(20.2315778606 992),(18.7774889156 1152),(17.1039472242 1301),(15.3309178297 1458),(18.6359928318 1614),(15.3075048362 1762),(15.172408409 1918),(15.0586436796 2069),(16.3774134095 2223),(16.129252431 2371),(19.0085466348 2527),(16.9458070364 2680),(15.9353831338 2843),
Point0,H2,,(5.50612155849 272),,,,,,,(9.17416802212 1345),(12.9315997092 1474),,(6.46693962459 1809),,,(6.61747022282 2266),,,,
Point0,H3,,(5.61639762882 279),,,,,,,(9.53874431039 1354),(13.0729830531 1480),,(6.59123130788 1816),,,(6.71263956864 2274),,,,
Point0,H4,(0.885136822061 148),(0.594597060424 317),(7.88291911467 417),,(2.2538102145 781),(6.04701708731 878),(2.20669533911 1085),(3.12440955279 1248),(0.305276234028 1403),(8.31478493409 1503),,(2.18401436196 1851),(1.24652508922 2018),(7.72849407623 2116),(2.38267907919 2310),(7.39296741006 2418),(2.55595587925 2619),,
Point0,H5,(1.54384458928 165),(1.33596786851 330),(8.17675356346 427),,(2.35921036111 789),(7.11789138513 892),(2.60493733183 1096),(3.15283944537 1253),(0.660022097187 1416),(8.82338824588 1513),,(2.67471897519 1863),(1.26857961839 2022),(7.74405225502 2120),(2.43657482824 2318),(7.40393102131 2421),(3.05743619327 2631),,
Point0,H6,(2.6645352591e-15 187),(-2.6645352591e-15 342),(-7.1054273576e-15 494),(1.7763568394e-15 650),(7.1054273576e-15 807),(4.4408920985e-15 956),(0.0 1113),(-1.24344978758e-14 1272),(-1.50990331349e-14 1428),(-8.881784197e-15 1574),(1.7763568394e-15 1731),(-1.7763568394e-15 1882),(-1.42108547152e-14 2038),(-0.00388168574708 2186),(-0.00243967243114 2341),(-1.7763568394e-15 2489),(-8.881784197e-16 2648),(3.5527136788e-15 2809),
Point1,H1,(15.3622976517 71),(18.4476255866 224),(18.5450308342 372),(19.4062693078 529),(20.1476195721 687),(18.3479791774 839),(20.6729974667 991),(20.138659592 1150),(19.1264420326 1301),(17.8092601068 1457),(18.9187373755 1614),(17.297460923 1762),(17.7275472488 1918),(16.2168352458 2068),(17.2691650556 2223),(16.7959195083 2370),(18.9099655681 2527),(17.9511731245 2681),(17.5277762075 2843),
Point1,H2,,(6.73476450316 271),,,(7.32646046514 736),,,,,,,(6.82888109397 1809),,,(7.44110243778 2268),,(6.77768169348 2573),,
Point1,H3,,(6.80554511617 277),,,(7.32790623327 738),,,,,,,(7.02684487982 1817),,,(7.44863055714 2271),,(6.96639198178 2582),,
Point1,H4,,(1.90778382861 316),(7.19842138536 416),,(2.13454317727 781),(7.16417000881 881),(1.89713957217 1086),(3.2183034958 1248),(9.60365072278 1348),(8.50122222801 1503),,(2.69766421615 1850),(6.81259255959 1967),(7.64197007165 2111),(1.31228884912 2320),(6.98860821988 2414),(2.58668725636 2619),,
Point1,H5,,(2.71039098202 328),(7.90404833038 428),,(2.2880705173 790),(7.39171364099 891),(2.11940530546 1095),(3.22924235546 1251),(9.64539674165 1353),(9.03271390553 1513),,(2.88460892322 1860),(7.06252935342 1976),(8.55062766783 2123),(1.33386305443 2325),(7.42619291197 2425),(3.07062325656 2630),,
Point1,H6,(7.9936057773e-15 186),(-2.6645352591e-15 344),(2.6645352591e-15 496),(3.5527136788e-15 648),(-7.1054273576e-15 807),(-0.00163462853013 955),(-3.5527136788e-15 1112),(-1.7763568394e-15 1271),(-6.2172489379e-15 1429),(-3.5527136788e-15 1574),(1.7763568394e-15 1731),(-4.4408920985e-15 1881),(-7.9936057773e-15 2038),(-1.7763568394e-15 2187),(8.881784197e-16 2341),(2.6645352591e-15 2489),(4.4408920985e-15 2648),(1.7763568394e-15 2807),
Point2,H1,(15.1540286374 70),(16.9619886554 223),(16.5041768944 372),(16.9187133753 528),(17.8035602862 686),(15.9445059631 838),(17.9382403827 991),(17.6197012425 1150),(16.8406175285 1302),(14.962679199 1456),(16.9867597336 1613),(15.4008354383 1762),(15.5044034311 1917),(14.3630827469 2066),(15.1432511259 2222),(13.5039583459 2370),(15.9317242275 2526),(15.6899098757 2680),(15.006781761 2842),
Point2,H2,,(6.34170573047 269),,,,,,,(8.04544302896 1347),(6.70221203627 1502),,(6.24316999684 1809),,,(6.3661675958 2264),,(6.35510716503 2572),,
Point2,H3,,(6.46640709519 277),,,,,,,(8.11655233991 1355),(7.07120035247 1512),,(6.28499936286 1814),,,(6.45567131185 2272),,(6.38956442264 2578),,
Point2,H4,,(2.29965705175 317),(6.62561478782 417),,,(6.68621966353 882),,,(1.92737262616 1403),(0.768467207852 1548),,(2.04374516363 1851),(5.58064069058 1966),(7.22848438254 2110),(0.0656128624784 2318),(5.45877481235 2413),(2.62510494846 2619),,
Point2,H5,,(2.5037559203 326),(6.91538088232 427),,,(6.70239350953 886),,,(2.12147429779 1413),(0.995120700568 1559),,(2.26307162422 1860),(5.9164982022 1976),(7.77478071557 2122),(0.274967567053 2328),(6.03670397478 2426),(3.03318640493 2630),,
Point2,H6,(-8.881784197e-15 185),(-6.2172489379e-15 342),(2.6645352591e-15 496),(0.0 650),(3.5527136788e-15 806),(1.15463194561e-14 956),(-0.00394246804914 1109),(1.42108547152e-14 1270),(-0.00384705907353 1430),(2.6645352591e-15 1575),(4.4408920985e-15 1730),(9.7699626167e-15 1880),(2.6645352591e-15 2037),(-0.000629846171072 2185),(5.3290705182e-15 2338),(-0.00490878891958 2487),(8.881784197e-16 2648),(-3.5527136788e-15 2806),
Point3,H1,(14.6303329738 67),(15.5319757835 217),(14.4307422354 366),(15.1675425087 523),(16.722709261 681),(14.4270005372 834),(16.6858159608 986),(16.5453398723 1145),(16.3963163357 1296),(12.8959451951 1452),(15.7217327499 1608),(13.4890043258 1756),(13.8870024053 1912),(12.9321178916 2062),(12.6994474922 2217),(11.530699455 2365),(12.8165988663 2520),(12.8782824924 2679),(12.7943516434 2838),
Point3,H2,,,(5.48971810461 412),(6.20039831191 569),,,,,,,,(5.47115363898 1803),,,,,(4.85148698739 2570),,
Point3,H3,,,(5.71792540163 421),(6.41525028151 579),,,,,,,,(5.5945725404 1811),,,,,(4.90957722648 2577),,
Point3,H4,,(5.56856435848 265),(0.341543829784 471),(2.79548125606 614),(1.90085549533 779),,(1.21221291855 1078),,(7.38394234812 1339),(0.742660936642 1543),,(1.41146176092 1848),,(6.25099384773 2107),(7.1054273576e-15 2310),(4.58083812109 2412),(2.10309760617 2615),,
