Cycle,0.656477272727
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(14.7868090516 34),(17.434489578 174),(18.0663317943 317),(16.4492411469 455),(17.859804565 590),(17.3172526123 722),(17.9969633259 863),(17.9642418178 999),(14.3878119007 1140),(16.1544928728 1278),(17.2500554153 1412),(15.71821426 1552),(17.0266830495 1693),(15.5350983559 1832),(13.9849904155 1970),(14.1898955201 2104),(15.5601427749 2241),(14.9505821951 2380),(14.511632105 2519),(14.1539449333 2659),(12.6885675455 2797),(13.9792625972 2929),(11.7153796391 3062),
Point0,H2,,(9.67658073707 202),(9.32125234298 348),(7.07220696493 487),,,,(9.29792123693 1040),(3.02389874424 1180),(5.3713134033 1307),,,(8.05078355432 1724),,(5.35787023988 1999),,,,,(5.03364629074 2706),,,
Point0,H3,,(9.96232881324 212),(9.84819025143 360),(7.36940969993 496),,,,(9.33259809572 1044),(3.1042435422 1187),(5.53491237832 1314),,,(8.22335374911 1732),,(6.11520017973 2015),,,,,(5.03421793463 2707),,,
Point0,H4,(6.13188037249 64),(4.05351528961 257),(3.81198481784 400),(3.31445402747 527),,(2.18444511501 799),(1.86227773123 945),(2.34242923007 1087),(1.05921939605 1211),(1.09778371744 1358),(2.43772299021 1488),(1.86230563042 1627),(3.13023699157 1777),(6.84693685287 1869),(1.85658544098 2046),,(3.12469415357 2319),(2.90369422999 2465),(0.720934143063 2607),(2.06207961992 2735),(4.23986801838 2829),,
Point0,H5,(7.24492596789 83),(4.05976766465 259),(3.82781494308 403),(3.36000966988 532),,(2.43154755787 808),(1.99288303937 952),(2.75113020826 1097),(1.70148464042 1225),(1.29493041799 1367),(2.51445305846 1495),(2.35901457524 1639),(3.13753010328 1780),(6.85488479594 1873),(2.45572903905 2058),,(3.26168926868 2327),(2.92937505359 2470),(1.16420892713 2618),(2.39609797271 2745),(4.29732961133 2836),,
Point0,H6,(-3.5527136788e-15 139),(-3.5527136788e-15 283),(8.881784197e-16 426),(-9.7699626167e-15 556),(-1.06581410364e-14 690),(-3.5527136788e-15 827),(8.881784197e-16 968),(-0.0181687980998 1114),(2.22044604925e-15 1245),(-2.6645352591e-15 1382),(-0.00550696212435 1518),(8.881784197e-16 1658),(-0.00919134173127 1802),(-9.7699626167e-15 1940),(-2.6645352591e-15 2074),(-0.000243644027299 2209),(-1.33226762955e-14 2347),(-1.15463194561e-14 2490),(-5.3290705182e-15 2631),(-1.7763568394e-15 2765),(-6.2172489379e-15 2896),(-7.1054273576e-15 3034),
Point1,H1,(12.2873437271 34),(14.3470319826 172),(13.826514795 317),(12.2803382822 456),(13.6714923357 590),(13.2082365536 722),(14.3436760561 862),(14.1794396672 998),(10.9717135296 1140),(14.0504061963 1278),(14.741038859 1412),(12.8348535602 1552),(13.5401192971 1692),(12.8749104061 1831),(12.3974854131 1969),(12.1749689609 2103),(12.683503669 2241),(12.88067088 2379),(12.7051436021 2518),(12.5798450692 2659),(11.4203483829 2798),(12.5208875954 2929),(11.1445249594 3061),
Point1,H2,,,,,,,,(7.23592037591 1038),(1.60665598093 1181),(4.25426239004 1306),,,(5.77252699124 1723),,,,(6.79029074079 2267),,(4.23182094739 2561),,,,
Point1,H3,,,,,,,,(7.46240601375 1047),(1.75362793845 1190),(4.61617124524 1315),,,(6.06468692682 1733),,,,(6.80228040239 2270),,(4.24682685079 2565),,,,
Point1,H4,(5.18811157407 64),(8.26155042489 201),(7.73311971841 347),(4.93792587069 484),,(1.88621939434 798),(0.882465061031 942),(1.70562742169 1087),(-0.00409103677769 1212),(1.15590062474 1355),,(1.1731524163 1626),(1.91490004468 1773),(4.9940572035 1867),(4.6714859091 1999),,(2.1515083509 2317),(5.65257344891 2416),(0.644570780824 2606),(1.75533824304 2734),(3.58290288086 2826),,
Point1,H5,(5.80490212025 83),(8.59510800838 212),(8.03434507496 358),(5.61104820948 497),,(1.94762736277 805),(1.37388716474 954),(2.05271595707 1097),(1.08630763078 1229),(1.29605609403 1364),,(1.85124869626 1640),(2.54094301123 1785),(5.16029884327 1876),(5.16255771937 2015),,(2.67957366402 2329),(5.76325059205 2424),(0.981352695907 2618),(1.91499872331 2743),(3.93400047879 2838),,
Point1,H6,(7.9936057773e-15 139),(-2.6645352591e-15 283),(7.1054273576e-15 426),(-5.3290705182e-15 555),(3.5527136788e-15 690),(7.1054273576e-15 826),(-0.0034299132999 968),(-0.00940196821193 1114),(-0.00409103677769 1212),(-0.000121816320573 1381),(1.33226762955e-14 1517),(1.42108547152e-14 1658),(8.881784197e-15 1802),(3.5527136788e-15 1939),(8.881784197e-16 2073),(2.6645352591e-15 2209),(-3.5527136788e-15 2347),(-1.7763568394e-15 2489),(-1.7763568394e-15 2631),(-3.5527136788e-15 2764),(-8.881784197e-16 2895),(3.5527136788e-15 3033),
