Cycle,0.739385964912
Average Width,3.88948019959
Width,,5.57733499069,3.863879541,4.13775440911,3.66301544971,3.69851772444,4.04942944851,3.50303642413,3.6109855604,3.42308062306,3.66732458398,3.90587489769,3.61892149552,3.72745642615,3.85541705333,3.74971287335,3.69386522132,3.91453720422,4.08426015182,3.68950183327,4.00430290012,3.76923739512,3.76978534467,4.23946559558,5.15942327732,3.9685953258,3.85431609882,3.80247880273,3.82578760567,3.83702571227,3.40881663641,3.92672496568,3.69305960036,3.52115686142,4.07620087314,4.08397644414,4.02036684873,3.53095665383,3.87701817945,3.88712675117
Point0,H1,(15.7262611308 33),(12.8603703888 198),(14.5101223144 359),(12.0269777141 513),(12.5829224737 662),(12.9423539952 820),(10.9714597178 974),(12.3129265238 1124),(11.7343069865 1270),(12.242812273 1429),(12.1106930544 1588),(12.6040842486 1735),(13.0482876061 1893),(12.5764919899 2054),(13.0485867042 2214),(13.1755252106 2360),(13.2199027514 2515),(14.2647127176 2666),(11.3425011619 2819),(14.1062605567 2966),(12.1853273824 3123),(12.8594089691 3270),(14.372483234 3413),(16.880319805 3559),(13.0085974915 3711),(11.0246472962 3859),(13.8557646476 4005),(12.1678981289 4153),(11.3730203508 4309),(10.4702847628 4454),(12.1328069507 4608),(10.9475430775 4756),(10.7693006149 4905),(11.9908624017 5051),(14.0744433193 5206),(12.5646726427 5359),(11.2971250153 5511),(12.3242831253 5663),(12.0922304716 5816),
Point0,H2,(8.41653393128 60),(7.45847663062 221),(7.67066805189 393),(5.89092043699 543),(6.59640073712 705),(6.3009543639 845),(6.04467301436 1002),(6.5751252465 1146),,(6.47606242699 1456),(5.66471451911 1614),,(7.29339553572 1919),(6.96394141008 2080),(6.8366934888 2241),(7.01657727681 2407),(7.35742112484 2542),(7.82368004488 2706),(7.39451819805 2841),(9.31012357197 2990),(6.80960579791 3153),(6.68379241282 3297),,(7.88214246237 3607),,(4.21184242003 3885),(6.84173006445 4031),(6.24606307888 4196),(4.68482650829 4335),(4.433640873 4493),(7.26045461851 4643),(4.96975662498 4784),(5.37640186539 4939),(7.42229078243 5087),,,,,
Point0,H3,(8.88982033756 72),(7.80091510733 232),(8.03505543959 406),(5.95411933621 549),(6.6853713425 713),(7.18540256818 863),(7.20855163097 1019),(7.08552163451 1158),,(6.78447655524 1470),(6.95563416213 1633),,(7.32793395035 1924),(7.2008099426 2093),(8.10849189101 2260),(7.02234374267 2410),(7.76402620192 2556),(7.94061636561 2713),(9.12691892983 2860),(9.38904138166 2997),(7.32906359041 3166),(7.28472610558 3313),,(7.89939734744 3611),,(6.14103088634 3904),(7.56425270153 4050),(6.283073929 4201),(5.91318470886 4354),(4.71630248232 4505),(7.37172778839 4651),(5.10356251527 4794),(6.35384719199 4955),(7.60253712755 5097),,,,,
Point0,H4,(1.93723813431 130),(2.13550259342 280),(1.60875376756 445),(1.44596716105 603),(2.07684624601 749),(1.29108888623 912),(0.94359926502 1054),(2.07809766945 1216),,(1.90129894981 1516),(2.05742793918 1681),(2.12345668303 1826),(1.69190682116 1976),(2.51604215128 2137),(2.30069373096 2303),(1.8065673756 2450),(2.76423884097 2606),(2.49822466686 2751),(1.77662523375 2899),(3.1770571728 3058),(1.47655309212 3201),,(2.29808994691 3504),(2.64139480697 3650),(7.85568974614 3744),(0.573987020315 3935),(2.12732160558 4098),(1.96716636549 4237),(1.11563941215 4404),(1.64209216783 4535),(2.11937709623 4689),(1.17367712559 4849),(1.34433971557 4989),(2.03867307823 5136),(2.65244877629 5295),(1.96450632873 5456),(0.667271747983 5597),,
Point0,H5,(1.93847146798 132),(2.61417992599 294),(2.89794289186 462),(1.90006797177 619),(3.03983246123 766),(2.10213846014 926),(2.32190262347 1071),(2.6809824732 1229),,(2.73252637003 1533),(2.58064542652 1693),(2.21026043704 1834),(2.23833779798 1991),(3.28291923622 2155),(3.42778434142 2318),(1.89801731434 2458),(3.27919363101 2620),(3.12830831661 2764),(2.15112693984 2912),(3.34871407907 3067),(1.5115609213 3206),,(2.93696075438 3517),(2.96673357889 3660),(8.46219332517 3757),(0.845878759338 3947),(2.59836229224 4109),(2.16112550566 4247),(1.37488985803 4414),(2.99469055866 4556),(2.77568906868 4703),(1.55638503945 4861),(2.05445910283 5004),(2.6921129583 5150),(3.88634231921 5310),(2.05875797922 5466),(2.54128097615 5615),,
Point0,H6,(-8.881784197e-16 169),(5.3290705182e-15 332),(-3.5527136788e-15 480),(7.9936057773e-15 636),(-7.1054273576e-15 790),(-6.2172489379e-15 943),(5.3290705182e-15 1092),(1.42108547152e-14 1246),(-2.22044604925e-15 1398),(-8.881784197e-16 1557),(-4.4408920985e-15 1710),(3.5527136788e-15 1862),(7.9936057773e-15 2024),(-4.4408920985e-15 2180),(-1.7763568394e-15 2335),(-9.7699626167e-15 2480),(-6.2172489379e-15 2638),(-8.881784197e-16 2786),(-2.6645352591e-15 2936),(8.881784197e-16 3089),(-2.6645352591e-15 3240),(-1.7763568394e-15 3383),(-1.7763568394e-15 3533),(5.3290705182e-15 3679),(-0.00935856603336 3826),(8.881784197e-16 3975),(1.24344978758e-14 4126),(5.3290705182e-15 4279),(3.99680288865e-15 4428),(8.881784197e-16 4575),(7.9936057773e-15 4725),(7.9936057773e-15 4877),(-0.0025000994091 5021),(6.2172489379e-15 5174),(8.881784197e-15 5328),(-0.00758963562626 5485),(-8.881784197e-16 5632),(6.2172489379e-15 5789),
Point1,H1,(14.9906769038 35),(16.3225301396 198),(17.0743516119 359),(15.3010623416 513),(16.416948506 663),(14.9426416165 822),(15.9990939502 974),(16.1109952853 1124),(16.223809545 1274),(16.163461861 1430),(15.1506070971 1588),(17.0504575203 1736),(16.287874594 1894),(15.4748459468 2054),(15.6559243489 2213),(16.9185652158 2361),(15.5376826122 2517),(16.6527123642 2667),(14.5994255062 2818),(15.9242110443 2966),(14.6772856729 3124),(16.0769945065 3270),(15.6424141139 3414),(15.9978452158 3559),(14.8364056081 3713),(13.9883134485 3859),(17.1054719332 4005),(14.700103016 4153),(14.3296752204 4309),(16.2732238607 4454),(15.370611681 4605),(14.7600998418 4757),(15.7400223156 4905),(14.3723503449 5052),(16.1837662234 5206),(15.4824568932 5359),(16.0354377048 5511),(15.4042609783 5663),(16.5358858289 5818),
Point1,H2,(9.96750360513 63),(8.70008015069 221),(8.50634384343 383),,(7.68976520757 707),,(8.05475164475 1003),(8.66430917817 1150),,,(6.17568489976 1613),,(6.58863192839 1943),(7.81048302879 2077),(7.04434509118 2235),(9.43037157521 2398),(9.12575302963 2544),(9.26766867876 2701),,(9.68495474756 2987),(6.79350407961 3155),(7.41741450082 3294),,,(8.38895901996 3742),(6.16009932863 3885),(9.52928393727 4026),(7.11181867229 4193),(5.71894661645 4334),(6.65522189182 4480),(8.50676539102 4644),(7.26006304375 4777),(8.37109046161 4945),(6.9412576253 5088),(8.06051557883 5234),,(7.54460948165 5546),,
Point1,H3,(10.2275815212 73),(10.2602999855 241),(9.59112080747 403),,(7.68996923777 708),,(10.6519530169 1022),(9.82954103457 1168),,,(8.71910333354 1633),,(6.59171808337 1945),(8.49019354791 2091),(8.87080528579 2255),(9.62409933742 2407),(9.13152355994 2547),(10.2187981527 2715),,(9.99223313549 2996),(7.56063539587 3170),(8.3861158601 3310),,,(9.47048150036 3757),(8.3175985514 3905),(10.7557789587 4038),(7.38190435144 4203),(7.54794423123 4355),(7.58021910446 4501),(8.69600188301 4653),(8.73879939689 4791),(8.63699521073 4954),(7.77632694747 5101),(8.26164894793 5246),,(7.9026156033 5559),,
Point1,H4,(2.67462762714 118),(2.7568954345 280),(1.58974833475 447),,(1.29586911945 751),,(3.50851690686 1054),(3.26621595264 1217),(1.07202355926 1360),(1.69179480616 1517),(1.80829273016 1662),(2.09489909092 1824),(1.54710330071 1980),(2.0797805162 2139),(2.72380162529 2304),(1.74834225817 2447),(3.23976266862 2601),(3.95892650645 2754),(7.12726266931 2843),(3.4982039925 3056),(1.26927032355 3221),,(1.90254107714 3495),,(2.84799768925 3794),(1.58005069056 3938),(2.61199053543 4090),(1.49925777166 4243),(1.45029317408 4400),(2.42839712453 4543),(1.80388739364 4692),(2.59732094596 4846),(1.89172017371 4993),(0.499156705887 5135),(2.12911913467 5298),,(2.32879540964 5601),,
Point1,H5,(3.61028641387 134),(3.6412259663 296),(3.08870556864 463),,(2.06170842447 767),,(4.41204242742 1067),(3.71868671755 1229),(2.7503787902 1378),(2.85524798789 1534),(3.22852077265 1693),(2.35128831063 1834),(1.73397812724 1990),(2.78425243789 2156),(3.98568460605 2319),(3.53286992592 2464),(4.35600574377 2620),(4.01395971734 2759),(9.56800101357 2863),(3.86557409219 3067),(1.50778176624 3230),,(2.80363077919 3518),,(3.91259648584 3807),(2.17944568649 3952),(3.22944646688 4107),(1.55762607863 4250),(1.89572763915 4413),(4.19260421861 4559),(1.96470358165 4701),(4.05769792311 4863),(3.62545020609 5008),(0.803145438367 5146),(3.16901671914 5311),,(3.04320304326 5614),,
Point1,H6,(-1.24344978758e-14 170),(-4.4408920985e-15 333),(-2.39808173319e-14 481),(-4.26325641456e-14 638),(-3.01980662698e-14 791),(-2.22044604925e-14 944),(-1.24344978758e-14 1091),(-1.86517468137e-14 1247),(-4.4408920985e-15 1400),(-0.00442652295505 1555),(-7.9936057773e-15 1710),(-0.0012258906774 1866),(-1.24344978758e-14 2024),(-1.33226762955e-14 2188),(-9.7699626167e-15 2335),(-9.7699626167e-15 2483),(-1.33226762955e-14 2640),(-1.50990331349e-14 2785),(-8.881784197e-16 2938),(2.6645352591e-15 3090),(5.3290705182e-15 3244),(8.881784197e-16 3381),(8.881784197e-15 3534),(7.9936057773e-15 3680),(-8.881784197e-16 3828),(-7.1054273576e-15 3976),(1.06581410364e-14 4126),(-0.00451192664002 4281),(-0.00646280092782 4428),(2.48689957516e-14 4577),(1.42108547152e-14 4727),(1.06581410364e-14 4880),(-0.00288840466676 5025),(1.68753899743e-14 5170),(1.15463194561e-14 5328),(9.7699626167e-15 5486),(-0.00252722640081 5631),(1.7763568394e-15 5791),
