Cycle,0.89931372549
Average Width,8.49908496034
Width,,14.5952449704,14.1651467368,11.4816883198,7.38067336358,8.30803963155,13.7518782609,8.78769138991,6.9975432118,6.62450827264,7.12861114343,6.5886363158,6.4762481093,0.0,6.95473139217,5.37854874002,6.43412819989,6.62663430228,6.80449196547
Point0,H1,(25.1937703523 33),(29.7616226521 240),(28.3412879235 450),(23.1463008566 654),(22.0784830503 849),(22.9956472158 1054),(22.2520197475 1262),(18.8011778112 1458),(19.6360814808 1663),(18.3086654201 1856),(20.7806846469 2064),(14.8870293445 2269),(13.9016369478 2374),(43.7208469539 2478),(17.5048445176 2671),(24.7602324912 2880),(20.4867867505 3090),(24.2870772224 3296),
Point0,H2,,,,,,(3.17686673034 1136),(4.70706616755 1354),(8.46858841729 1505),,,(11.642734799 2112),,,,(6.28368795248 2718),(13.1255537964 2925),(0.363329050725 3194),,
Point0,H3,,,,,,(3.39470831118 1147),(4.73087133492 1359),(8.55894730512 1512),,,(11.6473277396 2115),,,,(7.2605509007 2730),(13.56570287 2935),(1.63086126625 3211),,
Point0,H4,,(4.9571648203 378),,(3.01495366813 767),(4.09470926833 986),(0.339243402179 1192),(1.50674572063 1397),(1.87484682794 1594),(0.790562805721 1808),,(8.52271079591 2144),,,,(3.81517136171 2772),(3.76529484087 3019),(1.1038713948 3223),,
Point0,H5,,(5.16315802463 386),,(3.41160888299 780),(4.19386038976 993),(1.08758595858 1206),(2.14571090009 1412),(2.03877959778 1603),(0.802474178993 1811),,(8.77414926238 2156),,,,(4.18143507449 2789),(3.86301617157 3026),(2.02083721344 3237),,
Point0,H6,(-0.0435983991742 1),(1.64364692524 140),(-0.00967919156222 198),(-8.881784197e-15 408),(0.0 616),(-8.881784197e-15 815),(-1.7763568394e-14 1014),(8.881784197e-16 1218),(0.0 1427),(-1.7763568394e-15 1623),(-0.00220876614456 1825),(-0.0497120345761 2022),(-0.31592425154 2233),(-0.0426276663782 2316),(-0.297331258721 2427),(-2.90275673404 2639),(-0.000816163657181 2836),(-0.0247152287592 3046),(0.363329050725 3194),(-0.00829458517331 3252),
Point1,H1,(27.489273243 33),(35.6500912264 240),(36.8815503201 449),(31.6768103887 654),(29.1053094495 847),(27.3403265395 1052),(26.7211128541 1265),(23.3934946 1458),(24.6414789924 1661),(22.7342728657 1855),(26.3236591887 2064),(20.2645941063 2267),(13.2013749722 2375),(51.1648904568 2478),(24.4813822025 2671),(31.0201072273 2880),(26.3569048142 3090),(34.1960961103 3298),
Point1,H2,,,,,,,,,,(10.5867921476 1905),,,,,(10.1601013193 2718),,(1.88597406234 3198),,
Point1,H3,,,,,,,,,,(10.5967598928 1908),,,,,(10.4465531578 2727),,(1.99787871829 3207),,
Point1,H4,,,,(3.16529311445 772),(4.49721928291 984),(0.311863029087 1192),(2.14308919018 1399),(11.8832407033 1504),,(1.60974902595 1992),(14.8033890181 2109),,,,(5.62258487668 2776),(4.43026351924 3018),(1.49220857442 3221),,
Point1,H5,,,,(3.26809974408 779),(4.89407384479 994),(1.61938164792 1206),(2.53927380163 1410),(12.0002060319 1510),,(1.86317487401 2003),(15.1280026755 2119),,,,(6.09433618179 2788),(4.48971002446 3024),(2.69473675446 3236),,
Point1,H6,(-0.0118239138454 1),(1.42108547152e-14 198),(-7.1054273576e-15 407),(3.5527136788e-15 615),(8.881784197e-15 816),(8.881784197e-15 1013),(7.1054273576e-15 1219),(5.3290705182e-15 1426),(1.7763568394e-14 1621),(-1.7763568394e-15 1823),(-0.0276020424525 2023),(-0.31654052828 2233),(-0.015799448576 2315),(-0.434146173408 2427),(-0.107937330821 2640),(-0.000405765180997 2836),(8.881784197e-15 3044),(-0.0290648409307 3251),
Point2,H1,(28.699274592 33),(39.8230849784 241),(42.6291632314 449),(35.050806875 655),(32.3538914851 848),(30.3205173065 1053),(28.2622608976 1265),(24.0232380169 1460),(25.0126342086 1662),(23.4414597873 1856),(26.8466283005 2064),(21.5221118422 2268),(14.2438560657 2374),(50.0496346544 2479),(24.4498936363 2671),(31.1263790325 2880),(27.2191747152 3089),(37.6069600568 3300),
Point2,H2,,,,,,,,,,(11.6569527186 1905),,,,,,,(2.38029890546 3197),,
Point2,H3,,,,,,,,,,(11.6984697404 1909),,,,,,,(2.66287889277 3207),,
Point2,H4,,,,(3.37749555238 769),(4.65601251404 985),(-1.24344978758e-14 1192),(2.04149689056 1400),(13.0401992944 1507),,(2.1328710264 1993),(15.1351831546 2113),,,,(10.5798224461 2718),,(1.87315244766 3222),,
Point2,H5,,,,(3.79812032788 780),(5.2780554103 995),(1.55038951139 1207),(2.32362923172 1410),(13.0423603743 1508),,(2.342984115 2002),(15.1661490796 2117),,,,(11.1178503943 2728),,(3.27469613862 3236),,
Point2,H6,(-0.0556129499881 1),(0.962606354206 111),(4.61852778244e-14 199),(-0.00103534402677 407),(3.5527136788e-14 615),(2.30926389122e-14 816),(2.30926389122e-14 1014),(-1.24344978758e-14 1192),(2.6645352591e-14 1426),(1.24344978758e-14 1622),(1.24344978758e-14 1824),(-0.0337400944533 2024),(-0.419750306822 2233),(-0.0199052583623 2315),(-0.361939144516 2427),(-0.105819118526 2641),(8.881784197e-15 2837),(-1.42108547152e-14 3044),(-1.24344978758e-14 3252),
