Cycle,0.760303030303
Average Width,6.90530170726
Width,,5.99862775797,6.26656073366,6.74968596706,7.65110409948,6.73332822788,7.13673960849,7.02844278112,7.17070835545,7.45790952123,6.80072202855,6.89485447695,6.51680148855,6.48460829938,6.21422347893,6.47618977282,6.2845562558,7.26467675794,6.18208573892,6.97703570631,7.25783537931,7.18422161276,6.35023753411,9.74078368437
Point0,H1,(12.5044014006 28),(14.5401916178 187),(15.7749204367 350),(15.6695670178 518),(14.758641009 679),(15.2951549171 830),(17.852987092 989),(16.0179537412 1150),(17.2925040248 1320),(15.2972590063 1471),(14.7805390299 1629),(17.1109197351 1789),(15.9794856127 1951),(14.0422788236 2109),(16.3664194323 2267),(18.7468797934 2428),(18.2592165048 2588),(15.2334397536 2748),(17.5729540856 2906),(17.4041614607 3065),(18.6027620242 3227),(15.2272984888 3386),(15.945234573 3532),
Point0,H2,,,(8.09781885764 394),,(3.60598415278 751),(3.87838606177 909),,,,,(7.05500583551 1676),(9.09448540352 1835),,(7.64355413248 2154),(0.793821927066 2349),,(2.53334531019 2668),(5.48404674725 2793),,,,,
Point0,H3,,,(8.21451760144 401),,(3.74133961151 759),(3.97051578632 916),,,,,(7.11933290775 1682),(9.27483776251 1843),,(7.70314806563 2160),(0.905833943661 2357),,(2.84916981813 2678),(5.83395640816 2802),,,,,
Point0,H4,,,,(1.55433276374 611),(3.43400980368 771),(2.6641751786 934),(1.96184321968 1076),,,,(1.70128781207 1732),(2.46744759876 1896),(1.73140897601 2048),(2.67469782957 2187),(0.0698243590915 2375),(1.78825098237 2533),(1.91564401118 2696),(2.27448874565 2827),(1.71514077427 2995),(2.4065573714 3156),(3.04044405116 3321),,
Point0,H5,,,,(2.12495319999 624),(4.07285462211 783),(3.03983547174 944),(2.9288671829 1102),,,,(2.38953137193 1745),(2.74759516723 1904),(2.02993638214 2061),(3.71918308392 2201),(0.435013812035 2386),(2.41966698054 2545),(1.96377063013 2702),(2.76544664784 2840),(2.26971185913 3008),(2.80383386118 3167),(3.04346261217 3323),,
Point0,H6,(-0.0195481325002 158),(-1.50990331349e-14 320),(-1.95399252334e-14 481),(-8.881784197e-15 642),(-1.06581410364e-14 802),(-7.1054273576e-15 961),(-2.6645352591e-15 1121),(-0.00581084888264 1282),(-0.000776082332457 1441),(0.0 1601),(-0.0137096785818 1760),(3.5527136788e-15 1921),(-0.00209643243651 2080),(-1.15463194561e-14 2239),(-1.42108547152e-14 2396),(-4.4408920985e-15 2560),(-8.881784197e-16 2719),(5.3290705182e-15 2869),(-0.00548089221942 3028),(3.5527136788e-15 3186),(1.7763568394e-15 3346),(-0.0200796732445 3504),
Point1,H1,(24.3660195126 29),(25.2433972628 188),(26.0306040584 350),(25.5301887743 520),(24.6898189686 682),(24.5790114474 830),(26.8551923951 989),(26.1653344685 1151),(26.4215234583 1323),(25.3589904572 1471),(25.8969937614 1630),(27.6166680489 1791),(26.7239676892 1952),(25.5952599222 2110),(26.8978216691 2268),(29.0506762575 2428),(27.8510454976 2589),(25.9723718163 2749),(26.8626162086 2908),(27.7000317901 3068),(28.6163615686 3229),(25.5088814774 3388),(24.4142081065 3533),
Point1,H2,,,(13.6237849928 397),(14.4354531031 555),(6.79129419758 754),,,(13.1030182259 1195),,,(13.0438385783 1676),(14.4340466951 1836),,,,,,,,,,,
Point1,H3,,,(13.6657113512 402),(14.7037055525 563),(6.79134763985 755),,,(13.698568615 1204),,,(13.3254176246 1683),(14.9256131331 1844),,,,,,,,,,,
Point1,H4,(4.9740225981 109),(6.07680039177 271),(5.11884180468 456),(4.37642444364 617),(5.10118002039 776),(4.39439017141 935),,(6.2727687108 1230),(4.72152797056 1416),(4.16311474687 1575),(3.62955730476 1735),(5.00693894228 1895),(4.49454387549 2055),,,(3.27863243102 2536),(13.135475483 2636),(3.65080308812 2839),(3.88897545113 2999),(4.62366340035 3159),(4.74440957916 3318),,
Point1,H5,(5.29991532414 118),(6.1478162256 276),(5.1692731413 461),(4.388623919 620),(5.21666926377 782),(4.7529846105 944),,(6.44301217516 1237),(4.89935055347 1423),(4.66876017192 1585),(4.02593050316 1745),(5.4909023766 1904),(4.73453965514 2063),,,(3.41682785795 2544),(13.2985557229 2642),(3.65677700195 2841),(4.22702336263 3008),(4.75201335819 3166),(4.99856584624 3327),,
Point1,H6,(-1.06581410364e-14 159),(2.13162820728e-14 320),(2.6645352591e-14 482),(1.95399252334e-14 642),(7.1054273576e-15 802),(-3.5527136788e-15 962),(1.42108547152e-14 1122),(-5.3290705182e-15 1282),(-1.24344978758e-14 1442),(1.06581410364e-14 1602),(1.24344978758e-14 1761),(1.7763568394e-15 1922),(-0.0059720916405 2082),(0.0 2239),(-7.1054273576e-15 2397),(-1.24344978758e-14 2560),(-3.5527136788e-15 2720),(0.0 2869),(-0.00263470907749 3028),(-5.3290705182e-15 3187),(-3.5527136788e-15 3347),(-0.0408247682341 3505),
Point2,H1,(29.5887091728 28),(29.8305981745 188),(30.8094313533 351),(30.9905749041 517),(29.3681622411 682),(29.1908337937 830),(30.8301616184 990),(31.3274541873 1151),(31.006221558 1322),(30.1339990982 1471),(31.5670859108 1630),(32.053776588 1791),(31.4410329806 1952),(30.7240582433 2110),(31.4038342023 2268),(32.7241133065 2428),(32.4554103263 2589),(30.3379942629 2749),(31.0150779235 2907),(32.8957635806 3068),(33.3867744239 3229),(29.8399947952 3388),(30.0752973475 3534),
Point2,H2,,,(16.6917949771 395),(17.6082266782 557),,(7.48842496844 914),,(16.8876622234 1197),,,(16.2119308142 1676),(16.5566237712 1835),,,,,,,,,,,
Point2,H3,,,(17.049084901 403),(17.6531479432 561),,(7.48860669893 915),,(17.0683989723 1203),,,(16.4102046619 1683),(17.1839826904 1844),,,,,,,,,,,
Point2,H4,(5.99870977617 110),,(6.70018078148 455),(5.45274582823 616),(6.17157353809 777),(5.34648046014 935),,,(6.23534063452 1417),(5.38333736514 1575),(4.9124367426 1735),(5.98036154486 1896),,,,(4.27947605711 2539),,(4.55923041512 2839),(5.18945974998 2999),(6.19116956582 3158),(6.36883895655 3318),,
