Cycle,0.862894736842
Average Width,15.5978317692
Width,,0,0,0,13.9750125913,0,13.8214530028,0,0.0,18.5567724891,0,0,0.0,0,0,0,0,15.3799505639,16.2559701988,0,0
Point0,H1,(14.1531333196 30),(13.6352829029 208),(14.0920150106 396),(14.6835803841 590),(15.5747283434 763),(14.4584023285 947),(14.8553136911 1132),(15.4552000517 1321),(12.2555752098 1500),(12.7360748475 1682),(14.9443394857 1868),(11.9030162113 2067),(12.9087346778 2236),(13.1680237486 2412),(14.3074070585 2594),(13.4356683898 2778),(14.6599969357 2955),(14.6674886344 3131),(13.7836129061 3307),(13.5835407048 3490),
Point0,H2,,,,,(5.8885687114 810),,,,(5.39530027197 1548),,(5.3966412432 1915),,(5.22961909232 2282),(11.1114541583 2429),,,,,,
Point0,H3,,,,,(6.55790943996 822),,,,(5.53377383932 1557),,(5.8597698267 1927),,(5.63759258999 2294),(11.1543025345 2433),,,,,,
Point0,H4,(1.32737479143 151),(1.03762133059 330),,,(1.63967933506 885),,,(0.0261377682632 1456),(3.23554999302 1600),,(-7.1054273576e-15 1983),,(1.40996807509 2360),(1.65165667604 2534),(2.36105436057 2710),,(5.83976471805 3003),(6.89514436965 3179),,
Point0,H5,(1.87673879018 163),(1.08761981809 337),,,(2.01984755914 897),,,(0.0273693138167 1458),(3.24218732595 1603),,(2.34265292024 2004),,(1.67415652583 2369),(2.14454204964 2546),(2.37064042779 2714),,(6.18568019005 3013),(6.9766370059 3186),,
Point0,H6,(-8.881784197e-16 178),(-0.000919860934517 357),(1.7763568394e-15 546),(4.4408920985e-15 726),(-6.2172489379e-15 914),(-1.06581410364e-14 1097),(5.3290705182e-15 1282),(7.9936057773e-15 1464),(2.6645352591e-15 1650),(0.0 1831),(-7.1054273576e-15 1983),(-2.6645352591e-15 2202),(3.5527136788e-15 2385),(1.7763568394e-15 2562),(8.881784197e-15 2738),(8.881784197e-15 2916),(9.7699626167e-15 3095),(8.881784197e-15 3276),(5.3290705182e-15 3459),
Point1,H1,(14.1600490889 30),(13.2000021147 208),(13.9355639316 395),(15.4119889509 591),(15.4937649033 764),(14.5088437032 947),(14.7708324651 1131),(14.996897939 1321),(12.2268256877 1501),(11.3594090093 1680),(14.8980030989 1868),(11.8350920439 2068),(12.8895753447 2236),(12.921700207 2412),(14.1685641528 2593),(13.6441464029 2781),(14.6622759716 2956),(14.4694928745 3131),(13.3033013635 3307),(12.8408027006 3490),
Point1,H2,(3.45044313251 123),,,(2.83844530418 668),(6.2686029193 811),,(5.78931112236 1178),,(5.7782184538 1550),,(5.63252635022 1914),,(5.35035345431 2283),,(5.74095172306 2655),,(7.02536026192 3003),(7.55577568843 3183),,
Point1,H3,(3.55404888555 130),,,(2.9302084415 675),(6.74733667791 821),,(6.41283494943 1190),,(5.82406963939 1557),,(6.51640757398 1932),,(5.64750385967 2294),,(5.78671827262 2661),,(7.3044916162 3013),(7.55677697734 3184),,
Point1,H4,(1.283030857 152),(1.29022179194 327),,(1.3844848247 697),(1.88887253731 886),,(1.14552038234 1254),,(3.72953989849 1597),(1.90252676923 1799),(-8.881784197e-15 1980),,(1.53803343208 2362),,(2.09503355791 2712),(2.63260673385 2883),,,,
Point1,H5,(1.85935003508 163),(1.51395635067 337),,(1.47147774377 705),(2.14837578377 896),,(1.76604658618 1267),,(3.79576861463 1605),(1.94033992379 1805),(2.87399852294 2005),,(1.60507984871 2368),,(2.14013568502 2718),(2.72496813474 2891),,,,
Point1,H6,(-4.4408920985e-15 178),(-0.00070601492206 357),(-6.2172489379e-15 546),(-0.00351558082057 728),(5.3290705182e-15 914),(-1.7763568394e-15 1096),(-4.4408920985e-15 1282),(-1.7763568394e-15 1464),(-7.9936057773e-15 1649),(-7.1054273576e-15 1832),(-8.881784197e-15 1980),(-4.4408920985e-15 2203),(-0.00266187422905 2384),(3.5527136788e-15 2562),(8.881784197e-16 2739),(-4.4408920985e-15 2917),(-1.24344978758e-14 3094),(-4.4408920985e-15 3277),(-8.881784197e-15 3459),
Point2,H1,(13.3025824711 31),(13.1655448164 209),(12.3909996652 393),(13.8757035273 577),(13.876403986 763),(13.4216902483 947),(13.4576398663 1129),(13.8180407823 1323),(11.7427239208 1502),(10.3251410128 1678),(14.1109577075 1867),(12.8254951599 2070),(11.8462457791 2235),(11.86311311 2414),(12.434312478 2593),(11.9256104002 2783),(13.7659920018 2956),(13.831244278 3133),(12.2548330197 3306),(11.0907895107 3486),
Point2,H2,,(4.66108987921 271),,,(6.23110379394 809),,(5.02959868698 1181),,(5.53578264612 1554),,,,,(5.30129606531 2458),,,(7.56529299268 3006),,,
Point2,H3,,(4.67428924147 275),,,(6.81761326841 820),,(5.07904281794 1188),,(5.56564859113 1563),,,,,(5.76633095823 2470),,,(7.56870654752 3009),,,
Point2,H4,,(0.505876729615 325),,,(2.14719634915 883),,(0.596964476729 1249),,(4.19611596416 1592),,,(0.516756721918 2169),,(1.7228231732 2532),,(2.39713060942 2884),(3.43260071046 3060),(7.80034671769 3180),,
Point2,H5,,(1.76414157199 340),,,(2.35554830786 894),,(1.50889096296 1266),,(4.98507551913 1608),,,(0.907668543809 2183),,(1.99882608472 2543),,(2.42053194326 2889),(3.43510542969 3063),(7.85366790304 3186),,
Point2,H6,(3.5527136788e-15 178),(-8.881784197e-16 357),(-0.00324814372197 545),(0.0 729),(5.3290705182e-15 913),(-0.00211475535228 1095),(8.881784197e-16 1281),(0.0 1467),(3.5527136788e-15 1650),(-0.00353591956656 1827),(-0.000861036768499 1974),(-0.00771398863404 2203),(-2.6645352591e-15 2384),(-1.24344978758e-14 2561),(-1.15463194561e-14 2737),(-9.7699626167e-15 2916),(-3.5527136788e-15 3093),(2.6645352591e-15 3275),(0.0 3458),
Point3,H1,(13.1374781179 36),(12.1887812873 210),(11.0248135713 393),(13.3782740234 586),(12.4582989111 763),(12.2553238608 948),(12.2601497736 1128),(13.8497867312 1321),(11.1435719299 1501),(8.43459544179 1679),(13.8899882402 1867),(13.1119581827 2071),(11.5256560581 2233),(10.4290439507 2413),(11.4686041186 2596),(11.3953561014 2782),(12.7733832826 2955),(12.7451513724 3133),(10.8274780834 3305),(9.9504271927 3485),
Point3,H2,,(2.34747937727 296),(4.34671562512 439),,(4.84088296581 807),,(4.22038068489 1178),,(5.02460909818 1564),,(6.22248128118 1910),,,(4.05703512841 2460),,,(7.7712626978 3001),(7.85695437445 3178),,
Point3,H3,,(2.46249669804 304),(5.21005433705 454),,(5.84559754813 821),,(4.58424288571 1191),,(5.04097807318 1570),,(8.50334809374 1935),,,(4.24162900025 2469),,,(7.84434308411 3009),(7.92838950254 3184),,
Point3,H4,(2.23435117489 150),(0.633388591925 324),(1.89542234562 517),,(1.59347697723 883),(1.71540574382 1033),(-8.881784197e-16 1250),,(4.50159964001 1591),(1.58505716145 1771),(-0.01028986665 1972),(-0.00270001800183 2166),,(0.889769539914 2531),,(2.04688938992 2882),,,,
Point3,H5,(2.44119918474 159),(1.76052009548 339),(2.44932628534 528),,(1.78180336558 894),(1.79668476954 1041),(1.62521095709 1268),,(4.90651778647 1606),(1.60870095444 1777),(5.94972209262 2004),(0.745883135862 2183),,(1.26821832581 2544),,(2.14533797304 2890),,,,
