Cycle,0.86105
Average Width,8.45895505547
Width,,0.0,0.0,0.0,7.26341407044,0,0,0.0,0.0,0.0,0.0,7.58949289071,0.0,6.3243661016,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.6585471591
Point0,H1,(11.8186626416 138),(13.4151642483 286),(9.55385275406 501),(7.88549768359 584),(9.07109147004 682),(9.36481586809 857),(11.5029511228 1008),(10.9869285132 1219),(11.8992128247 1405),(11.567528837 1577),(8.87574530496 1770),(9.86162384313 1949),(8.82115469361 2141),(10.2999614489 2318),(10.5821738856 2495),(12.1693523465 2630),(8.75074844921 2863),(10.2026920254 3045),(10.1023613373 3185),(11.64774706 3405),(11.8641971891 3582),(10.4369331702 3768),(11.0376514542 3922),(11.3251202685 4124),(9.11800296346 4304),(12.1815728196 4483),
Point0,H2,,,,(7.5534962639 596),(-7.1054273576e-15 713),,(10.9212380355 1024),,,(-9.7699626167e-15 1623),(-1.7763568394e-15 1800),(-0.00405487414499 1989),,,,,(-6.66133814775e-15 2903),,,,,(1.7763568394e-15 3799),,,,
Point0,H3,,,,(7.84418942401 609),(0.937591580445 728),,(11.2936996736 1035),,,(5.32480406037 1674),(0.867302278457 1814),(4.9486202722 2035),,,,,(4.75477586094 2954),,,,,(1.5629729848 3814),,,,
Point0,H4,,,,,(0.857468507454 735),,(8.881784197e-16 1076),,(-0.00128486943526 1450),(5.30890473748 1679),(0.647764222606 1823),(4.42817693862 2052),,,,,(4.71291403395 2960),,,(0.0 3452),(4.4408920985e-15 3626),(1.19119336232 3824),,,,
Point0,H5,,,,,(2.79915151093 760),,(4.81488353061 1112),,(5.09837464132 1494),(8.67594758806 1734),(7.59351088649 1898),(5.65912448076 2083),,,,,(8.25320805866 3014),,,(9.37507862237 3530),(9.64494423965 3719),(4.9963106592 3847),,,,
Point0,H6,(5.3290705182e-15 178),(0.0 362),(-0.00559589917579 535),(-7.1054273576e-15 713),(-1.15463194561e-14 888),(8.881784197e-16 1076),(-4.4408920985e-15 1255),(-0.00128486943526 1450),(-9.7699626167e-15 1623),(-1.7763568394e-15 1800),(-0.00405487414499 1989),(2.6645352591e-15 2168),(-1.7763568394e-15 2359),(-0.00150571356646 2534),(-0.00574108152443 2717),(-6.66133814775e-15 2903),(-6.2172489379e-15 3082),(-3.5527136788e-15 3255),(0.0 3452),(4.4408920985e-15 3626),(1.7763568394e-15 3799),(-0.00155780519826 3977),(-0.00394909198725 4174),(-0.00877109913737 4342),(-4.4408920985e-15 4520),
Point1,H1,(9.21496699312 141),(10.287672439 320),(7.08104380874 503),(7.34163035934 686),(7.82117347176 862),(8.69843633544 1039),(8.24877753904 1221),(9.94995455262 1409),(9.03239318406 1583),(6.78695647983 1774),(9.184880841 1954),(5.42593849612 2145),(9.80254967924 2320),(8.60585626946 2498),(9.552191935 2632),(7.08052169618 2865),(8.50758248829 3048),(7.79611028929 3188),(8.9747394117 3407),(9.07441592565 3585),(8.71247448299 3772),(8.62727181643 3947),(8.97589558948 4130),(7.48376484493 4302),(9.10765973612 4483),
Point1,H2,,(-0.00629832320467 368),,,(-6.2172489379e-15 891),,(-8.881784197e-15 1259),,,(3.5527136788e-15 1802),(-0.0485318828915 1998),(-0.0517553719869 2170),,,,,,,,,,,,,,
Point1,H3,,(5.75776192463 448),,,(1.10899070495 907),,(0.654966453791 1272),,,(1.21231317382 1818),(2.21032779604 2026),(6.70325409617 2218),,,,,,,,,,,,,,
Point1,H4,(-7.1054273576e-15 182),(5.75775054715 449),,(-3.10862446895e-15 718),(1.08711100137 912),(-1.7763568394e-15 1079),(0.350702876552 1283),(-0.00144373843213 1446),(-0.00189806354653 1626),(1.09383845826 1825),,(6.37480839347 2231),,,,,,,(8.881784197e-16 3455),(-8.881784197e-16 3628),,,(-3.10862446895e-15 4177),,,
Point1,H5,(10.0842426087 276),(6.10063623902 466),,(2.70346812258 768),(8.15965526421 1010),(3.29757245563 1116),(9.14642926234 1381),(4.83899783269 1502),(6.3649238332 1738),(8.00324896438 1927),,(9.16114584815 2295),,,,,,,(7.50040506279 3528),(7.63600994859 3722),,,(6.55221472362 4248),,,
