Cycle,0.77625
Average Width,14.8747887847
Width,,0.0,18.2251812193,15.1965686458,0,0,0,13.6935579622,0.0,0.0,0.0,0.0,12.3838473115,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.80518011969 121),(7.01245524165 295),(7.05949862753 464),(8.61061277544 615),(7.9625624388 805),(7.9139568774 967),(8.2812560174 1091),(7.41987536729 1286),(8.22159918573 1457),(9.21282763516 1617),(7.36154645215 1756),(10.0412424092 1945),(7.7724526758 2116),(6.37393925287 2277),(5.76840798709 2449),(7.63343742322 2614),(7.8942364434 2785),
Point0,H2,(1.7763568394e-15 165),(-3.5527136788e-15 328),,,(-1.7763568394e-15 835),,(7.40081429874 1112),,(-1.7763568394e-15 1488),(-0.00224344942873 1650),(6.76670358625 1769),(1.7763568394e-15 1983),,(-4.4408920985e-16 2308),,(-0.00512614891948 2646),,
Point0,H3,(2.40302335154 190),(3.80613526929 370),,,(6.68353555763 904),,(7.90237289848 1124),,(4.62222457799 1530),(3.46825937456 1689),(7.24953897517 1780),(6.09425580672 2041),,(1.88126302183 2346),,(5.93368708907 2719),,
Point0,H4,(2.26398374234 200),(3.61945054794 386),,(1.7763568394e-15 673),(6.36220051179 920),,(-0.00813405200538 1172),,(4.55650377386 1539),(2.45085228343 1704),(-0.0176974334252 1816),(5.3582449041 2056),,(1.45533742508 2359),(-4.88498130835e-15 2479),(5.78712236377 2728),,
Point0,H5,(5.89776073863 240),(4.96808576773 412),,(3.0334352652 700),(6.78958779076 935),,(5.08481003983 1226),,(8.89903962403 1601),(5.59050182017 1726),(8.63339063686 1909),(6.90580716383 2075),,(2.33637636826 2376),(4.48338417258 2555),(6.77497253047 2757),,
Point0,H6,(1.7763568394e-15 165),(-3.5527136788e-15 328),(-3.5527136788e-15 495),(1.7763568394e-15 673),(-1.7763568394e-15 835),(-7.1054273576e-15 997),(-0.00813405200538 1172),(0.0 1325),(-1.7763568394e-15 1488),(-0.00224344942873 1650),(-0.0176974334252 1816),(1.7763568394e-15 1983),(-0.00497832464902 2150),(0.668161778517 2214),(-4.4408920985e-16 2308),(-4.88498130835e-15 2479),(-0.00512614891948 2646),(8.881784197e-16 2818),
Point1,H1,(9.20658586423 120),(6.73997067 295),(7.16435144534 465),(8.36646753122 622),(7.97247286528 803),(7.97537209566 966),(8.07344840048 1088),(6.81208983763 1285),(8.51934180072 1454),(9.05350685076 1616),(6.94970718742 1778),(9.29394802318 1943),(6.73951541591 2116),(6.1242539871 2274),(5.32786632877 2450),(7.77312260657 2612),(7.77839576484 2782),
Point1,H2,(-0.0029000559624 164),(-5.3290705182e-15 327),,(-1.7763568394e-15 670),(-6.2172489379e-15 833),,(6.64453477207 1112),(4.4408920985e-15 1323),,,,,(0.0 2146),,,(-5.3290705182e-15 2646),,
Point1,H3,(2.33813078012 188),(3.38066520677 366),,(2.57841924008 696),(6.98859408289 904),,(7.04353515094 1123),(2.6005229834 1355),,,,,(1.41885037715 2191),,,(5.34191708448 2716),,
Point1,H4,(2.11502941329 199),(2.90936802259 387),,(1.54646083251 712),(6.4951640099 919),,,(2.59109130776 1360),,,(-0.00316152424236 1811),,(1.00229161298 2211),,(-0.0197495607527 2477),(4.93088782848 2727),,
Point1,H5,(5.25574542916 236),(5.0607906268 410),,(5.98289630827 764),(7.2055850138 935),,,(7.07671064371 1411),,,(8.10016132929 1909),,(6.10397961716 2251),,(5.72305027852 2554),(6.33220673388 2750),,
Point1,H6,(-0.0029000559624 164),(-5.3290705182e-15 327),(-2.6645352591e-15 492),(-1.7763568394e-15 670),(-6.2172489379e-15 833),(0.0 994),(-0.00926843999535 1170),(4.4408920985e-15 1323),(-8.881784197e-16 1488),(8.881784197e-16 1647),(-0.00316152424236 1811),(8.881784197e-16 1982),(0.0 2146),(-0.0118220417227 2326),(3.5527136788e-15 2392),(-0.0197495607527 2477),(-5.3290705182e-15 2646),(-4.4408920985e-15 2816),
