Cycle,0.73304
Average Width,5.7078782339
Width,,6.13293573739,5.77564021576,5.95146995071,6.09492610739,6.04264385394,6.14052572723,5.71542361689,5.86216770709,5.79121855852,5.82211104666,5.73407187438,5.69280356232,5.69748817503,5.69494367989,5.58630308481,5.75045911796,5.55609987179,5.54093854845,5.51173106944,5.6710072012,5.47691487116,5.41080683588,5.28526363374,5.46500302953,5.38564375399,5.61629325021
Point0,H1,(13.0155894188 31),(11.3315000891 202),(11.2587272854 371),(11.5306954139 532),(12.0861839743 699),(12.6560355084 874),(10.2546101961 1044),(11.201361221 1200),(10.552720726 1364),(10.3955808768 1528),(10.1409461287 1685),(10.241251067 1849),(9.7155995884 2008),(9.64721543681 2154),(9.15066358719 2307),(9.51144097732 2445),(9.17204893599 2580),(9.51249925711 2720),(8.72839845862 2858),(9.31925210995 2992),(8.65591919182 3129),(8.75180087536 3270),(8.06857824575 3416),(8.1945594791 3567),(8.17552049003 3710),(9.81922958973 3870),
Point0,H2,(7.25337113739 60),(5.44124815745 232),,(6.25960154813 555),,,(5.09355523853 1070),(5.47613167695 1224),,(6.10492567911 1556),(4.37078622157 1710),,(4.02303665946 2036),(4.39009901227 2184),,,(3.45201923152 2608),,,(2.97907562473 3020),,,(3.70269264707 3443),(4.08649181358 3594),,
Point0,H3,(8.39911890125 77),(6.38431113684 249),,(7.68680988058 575),,,(6.24355355754 1091),(7.33903278846 1243),,(6.63089330592 1572),(6.03741344024 1731),,(5.66103232405 2056),(5.64547298235 2202),,,(4.80044991016 2627),,,(4.65012590999 3039),,,(5.07498732111 3463),(5.48547087122 3613),,
Point0,H4,(2.21730534625 149),(1.47969870902 305),(4.60754028458 397),(1.53458463719 643),(6.31726205945 725),(6.71696076185 900),(1.74470756753 1135),(1.94709958098 1296),(5.78943425052 1388),(1.56087038665 1621),(1.47689034286 1782),(6.17324592654 1876),(1.16924835854 2098),(1.20106518513 2245),(5.05304595676 2332),(4.80292388761 2472),(1.20245257948 2659),(3.60271763121 2745),(3.35938494268 2886),(0.0901138903115 3074),(3.90875673535 3158),(4.05840640844 3295),(0.604188998087 3508),(1.09738459067 3651),,
Point0,H5,(2.25826975769 155),(1.51041118317 311),(6.31502994791 418),(1.73458621174 653),(8.14131107805 744),(8.7168049986 920),(2.24720356666 1149),(2.23535315958 1308),(6.80396336251 1406),(1.61944998586 1628),(1.80286494377 1796),(6.69464191054 1893),(1.50986539166 2110),(1.42068519715 2255),(5.99308952904 2348),(5.87494338294 2490),(1.2750682162 2666),(5.68139141824 2766),(5.14163704766 2908),(0.739482569603 3088),(5.06871009688 3178),(4.7989963186 3316),(1.03876651351 3520),(1.57639910263 3663),,
Point0,H6,(6.2172489379e-15 174),(8.43769498715e-15 336),(1.42108547152e-14 496),(3.5527136788e-15 670),(5.3290705182e-15 845),(3.5527136788e-15 1009),(7.9936057773e-15 1168),(7.1054273576e-15 1331),(1.7763568394e-15 1500),(5.77315972805e-15 1656),(7.9936057773e-15 1820),(1.11022302463e-14 1981),(5.77315972805e-15 2126),(-8.881784197e-16 2273),(-8.881784197e-16 2413),(0.0 2546),(-0.00138786333535 2686),(-4.4408920985e-15 2829),(-4.88498130835e-15 2959),(-4.4408920985e-15 3101),(-3.10862446895e-15 3238),(-6.66133814775e-15 3388),(-3.99680288865e-15 3535),(-3.10862446895e-15 3680),(-0.0069427996737 3839),
Point1,H1,(19.0218933886 30),(17.6242674636 202),(17.4174470073 371),(17.7695805887 532),(18.3204813204 698),(18.487984127 873),(17.1318202545 1043),(17.4285544385 1199),(17.4814749854 1364),(17.9572728021 1528),(17.0748262512 1685),(17.3182593224 1848),(17.0501528506 2007),(16.8951848133 2153),(16.1879778858 2306),(16.8080565488 2444),(16.6401220095 2580),(16.5642144136 2719),(16.628325816 2857),(16.8379397866 2991),(17.0198748176 3128),(16.6629370489 3269),(16.6086670831 3416),(16.5393916698 3566),(16.423148077 3709),(18.562930468 3867),
Point1,H2,(9.35531207338 59),(7.76929127191 232),(7.00930281209 395),(8.65278466986 556),(8.85041288096 725),(8.88810487311 900),(7.57578979333 1068),(8.00279494197 1226),,(8.31146195197 1554),,,(6.41944842498 2034),(7.68734183273 2182),(7.68353628142 2332),,(6.14678333008 2606),(5.48936721156 2745),,(5.09039312431 3020),,(6.55538272497 3295),(7.2822812134 3443),(6.80222573474 3592),,
Point1,H3,(11.4183183712 77),(9.62781689968 251),(9.95971681923 416),(11.0043065105 574),(11.2842481474 744),(11.2154553099 921),(10.2718270311 1089),(11.1571346347 1246),,(10.2292989544 1573),,,(9.37726564369 2057),(9.54056113473 2201),(9.77890906775 2350),,(8.60940127053 2626),(9.16409693129 2765),,(8.66273779011 3039),,(8.89515339672 3316),(9.58922670549 3464),(10.192943421 3611),,
Point1,H4,(2.55790192579 149),(2.30219201282 302),(2.65804118289 467),(2.38908731573 644),(2.11318814436 823),(2.97088225781 981),(2.35865800854 1138),(2.52110999512 1300),(8.75816365378 1389),(2.65790484363 1622),(6.81932182396 1710),(8.65811465981 1875),(1.20181232831 2100),(2.148628503 2244),(2.6536482211 2391),(7.03023361077 2473),(1.83614894912 2661),(1.76173663439 2807),(5.04513757529 2885),(0.953697082405 3076),(6.20119572154 3156),(1.10933673517 3366),(2.15901426599 3508),(2.17254551248 3652),,
Point1,H5,(2.82465169603 158),(2.86890162561 316),(2.9964203619 477),(2.59800888729 653),(2.13179990423 827),(2.9731626972 983),(3.15091890499 1151),(2.72264438218 1309),(11.0341764425 1408),(2.66352459414 1625),(9.64114675306 1731),(10.1676214674 1894),(1.98937335628 2112),(2.54984807609 2255),(2.65439515104 2393),(9.04162157451 2491),(2.17769189624 2670),(1.8108914212 2813),(9.00597685512 2907),(1.43214161601 3087),(9.16943903133 3178),(1.33040695113 3375),(2.91391939287 3520),(3.00000051126 3663),,
Point1,H6,(1.33226762955e-14 175),(-0.00634459834962 337),(2.13162820728e-14 498),(7.1054273576e-15 670),(-5.3290705182e-15 845),(0.0 1009),(1.24344978758e-14 1168),(1.59872115546e-14 1330),(1.33226762955e-14 1499),(9.7699626167e-15 1653),(2.6645352591e-15 1820),(-1.7763568394e-15 1979),(-4.4408920985e-15 2126),(-6.2172489379e-15 2273),(-1.24344978758e-14 2414),(-1.86517468137e-14 2547),(8.881784197e-16 2687),(1.7763568394e-15 2829),(-8.881784197e-16 2960),(1.7763568394e-15 3101),(-4.4408920985e-15 3233),(-1.15463194561e-14 3389),(-8.881784197e-15 3536),(3.5527136788e-15 3680),(0.0 3839),
Point2,H1,(18.4435162888 31),(17.3523181892 203),(17.5412337269 371),(17.5410120861 532),(18.1141164268 699),(18.5911673501 873),(18.0525147491 1043),(18.0714506344 1200),(19.1722618116 1364),(19.0313139392 1528),(17.6803805312 1686),(19.1273897273 1848),(18.9326185619 2008),(19.1797376536 2154),(18.2552311693 2306),(18.4105883498 2444),(18.5897465327 2581),(18.1422167901 2719),(18.7518732127 2858),(19.3230927565 2991),(19.580020933 3129),(20.2203601614 3270),(19.7768862561 3417),(19.1518412953 3565),(19.7949081452 3710),(21.9306357827 3867),
Point2,H2,(7.88898581514 59),(7.68284827744 232),(6.31877740713 396),(7.56253397927 557),,(8.52370006331 899),(6.9923868066 1068),(7.60119648747 1227),,(7.92055432838 1554),(6.54312226878 1712),,(6.78755705336 2034),(7.98055783152 2183),(8.14512756411 2334),,(6.49305384422 2607),(5.74768023341 2746),(5.26435697405 2886),(5.72182576823 3019),,(7.38405886337 3295),(7.57921464119 3444),(7.94087118226 3594),,
Point2,H3,(10.4863795365 77),(9.33212882832 250),(9.83140363495 416),(10.5493282946 577),,(11.16949014 922),(10.7428590262 1089),(10.8654624116 1248),,(10.5804480695 1575),(9.59738515014 1733),,(9.94301658545 2056),(10.4403957178 2202),(10.1535843959 2351),,(9.06773395139 2626),(9.92445052557 2765),(9.82878000538 2907),(10.1147048896 3039),,(10.1390304774 3316),(10.2265748997 3464),(11.4562407741 3612),,
Point2,H4,(2.25459408868 148),(2.48342015001 306),(2.9006142473 470),(1.85264537107 644),(8.06904415013 726),(2.64745586139 981),(2.04868467452 1139),(2.4041866696 1300),(9.31165784732 1390),(2.06211926263 1618),(2.723162185 1775),(8.32909909651 1874),(1.3939373164 2102),(2.64936249195 2244),(2.25335069702 2388),(7.05867834332 2475),(2.35468456294 2661),(1.16534727591 2804),(2.76361028414 2935),(0.864507480525 3077),(7.17165897534 3155),(1.69512639078 3367),(2.51875825695 3507),(2.81560930755 3652),,
Point2,H5,(2.61065814486 159),(2.80766641953 317),(2.92224180485 474),(2.19099448711 655),(11.1318265681 745),(2.71441939244 987),(3.07189191558 1153),(2.69904386337 1310),(11.1432344563 1407),(2.26128513365 1628),(2.82981922207 1783),(10.6327394669 1895),(1.83963610111 2112),(3.02334457066 2254),(2.68886076312 2399),(9.24659781015 2493),(3.09392243315 2672),(1.97818954714 2816),(3.10913967774 2944),(1.34244858411 3088),(10.1454922636 3178),(1.90567212826 3375),(3.38865675378 3520),(4.05672678601 3665),,
Point2,H6,(-0.000886905017153 176),(6.2172489379e-15 338),(1.06581410364e-14 498),(-5.3290705182e-15 671),(1.06581410364e-14 846),(1.15463194561e-14 1010),(3.5527136788e-15 1169),(-1.15463194561e-14 1330),(0.0 1499),(1.24344978758e-14 1653),(2.6645352591e-15 1821),(-0.00120224308504 1981),(-0.00762974446647 2126),(-8.881784197e-15 2273),(-0.00476359707417 2416),(-5.3290705182e-15 2548),(-6.2172489379e-15 2689),(1.15463194561e-14 2830),(2.39808173319e-14 2962),(1.42108547152e-14 3101),(1.68753899743e-14 3235),(8.881784197e-15 3390),(5.3290705182e-15 3537),(3.5527136788e-15 3681),(-3.5527136788e-15 3839),
Point3,H1,(13.2456175256 32),(12.245022282 202),(12.8817121025 371),(13.2224124676 532),(13.6009543263 698),(13.4600804961 873),(13.4021938606 1043),(13.3611057169 1200),(14.474217473 1364),(15.0230076408 1527),(13.6639841508 1685),(14.814031156 1848),(14.5290441566 2008),(14.9300184993 2154),(14.3575885054 2306),(14.3838326084 2443),(14.3148230742 2580),(14.1925280011 2720),(13.9884914653 2858),(14.4926773844 2991),(15.4274563171 3128),(15.4789292743 3269),(15.1707817802 3416),(14.5560658357 3565),(15.0697250886 3710),(16.8755344236 3866),
Point3,H2,,(4.90495778075 230),,(5.99812489914 555),,(6.49586724502 899),(5.42252631445 1068),(5.70710376276 1227),,(6.5801137055 1552),(5.09648871892 1710),,(5.47639345859 2035),(5.98104328404 2183),(6.62270980895 2334),,(4.4319198393 2606),(4.04819068626 2745),(3.87519456699 2885),(4.52292977358 3019),,(5.74813037668 3295),(6.05752417583 3444),(6.29689387622 3592),,
Point3,H3,,(6.57488859568 249),,(8.02270921703 573),,(8.6910085393 921),(7.77723385645 1089),(7.84910842346 1247),,(8.22420396163 1573),(6.9873643067 1731),,(8.01395700155 2055),(7.99151177899 2202),(7.98880469688 2350),,(6.0992368208 2627),(7.58142839111 2764),(7.02970072118 2906),(7.51666809991 3038),,(7.86665657026 3316),(8.2494496102 3463),(9.02053130982 3611),,
Point3,H4,,(1.76193535006 305),(4.93278992877 395),(1.45271216647 642),,(1.57583880919 980),(1.06935374734 1138),(1.54896977656 1296),(7.1277093706 1389),(1.36791502782 1618),(2.0657241136 1775),(6.62431528804 1874),(1.17652979012 2101),(1.78744102501 2242),(2.34725343701 2387),(5.42249275057 2472),(1.82209397345 2660),(1.13457158363 2802),(1.97571278444 2933),(0.64217956048 3075),(6.01670234791 3155),(1.45325048178 3364),(1.53717734215 3507),(1.9571217758 3652),,
Point3,H5,,(2.14943414745 318),(6.93953932321 413),(2.08024588861 655),,(1.74951493773 989),(2.1034133482 1153),(1.7991523934 1307),(8.23879350793 1405),(1.58996186512 1628),(2.21571218761 1786),(8.05712687041 1895),(1.60535236121 2112),(2.69734727171 2256),(2.71614541442 2397),(7.52039030813 2491),(2.1271460881 2670),(1.7420269074 2815),(2.44609472891 2944),(1.38115315062 3088),(8.11760030013 3176),(1.60141229937 3374),(2.45403248308 3520),(2.71849119096 3664),,
Point3,H6,(-0.00686593484224 176),(-0.00610342315037 338),(1.7763568394e-15 497),(4.4408920985e-15 671),(-2.6645352591e-15 846),(1.06581410364e-14 1009),(-9.7699626167e-15 1169),(-0.00499457349736 1328),(8.881784197e-16 1499),(0.0 1654),(-0.00317150014917 1820),(0.0 1980),(0.0 2126),(-4.4408920985e-15 2274),(-8.881784197e-16 2415),(-7.9936057773e-15 2547),(2.6645352591e-15 2688),(7.9936057773e-15 2830),(4.4408920985e-15 2961),(5.3290705182e-15 3101),(3.5527136788e-15 3236),(2.6645352591e-15 3389),(0.0 3536),(-1.7763568394e-15 3680),(-6.2172489379e-15 3839),
Point4,H1,(7.72916581007 32),(6.31641441568 203),(7.62471570439 373),(8.22843382711 532),(8.01107848481 699),(8.21437348824 875),(7.83204271233 1044),(7.7133803297 1201),(9.04413180762 1365),(9.54143342315 1528),(7.8730611441 1686),(8.7891072699 1849),(9.11452793288 2008),(9.38466119764 2154),(8.36038381359 2309),(9.21843658791 2445),(8.4338826136 2581),(7.66098982649 2722),(8.62517999085 2859),(9.55025009976 2993),(9.32471434015 3128),(9.06752985173 3270),(8.46829506654 3416),(9.18548842433 3568),(9.08932603177 3711),(11.1867196202 3868),
Point4,H2,,,(2.57478040757 397),,,,(3.25092513562 1067),(3.67471231233 1230),(4.21137953687 1390),,(3.3836768861 1711),(4.37767232796 1878),(4.22133636271 2034),(3.89261477746 2185),(4.27110484793 2334),,(2.38906881625 2608),(3.05181226296 2746),,(2.78811645522 3018),,(3.85295391282 3295),(3.66915413189 3443),(3.8883466132 3595),,
Point4,H3,,,(3.6688797229 426),,,,(4.56461959564 1088),(5.00578304913 1250),(5.01700877599 1408),,(3.83377206738 1728),(4.88435689507 1898),(5.39185938929 2056),(4.95621741464 2204),(4.62844639297 2346),,(3.1867611905 2626),(4.9247380628 2767),,(4.69910812408 3034),,(4.52859766383 3318),(5.05629471817 3464),(5.06423424697 3612),,
