Cycle,0.744719422043
Average Width,4.7179977093
Width,,3.50571490955,4.25124382253,5.26628147435,4.48533825877,4.25521883361,4.38014590961,4.53819218112,4.71558429973,5.12942527204,5.45554977808,4.18164421949,3.71710750579,5.26053516379,5.39729608144,4.46026299322,4.02548934835,4.08812421581,4.70848898467,3.80474502145,5.00250008154,0,0,0,0,0,5.55542025126,0,5.05371114761,5.88442626083,4.58180419595,5.42454874323,5.53914148801
Point0,H1,(18.2209680837 38),(19.9966605156 197),(21.6035707391 346),(21.5786793009 510),(20.5921499814 678),(19.2198650455 840),(19.4724680047 1005),(20.1923117042 1176),(18.7654518119 1349),(17.0266606998 1510),(17.0546189004 1668),(18.6036121703 1815),(17.9221766682 1944),(18.064778824 2089),(22.2094762923 2235),(19.0316866972 2385),(23.2691966819 2533),(20.6449452027 2676),(21.0089886211 2826),(27.9464724257 2995),(25.9902991561 3150),(27.5422734918 3318),(26.0858009466 3483),(26.3426190928 3653),(23.2313485498 3808),(23.0334438577 3958),(23.5784832544 4101),(22.260908282 4244),(21.8838998617 4376),(23.4642695201 4519),(24.0938454809 4660),(25.141502043 4809),
Point0,H2,,(4.41068059537 268),,(10.3762728392 549),(9.38284564473 713),,,,(7.79416105903 1383),(4.78616371884 1548),(6.99027848009 1702),,(5.5558432024 1990),(7.68088920302 2127),,(7.75554266151 2413),,(9.57440749406 2714),(9.07960306818 2871),(13.4563272868 3028),(9.94317435352 3187),,(11.2772196746 3523),(11.8326334389 3679),(9.26341543871 3839),(7.95827344214 4002),(10.0145258836 4129),(8.25808300469 4274),(7.41309736923 4413),,,,
Point0,H3,,(4.54584988346 276),,(10.6210808693 558),(9.44668533063 720),,,,(7.8564975645 1391),(6.59433916423 1567),(7.11407156094 1712),,(5.67774915238 1997),(7.93348876569 2136),,(9.05896863267 2427),,(9.64410570811 2721),(9.25707503869 2879),(13.9306207689 3040),(10.9529311041 3200),,(11.8451617976 3534),(12.1486762726 3688),(10.0855839111 3852),(7.98406296363 4007),(10.0894907709 4135),(8.82770348303 4285),(7.78525680247 4424),,,,
Point0,H4,(1.40062578642 130),(3.46635712982 292),,(2.36050011169 612),(2.12136144977 787),(2.18873899186 944),,(2.80670436828 1278),(1.25441587673 1438),(1.49050166529 1600),,,(3.47385140038 2025),(1.64122808063 2182),(0.278450345149 2323),(2.48542052166 2466),(3.74268842874 2613),(2.02184070684 2770),(1.16750150958 2927),(4.15812632234 3091),,(3.52792329737 3426),(2.84442653121 3588),(4.10454839074 3746),(2.58489543064 3892),,(3.06819610419 4181),(3.51429884601 4320),,,(3.0963031924 4756),,
Point0,H5,(1.69894624577 141),(3.7382565889 301),,(2.64446885754 622),(2.64383202322 798),(3.41239611799 959),,(3.09392601262 1289),(1.54005255694 1451),(1.97053690889 1613),,,(3.829136994 2041),(1.68565974747 2188),(1.15947981459 2336),(3.75612577499 2479),(3.79321313892 2618),(2.85418743082 2783),(3.32162247283 2944),(5.0949498758 3102),,(4.84126090313 3439),(3.11280652666 3597),(4.87276775195 3758),(2.6274447441 3897),,(3.11960589823 4186),(4.01254805599 4331),,,(3.49472847473 4766),,
Point0,H6,(-0.169051994395 4),(-2.6645352591e-15 161),(0.0 318),(1.42108547152e-14 480),(1.24344978758e-14 642),(-2.6645352591e-15 814),(-5.3290705182e-15 975),(-2.6645352591e-15 1146),(1.59872115546e-14 1313),(5.3290705182e-15 1482),(-0.00189593593531 1631),(1.86517468137e-14 1784),(2.04281036531e-14 1914),(9.7699626167e-15 2062),(-0.00101398270224 2203),(-1.24344978758e-14 2350),(-1.7763568394e-14 2497),(-2.22044604925e-14 2641),(-5.3290705182e-15 2798),(0.0 2960),(-1.7763568394e-15 3120),(3.5527136788e-15 3285),(1.7763568394e-15 3455),(8.881784197e-15 3619),(7.1054273576e-15 3776),(-0.00825468757216 3927),(-4.4408920985e-15 4065),(5.3290705182e-15 4209),(-9.7699626167e-15 4350),(0.0 4486),(-0.000637001169 4624),(5.3290705182e-15 4782),
Point1,H1,(21.7829049109 36),(23.5991033144 194),(23.2546600205 344),(24.6582406657 508),(24.677674383 675),(24.3988456717 838),(23.9283392605 1002),(24.4741677382 1173),(22.7448626563 1346),(20.105326059 1508),(21.7339051337 1665),(25.4641818538 1812),(23.7576355567 1942),(22.0277389903 2086),(24.28334986 2233),(23.5771308014 2382),(26.5519569834 2531),(24.6125334873 2674),(27.1713971043 2824),(29.0649572763 2992),(24.0581179309 3148),(23.6542580987 3316),(22.8239582793 3481),(23.0789495229 3651),(20.9456374784 3806),(21.3285797643 3956),(20.8021581244 4099),(21.273160233 4242),(20.2159882935 4375),(22.9252970197 4517),(22.3075657013 4659),(22.8457849467 4808),
Point1,H2,,(4.39282528245 267),(9.38130932846 384),(11.7458485396 547),(11.3780351042 707),,,,(8.90984476179 1378),(5.65787437552 1542),(8.48465446301 1695),,(7.06031321046 1985),,,(9.49790763491 2411),,,,(13.2893111169 3025),(10.0030274262 3186),,(8.71815950314 3521),(10.1579646251 3679),(7.91499545647 3836),(7.13174443293 3985),(8.61704106193 4127),(7.82416427586 4272),(7.15437848953 4413),,,,
Point1,H3,,(4.51686131683 273),(9.67503014019 396),(11.8314622456 553),(11.5410223646 717),,,,(8.96115956384 1384),(7.40846282685 1562),(9.18998398468 1709),,(7.65399836098 1996),,,(10.8836928522 2424),,,,(13.8123969576 3037),(10.1623925707 3194),,(9.49257997785 3534),(10.3238654656 3687),(9.02923737209 3851),(7.72637388139 4001),(8.71884325845 4134),(8.4056256663 4284),(7.40148727986 4421),,,,
Point1,H4,(1.7166541232 126),(3.1428214326 290),(3.56998009676 449),(3.37478992926 610),(2.88259837888 784),(2.24966333184 943),,(2.30594577082 1278),(1.30137539259 1432),(1.2660565977 1600),(2.14091699239 1743),,(4.27395725219 2019),(1.55221594131 2178),(1.88047736969 2317),(2.59185779603 2464),(3.82469786069 2611),(2.85068318835 2769),(1.77856044605 2924),(4.63971967482 3088),,(2.81531041757 3423),,(3.31295868549 3745),,,(2.51488206909 4178),(3.72154797572 4316),(1.64710966957 4452),,(1.71534173238 4754),,
