Cycle,0.798465909091
Average Width,3.78554392244
Width,,3.45829387144,3.68471496263,3.68157338409,3.56988169023,3.65025294471,3.72976273826,4.12453136325,4.24786658825,3.9983843197,3.9818163592,3.77204414416,3.82268405242,3.88975865907,3.8671232918,3.84620600077,3.69810375858,3.7093210761,3.68691300872,3.66910698113,3.70438771446,3.72084985286,3.76671155128,3.78722190296
Point0,H1,(3.38425302774 91),(4.46257226778 158),(5.44603744118 295),(6.96897323256 454),(10.3878980393 616),(11.198523885 784),(12.69924019 960),(14.4093363929 1138),(16.2050383637 1317),(16.0250182347 1490),(14.8215419932 1654),(13.9509762449 1824),(14.797421961 1987),(15.719034311 2150),(14.4877175895 2316),(13.0320979166 2484),(13.1213431646 2648),(12.5063423341 2819),(12.5614216967 2985),(14.0391408342 3157),(13.6427582071 3330),(13.9076826656 3498),(15.3058876596 3670),
Point0,H2,,,(4.86447249167 312),,,,,(7.08590042461 1173),,,(7.98341924759 1700),(8.55749940195 1855),,,(8.53183770246 2356),,,(7.25736924362 2853),,,(7.84656589293 3363),(8.4912497116 3540),,
Point0,H3,,,(4.86628293412 314),,,,,(7.58967943536 1192),,,(8.00449845053 1705),(8.62883592485 1863),,,(8.73357128292 2365),,,(7.33212570366 2860),,,(7.91181725134 3371),(8.72214064638 3549),,
Point0,H4,,,(0.475406103957 390),,(1.50360462081 719),(1.14451968451 895),,(2.05495255808 1248),(1.82762420534 1423),(2.43312494501 1600),(3.03698889635 1756),(2.46376469522 1918),(2.83440667701 2075),,(0.403503433944 2436),,(2.00320095914 2755),(0.746020368018 2930),(7.6743428269 3021),(1.74092429536 3264),(2.28516209024 3442),(2.29076966662 3618),,
Point0,H5,,,(0.485037909835 394),,(2.00572405861 732),(1.52289501109 908),,(2.40328856644 1260),(2.28391361858 1435),(2.90693562318 1611),(3.58439094854 1769),(2.58247717843 1926),(2.99795889645 2085),,(0.532731228529 2444),,(2.16225823768 2763),(1.0574048285 2940),(7.91310655016 3033),(2.10084122729 3275),(2.30991664819 3447),(2.32562660419 3624),,
Point0,H6,(-0.0164247900945 1),(-0.00802991040561 127),(-0.00361336830759 266),(1.33226762955e-15 411),(-0.00319051822822 577),(1.33226762955e-14 749),(3.5527136788e-15 924),(8.881784197e-15 1101),(5.3290705182e-15 1282),(-4.4408920985e-15 1456),(-4.4408920985e-15 1628),(-3.5527136788e-15 1790),(3.5527136788e-15 1952),(-4.4408920985e-15 2119),(-5.3290705182e-15 2283),(-0.00228051933422 2456),(1.06581410364e-14 2617),(1.24344978758e-14 2782),(2.6645352591e-15 2954),(-4.4408920985e-15 3126),(0.0 3294),(8.881784197e-16 3467),(3.5527136788e-15 3642),
Point1,H1,(21.9335537351 30),(23.2384816314 162),(25.0390709001 302),(25.8311224471 455),(30.0779449099 617),(28.9205896822 785),(25.6696373787 962),(25.0583611814 1140),(28.389777802 1319),(28.6201220746 1493),(30.7393216786 1658),(28.1695652986 1827),(27.8774272165 1990),(29.4180564714 2153),(28.7198671154 2319),(29.3059107109 2488),(30.1499754775 2650),(29.9005287485 2821),(29.3077979092 2987),(30.6781740959 3160),(29.5327246369 3333),(28.9158185304 3502),(30.2078247807 3673),
Point1,H2,,,,,,(13.843548851 822),,(9.62083054378 1174),,,(13.7855555156 1701),(13.287455137 1860),,,,,(14.3314761157 2694),(15.5481570177 2855),,,(15.243412328 3366),,,
Point1,H3,,,,,,(14.3650543998 833),,(10.3053908134 1189),,,(14.1860120829 1711),(13.4965488358 1870),,,,,(14.4773276253 2701),(15.8469418858 2864),,,(15.3906627277 3374),,,
Point1,H4,(9.17921262539 75),(4.08663050873 246),(3.996210076 390),(11.9547085415 489),(4.13150421176 722),(3.27131329873 899),,(2.31524359824 1250),(2.34954960532 1423),,(4.46307682627 1762),(3.79534650806 1922),,(4.60476451912 2260),(13.3793390823 2360),(3.57783766002 2600),(4.78096927553 2756),(3.35104366697 2935),,(4.41539639866 3265),(3.96426528161 3443),(14.2749335932 3542),,
