Cycle,0.804659090909
Average Width,0
Width,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(17.6346279669 27),(21.8467736819 171),(21.5737492851 320),(23.8888295974 486),(24.3475585047 652),(29.0090414617 829),(29.7088714623 1006),(27.0946615256 1189),(26.785316353 1359),(25.7532327478 1529),(26.5277593416 1693),(24.913171737 1856),(25.8828009832 2023),(27.3602785914 2187),(24.8142000301 2359),(25.4616755915 2521),(24.8122028549 2686),(24.2949467449 2857),(24.2803876634 3030),(24.0886502854 3197),(24.0458730996 3370),(24.1853593173 3544),(19.9917037909 3712),
Point0,H2,,,,(12.3500887037 522),,(13.4486375619 872),(13.8019260814 1046),(13.8905759885 1221),,(11.1396471812 1573),(13.0920253005 1732),(12.0513099802 1894),,,,,,,(13.2534692635 3063),,,,
Point0,H3,,,,(12.3917386449 527),,(13.7148178131 881),(14.4246322131 1057),(14.1975483137 1231),,(11.2052541787 1580),(13.8073494897 1745),(12.6029478318 1906),,,,,,,(13.4393452248 3072),,,,
Point0,H4,,(2.71082495943 261),(4.25235257766 421),(2.96751799877 597),(1.52109462271 772),(3.75897333485 950),(2.79667999835 1122),(4.33779711668 1300),(12.1671105182 1397),(3.65513414045 1636),(4.62854087917 1796),(3.94674326921 1958),(3.32910521613 2135),(14.2759362861 2231),(12.1293411075 2394),(3.49665878718 2628),(12.6931938774 2729),(4.51795234032 2963),(3.50564943163 3141),(13.1918599454 3239),(3.35865275164 3475),,
Point0,H5,,(3.36688703513 272),(4.5584415435 430),(3.33783633025 607),(2.81540484639 785),(4.13699268371 959),(4.54975866983 1137),(5.27254307254 1311),(12.5988786392 1409),(4.49629013694 1648),(5.41615077229 1807),(4.17399710126 1966),(3.56160214807 2143),(14.6613159543 2241),(12.3372900063 2403),(4.49173312592 2640),(12.7313301819 2734),(4.74413755051 2972),(4.45933989854 3153),(13.5799004451 3248),(3.45770797568 3482),,
Point0,H6,(-0.00736820150493 140),(-5.3290705182e-15 289),(-0.00358159979021 451),(-2.30926389122e-14 624),(-7.1054273576e-15 799),(0.0 976),(1.24344978758e-14 1155),(-1.7763568394e-15 1329),(-5.3290705182e-15 1499),(3.5527136788e-15 1665),(5.3290705182e-15 1826),(-5.3290705182e-15 1988),(-1.24344978758e-14 2159),(-2.13162820728e-14 2323),(-3.5527136788e-15 2488),(8.881784197e-15 2657),(1.06581410364e-14 2827),(1.06581410364e-14 2995),(1.95399252334e-14 3169),(7.1054273576e-15 3343),(5.3290705182e-15 3509),(-5.3290705182e-15 3682),
Point1,H1,(22.1328025641 29),(24.8641483697 172),(21.9106610169 320),(21.5368918359 486),(22.5968012314 653),(26.2343370154 829),(23.8623112528 1007),(18.253182332 1190),(17.9671139186 1361),(17.40034058 1530),(19.1343982316 1694),(18.2639078762 1858),(19.7194889773 2024),(20.2473740226 2188),(17.8323252431 2360),(19.5249180525 2523),(20.4140544277 2687),(18.2707852772 2859),(19.3890626082 3032),(18.5013497648 3199),(18.8006639698 3371),(17.7416697055 3546),(14.8723355281 3712),
Point1,H2,,,(10.6718851268 360),(10.5026013943 522),,(11.0619455897 874),(11.037781616 1048),(10.1405622048 1223),,,(9.18052044888 1732),(8.79676968842 1896),(9.61864171936 2055),,,(10.4170183584 2559),,,,,,,
Point1,H3,,,(11.1019494839 371),(10.6313768287 530),,(11.1667726889 880),(11.2209240472 1057),(10.3632974205 1233),,,(9.94390989169 1747),(9.04253607919 1907),(10.0915721086 2067),,,(10.469139228 2566),,,,,,,
Point1,H4,,(2.7220081531 262),(3.61369031796 421),(3.023177703 599),(1.02207133051 772),(2.48588308443 950),(1.77594335654 1122),(3.0150575775 1300),(7.89978624922 1399),(2.77821633885 1635),(2.61122697384 1798),(3.03543870475 1957),(2.35379947416 2136),(10.3049259169 2233),(8.44510808892 2391),(2.91674208271 2630),(10.295383138 2729),(4.05239538909 2963),(3.31075546688 3143),(2.91966214865 3319),(2.93967359418 3476),,
Point1,H5,,(3.93018073335 274),(4.04014818893 432),(3.18138611583 607),(2.46092523323 786),(3.46050056351 962),(3.72395964984 1138),(3.68472331363 1312),(8.10163054144 1409),(3.47584612616 1648),(3.74560001408 1810),(3.60440071551 1969),(2.46053877421 2143),(10.6430847042 2243),(9.06177534485 2405),(3.58848730852 2641),(10.4385084899 2736),(4.34237261518 2973),(3.52566204655 3151),(3.01856099677 3326),(3.09467364882 3485),,
Point1,H6,(-0.000570066688006 141),(0.0 290),(5.3290705182e-15 451),(-0.00257179042424 624),(-3.5527136788e-15 800),(7.1054273576e-15 978),(5.3290705182e-15 1156),(8.881784197e-16 1331),(1.7763568394e-14 1501),(1.42108547152e-14 1666),(1.50990331349e-14 1827),(1.24344978758e-14 1990),(1.50990331349e-14 2160),(7.1054273576e-15 2324),(9.7699626167e-15 2489),(7.1054273576e-15 2658),(-0.0022529713475 2828),(-0.00620525658627 2996),(0.0 3170),(8.881784197e-16 3344),(-1.7763568394e-15 3511),(-0.00420087379579 3683),
