Cycle,0.783041125541
Average Width,4.95572542162
Width,,5.24419369165,4.49628634681,5.66475665819,4.7657460731,5.18640671293,4.7627466485,4.89106514615,4.59600279071,5.59424933246,4.37906197263,4.88155881746,4.38096807521,4.62598659172,4.17110065606,6.71635869401,4.37461834157,5.33112676322,5.20369272402,5.65950295928,4.33516813963,5.21948107476,4.54588106555
Point0,H1,(6.82692598894 40),(7.41215364444 195),(7.88809376805 363),(6.76914038736 521),(7.37250247967 667),(8.52727021999 830),(7.87867201029 1008),(6.61877849113 1163),(7.58877019674 1330),(7.43825908261 1499),(6.92984569372 1662),(6.49729708129 1808),(7.26408471602 1977),(7.07702073053 2154),(5.97152593058 2318),(7.13161884427 2474),(6.96609221941 2646),(6.50210317632 2825),(6.21669662142 2994),(5.97294234889 3144),(5.76218145865 3302),(6.07990700725 3483),
Point0,H2,(3.22652366734 67),,(3.56115905599 388),,,(4.78489577665 861),(3.82278029777 1038),(3.64173553937 1186),(4.0757695988 1358),,(2.55732296033 1695),(3.22039851628 1850),(4.1951482801 2001),,,(3.9087902877 2498),,(3.71706383524 2850),(3.10192407907 3021),,,,
Point0,H3,(4.02226423981 91),,(4.16524148214 413),,,(5.11783745193 879),(4.77895412349 1057),(4.6453641599 1209),(4.74230431059 1375),,(3.55719221748 1715),(3.52241765832 1862),(5.0018837616 2021),,,(4.21085962414 2511),,(4.23638010693 2868),(3.99811068725 3040),,,,
Point0,H4,(0.962205909309 135),(4.34967895059 226),(0.867630665362 454),(2.65670833353 547),(2.99810912626 697),(1.1400157659 939),(1.38979317589 1098),(0.796954341819 1259),(1.07532498278 1428),,(0.566322300168 1751),(0.888555380893 1907),(2.04301638426 2065),(3.79484648061 2178),(2.7676849544 2352),(0.874196059 2578),(4.48538488622 2676),(0.577512142108 2935),(0.969296328853 3085),(3.0603487752 3168),,,
Point0,H5,(1.19096838262 147),(5.29280970437 246),(0.949489576415 464),(3.77906552867 570),(3.45587994535 718),(1.30780236754 952),(1.41336277401 1104),(1.23015833754 1282),(1.11853979482 1436),,(0.60737931787 1760),(1.16048427989 1922),(2.05202869427 2069),(5.06692404613 2199),(2.88162665102 2363),(1.10849211998 2593),(4.67681683528 2688),(0.921835404498 2949),(0.99351463879 3091),(3.91230900837 3188),,,
Point0,H6,(-0.0682561781118 3),(9.32587340685e-15 164),(9.32587340685e-15 334),(2.22044604925e-15 486),(8.881784197e-16 634),(-1.33226762955e-15 797),(-0.00540671340908 976),(-6.44888569861e-05 1131),(2.6645352591e-15 1300),(-0.00038892235882 1467),(1.33226762955e-15 1635),(5.3290705182e-15 1777),(1.7763568394e-15 1943),(3.99680288865e-15 2119),(2.22044604925e-15 2288),(-0.00323252111414 2432),(3.10862446895e-15 2612),(1.33226762955e-15 2788),(-1.33226762955e-15 2964),(-1.33226762955e-15 3111),(1.7763568394e-15 3267),(0.0 3449),
Point1,H1,(8.10883234276 60),(8.92065669504 214),(8.73977974469 383),(8.16454616438 541),(8.11930766923 686),(9.65002790497 849),(9.04550463473 1027),(7.86384898261 1182),(8.38267563583 1348),(8.69130026857 1517),(7.4093237416 1682),(7.63004265142 1827),(8.33937511214 1997),(8.14460539744 2173),(6.70052757407 2336),(8.28868882569 2493),(8.10867878623 2665),(7.62772575068 2843),(7.21382149742 3011),(7.29877623634 3163),(6.76273396973 3322),(6.99279957131 3502),
Point1,H2,(4.036407605 85),(5.25741758975 245),,,(3.42016098241 711),(4.74895768402 876),,(3.59347655649 1205),,(3.15371741755 1543),(2.82872277074 1712),(4.04394930071 1868),,,,(4.30697155433 2514),(5.3811725557 2695),(4.21757170815 2869),(3.34873163389 3043),(3.16867714315 3189),(4.65685651988 3345),,
Point1,H3,(4.96563575383 110),(6.31313862107 264),,,(3.91650352039 743),(5.64820123572 897),,(4.96587914068 1228),,(4.34936842402 1567),(4.22171334024 1733),(4.31103549171 1881),,,,(5.35524840343 2532),(5.79985549904 2709),(5.22383112042 2889),(4.47559084008 3063),(4.43329349554 3211),(5.24304892341 3361),,
Point1,H4,(1.6072933421 154),(1.44176255477 320),,(3.51907142561 567),(0.698342674928 792),(1.62307500679 947),(4.13995573891 1057),(0.615812679443 1286),(4.94481109157 1377),(1.10394793786 1631),(0.455912844318 1768),(0.731918943884 1924),(4.95053116986 2021),(4.26190512634 2197),(3.28554791046 2373),(0.721147404759 2596),(1.28645268594 2781),(0.870723585576 2951),(0.926005153034 3102),(0.729334548312 3261),(1.41746773961 3435),,
