Cycle,0.915595238095
Average Width,10.8635017723
Width,,0.0,0,13.7064822356,10.295051522,8.02256335139,7.66757395717,7.99256941987,10.6391454096,10.1408696724,11.4374988584,8.97831170346,9.52127198825,15.9325821307,16.3933873638,10.4982154274
Point0,H1,(12.9853248648 53),(13.86495923 236),(15.2788161145 445),(13.9385209945 633),(13.3909835265 828),(10.6699356341 1035),(10.5706187995 1230),(11.1026347663 1416),(13.1026626442 1613),(11.7402866391 1826),(8.89075666056 2011),(7.25791069702 2213),(9.22079091456 2400),(10.6686988795 2615),(5.62928999884 2807),
Point0,H2,(7.1149377603 79),(12.3221884421 253),,,(12.2397621073 842),(2.39011275911 1114),,(10.2210438479 1433),,,(4.37778498761 2063),,(7.19921688305 2442),,,
Point0,H3,(7.22774540751 85),(12.4043232558 259),,,(12.5875968231 853),(2.58797165208 1125),,(10.3099657445 1440),,,(4.51109057249 2075),,(7.38032667076 2457),,,
Point0,H4,(0.775780702908 163),(-0.00432284652703 366),(3.71976311294 563),,(1.47390852364 967),(1.054677709 1154),(2.68189491927 1351),(5.56891551099 1470),(6.61304059524 1673),(1.37524686854 1942),(3.16827472671 2118),,(3.72995796769 2535),,,
Point0,H5,(1.43833052996 179),(1.99260794834 388),(3.71995541373 565),,(1.69409333753 977),(1.254480265 1166),(2.94722189257 1360),(5.73524954226 1478),(6.74384362739 1685),(1.6195798618 1953),(3.19683654362 2125),,(3.7957009959 2541),,,
Point0,H6,(-0.0277654371864 1),(4.4408920985e-15 199),(-0.00432284652703 366),(2.6645352591e-15 594),(4.4408920985e-15 788),(-0.00323830277172 995),(-1.7763568394e-15 1188),(-7.9936057773e-15 1380),(-0.00180409411143 1575),(9.7699626167e-15 1778),(-4.88498130835e-15 1972),(-5.3290705182e-15 2162),(9.7699626167e-15 2360),(7.1054273576e-15 2566),(-0.0335381880655 2755),
Point1,H1,(14.0208527812 52),(16.3659833207 238),(18.6673652237 448),(17.0728489151 639),(17.3903311759 829),(14.7565490452 1039),(14.3842972895 1231),(15.4611193628 1423),(18.091186435 1614),(16.0612867292 1824),(14.5539522293 2013),(13.175817392 2205),(14.4539388812 2398),(16.2265627176 2612),(12.4498665833 2798),
Point1,H2,(6.52362835003 77),(1.40340539692 353),,,,(2.82650228357 1117),(4.67184535031 1325),,(9.21976106387 1663),(2.60731737189 1918),(6.59763580658 2066),,,,,
Point1,H3,(7.0856531127 88),(1.40424414109 354),,,,(3.01296834464 1127),(4.70563658983 1331),,(9.31577530722 1670),(2.62046976179 1923),(6.59840440605 2067),,,,,
Point1,H4,(0.814951729088 162),(0.567002781355 372),,,,(0.992662078813 1157),(2.97104777908 1356),(1.10712109304 1540),,(1.45738512416 1943),,,,,,
Point1,H5,(1.7451951555 179),(2.34309201845 389),,,,(1.60570007879 1172),(2.9740778833 1358),(1.20962928064 1549),,(1.94407564016 1955),,,,,,
Point1,H6,(-0.0336358110048 1),(-1.42108547152e-14 198),(-1.42108547152e-14 404),(-1.7763568394e-15 596),(0.0 791),(3.5527136788e-15 996),(-5.3290705182e-15 1192),(-7.1054273576e-15 1381),(-0.00410056817632 1578),(0.0 1779),(3.5527136788e-15 1973),(-0.0016568505017 2164),(-6.2172489379e-15 2364),(0.0 2565),(-0.0198499026939 2760),
Point2,H1,(15.4945356629 51),(18.8632989358 238),(21.0779552553 450),(18.7659538397 640),(19.0202960156 830),(16.5739137956 1040),(16.1571949015 1230),(18.3965720856 1423),(21.3040056364 1614),(19.0828938531 1823),(18.2287484978 2015),(17.30736741 2206),(18.8154916758 2400),(20.8751114797 2608),(17.592713781 2798),
Point2,H2,(6.49149619047 78),(5.08197085506 318),,,,(3.05501521832 1115),,(8.86741056239 1470),,,,,(10.219360046 2444),,,
Point2,H3,(6.87418653185 88),(5.21055420385 326),,,,(3.4229530181 1126),,(8.95891304063 1476),,,,,(11.2025807633 2457),,,
Point2,H4,(1.76720919348 158),(1.57078913782 373),,,,(0.526936491392 1154),(3.4723006545 1351),(1.41345033868 1543),(10.6054047932 1666),(1.89123285313 1943),,,(3.93489276086 2533),,,
Point2,H5,(2.63534702793 176),(3.01735015857 388),,,,(1.45682418477 1173),(3.72191890188 1360),(1.58651601372 1554),(10.6143451668 1669),(2.1859127758 1954),,,(4.15237698435 2543),,,
Point2,H6,(-0.0353517813542 1),(-1.7763568394e-15 198),(1.06581410364e-14 404),(1.06581410364e-14 596),(2.48689957516e-14 792),(1.7763568394e-15 997),(2.22044604925e-14 1192),(7.1054273576e-15 1381),(5.3290705182e-15 1578),(7.1054273576e-15 1779),(1.42108547152e-14 1973),(-1.7763568394e-15 2165),(1.7763568394e-15 2364),(-8.881784197e-15 2565),(-0.0171392677423 2762),
