Cycle,0.723841179654
Average Width,4.7581078866
Width,,4.80392821539,4.66994505162,4.8323349985,5.17423784944,4.94332814091,4.76513224632,5.01142297102,5.67558196255,4.76140906585,4.73936613868,4.59438052595,4.80313144017,4.8109703378,4.77534556396,4.88121966876,3.96485003951,4.56468123943,4.83918660726,4.08607852075,4.83957656134,4.38415847348
Point0,H1,(11.0254386815 28),(8.36670271705 177),(9.34384087447 345),(11.8451588262 499),(9.95023288074 638),(9.37868945213 792),(10.3173437337 973),(12.3004594703 1132),(9.87770082161 1273),(9.99614348637 1443),(7.49560144313 1595),(7.77692109058 1756),(7.87421538165 1901),(9.91774458914 2059),(8.15111495979 2237),(2.7357593512 2320),(7.7773489856 2393),(10.020825916 2543),(8.38724830295 2701),(6.89590000934 2808),(9.78900572112 2874),(6.82737756289 3032),(9.43750134079 3176),
Point0,H2,(7.04963362645 58),(4.78497722901 222),,(5.73591423713 526),(2.28435020852 679),,,(4.66246903896 1172),,(1.95710261766 1465),,,(5.68784862309 1930),,,,(2.80360464777 2434),,(7.54304630093 2716),,,,
Point0,H3,(7.18840631473 68),(5.80843602317 240),,(6.16875276092 536),(4.62605987078 698),,,(7.13926201766 1188),,(5.28864401446 1485),,,(6.38393788107 1948),,,,(4.29003847671 2451),,(8.13374625052 2738),,,,
Point0,H4,,(-8.881784197e-16 267),,(4.96587001073 557),(-0.0360216908622 735),,(0.457077564368 1074),(2.80910394823 1209),,(-0.00132783432549 1531),,,(1.9394793025 1986),,(-0.00823448021808 2279),(-0.0102310865965 2343),(1.4984439015 2476),(3.1276411253 2616),,,(6.00929991278 2902),,
Point0,H5,,(1.83218360757 288),,(4.97795524052 560),(0.388850893028 751),,(0.63411309044 1086),(3.28960393456 1219),,(0.191592176992 1549),,,(2.45516404956 2004),,(2.42398318844 2303),(1.30146070154 2362),(1.64247665579 2486),(4.46533501399 2637),,,(6.17518793846 2916),,
Point0,H6,(0.0 145),(-8.881784197e-16 267),(-2.6645352591e-15 467),(8.881784197e-16 609),(-0.482888560871 765),(-0.000997249416672 835),(-0.281567496685 900),(-5.3290705182e-15 1101),(8.881784197e-16 1241),(-2.6645352591e-15 1397),(-0.00132783432549 1531),(-2.6645352591e-15 1728),(1.7763568394e-15 1846),(1.7763568394e-15 2032),(-0.0325454507958 2208),(-0.00823448021808 2279),(-0.0102310865965 2343),(-1.24344978758e-14 2509),(-4.4408920985e-15 2674),(-0.00220218030883 2847),(-0.00654136898666 3003),(-0.00693403758313 3136),
Point1,H1,(16.5184105908 28),(13.7456981491 179),(15.3927389418 345),(16.8147900216 499),(15.1770279955 638),(16.0496568542 794),(15.3373169194 970),(16.7590770771 1133),(16.605962486 1275),(15.2415788063 1421),(13.8544561405 1594),(13.2245600329 1756),(13.5225160274 1901),(16.5411318418 2061),(12.6577590549 2237),(12.8805744814 2394),(15.1599815474 2541),(14.9415201739 2702),(14.2985730524 2875),(12.3833236533 3032),(15.8111687808 3177),
Point1,H2,(7.93610066749 60),(5.94499819083 225),(8.39729825632 370),,(3.44883977525 681),,,(6.40122121047 1174),(5.81585260608 1337),(13.3925851691 1435),(6.13315622221 1627),(4.25242127336 1797),(7.21416998951 1944),,(0.0 2281),(3.89876749186 2436),(6.64860519711 2584),,(7.1561404616 2911),(5.83525381298 3058),,
Point1,H3,(8.41436243559 73),(6.58185727905 240),(8.40812891221 373),,(6.21739930618 698),,,(8.35890758659 1189),(6.00012303317 1346),(13.627306176 1442),(6.20912826998 1634),(4.73265184562 1810),(7.43043622475 1954),,(1.87164245351 2301),(5.36252474313 2452),(6.9016580187 2594),,(7.35432084616 2924),(6.05514578273 3067),,
Point1,H4,(3.2089221421 118),(0.0 270),(1.05442107447 439),(7.16449357439 531),(0.383439834782 732),,(0.342361095842 1079),(3.45049094217 1213),(2.06203532741 1368),(5.0650444657 1467),(1.33226762955e-15 1704),(1.7763568394e-15 1848),(2.08017378206 1993),(7.51080555154 2102),(1.63295728203 2311),(1.11278689347 2484),(3.79232850025 2618),(4.16813279281 2791),(3.09670401646 2964),,,
Point1,H5,(3.38286146899 127),(1.49671730685 288),(2.09387741994 452),(7.9686621658 545),(0.702409518431 747),,(0.650042480983 1091),(3.52683076224 1219),(4.09692930272 1381),(7.52190493388 1484),(0.686269501506 1718),(1.47153596316 1863),(2.4319350174 2013),(11.233560211 2121),(2.04585601121 2325),(1.19153573905 2493),(5.3815028641 2637),(7.14278847492 2810),(3.10313127309 2967),,,
Point1,H6,(-6.2172489379e-15 147),(0.0 270),(-0.00944420675815 467),(-1.7763568394e-15 610),(-0.0016809021757 764),(-1.15463194561e-14 936),(-0.00272874193404 1102),(-0.00437276593076 1243),(9.7699626167e-15 1397),(-0.00843185590558 1556),(1.33226762955e-15 1704),(1.7763568394e-15 1848),(7.9936057773e-15 2033),(-0.0601162599766 2210),(0.0 2281),(-0.072429218786 2346),(-6.2172489379e-15 2511),(5.3290705182e-15 2675),(1.24344978758e-14 2848),(-0.00276211485673 2998),(-0.00418560253097 3139),
Point2,H1,(16.1651833316 26),(14.9125033859 177),(15.8886663376 344),(14.9952219795 498),(14.336497832 640),(16.1165387474 793),(15.1837839212 968),(17.2927602756 1132),(16.5551197933 1273),(14.6806885539 1421),(13.8137183452 1592),(15.1401172508 1755),(14.4586678127 1902),(17.1860690561 2061),(12.260723599 2235),(13.0473380163 2393),(14.9349622733 2540),(13.4022541203 2702),(13.7163921529 2874),(12.6420794809 3030),(16.2469549717 3176),
Point2,H2,(7.66596587309 55),(6.55425642953 216),,(5.15608715168 527),(3.02208701364 677),,(6.00613228232 1018),,(4.77131139231 1318),(3.10655694386 1466),(2.48450967745 1673),(4.18609015852 1794),(6.63759981964 1936),(7.25695897984 2100),,(3.39236353651 2427),,,(6.6049839065 2919),(4.99368006251 3060),,
Point2,H3,(8.25322723911 70),(7.09190539565 233),,(6.38412918095 543),(5.1030019346 696),,(6.13781889052 1026),,(5.26092461692 1331),(5.87537851491 1486),(2.69756121373 1682),(5.36394462402 1810),(7.57254358893 1952),(10.9339827642 2119),,(5.138359897 2449),,,(6.72111146134 2927),(5.06772516125 3066),,
Point2,H4,(4.81530539348 95),(-9.7699626167e-15 266),(0.982875130554 438),(2.33620339614 583),(-2.6645352591e-15 744),,(0.22689026257 1076),(6.09594271689 1171),(2.18803067106 1366),(0.487905615844 1527),(4.4408920985e-15 1703),(-7.9936057773e-15 1845),(2.14546752626 1985),(2.06527052108 2184),,(1.32057881969 2485),(2.74923282489 2631),(3.60494067246 2791),(3.20431404732 2966),(4.90969381572 3078),,
