Cycle,0.756363636364
Average Width,24.6927444363
Width,,18.1814460686,20.2336276334,9.73615305064,25.2849637739,0,15.0362858116,25.1301783837,9.92374323297,12.0843072133,31.8471931902,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,13.3411880358,26.7438080159,88.7700388253,0
Point0,H1,(6.93259565108 27),(5.31368049146 167),(4.64621382623 290),(4.95426238629 446),(7.43821002284 586),(6.47191464053 744),(6.62389979825 903),(6.11738393024 1039),(7.26498305302 1181),(10.0991486647 1409),(11.2661973319 1537),(4.89003066562 1713),(8.08939423795 1902),(7.37650811474 2067),(6.80852071616 2234),(7.55219368854 2435),(6.16266363377 2539),(6.32764347395 2715),(6.6070249299 2873),(4.82263229405 3017),(7.94946619382 3186),(7.39903381167 3334),(5.42637551633 3504),
Point0,H2,(6.11059879184 41),,(3.14321846161 311),,,,,,,,,,,,(3.87076556657 2281),,(3.81159682556 2596),(4.62384047986 2743),,,,,
Point0,H3,(6.27826574409 49),,(3.87063199976 328),,,,,,,,,,,,(3.93445739393 2288),,(3.8639700426 2605),(5.611815057 2769),,,,,
Point0,H4,(4.61599503127 68),(2.95565886326 201),(0.581575003574 375),,,,(2.98229124665 935),,,,,,,(2.23859357875 2125),(1.15463194561e-14 2339),,(0.908719003381 2644),(4.21873438623 2791),(0.288200313636 2964),,(6.28241184698 3206),,
Point0,H5,(5.86664608297 84),(3.00806938614 208),(0.772080442356 385),,,,(4.82882896851 962),,,,,,,(2.76685514799 2145),(7.00104988884 2382),,(1.62779101415 2658),(4.59579623885 2803),(0.797591680333 2978),,(6.95240194814 3219),,
Point0,H6,(1.33226762955e-15 131),(5.3290705182e-15 257),(-3.10862446895e-15 401),(4.4408920985e-15 548),(3.10862446895e-15 699),(-2.22044604925e-15 865),(1.7763568394e-15 1009),(8.881784197e-16 1151),(8.881784197e-16 1313),(8.881784197e-15 1506),(-0.00652377587662 1681),(6.66133814775e-15 1858),(6.2172489379e-15 2035),(1.1990408666e-14 2196),(1.15463194561e-14 2339),(4.88498130835e-15 2506),(3.10862446895e-15 2675),(0.0 2847),(-2.44249065418e-15 2992),(-1.7763568394e-15 3135),(-0.00509212990891 3302),(-3.10862446895e-15 3460),
Point1,H1,(9.60046991583 27),(8.29146403138 164),(9.03314107421 293),(8.82705153417 434),(10.8409410945 586),(10.664889324 745),(10.3091041406 903),(10.9896772315 1038),(11.7777640474 1181),(13.3938854916 1350),(13.5000368369 1534),(8.19187470017 1715),(10.4063735995 1896),(9.80107186642 2068),(8.80324371261 2234),(9.2279459571 2377),(8.87932535315 2539),(9.31562057244 2706),(9.93049670237 2875),(9.34874007623 3019),(11.1490958098 3166),(11.0524042027 3335),(9.26912974369 3489),
Point1,H2,(8.03494784419 43),,,,,(7.11986052405 766),,,(5.98666835979 1224),(11.1978067057 1376),,(5.37294753245 1747),(6.30734011369 1932),,,,(5.03927604547 2582),,,(4.19813807007 3061),,(7.02588710796 3358),,
Point1,H3,(8.14604781756 50),,,,,(7.15999882116 770),,,(6.65771036918 1239),(11.5865901205 1392),,(6.25779053181 1765),(6.43315710256 1945),,,,(5.08582003615 2591),,,(4.93885223629 3079),,(7.17143093344 3366),,
Point1,H4,(5.43597226818 71),(4.52983903609 201),,,(4.98310570319 636),(4.88047489029 793),(4.83997669245 934),(6.28206576164 1082),(2.31164568523 1287),(7.22711174111 1451),,(2.76278808671 1827),(2.92482473589 2003),,,(5.7012696409 2410),(1.45121281437 2646),(6.19445184513 2744),(4.59360929681 2919),(1.83041551206 3113),(7.85065542827 3207),(2.46050292718 3430),,
Point1,H5,(6.45818576654 84),(4.79065701361 212),,,(5.00641392894 642),(5.24195768217 806),(6.02381674022 961),(6.30685616218 1086),(2.58530379812 1296),(7.2754836053 1457),,(2.82305251552 1834),(3.24579126967 2014),,,(6.65681621726 2433),(1.61020505034 2655),(6.72052298955 2760),(4.798829007 2930),(1.91985109835 3120),(8.5064529298 3220),(3.21019989479 3442),,
Point1,H6,(-0.00456155322535 1),(-0.00404684249546 132),(-5.3290705182e-15 259),(9.7699626167e-15 403),(8.881784197e-16 550),(-3.5527136788e-15 714),(-2.6645352591e-15 867),(-5.3290705182e-15 1010),(-4.4408920985e-15 1152),(-0.00536548986556 1314),(1.7763568394e-15 1506),(-1.7763568394e-15 1682),(-0.000598966475197 1858),(4.4408920985e-15 2035),(1.06581410364e-14 2196),(2.6645352591e-15 2341),(-0.000559221140437 2508),(0.0 2673),(4.4408920985e-15 2846),(1.02140518266e-14 2992),(2.6645352591e-15 3137),(0.0 3300),(2.6645352591e-15 3460),
