Cycle,0.73340625
Average Width,6.77771116401
Width,,7.59960962476,7.46743530148,6.50851478058,6.72490429561,6.37492595327,6.6010439335,6.57803788074,6.4798449103,6.85509669102,7.39893418042,6.26655827741,7.03717214887,6.71470478107,6.52162632185,6.92757031714,7.09842205225,6.78539456789,6.54026328966,6.46674013175,6.24085660533,6.34056428073,6.35191041936,6.33881210902,6.27214465796,6.37476315753,6.80786990974,7.23365679499,7.20066330142,6.63793117857,7.55855548344,6.91803467157,7.10652922416,6.56553932479,6.91858553201,6.40793577836,6.72471035034,6.79131722045,6.30461031291,6.65254471788,6.8995722176,8.29225103662
Point0,H1,(14.0225853966 41),(14.1288576155 190),(11.6566587389 333),(13.7772881052 477),(12.3125868411 624),(11.9943020566 767),(12.7572813738 911),(11.4361410492 1058),(12.1607531248 1210),(14.4786454329 1358),(13.4046759417 1498),(15.1915618614 1635),(12.1346794393 1776),(13.0397034269 1918),(12.0213178111 2057),(13.1620722898 2199),(13.5905830579 2346),(12.9095627666 2498),(12.9190916046 2652),(11.2087935968 2804),(11.4646253624 2949),(12.6610129527 3098),(12.2864982678 3255),(11.3709529735 3413),(11.9745156529 3564),(11.5610478233 3715),(13.142233053 3873),(12.3914570218 4036),(12.845288825 4203),(15.1806268874 4367),(13.2973757331 4529),(12.189599761 4680),(13.2724776675 4824),(12.010311634 4970),(12.8815360483 5123),(13.0146693404 5283),(12.029891062 5445),(12.7117485872 5596),(13.4378526462 5747),(13.0245110746 5899),(9.90904017262 6058),
Point0,H2,(5.99124338762 65),(5.19237790651 218),(3.98016724568 362),(5.22618867743 505),(5.42717615926 653),,(5.31425981802 943),,(4.31607243005 1237),,(2.84997618872 1526),(5.97188609022 1666),,,,,(6.05275430755 2369),(5.6162209929 2527),(5.29212672347 2679),(3.05454331288 2830),,,,(4.08268438294 3439),(4.11678747297 3593),(2.13215678014 3744),(6.68945741067 3901),,(4.97138198488 4229),,,,,(4.53194658571 4998),(7.84027741333 5153),(6.38625733595 5311),(4.39382627972 5469),(4.37561093557 5624),,,
Point0,H3,(7.91094789588 90),(8.75277896385 239),(5.95454698562 382),(8.11038320438 528),(8.23603888583 675),,(6.30540180734 958),,(6.63505980718 1258),,(7.6118067251 1549),(7.45361737664 1682),,,,,(7.26379730358 2392),(7.37439965607 2547),(6.72695274562 2700),(6.03178089327 2851),,,,(6.68428094906 3462),(5.08050441545 3610),(4.78247200998 3767),(8.96653586389 3923),,(7.55538582442 4255),,,,,(4.79156027007 5018),(8.26007446373 5166),(7.58866868818 5327),(6.57684450469 5486),(6.67676179239 5648),,,
Point0,H4,(1.65893306018 140),(2.03488682485 284),(1.51876040783 424),(2.87339285978 570),(1.68760814331 715),(5.91312047774 799),(0.534776596531 1002),(3.64953453335 1086),(0.420423493195 1310),(4.24745049826 1389),(2.33548443906 1577),(3.45579097965 1718),(5.33102169104 1807),(6.03343363325 1945),(3.16630378936 2082),(4.5476110088 2223),(1.05721779769 2440),(1.10861338531 2604),(1.31998322128 2745),(1.8518606986 2887),(3.69043632547 2976),(6.06693163479 3122),,(-8.881784197e-16 3514),(0.873506891665 3657),(0.640631222833 3813),(2.81671272035 3979),(5.31028445556 4066),(-1.7763568394e-15 4311),(7.45049071815 4398),(4.82430517855 4559),(3.61951661427 4706),(5.47662077326 4848),(0.503526090833 5061),(1.54232235722 5222),(2.27017751428 5382),(1.07396409894 5546),(1.87947772949 5687),(7.57040901284 5776),,
Point0,H5,(1.73957984107 146),(2.06676842445 289),(1.68005525984 433),(2.90713802656 575),(1.767119594 722),(7.10592706716 817),(0.84622985107 1012),(5.87532325671 1106),(0.477219671979 1316),(5.85051156309 1406),(2.64858586684 1587),(3.62089955045 1726),(8.48003993467 1830),(7.99900649482 1966),(5.80159121052 2112),(7.75422443871 2246),(1.92314536191 2453),(1.19397503784 2611),(1.5739765501 2755),(1.98978044808 2895),(5.28474168834 2995),(7.2631299411 3148),,(1.0154454455 3527),(1.12646479255 3667),(1.95048519739 3829),(2.83539407751 3983),(7.06877485436 4086),(1.74716470159 4327),(10.5167968407 4425),(6.37562845235 4578),(6.55153644057 4730),(7.35468636318 4872),(1.9704586358 5077),(2.17757668468 5235),(3.04321010875 5395),(1.34879203568 5556),(2.40871271675 5699),(9.18638025738 5797),,
Point0,H6,(-4.4408920985e-15 162),(-8.881784197e-16 307),(-0.0051625747448 449),(4.4408920985e-15 596),(-2.6645352591e-15 739),(1.24344978758e-14 882),(-0.00968770635112 1026),(-0.00311138354212 1178),(-3.5527136788e-15 1327),(1.42108547152e-14 1464),(2.04281036531e-14 1605),(1.06581410364e-14 1748),(1.7763568394e-15 1890),(-2.6645352591e-15 2028),(2.6645352591e-15 2165),(-8.881784197e-16 2314),(-5.3290705182e-15 2468),(-4.4408920985e-15 2625),(-8.881784197e-16 2772),(-5.3290705182e-15 2916),(-0.0027782548133 3065),(-1.06581410364e-14 3221),(-3.10862446895e-15 3380),(-0.161548766931 3539),(-2.6645352591e-15 3682),(7.9936057773e-15 3844),(-2.6645352591e-15 4005),(2.6645352591e-15 4171),(-1.7763568394e-15 4311),(9.7699626167e-15 4501),(-0.00363877131584 4643),(1.33226762955e-15 4787),(8.881784197e-16 4939),(-9.7699626167e-15 5092),(-5.3290705182e-15 5252),(-5.3290705182e-15 5415),(1.7763568394e-15 5570),(-1.33226762955e-15 5716),(-1.68753899743e-14 5872),(-0.226270223192 5977),
Point1,H1,(15.5266669915 35),(15.6097347061 185),(14.6413144503 327),(16.5923970146 471),(14.8879887174 618),(14.6185669329 761),(15.3990799248 905),(13.8109853137 1052),(14.9355318131 1205),(16.8211434153 1352),(15.5954344916 1493),(17.2409579353 1629),(15.2607550237 1771),(15.724537246 1912),(14.1223385348 2052),(15.8846834562 2193),(16.215451973 2340),(15.7758563294 2492),(16.0725336951 2646),(14.0422238701 2799),(14.1388794622 2943),(16.2940981817 3093),(15.4138408206 3250),(14.4638209221 3408),(15.2154034455 3558),(14.4237582063 3710),(15.6729729582 3866),(14.8457008542 4030),(15.7029447075 4197),(17.2232423616 4362),(16.0907103763 4522),(14.474574279 4675),(16.513073318 4819),(15.5456640789 4964),(17.183328374 5117),(16.5392421908 5277),(15.3641032575 5439),(16.8228433911 5590),(16.7933098969 5740),(16.8243038343 5894),(13.106683382 6052),
Point1,H2,(5.87380950565 60),,,,(5.89734647295 647),,(6.26747605461 939),,(4.82481979745 1231),,(3.03357657703 1520),(6.40072888711 1659),,,,,(6.88435100228 2364),(6.61851061924 2522),(6.40904167593 2673),(4.00066201505 2825),,(6.11591645612 3117),(6.83118224861 3273),(4.38663222235 3434),(5.53977075452 3585),(3.26492722381 3738),(7.21565069375 3896),,(5.33283259352 4223),(7.58715764109 4392),,,(6.39739883224 4843),(6.22036667359 4990),(9.22059855494 5146),(7.94933550944 5305),(5.60154655711 5465),(5.64636073053 5617),,,
Point1,H3,(9.19397158543 85),,,,(9.18557678546 669),,(7.52531878809 956),,(7.13253874668 1254),,(7.74825480338 1545),(8.51823897863 1676),,,,,(8.26132630529 2390),(8.6537946409 2541),(8.55097291007 2694),(7.92362950657 2848),,(8.1861924506 3142),(9.43625174676 3292),(7.63154252707 3456),(6.8005018421 3605),(6.86272044393 3762),(9.56367552212 3918),,(7.56760772144 4248),(11.5345874072 4418),,,(8.61918528266 4863),(7.15794066693 5012),(10.2038189622 5160),(9.4342434925 5322),(8.69439188656 5484),(7.80508798382 5641),,,
Point1,H4,(2.30032555825 135),(5.59577127264 213),(5.00084333951 356),(6.13045576999 499),(1.69862411923 712),(6.18492421616 792),(1.44917957472 995),(4.21483414818 1080),(0.607218861211 1302),(4.49845654831 1384),(1.97407260345 1572),(3.10746549181 1712),(6.41734308001 1801),(6.24839582622 1940),(3.43635484513 2077),(5.31333587131 2219),(1.30820684666 2434),(1.162810984 2597),(1.75066812016 2740),(2.09805078134 2882),(4.48005899233 2970),(2.66040814688 3189),(1.81543965518 3347),(0.673002510941 3510),(1.48930623021 3652),(-0.130120388657 3808),(2.62734417803 3973),(5.93594310538 4060),(1.06581410364e-14 4306),(4.48182061382 4471),(5.68538785795 4553),(3.69449737312 4700),,(1.48190552047 5057),(2.26779674773 5216),(2.56666490169 5376),(1.43827735517 5544),(2.03708059854 5683),(8.4072041313 5768),,
