Cycle,0.742307692308
Average Width,101.081058296
Width,,0,149.392363323,0,0,0,0,0,287.008398762,103.584480612,0,35.1791062431,0,0,0,25.7192413564,72.5003782994,0,0.0,0,0,0,0,0,0,0,0,34.1834394743,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
Point0,H1,(16.8564230392 25),(15.4632200532 184),(14.268086298 342),(12.9632367187 491),(13.362466545 650),(13.4918232719 809),(12.5551942637 961),(13.3716512676 1109),(14.5243888882 1258),(12.5097606463 1414),(11.1030952554 1564),(13.5101586861 1719),(12.7965622544 1869),(13.6805356437 2026),(12.8107545602 2186),(12.9143137061 2345),(11.4113319183 2498),(13.0055513837 2639),(11.7485081206 2784),(11.2913150896 2934),(11.2632254298 3073),(11.3573245956 3219),(9.55110936188 3367),(10.9099232393 3515),(13.3422983022 3666),(12.9914333018 3802),(13.5684106286 3943),(11.582002358 4086),(10.4445512704 4227),(10.182902219 4362),(13.8465475213 4504),(12.2918537395 4651),(11.7815626737 4807),(10.2868228797 4960),(11.3108641271 5111),(12.4216646842 5256),(11.2821352824 5404),(11.5472003713 5560),(9.85581896236 5720),(11.0802142897 5873),(15.501140631 6023),(10.4036142517 6182),(10.4183321125 6344),(12.1024111487 6510),(12.5458303825 6676),(11.0125644343 6837),(9.87082149144 6985),(9.45036132663 7130),(9.31041553088 7277),(8.00919831004 7433),(6.94441879471 7592),(9.13987355086 7755),(9.67078297182 7906),
Point0,H2,,(4.75693553732 209),(4.60462166388 365),(5.29104070406 522),,(4.52671650302 835),(3.72885840103 988),(4.43759602882 1134),,(6.63614002943 1440),,(7.29976967949 1741),(6.47628213044 1899),(5.4164144701 2055),(6.26913432069 2214),(2.88531842882 2371),(1.68468473578 2523),(4.14108464893 2669),(4.69611075506 2812),(5.0723282518 2956),(3.92189621688 3100),(4.37022070478 3250),(4.11383035395 3391),(4.18981761825 3544),(4.58078442658 3697),(2.35612802718 3832),(3.70139505679 3969),(5.26087559212 4110),(4.78232951433 4252),(3.4381065028 4389),(5.48816422316 4528),,(4.11376452823 4829),(3.60152498929 4987),,(4.18946599644 5279),(5.16660957059 5434),(4.71973974761 5584),,(3.43694069902 5899),(4.58413121979 6048),(4.24041547564 6206),(3.95187537207 6368),(7.18186770134 6536),(5.53451046839 6702),(3.31306399425 6861),(2.78245135092 7012),(4.16749032871 7157),(6.43393876414 7302),(6.00574569118 7458),(4.39343305594 7611),,
Point0,H3,,(6.78423041387 234),(7.68186256826 387),(6.11639740583 540),,(7.78980235906 858),(6.60713791431 1008),(6.8500946745 1155),,(7.10407522574 1454),,(9.74879453513 1763),(7.53157777224 1916),(6.12362153962 2076),(6.58526766906 2231),(6.35009121749 2394),(5.23386457619 2543),(7.20396027601 2691),(6.25264312685 2829),(6.81232718335 2973),(5.67747454 3117),(4.72289594712 3263),(5.5116805265 3412),(5.81082426218 3562),(5.13033450146 3708),(4.57251443231 3851),(4.3360326937 3982),(6.74131116138 4128),(5.90451208436 4267),(4.94932809173 4412),(7.03314073663 4553),,(6.05661407961 4848),(5.46650513445 5005),,(6.99456546902 5303),(6.06130687888 5449),(6.49371983324 5605),,(5.02747996076 5914),(7.41924352801 6075),(5.52810149359 6226),(5.04163290392 6386),(9.14083292665 6556),(6.66221948429 6720),(5.69007568852 6883),(5.53863472661 7037),(5.70559265802 7180),(7.57312909847 7326),(6.03384707409 7464),(5.43643827563 7627),,
Point0,H4,,,(1.01056579734 438),(0.526080644625 598),,(2.12683094729 901),(1.99133642513 1046),(0.962493328381 1209),(1.74291342286 1347),(1.370283718 1511),(5.40419022145 1595),(2.52237345698 1816),(0.649830918876 1974),(1.1437500948 2133),(0.785258369507 2295),(2.05391293785 2436),(0.0 2580),(2.31415530871 2725),(1.90050102357 2871),(1.57308571108 3019),(2.64607246157 3156),(-0.0053777289482 3309),(0.584607213689 3463),(1.0552805731 3607),(0.821195161827 3748),,(0.428473880764 4018),,(1.39207653944 4311),,(1.89316081795 4602),(0.214222649565 4743),(-7.1054273576e-15 4901),,,(1.33720339846 5352),(0.938513174219 5496),(0.540961606744 5658),(3.06914488724 5743),(0.20369597404 5949),(0.0 6120),,(0.340742138862 6450),,(1.87613313588 6776),(0.861440639289 6934),(0.986084395881 7083),(1.60777216261 7219),,,(2.80341026711 7674),,
Point0,H5,,,(1.98066436533 451),(1.36886940882 611),,(2.73322392066 913),(2.05568830425 1052),(1.18696691844 1218),(2.30280124584 1360),(1.97629703527 1523),(6.90636746515 1615),(2.99346957828 1826),(1.20228369174 1987),(1.65303046531 2146),(1.30582363377 2307),(2.64356334984 2448),(1.20449877369 2596),(2.87018699493 2737),(2.05013557711 2879),(1.61950106788 3024),(2.96602691013 3167),(0.0439841129495 3317),(1.48859530132 3476),(1.56653295054 3618),(1.94878886166 3762),,(1.61913773987 4034),,(2.03304739016 4323),,(2.0570589623 4610),(0.280020924359 4751),(1.47013162544 4917),,,(1.80933780452 5362),(1.25036047553 5510),(0.667706442243 5671),(6.35255929979 5771),(0.520971155383 5960),(0.502074140152 6133),,(1.44429930691 6467),,(2.04608002462 6785),(1.50490241904 6947),(0.987411105839 7085),(2.08984705589 7232),,,(3.00467078906 7686),,
Point0,H6,(-6.2172489379e-15 160),(-2.6645352591e-15 306),(-1.7763568394e-15 465),(1.7763568394e-15 624),(-0.00461454195322 783),(-1.33226762955e-14 931),(-3.5527136788e-15 1075),(-8.881784197e-15 1231),(-1.7763568394e-15 1380),(-2.22044604925e-14 1538),(-1.7763568394e-15 1683),(-3.5527136788e-15 1842),(-4.4408920985e-15 2000),(-2.6645352591e-15 2160),(3.99680288865e-15 2320),(-8.881784197e-16 2467),(0.0 2580),(-8.881784197e-16 2755),(-8.881784197e-16 2900),(3.5527136788e-15 3042),(0.0 3188),(-0.00598120678979 3325),(-0.00326711337935 3489),(3.5527136788e-15 3634),(6.2172489379e-15 3777),(1.7763568394e-15 3895),(-0.000720526860016 4053),(8.881784197e-16 4195),(3.10862446895e-15 4338),(-4.4408920985e-15 4478),(3.5527136788e-15 4625),(-0.00114234666244 4767),(-7.1054273576e-15 4901),(-0.00143371782274 5066),(-0.000406408544089 5228),(-2.6645352591e-15 5377),(4.4408920985e-15 5532),(-3.5527136788e-15 5692),(1.7763568394e-15 5841),(-6.66133814775e-15 5973),(0.0 6120),(-0.00449628613352 6317),(-0.0164543417221 6481),(-1.06581410364e-14 6644),(-0.00129512454371 6806),(-7.1054273576e-15 6961),(-4.4408920985e-15 7103),(1.06581410364e-14 7250),(-3.5527136788e-15 7398),(-0.00525461526828 7563),(1.02140518266e-14 7727),(-8.881784197e-16 7876),
Point1,H1,(25.0763336334 25),(23.4535401206 185),(21.0832415963 342),(22.2561826589 491),(22.1102815178 650),(22.1548543743 810),(20.9020531589 960),(21.7770905075 1109),(24.1243361658 1258),(21.3517207159 1414),(20.8911847109 1564),(22.0979136057 1719),(22.1017434451 1869),(22.9918861391 2026),(22.927089443 2186),(22.1636490669 2346),(19.2534945041 2497),(20.1741338931 2640),(20.0946385134 2784),(19.1722520663 2934),(20.0077870745 3073),(20.1494576429 3219),(17.5148092232 3367),(19.9652224205 3516),(21.1193047109 3666),(20.364493325 3803),(22.5341000172 3944),(20.0674399225 4086),(18.5648701932 4227),(19.1617013783 4363),(22.415114456 4505),(21.5251767962 4651),(20.1867275417 4807),(18.2603593022 4959),(19.011266509 5112),(20.0979851874 5256),(20.6939833284 5404),(19.1485518665 5561),(18.4755181349 5721),(18.8239101378 5871),(21.7541093814 6024),(18.8713973166 6183),(18.3057149836 6345),(20.84965488 6509),(20.9376792192 6676),(17.893732526 6838),(17.6886313503 6986),(17.6260957589 7130),(16.942721481 7276),(16.9392805421 7432),(15.4530112291 7592),(17.0444792689 7753),(16.7142596273 7904),
Point1,H2,(8.48232014953 49),(6.29740989118 210),(5.28420591408 366),(8.97825153914 522),(7.93061164302 676),(6.49259330317 835),(5.45594191996 988),(7.08177080765 1135),(9.97051812609 1284),(9.85239388535 1440),(8.30937344389 1594),(10.2245690134 1743),(10.0427767029 1900),(9.56830670192 2052),(9.11251623672 2213),(5.68387379031 2371),(3.88369502736 2523),(6.56679391787 2669),(8.05585481276 2814),(6.66872919391 2958),(8.00215378437 3103),(7.66027199529 3248),(6.23940837119 3391),(6.91929444529 3544),(6.7835835572 3694),(4.01829244262 3831),(6.0389567904 3968),(7.37011257138 4111),(7.21870916242 4253),(6.18620010164 4390),(7.64462510051 4529),(9.20200222828 4681),(6.30498545751 4830),(6.33640808361 4988),(2.10365215039 5135),(6.02537989295 5279),(8.15366956536 5433),(6.80231316982 5586),(5.43744261553 5745),(5.74875533665 5898),(5.38362137393 6048),(5.70593309324 6207),(5.77740133363 6369),(10.2393717874 6537),(7.67398671611 6702),,(4.41274311255 7012),(6.50613385336 7158),(9.01447963896 7307),(9.01088391263 7457),(7.22802284125 7614),,
Point1,H3,(11.4419778348 71),(9.98492941153 234),(10.9647330024 389),(10.6939128984 542),(9.08721678683 698),(11.0638157634 859),(11.045499744 1010),(10.8001020702 1156),(11.3545164928 1304),(12.2121172281 1459),(11.5719095749 1613),(12.7857105967 1762),(11.7342981564 1918),(11.1267223937 2072),(10.8940658681 2234),(11.1454443087 2395),(9.96516545216 2544),(10.8521977666 2690),(10.1182574117 2831),(10.9177190996 2978),(10.5669877005 3121),(8.90545145159 3262),(9.07316271495 3413),(10.5049863804 3563),(9.53973327475 3710),(7.41514683462 3852),(8.70916251824 3987),(10.7257681618 4131),(10.1198706615 4269),(10.0583588202 4411),(11.1795669298 4553),(9.56793901087 4694),(9.7339550739 4850),(9.14332283121 5006),(7.18874999839 5160),(10.3050340401 5303),(10.3148436898 5452),(9.56283935317 5607),(10.297021691 5771),(9.48949629214 5915),(9.6926856239 6074),(8.80732981936 6227),(8.6420493431 6390),(13.0461886274 6559),(10.5080378192 6720),,(9.32064083053 7035),(8.55445753145 7180),(10.309746281 7326),(9.98652210505 7473),(8.82376726806 7629),,
Point1,H4,(1.51276546552 136),(1.73798413565 279),(1.95772815815 439),(1.77752210417 599),(1.17025773174 759),(3.4173506568 903),(3.16160968752 1045),(1.80528737937 1211),(3.07022592753 1351),(2.44862898278 1511),(2.91959767223 1656),(2.92791516806 1816),(2.20082743758 1978),(2.02725759688 2135),(1.60762756895 2296),(3.65605087471 2438),(1.15054037911 2581),(4.32280645384 2726),(2.61032494378 2874),(3.21585232433 3016),(4.70506206582 3157),(1.06482441999 3306),(1.77613903104 3464),(2.7461827757 3607),(1.97452277147 3750),,(2.11831121966 4021),(4.08590054036 4168),(2.77858662682 4311),(2.00908122883 4459),(3.26352256123 4601),(1.46811001753 4743),(1.86959537118 4903),(-0.00313438991187 5070),(-0.0671978493907 5211),(2.49012318386 5352),,,(3.42976236653 5816),,(0.743244333198 6121),,(2.12450826091 6454),(4.0458420842 6615),(2.18201677715 6777),,(1.15424247383 7082),(1.03834960338 7224),(3.56371874462 7366),(2.96343844903 7527),,,
