Cycle,0.749973958333
Average Width,6.29705947499
Width,,5.04416960217,5.74896791485,5.56548584177,5.6111002497,5.51226413366,5.47326425765,5.23128489021,5.18744453917,5.30149713683,5.48456608218,5.63952203213,5.7869511595,5.59128350983,5.66830352961,5.16291976501,5.23653134301,5.2638346307,5.3107743864,5.33141655127,5.29102034406,5.38851457587,5.46792328619,5.85455691133,5.50764076905,5.73610694519,5.86860280092,5.8470357612,6.33540768158,6.06453779289,6.26626961784,6.06185142997,6.60651620128,6.25136814389,6.32663848091,5.91708974529,5.44810300181,5.68110151948,6.05718214295,6.84143490984,6.29499279795,7.42339790274,8.19758441399,8.52999664054,10.0757243484,11.6475534006,0,10.3611252531,9.01610689027,8.74188953477
Point0,H1,(20.4656233098 31),(24.6129813192 166),(24.4090024258 309),(25.3590784059 454),(26.670705107 596),(24.0519556252 738),(21.6111190987 884),(22.2263066414 1041),(23.3649748854 1188),(22.0598457125 1338),(17.1969703079 1485),(18.7576847977 1626),(18.4799479448 1762),(20.0898502663 1898),(19.8893693183 2035),(19.4311036251 2185),(21.831633329 2342),(21.8115387354 2499),(19.1178561153 2655),(20.934390544 2806),(19.8316761814 2965),(17.8621143414 3131),(17.7216650175 3294),(17.3515855039 3444),(16.1275649699 3596),(16.2584337988 3746),(14.0829115816 3905),(14.248903167 4067),(13.4768170832 4231),(11.5910584221 4385),(11.2839209788 4539),(11.2517829498 4704),(11.3861020815 4867),(11.9226770551 5025),(13.1995617515 5177),(12.826248657 5342),(11.2262781543 5506),(11.2428942792 5663),(11.8369657932 5817),(10.8847138394 5973),(10.131201386 6128),(9.79392112343 6287),(9.27781013931 6447),(9.30884417629 6598),(7.40877877071 6754),(7.97740873494 6912),(8.06148848031 7071),(7.76031736308 7220),(8.25813615481 7366),
Point0,H2,(7.1054273576e-15 57),(7.68385733773 199),(7.02227487976 341),(6.59330476403 485),(5.18573187389 627),(5.75179844936 765),,(4.92221890532 1066),,(7.64089300149 1367),(5.52283186451 1511),(4.60690128042 1655),(4.61918668003 1786),(8.16761027181 1926),(8.49457071315 2061),(8.79899331545 2216),(11.8824533891 2370),(8.15677161756 2525),(7.59400712123 2678),(10.9153505525 2836),(10.149666972 2997),(8.47410400997 3158),(7.42981536704 3319),(7.21582180832 3472),(7.4983843142 3622),(7.7584477295 3769),(6.78200011463 3928),(7.46731276884 4090),(6.09122448376 4261),(4.14720133208 4408),(6.49766149967 4566),(6.64337550696 4730),(4.94368154301 4890),(5.38118196469 5048),(8.22312745762 5204),(7.66186776793 5368),(4.65521736299 5530),(5.99890301851 5686),(7.36738172136 5844),(4.58817638747 5999),(4.29129995199 6152),(4.54516522228 6311),(4.19112840496 6472),(4.30205451639 6626),(3.58836726301 6780),(3.93854196088 6938),(3.7182155269 7094),(3.09841285875 7246),,
Point0,H3,(6.2536044774 87),(11.4231151465 219),(11.459521337 362),(12.076060072 505),(8.94312795239 648),(9.78379737272 790),,(9.31369708134 1092),,(10.9173076636 1387),(9.3256261956 1532),(8.89478660209 1675),(8.96839954075 1810),(10.7988832642 1943),(9.8817703385 2084),(9.37799534767 2227),(13.3036121654 2387),(11.0237808307 2547),(10.4482328557 2695),(11.9776969316 2853),(11.3145635246 3015),(10.8990552263 3177),(9.82363393066 3336),(10.079408184 3494),(9.77235931175 3641),(8.91668856871 3785),(7.93039070755 3943),(8.33962037342 4106),(7.54660996771 4278),(6.55099578035 4433),(7.50556253228 4584),(7.61640392445 4748),(6.3571160296 4911),(7.46563023391 5071),(9.53600534198 5223),(8.68160827377 5384),(6.81131209932 5552),(8.56837365706 5710),(8.616653538 5862),(7.39913833213 6022),(6.35041558265 6175),(5.79930913467 6331),(5.66260934861 6494),(5.89299935696 6645),(4.97840776517 6803),(5.1748032683 6960),(5.36594849187 7117),(6.17564932571 7269),,
Point0,H4,(1.93645069084 111),(4.48072666248 255),(4.37069875503 400),(4.00750598632 544),(1.5272628842 689),(2.94846891535 831),(6.44046058555 916),(1.48011506342 1135),(7.53260992219 1217),(3.78818808236 1425),(3.97049647652 1567),(1.59742503183 1714),(3.31679700404 1839),(3.69013385074 1988),(3.25341280018 2128),(1.22519929827 2286),(3.5874642591 2448),(2.26273993545 2593),(2.49236413188 2752),(3.4001983492 2912),(3.08604691635 3070),(2.75590949221 3231),(2.72805058701 3391),(2.75417173487 3537),,,(1.17531812135 4020),(1.67136331818 4174),,(0.999450818338 4480),,(0.866023301982 4819),(1.3189631717 4960),(1.56626369175 5120),,(-0.00519708251188 5445),(0.863224236826 5602),,(2.13866734365 5923),(0.7869051587 6062),,(1.05537339735 6384),(1.12748925616 6544),,(0.818546846229 6849),(1.48831827227 7011),,(1.47629164248 7314),,
Point0,H5,(3.93729946153 124),(5.31202200446 266),(5.16691017389 410),(4.77562186398 554),(1.91100406716 699),(3.92535931252 843),(9.13978283437 937),(3.04191342396 1149),(10.5646363149 1240),(3.87945498868 1431),(4.16108818691 1575),(1.82719458837 1723),(4.042152301 1850),(3.69198132655 1990),(3.88312315621 2139),(3.29453314112 2301),(4.29256692822 2459),(2.87417455585 2603),(3.6844558445 2764),(4.08961917714 2923),(4.09925727816 3083),(3.47589006991 3244),(4.01382635378 3404),(3.08190178497 3546),,,(1.22403004651 4026),(2.5241073323 4188),,(2.02936943593 4493),,(0.914248711068 4826),(1.62198647911 4971),(2.46008555553 5133),,(0.349787368895 5458),(1.58047665907 5614),,(2.3251550698 5931),(1.40167514097 6076),,(1.42135791819 6396),(1.42065637499 6555),,(1.0999549337 6860),(1.5039090488 7015),,(1.52865467231 7321),,
Point0,H6,(-0.0552646574355 1),(7.1054273576e-15 57),(-1.06581410364e-14 140),(1.7763568394e-15 284),(-1.06581410364e-14 428),(1.06581410364e-14 571),(-1.24344978758e-14 712),(-2.13162820728e-14 859),(-1.7763568394e-15 1010),(1.24344978758e-14 1163),(1.59872115546e-14 1307),(1.86517468137e-14 1453),(1.06581410364e-14 1596),(2.39808173319e-14 1737),(-0.00668003840011 1868),(1.7763568394e-14 2010),(-3.5527136788e-15 2156),(-3.5527136788e-15 2316),(8.881784197e-15 2475),(1.68753899743e-14 2621),(-1.7763568394e-15 2780),(-8.881784197e-15 2940),(3.5527136788e-15 3101),(7.1054273576e-15 3262),(7.1054273576e-15 3420),(2.22044604925e-14 3564),(1.06581410364e-14 3719),(7.1054273576e-15 3871),(-1.7763568394e-15 4041),(5.3290705182e-15 4204),(-0.00198062273622 4354),(4.4408920985e-15 4509),(4.4408920985e-15 4670),(0.0 4840),(-6.2172489379e-15 4993),(-2.6645352591e-15 5148),(7.9936057773e-15 5307),(-0.00519708251188 5445),(-3.5527136788e-15 5630),(3.5527136788e-15 5788),(5.3290705182e-15 5948),(-1.7763568394e-15 6094),(-0.000467697477016 6252),(1.06581410364e-14 6414),(1.06581410364e-14 6571),(6.66133814775e-15 6716),(3.10862446895e-15 6878),(5.3290705182e-15 7037),(4.4408920985e-16 7192),(3.5527136788e-15 7339),
Point1,H1,(28.2785277011 31),(30.3794785056 166),(31.3728661227 310),(31.1829759081 455),(32.95315912 596),(31.4968584534 739),(30.5288917436 885),(29.6868181153 1042),(31.6075652446 1188),(29.2955828273 1338),(25.4210083632 1485),(25.4969482003 1626),(26.5934727723 1763),(27.926386687 1897),(29.6053308569 2036),(28.6169420618 2184),(29.5234660924 2342),(29.0127567098 2500),(26.2839451329 2655),(29.6045428376 2806),(28.9004613867 2966),(26.5067459536 3130),(25.4582556718 3294),(26.4759207297 3445),(23.8798071033 3595),(24.3137855758 3747),(23.1201408849 3906),(24.7205262059 4068),(22.5031190536 4231),(20.1360911471 4386),(21.2746353506 4539),(20.1323674991 4704),(21.6172744027 4867),(20.5141451237 5026),(22.8383094113 5176),(23.1829635285 5341),(21.9713206709 5506),(21.0577395158 5662),(21.504116921 5816),(21.0382894588 5973),(18.9419017175 6128),(18.7985034489 6286),(17.6780922152 6447),(17.2035214033 6598),(16.0097081482 6754),(15.9140854914 6912),(16.2964575501 7071),(16.8583724626 7220),(18.1070271908 7366),
Point1,H2,(4.29944812513 58),(8.37348828088 200),(8.40797622546 341),(8.31247703721 485),(6.65446342106 626),(7.73220132913 765),,(6.08211172533 1067),(9.9403820261 1216),(9.69042549014 1368),(7.70686438217 1512),(5.58399108564 1655),(5.14059940844 1786),(10.5764903271 1927),(11.613388993 2061),(13.4405892674 2216),(14.7612077394 2370),(10.1883666466 2524),(10.0150789384 2679),(15.05027275 2837),(14.2929271921 2997),(12.0324504246 3159),(10.2324963339 3319),(10.296897929 3473),(9.79370949087 3623),(9.36714632114 3769),(9.91633924695 3929),(11.5241126089 4091),(10.0316104851 4261),(6.96454761558 4407),(11.4630586706 4568),(9.96315460492 4728),(8.20248306591 4889),(7.88705365032 5048),(12.3915246014 5206),(11.9198253134 5368),(8.4165365085 5529),(9.54371883941 5687),(11.6730319957 5845),(7.82922898567 5998),(7.80485883606 6152),(9.01066502222 6312),(6.98287905244 6472),(7.1255651679 6627),(6.84995004269 6779),(7.6247918093 6938),(6.45401510558 7095),,
Point1,H3,(11.3514435548 83),(13.8447158087 221),(14.7496486334 363),(15.2940691666 507),(12.5112565376 649),(12.8354383507 790),,(12.5557660484 1092),(13.8198124661 1242),(14.7545430411 1388),(13.2999800612 1533),(11.7348823982 1676),(12.1450605807 1812),(14.6106967351 1945),(13.2427063525 2085),(14.793803966 2230),(16.1775738113 2387),(14.1564181505 2548),(14.9013969961 2698),(16.090001863 2855),(15.6591581128 3016),(14.9722290028 3178),(14.5573254753 3339),(14.3001681254 3496),(13.2676606141 3642),(12.3096981524 3787),(12.4950800445 3947),(13.1326742916 4109),(12.1821451719 4278),(11.3255290843 4430),(13.4354786161 4585),(12.4768139205 4747),(10.9379859021 4909),(11.9623718537 5071),(14.562258376 5226),(14.3316820321 5385),(12.3269807379 5551),(13.1598008092 5707),(13.96405523 5863),(12.5622457282 6022),(11.6341768615 6174),(11.2113620182 6331),(10.6083007278 6494),(10.3171303081 6647),(9.04864885573 6802),(10.0553765403 6959),(9.55030314181 7116),,
Point1,H4,(3.63793985665 113),(4.78651526276 256),(4.89392840636 401),(4.76962610524 545),(2.14540724199 690),(3.66778806756 832),(9.46788419429 916),(1.4873852111 1137),(6.54991724428 1284),(4.88226765911 1425),(4.71470021495 1568),(1.95547261144 1715),(5.27490813234 1840),(4.26412939201 1988),(4.94568891497 2129),(3.37978075159 2288),(3.94190564998 2449),(3.79842532351 2594),(4.07541962828 2752),(4.32895331022 2912),(4.75013388043 3072),(4.21168414397 3233),(3.01379742114 3392),(4.49721626638 3537),,(2.94367512657 3843),(1.79197959305 4019),(3.51222452894 4176),,(3.17507255196 4480),(3.09711740224 4642),,(2.33580123504 4962),(3.02039869506 5120),(3.8335526069 5281),,(2.48182021285 5602),(3.75540312979 5761),(2.98809783565 5922),(2.61096242884 6063),(2.58509234819 6226),(2.14951239697 6385),(2.38945080828 6545),(1.46610067223 6689),(1.63551751398 6849),(3.17920524527 7011),,,
