Cycle,0.743618421053
Average Width,3.88725553387
Width,,3.8830960422,3.84348016924,3.86585407362,3.86493087845,3.89169260664,3.92412820668,3.90934955166,3.80912023423,3.90937549247,3.93668133361,3.82992717424,3.79403719304,3.8453118138,4.00659988975,4.01670455828,3.87317585427,3.92526493781,3.91760245287,3.83136471437,3.86741350027
Point0,H1,(9.67185074085 26),(8.24615414403 183),(8.55391399045 346),(9.1684492052 508),(9.34604923167 667),(9.356513402 822),(9.84021302376 984),(8.35547416819 1147),(8.26985799921 1305),(8.49310703735 1461),(7.61466233394 1616),(7.13611707238 1771),(8.14789535255 1929),(8.96077831125 2089),(8.83912778367 2242),(7.63013912319 2395),(7.73919832026 2554),(7.21170366732 2713),(7.41293713082 2861),(7.79809917636 3010),
Point0,H2,(3.96139877379 49),,(4.89452230849 369),(4.83087887968 532),(4.8293718284 689),,(5.43356834313 1007),(2.94297423918 1173),(4.36528574692 1327),(5.45528035333 1484),(3.82499347027 1642),(3.44058247614 1798),,(4.05213923972 2113),,,(3.58442175371 2579),(3.08116911711 2736),,
Point0,H3,(5.66763922804 73),,(5.97854568058 389),(5.38628678869 553),(6.31483123392 712),,(6.41777841083 1024),(4.7747764434 1195),(5.53357206674 1346),(7.93088913335 1510),(5.78903839346 1663),(4.66090968321 1819),,(5.9176310918 2136),,,(4.65238034825 2601),(5.12562317931 2759),,
Point0,H4,(1.04909464915 121),(4.19527898184 206),(0.8639181209 456),(0.248608336276 621),(1.8385133387 759),(6.45463599725 846),(-0.00893461723024 1090),(-0.12876053425 1239),(2.03838329879 1397),(2.37128485325 1564),(0.322197870851 1705),(0.653929417918 1869),(3.75819717054 1953),(1.39735223305 2185),(3.72943867784 2268),(3.60193774452 2422),(1.08742687074 2651),(0.253897038375 2812),,
Point0,H5,(1.09338134222 128),(5.21238907472 223),(1.11139003884 467),(0.292925048511 628),(2.13808169711 770),(7.7106771723 866),(0.85644263802 1113),(0.395663913209 1254),(2.48385871342 1410),(2.40575106445 1569),(0.977276186771 1720),(0.674323808231 1875),(5.94904446916 1976),(1.57451605365 2194),(5.89921471927 2288),(4.35927094957 2443),(1.08744385398 2652),(0.372100349543 2821),,
Point0,H6,(0.0 148),(-1.33226762955e-15 313),(-3.99680288865e-15 482),(-0.000729878220952 638),(-1.7763568394e-15 789),(-0.00672731967558 949),(-0.00893461723024 1090),(-0.12876053425 1239),(1.7763568394e-15 1430),(-8.881784197e-16 1589),(-0.000193051492281 1739),(-3.5527136788e-15 1894),(0.0 2054),(-8.881784197e-16 2212),(-5.77315972805e-15 2365),(-0.000450278970794 2521),(8.881784197e-16 2679),(5.3290705182e-15 2832),(4.4408920985e-15 2980),
Point1,H1,(20.8813307475 26),(19.5865039621 182),(20.4316055721 345),(21.5734770829 507),(20.7340583949 666),(20.9151627846 818),(21.083019408 982),(20.5203585849 1145),(19.7468439373 1304),(20.469523325 1458),(19.360707211 1613),(18.9450905158 1769),(20.1350179856 1928),(20.6978064036 2088),(19.9434139217 2239),(20.3421468894 2394),(20.060524764 2553),(19.5602325576 2712),(20.0357526302 2860),(20.6434183122 3008),
Point1,H2,(7.39438676028 48),(8.00491065073 206),(8.98683141154 367),,(7.21679393075 688),(11.1065613874 847),(8.8377431843 1008),(5.40039545566 1169),(7.67099234436 1326),(9.98208235621 1486),,(6.01048108086 1792),(7.37585832133 1951),(6.9277565478 2112),,(6.9100661753 2419),(6.71863230192 2577),(6.02661172198 2737),,
Point1,H3,(11.9271324642 71),(11.3036508455 225),(11.8235796576 385),,(11.8306337709 712),(13.6693644086 866),(11.4241665892 1025),(9.46710404613 1193),(11.5293219905 1346),(13.8418984765 1508),,(10.233998676 1816),(11.0468141721 1972),(11.7234905028 2135),,(9.4060669165 2441),(10.512600649 2599),(10.7900310535 2760),,
Point1,H4,(2.57699467559 120),(2.25258529097 281),(2.16956325336 457),(8.15854007348 530),(3.19912089916 758),(3.68783037695 920),(0.501936881865 1100),(0.771682591357 1241),(4.0200080966 1398),(4.61808439912 1562),(6.86446523755 1641),(1.84436046131 1865),(2.23774066014 2026),(2.80262107188 2184),(7.2978932762 2268),(2.06499074232 2488),(2.30431747986 2650),(0.942759767727 2808),,
Point1,H5,(3.27679388721 131),(2.40312419884 289),(2.82138344395 468),(10.3180794557 552),(4.61471215808 772),(4.07525793873 930),(0.623140724718 1108),(1.28158183664 1252),(4.83256095077 1411),(5.06681316963 1571),(11.8003170167 1662),(2.25741864483 1875),(2.25404097069 2030),(3.88924215722 2196),(11.6865813523 2288),(2.28161317747 2497),(2.38456452023 2657),(2.4684282116 2821),,
Point1,H6,(-5.3290705182e-15 149),(-4.4408920985e-15 312),(-8.881784197e-15 482),(-1.68753899743e-14 638),(-1.95399252334e-14 789),(-8.881784197e-15 950),(-1.15463194561e-14 1118),(-0.00499415445905 1268),(-1.42108547152e-14 1429),(0.0 1588),(-4.4408920985e-15 1736),(-7.9936057773e-15 1894),(-1.33226762955e-14 2054),(-1.7763568394e-15 2212),(-6.2172489379e-15 2365),(-0.00410768856984 2519),(8.881784197e-16 2678),(-1.7763568394e-15 2835),(-1.7763568394e-15 2980),
Point2,H1,(22.100784997 25),(21.1001483826 182),(23.1324872888 344),(23.4700912341 506),(22.0926017076 665),(21.7984091667 818),(21.888255052 982),(22.573007073 1145),(21.6455021485 1303),(22.8478669476 1458),(21.9264429669 1612),(21.9662911594 1768),(22.7638684194 1927),(22.7439055847 2087),(21.6390162919 2238),(22.8756472206 2393),(23.136892251 2552),(22.1101009796 2711),(23.1878216196 2859),(23.3283184843 3007),
Point2,H2,(7.64329009001 47),(8.82970648034 205),(9.64653830432 366),,(7.79347175162 687),(11.0708891157 846),,(6.25739133212 1168),(7.85420627791 1325),(10.5291414342 1485),(7.6516456512 1641),(6.97375090005 1791),(8.0108798754 1951),(7.22268170647 2111),(7.60967198482 2267),(7.51314784867 2417),(7.80071331151 2576),(6.64855628924 2736),,
Point2,H3,(11.7408825395 70),(12.0198213303 223),(12.6323215983 383),,(11.5099000034 710),(13.1305575701 864),,(10.1601624922 1193),(11.8562081531 1344),(14.4596822336 1506),(11.9517773337 1661),(11.0758300424 1815),(11.7546252028 1971),(12.4501128121 2135),(11.8907215068 2288),(10.6206934252 2440),(11.7308428079 2597),(11.4420673381 2758),,
Point2,H4,(2.5454851935 119),(2.36295735921 280),(2.77513599028 455),(8.89322693977 530),(3.36133550708 758),(3.4704179357 920),(8.97617552942 1006),(1.24330954803 1239),(3.53647653117 1398),(4.47405719292 1560),(2.09637699491 1704),(2.46135461103 1865),(2.2420827437 2023),(3.01249087278 2183),(0.310413113056 2348),(1.90214142372 2489),(2.26968342302 2650),(1.30966043906 2807),,
Point2,H5,(3.12949134563 130),(2.41369360336 285),(3.15549818982 465),(10.6206912571 552),(4.59908354869 771),(3.59799820175 927),(11.862720547 1024),(1.91328423632 1251),(4.83951617755 1411),(5.2484971844 1570),(2.12673144931 1709),(2.52530039718 1871),(2.3624888977 2031),(4.39399886274 2195),(0.699328199254 2356),(1.93840065675 2494),(2.27840921022 2653),(2.95324909829 2820),,
Point2,H6,(-7.1054273576e-15 148),(-5.3290705182e-15 311),(1.42108547152e-14 481),(-1.7763568394e-15 638),(-1.42108547152e-14 788),(-0.000589831569901 949),(-1.7763568394e-14 1118),(-4.17894732498e-05 1268),(0.0 1428),(5.3290705182e-15 1587),(3.5527136788e-15 1737),(-8.881784197e-15 1892),(-1.06581410364e-14 2054),(-3.5527136788e-15 2211),(-8.881784197e-16 2366),(-1.7763568394e-15 2518),(5.3290705182e-15 2676),(1.33226762955e-14 2834),(7.1054273576e-15 2979),
