Cycle,0.798234180036
Average Width,4.3742857379
Width,,3.91287822713,3.41650120528,4.28570428952,4.45928849007,4.12884513952,3.91961319109,4.99301267296,4.18589372889,4.78218803972,5.44690642767,3.93670754186,4.18490884877,4.41797914277,4.60563282267,4.26337882249,4.66294086488,4.72983924419,4.12258190852,4.32830444216,5.48198247095,3.89813779358,7.52410523272,4.28338851077,3.93634602762,4.64096042231,4.30317948583,5.14632050626,4.27189244526,4.64853539266,5.49244602556,4.03855431631,4.37138788716,5.06079606404,4.55332851864
Point0,H1,(4.94804434215 23),(3.71792160638 84),(8.18784948809 218),(8.46182605324 408),(7.91249223053 572),(8.32172976034 750),(11.9214957103 924),(10.7278143237 1086),(12.138977549 1255),(11.0207476142 1428),(8.02175710958 1584),(9.17169138451 1736),(9.48390957681 1899),(10.7892394935 2074),(10.2292645281 2234),(11.2603875276 2401),(10.5265002388 2574),(9.58296875121 2746),(10.5053322672 2906),(11.2607537826 3081),(8.68737202667 3246),(11.1578040764 3414),(6.95581413113 3580),(7.34528999716 3752),(9.30786579825 3909),(8.71451406153 4070),(9.80152466474 4235),(8.44787352834 4384),(9.2414358342 4539),(8.96622428404 4701),(7.09752606464 4858),(8.40142231711 5011),(8.80497396653 5174),(8.44435672126 5340),(8.74264467438 5498),
Point0,H2,(2.67242665195 43),(2.5107579832 104),,,,,(11.4968968272 934),,,,,,(8.30924704226 1916),,,(11.1741741058 2409),(10.2646063369 2583),,,(7.15209486829 3127),,(3.90724660409 3478),,(3.30948382547 3788),,,(5.09010687497 4276),,,(5.5769699028 4740),(2.91940494035 4895),(5.5013614368 5049),,
Point0,H3,(2.89292612261 53),(2.78837967016 117),,,,,(11.8205918118 945),,,,,,(8.31634712118 1920),,,(11.1786312534 2412),(10.412848353 2592),,,(7.24264015213 3134),,(3.92131208419 3483),,(3.41989522083 3798),,,(5.30814971631 4288),,,(5.98152472729 4754),(3.88262942804 4914),(5.5173949494 5055),,
Point0,H4,,(0.797859633098 167),(5.63815847391 259),(2.02883275934 488),,(1.24344978758e-14 869),,(2.48967646915 1186),(2.02848095682 1365),(7.73461055751 1462),(1.8881559319 1669),(0.710162607524 1846),,(6.20210459454 2117),(5.72346293154 2278),(2.30268966781 2520),,(5.95493131229 2787),(6.50010500694 2949),(3.45660441432 3164),(4.50253757224 3285),(1.54646034704 3516),(4.21883472221 3622),(1.08344972469 3845),(5.82499178201 3951),,(1.2799574119 4329),(4.43137878871 4421),(1.66509508966 4644),(1.6303644232 4794),(1.13075795219 4946),(1.50977765073 5109),,
Point0,H5,,(0.851770252781 174),(6.02989007568 275),(2.36138782146 500),,(0.629700778603 884),,(2.51905924581 1191),(2.16239084933 1373),(8.01642447162 1474),(1.90853927594 1674),(0.934023313873 1856),,(6.5845508466 2129),(6.254549595 2291),(2.34625204418 2526),,(6.01855746104 2797),(6.93445051083 2963),(3.51016999641 3170),(5.1335081723 3300),(1.7583145707 3529),(4.6964068884 3637),(1.23988414034 3855),(6.25297031189 3967),,(1.32852009818 4335),(5.48103485762 4438),(1.88545476463 4654),(1.65345091521 4800),(2.2963130986 4962),(1.62752654431 5118),,
Point0,H6,(5.77315972805e-15 190),(-8.881784197e-15 371),(1.7763568394e-15 541),(8.881784197e-15 718),(1.24344978758e-14 869),(1.06581410364e-14 1056),(-2.6645352591e-15 1218),(6.2172489379e-15 1393),(7.9936057773e-15 1553),(5.3290705182e-15 1698),(3.5527136788e-15 1870),(-5.3290705182e-15 2043),(-1.7763568394e-15 2206),(8.881784197e-16 2367),(-2.6645352591e-15 2545),(-0.000202462993196 2715),(8.881784197e-16 2873),(8.881784197e-15 3043),(-3.5527136788e-15 3216),(-3.10862446895e-15 3376),(-0.00548766949798 3552),(-2.6645352591e-15 3714),(-7.9936057773e-15 3872),(-4.4408920985e-15 4034),(-1.95399252334e-14 4200),(-2.48689957516e-14 4352),(-0.00570365003697 4510),(-1.86517468137e-14 4672),(-1.68753899743e-14 4826),(-9.7699626167e-15 4979),(-8.881784197e-16 5138),(-4.4408920985e-15 5310),(0.0 5469),
Point1,H1,(12.5783295309 27),(16.5228528027 220),(16.2363434298 409),(15.7109865858 571),(17.3792002232 750),(18.964648413 927),(18.7131165202 1086),(20.2628692278 1256),(19.0149917334 1428),(14.5060910104 1586),(17.3639472835 1738),(17.8400713975 1900),(18.4451239167 2075),(18.0980740307 2236),(19.9040339705 2400),(19.1004119471 2576),(18.1795918597 2746),(19.7104777844 2907),(20.4351858785 3081),(16.2058408336 3246),(20.1700841671 3415),(13.3522884511 3582),(14.2509256237 3749),(17.1824146215 3910),(16.7823972411 4070),(16.2749368265 4235),(14.6702688527 4385),(16.1307240221 4541),(14.5499317636 4701),(12.4154646865 4858),(14.0345404294 5011),(15.2492669072 5176),(13.2928615498 5340),(13.5205162732 5499),
Point1,H2,(7.37438934727 67),,,,(10.0852106378 793),,(11.5913866189 1131),(12.7663793944 1306),,,,,,(9.51324026097 2277),(12.7152209544 2442),,,,(10.8944313133 3130),(8.65038629497 3286),,(7.50246500644 3623),(6.99910961 3783),,,,,,,(5.96749756198 4898),(8.73124987607 5050),,,
Point1,H3,(8.27750929064 84),,,,(10.4641970503 802),,(11.6731606707 1138),(12.8394620435 1312),,,,,,(11.0237761802 2292),(12.7986552394 2449),,,,(10.983332407 3136),(10.0899704862 3301),,(7.96995594587 3635),(8.06070293838 3799),,,,,,,(7.06765386619 4914),(8.76642335952 5057),,,
Point1,H4,(2.02817422955 168),(10.1545212968 264),,(9.54705974535 615),(1.06058389696 871),(12.9422897501 971),(3.70541591329 1188),(2.9432608463 1366),(12.1249687133 1466),,(1.35878859528 1849),,(10.5767589622 2121),(2.35084755987 2341),(3.77746094705 2518),(12.5720882077 2619),(10.2733213198 2788),(11.1430105727 2950),(3.25427280905 3190),(2.88635281356 3350),(2.3027003658 3524),(3.22228966541 3684),(1.94821785076 3844),,,(7.42772905365 4275),(7.94193216979 4422),(2.50625093885 4648),(7.98176910239 4742),(2.09032573974 4949),(2.6528466692 5109),,,
