Cycle,0.863333333333
Average Width,4.04583561514
Width,,3.3529853893,3.95684419033,3.84427398582,3.93477327172,4.06885615771,4.4775713483,4.18196923235,3.85935561352,4.32212235266,4.38446618296,4.00932892998,4.84494021788,4.25996312178,4.23159936594,3.94786661753,4.1414740624,4.04381350426,3.74421329207,4.23859287381,3.78038335159
Point0,H1,(6.82708335979 30),(10.7705975943 240),(10.3517062065 409),(13.1350010221 604),(13.4842566482 793),(12.197977491 988),(11.4246882846 1180),(13.0345319239 1367),(11.7329625114 1560),(11.1032851616 1737),(11.3657189754 1917),(10.8715232267 2104),(11.5039223154 2281),(12.1546832566 2457),(11.0848330407 2634),(11.7080168644 2817),(12.8620815961 2985),(12.3562551463 3162),(9.61780341342 3359),(9.29891825785 3513),
Point0,H2,,(7.61909543717 274),(9.08928168235 428),,,,,,(10.2830147914 1580),,,,,,(10.0837313864 2647),,(10.9653981602 3003),,,
Point0,H3,,(7.74852986845 285),(9.09223979797 430),,,,,,(10.2872500593 1583),,,,,,(10.3758104477 2657),,(10.9887922921 3007),,,
Point0,H4,,(1.57380842379 344),(2.23266937235 526),,(8.70333992567 839),(2.46973150246 1106),(8.9154597018 1207),,,(4.25125861561 1832),,,,(7.66616002587 2505),(7.88320074934 2680),,(7.828135214 3031),,,
Point0,H5,,(1.61404813208 350),(2.6153120715 540),,(9.0666340818 850),(3.13664289624 1119),(8.96046078131 1214),,,(4.29636661369 1839),,,,(7.75498537647 2513),(8.04276590756 2689),,(8.12788874731 3040),,,
Point0,H6,(-8.881784197e-16 192),(-1.24344978758e-14 374),(-3.5527136788e-15 561),(-0.000941994393244 755),(-1.7763568394e-15 956),(-5.3290705182e-15 1137),(-6.2172489379e-15 1326),(-1.24344978758e-14 1523),(-2.6645352591e-15 1697),(-9.7699626167e-15 1885),(-0.00354713607705 2071),(8.881784197e-16 2243),(-2.6645352591e-15 2419),(6.2172489379e-15 2603),(-1.7763568394e-15 2783),(-7.1054273576e-15 2954),(-3.5527136788e-15 3133),(-7.1054273576e-15 3312),(-0.00877616757272 3482),
Point1,H1,(14.4564408279 31),(15.4981054862 239),(15.9769500109 410),(18.5728197847 601),(18.7808690093 793),(17.3526392459 987),(16.6900463014 1179),(19.435786068 1367),(16.6355423244 1561),(15.6596926106 1737),(17.5890417267 1917),(15.7826362524 2106),(16.4534806947 2282),(17.7293789626 2457),(17.8327144244 2635),(16.603485886 2814),(18.3957090825 2987),(18.1337124654 3163),(13.866048486 3356),(15.1478122037 3515),
Point1,H2,,,(9.30456986141 458),,,(10.6844799717 1034),,,,,,(8.88683511857 2155),(9.67357260233 2328),,(10.6020201759 2682),,,,,
Point1,H3,,,(9.35113137133 464),,,(10.7296078392 1039),,,,,,(8.94100975802 2160),(9.82231675057 2336),,(10.8777353147 2691),,,,,
Point1,H4,,,(3.16688086316 532),,,(2.92942257894 1108),(11.9407144439 1210),(11.9789496984 1418),,(2.73216334061 1864),,(1.75336186482 2216),(2.7845458973 2389),(10.3965463848 2503),(3.32451872593 2759),(10.7399734131 2857),(9.8674576182 3032),,,
Point1,H5,,,(3.25290370949 539),,,(3.46769602496 1119),(12.0215331673 1217),(11.9874118615 1422),,(2.76699630744 1869),,(1.87139831696 2224),(3.20027444468 2400),(10.8797388828 2514),(3.41069797193 2765),(10.8908001403 2864),(10.3532014046 3042),,,
Point1,H6,(-1.7763568394e-15 193),(-7.9936057773e-15 374),(-8.881784197e-15 561),(-5.3290705182e-15 754),(7.1054273576e-15 958),(1.24344978758e-14 1137),(1.7763568394e-15 1328),(7.1054273576e-15 1522),(1.24344978758e-14 1697),(5.3290705182e-15 1887),(-0.00176120701901 2070),(6.2172489379e-15 2243),(1.95399252334e-14 2420),(1.42108547152e-14 2604),(1.95399252334e-14 2784),(-0.00175214710208 2955),(8.881784197e-16 3134),(-3.5527136788e-15 3313),(0.0 3482),
Point2,H1,(11.6050678572 52),(12.2880774122 221),(12.9027860048 409),(14.4029865233 600),(14.9871724357 794),(15.5051746336 986),(14.261028285 1174),(15.363193798 1366),(14.3623976522 1561),(13.6479357247 1736),(14.9674803781 1939),(15.1721588587 2104),(14.0989275574 2281),(15.3134428834 2459),(15.3040666242 2634),(13.7242206563 2813),(14.9015391753 2985),(13.5533221103 3164),(11.8934912934 3343),(12.4367599527 3514),
Point2,H2,,,,,,,,,,,,(7.77297195399 2154),,,(12.3424479604 2652),,,,,
Point2,H3,,,,,,,,,,,,(7.97797352973 2163),,,(12.4250747007 2658),,,,,
Point2,H4,(5.98778392977 120),(8.76779151846 263),,(1.93563960332 725),(9.08992269846 839),,(2.16639852629 1300),(2.44816786662 1494),(2.71669750409 1670),,,(2.47320381627 2208),,,(2.41212858065 2758),,(12.4467818658 3003),,,
Point2,H5,(6.16375134004 129),(8.98831672905 273),,(2.33192599132 736),(9.28655513212 850),,(2.72155913165 1312),(2.49726286735 1500),(2.71694647903 1671),,,(2.63917777799 2217),,,(2.74164403656 2767),,(12.5527887792 3009),,,
Point2,H6,(-0.0148243058927 192),(-0.00302851752179 371),(1.59872115546e-14 563),(1.24344978758e-14 754),(-8.881784197e-16 958),(8.881784197e-15 1137),(-2.6645352591e-15 1329),(-0.00772474068661 1523),(7.1054273576e-15 1700),(5.3290705182e-15 1888),(4.4408920985e-15 2070),(6.2172489379e-15 2243),(1.42108547152e-14 2419),(3.5527136788e-15 2605),(1.7763568394e-15 2784),(1.7763568394e-15 2952),(2.6645352591e-15 3132),(7.9936057773e-15 3313),(7.1054273576e-15 3480),
