Cycle,0.827698412698
Average Width,5.19823122105
Width,,0,4.77441832685,5.18938558999,5.03620718868,5.1129539277,5.31909002655,5.42793406499,4.85650220667,5.37471420486,4.42870866519,5.50400538686,4.82253052246,5.01015659504,5.13946704075,6.38421137437,5.21985384409,5.1126201255,4.89997294683,5.3336167414,5.25781461801,5.17204637709,4.59326520115
Point0,H1,(12.5328881682 80),(12.1187951019 252),(12.9506664496 421),(11.0624032707 597),(10.2374325601 771),(11.0920005741 944),(12.0080121676 1119),(11.1614939404 1296),(10.9736939619 1474),(9.93496815822 1648),(11.3037180525 1823),(9.95568595849 1986),(11.4564929998 2160),(10.7150940748 2335),(10.911868075 2512),(10.527714218 2676),(11.4625850357 2869),(10.4756143558 3038),(10.8923977263 3220),(10.1005394939 3378),(9.48069944558 3550),(9.66818507967 3726),
Point0,H2,(5.40700428283 131),,(2.91866956167 511),,,(10.3272176832 957),(10.9394273289 1132),(10.3198569909 1310),,(4.6585926574 1695),,(9.65263671897 1995),,,,,,(1.46941301386 3147),,,,
Point0,H3,(5.41366988596 134),,(3.02275831502 519),,,(10.4311484206 964),(11.1768185103 1141),(10.3732559811 1315),,(4.93209892839 1705),,(9.89177127511 2004),,,,,,(1.48577536817 3152),,,,
Point0,H4,(4.03722835768 157),(2.94341404586 333),(1.84433000249 539),(0.174569451771 712),(2.54438637341 860),,(0.906629946247 1215),,,(2.05443898391 1751),,(1.59020607577 2085),(1.785105772 2263),(0.281907668445 2441),,,(0.8160410891 2970),(6.2172489379e-15 3172),,,,
Point0,H5,(4.25819026264 168),(3.15764298219 344),(2.0119064493 548),(0.946599182229 727),(2.84297805155 872),,(1.40649757723 1228),,,(2.37720816663 1763),,(1.60212117286 2090),(1.94471217958 2273),(0.840642646172 2454),,,(1.50060472465 2983),(10.8416628751 3204),,,,
Point0,H6,(-0.0177719740663 214),(-2.6645352591e-15 386),(0.0 565),(3.5527136788e-15 740),(-8.881784197e-16 911),(-0.00463321989898 1082),(-0.00229701467087 1257),(-0.000441101443771 1440),(1.1990408666e-14 1610),(-0.00777218073168 1782),(-0.00434834676591 1955),(-4.4408920985e-15 2126),(-8.7245184516e-05 2294),(7.9936057773e-15 2468),(8.881784197e-15 2640),(5.3290705182e-15 2817),(3.5527136788e-15 2998),(6.2172489379e-15 3172),(2.6645352591e-15 3343),(-0.00241472838579 3512),(-0.00813377025029 3684),
Point1,H1,(12.105794471 79),(11.9356560701 249),(12.9183807029 420),(11.4575437765 600),(11.0362413748 769),(11.4768035334 942),(12.1994578304 1118),(11.7551674357 1294),(11.6019769422 1472),(11.0193998105 1646),(11.3849820552 1820),(10.9777214266 1984),(12.1619557836 2158),(11.5210735831 2335),(11.0097281869 2513),(10.9852088547 2674),(12.3097563509 2868),(11.1434901676 3038),(11.2738549697 3202),(10.9715705744 3376),(10.3797990972 3550),(11.0514492555 3725),
Point1,H2,,,(12.8839768346 427),,(10.8000097476 778),,(11.2892999687 1132),(11.0159672953 1307),,,(2.13635093843 1904),(10.645529726 1994),,(0.421215717189 2440),,,,,(11.0626118357 3210),,,,
Point1,H3,,,(12.8848682595 428),,(10.8771434363 784),,(11.3214911951 1137),(11.1165322864 1313),,,(2.14040724437 1907),(10.7258705113 2001),,(0.706682940534 2451),,,,,(11.1387649446 3217),,,,
Point1,H4,(2.75519528931 154),(2.68972514347 328),(1.74011105651 537),(0.00545211406102 711),(3.0111736798 858),(10.5074196161 955),(1.47781103656 1218),,,(4.43775484307 1697),(0.84411987345 1930),,(2.01883859453 2263),(-0.00143448549585 2465),,(0.76960772895 2790),(0.802912826032 2969),(1.45741132435 3144),,,,,
