Cycle,0.712291666667
Average Width,5.42739152498
Width,,4.93298705946,4.79108790887,4.27212179626,5.24384995435,5.1593517785,5.86039232591,4.95864178644,4.53830275186,4.76883072305,5.05069996283,5.01157491078,4.59754377644,6.3947569775,5.19657031814,5.67482995241,6.96196787321,4.98177812083,4.369510474,4.71701364589,6.90687602509,4.34371626201,4.82937601113,4.96312866767,4.76861539185,4.68239288066,6.15937536719,5.68122917394,6.637372025,5.76670637412,8.61929445336,10.4712657066,5.82795246969,5.603449091,7.52965001965,7.54642284623,8.11911222147,5.86325737351,6.36899154404,7.26585321944,5.04940564893,5.53442656009
Point0,H1,(7.07044400356 49),(7.20872121147 193),(7.69617745016 341),(9.09101569076 483),(7.45919286224 624),(8.35789658983 769),(8.57281200753 904),(8.45690417544 1043),(8.46065940825 1186),(8.17905820139 1333),(8.34041200915 1488),(7.74081103803 1638),(9.06801207364 1795),(7.28723693461 1938),(8.94904603489 2085),(8.67146857597 2238),(6.94387862739 2376),(7.07101976575 2517),(6.59587413814 2657),(6.3451964549 2794),(6.45576415087 2917),(6.86133709752 3044),(6.34461314405 3180),(6.50559934553 3315),(6.09902214139 3461),(9.28570024868 3616),(8.10818634915 3763),(10.2458067271 3920),(10.3223229857 4081),(9.90443672108 4233),(9.29146429943 4386),(8.5472122773 4531),(8.3362746529 4678),(7.72792834835 4833),(7.73948946752 4979),(8.64430908606 5139),(8.00016886839 5286),(8.73926135015 5442),(9.06161808542 5595),(7.51297687015 5748),(7.55149780359 5892),
Point0,H2,,,,(7.46718008462 500),(5.68042656979 644),,(5.39299253923 946),,(2.68051379503 1235),,,(7.22109643004 1653),(7.27330120442 1813),,,,,,(4.50762463176 2679),,(5.57546276616 2933),,,,(5.53438165842 3474),(6.78877295938 3637),,,(7.08052772842 4101),,(6.03980583642 4406),,,,(6.05162283855 4996),,,,,(6.19689184863 5765),,
Point0,H3,,,,(7.5793660704 506),(6.15524459383 657),,(5.4282986223 951),,(2.78417047721 1243),,,(7.22440870876 1655),(7.3271806171 1819),,,,,,(4.86528994681 2692),,(5.59369802991 2937),,,,(5.90048488939 3487),(7.0499603103 3647),,,(7.53540969272 4112),,(6.16138360145 4412),,,,(6.2043841224 5004),,,,,(6.30720919948 5773),,
Point0,H4,(4.15918739626 77),,(3.5989089273 384),(3.8646707435 532),,(0.687455280136 849),,,(1.04389585881 1279),(1.78273500656 1425),(0.903243237565 1581),,,,(6.29714419476 2126),(6.07839555771 2286),(3.92911660588 2417),,(0.991045541736 2736),,,,(-0.0116791702562 3260),(3.54565169058 3358),(5.23201002141 3504),(3.56426984372 3685),,,,,(4.12725171008 4434),(1.90413093164 4611),(1.59659497292 4770),(1.42108547152e-14 4927),(1.58068068764 5066),(0.461100163252 5227),,(2.37656107403 5536),,(1.87084943796 5843),,
Point0,H5,(4.40768183967 100),,(3.80981890082 393),(4.18357028419 544),,(1.05041755208 860),,,(1.14575173305 1288),(1.97414515467 1434),(1.28607074745 1594),,,,(6.42786548344 2135),(6.33818070607 2298),(4.01814720641 2425),,(1.21736362084 2746),,,,(0.604614241394 3275),(3.66117592414 3368),(5.45628653065 3517),(3.60233637559 3691),,,,,(4.19785166743 4440),(2.32355538833 4628),(1.74997143119 4778),(0.447405398916 4941),(2.40982051934 5082),(1.46022031931 5243),,(2.40309035196 5541),,(1.90396873184 5848),,
Point0,H6,(-0.0457327604945 3),(-0.00049411893261 165),(-8.881784197e-16 315),(-6.2172489379e-15 449),(-7.1054273576e-15 590),(1.24344978758e-14 733),(7.1054273576e-15 874),(1.7763568394e-14 1016),(-0.0045672356626 1156),(-9.7699626167e-15 1305),(-3.5527136788e-15 1453),(-3.10862446895e-15 1610),(8.881784197e-16 1766),(-0.00543452063666 1913),(-0.00182606134806 2058),(1.7763568394e-15 2203),(-3.5527136788e-15 2348),(1.24344978758e-14 2485),(-0.00437032661171 2624),(7.1054273576e-15 2763),(-0.0115533256123 2890),(-3.33066907388e-15 3014),(3.5527136788e-15 3148),(-0.111967847811 3289),(-4.88498130835e-15 3434),(-4.4408920985e-15 3573),(3.5527136788e-15 3737),(4.4408920985e-15 3888),(-2.6645352591e-15 4047),(2.6645352591e-15 4202),(5.3290705182e-15 4357),(1.7763568394e-15 4503),(8.881784197e-16 4650),(-0.00558152107077 4799),(1.42108547152e-14 4927),(2.6645352591e-15 5100),(8.881784197e-15 5259),(1.24344978758e-14 5403),(8.881784197e-15 5563),(-2.6645352591e-15 5721),(-0.00209638313484 5867),
Point1,H1,(12.162540293 42),(12.3609979022 188),(13.7225099393 335),(14.3459015678 476),(12.0675535284 617),(12.8641712317 761),(14.0109494738 895),(14.7241029336 1036),(14.0842380158 1179),(13.8615270715 1325),(13.8951324908 1482),(14.697479731 1630),(13.3671953219 1788),(13.3304397442 1932),(14.2135513343 2078),(12.5149507403 2229),(11.7991238909 2369),(11.4234692157 2510),(12.6873948951 2652),(10.2925281539 2785),(12.0510986488 2911),(12.8922300482 3037),(11.6918857236 3170),(12.8008110282 3309),(12.4253194328 3454),(13.4979641496 3609),(13.0971553201 3756),(14.2665957506 3914),(14.5206597922 4075),(13.6206869902 4223),(12.267021134 4379),(13.5948130349 4524),(12.8535832171 4671),(11.649651652 4826),(11.970648588 4972),(12.5474298892 5128),(12.6430790652 5278),(12.8231472217 5434),(13.1516754933 5587),(13.1044806521 5741),(12.251213442 5886),
Point1,H2,(4.39833077961 87),,,,(7.52940259526 644),,,,,,,,(9.08635172746 1810),(8.21778109519 1951),,(7.88011673463 2255),,,,,,,,,(10.0798005066 3470),(8.37956552672 3634),,(8.52011997777 3935),(9.27267747638 4098),,(6.81996631506 4400),,,,(8.10275894522 4991),,(10.4538440804 5294),,,,,
Point1,H3,(4.92877778705 99),,,,(7.53105379001 646),,,,,,,,(9.09175792275 1812),(8.60000958969 1960),,(8.63242261306 2268),,,,,,,,,(10.1834972591 3476),(8.46343023593 3640),,(9.05423122914 3945),(9.46216434271 4106),,(7.1485386567 4408),,,,(8.32243357939 4998),,(10.5171405256 5300),,,,,
Point1,H4,(1.34628872404 134),,,(5.8128748951 526),,(2.29475308573 841),(7.35029470547 940),,(1.55752184498 1273),(1.80490936061 1419),(1.44552743869 1577),(7.24486396751 1680),,(2.53513123189 2025),(7.2962975952 2126),,(5.68952820033 2413),(5.15363477342 2558),(1.89020655916 2729),(1.86911670909 2861),(1.47278574782 2989),,(0.566449883605 3257),(2.27257322493 3402),(6.11459925689 3501),(2.84066269771 3707),,,(2.80386894746 4169),,(1.53022435871 4473),(2.73105407224 4613),,,(1.87109536767 5064),(2.21384702567 5224),(2.05707564207 5367),,,,,
Point1,H5,(1.55106336303 146),,,(5.93221363543 532),,(2.63420307186 851),(7.4606062583 947),,(1.8323345252 1283),(1.86011970001 1425),(2.04137366614 1589),(7.24621625532 1682),,(2.64229453014 2033),(7.30458540408 2129),,(5.72370268089 2418),(5.2513309268 2565),(2.38143358256 2740),(1.89264459592 2865),(1.55464700809 2995),,(1.03181957365 3269),(2.52724985634 3411),(6.35300182977 3511),(2.89893531521 3713),,,(3.27270085744 4179),,(1.72772148025 4483),(3.56905904893 4627),,,(2.17524625699 5075),(2.49997820377 5235),(2.65508050517 5380),,,,,
Point1,H6,(-0.01974477614 2),(-7.9936057773e-15 162),(-7.9936057773e-15 309),(-2.13162820728e-14 429),(-2.48689957516e-14 583),(-2.93098878501e-14 725),(-7.1054273576e-15 868),(-1.06581410364e-14 1010),(-1.42108547152e-14 1149),(-1.24344978758e-14 1299),(-6.2172489379e-15 1446),(0.0 1603),(3.5527136788e-15 1760),(-1.15463194561e-14 1906),(-7.9936057773e-15 2051),(-2.22044604925e-14 2197),(-1.42108547152e-14 2341),(6.2172489379e-15 2481),(-1.33226762955e-14 2618),(-6.2172489379e-15 2757),(3.5527136788e-15 2883),(-5.3290705182e-15 3010),(1.7763568394e-15 3141),(-1.7763568394e-15 3282),(-5.3290705182e-15 3428),(-4.4408920985e-15 3571),(-7.1054273576e-15 3732),(1.50990331349e-14 3883),(7.1054273576e-15 4040),(2.04281036531e-14 4197),(7.1054273576e-15 4351),(3.5527136788e-15 4498),(-4.4408920985e-15 4645),(-7.1054273576e-15 4789),(-1.15463194561e-14 4945),(-3.5527136788e-15 5093),(-6.2172489379e-15 5252),(7.1054273576e-15 5399),(-0.0011385584972 5555),(-0.00108724463817 5715),(-0.00914846876404 5861),
Point2,H1,(12.9299200474 44),(12.8994934238 190),(13.4463791654 337),(15.1304085029 478),(12.7767230462 619),(14.083514587 764),(14.5877951489 897),(14.9356139919 1039),(14.4528642134 1181),(14.8292094299 1327),(14.6871777888 1484),(15.6073458669 1632),(14.7757164298 1791),(14.9362579963 1934),(15.5941086636 2080),(14.0369410749 2230),(12.5436190397 2371),(10.8387712439 2512),(13.7580307611 2654),(12.1701746353 2786),(12.2133704602 2913),(14.0469386791 3039),(12.8351523959 3171),(14.0877957925 3311),(13.6969199715 3456),(14.6210160843 3612),(14.4891578191 3758),(15.475842201 3916),(15.0434639312 4077),(15.6152479506 4224),(14.1504118302 4381),(15.0863180014 4526),(13.8253106666 4673),(13.6150763041 4827),(14.1644182609 4974),(14.6294141653 5130),(14.0208965007 5280),(14.1216601346 5436),(14.9599640968 5588),(14.1951162906 5743),(13.4305778246 5888),
Point2,H2,,,,(11.195205647 499),(8.1327228157 644),,,,,,,,(10.573383103 1811),(9.87615486578 1957),,(9.36093105607 2258),(5.02498207488 2416),(8.89247773148 2529),(9.75158767689 2677),,,(10.8549650754 3056),,,,(9.81809435423 3637),,(9.29061030581 3938),(10.0241245782 4102),,(7.88318016154 4402),,,,(9.88387345074 4993),,,,,,
Point2,H3,,,,(11.2298206362 503),(8.31973283555 652),,,,,,,,(10.6188600109 1815),(9.8776391239 1959),,(9.84787527711 2270),(5.09390653621 2422),(8.92088737327 2533),(9.92491665484 2685),,,(11.15132796 3064),,,,(9.84845754864 3641),,(9.52886425959 3945),(10.0454801229 4106),,(8.21696949604 4410),,,,(10.0440817408 4999),,,,,,
Point2,H4,(6.03886307877 87),,(6.936638661 383),(6.98918557129 530),,(1.84574294621 843),(8.55087719512 943),,(1.63349019293 1275),,(1.47922046332 1579),(8.42594090541 1681),,(2.95830433311 2029),(8.68689338831 2127),,(1.10789078019 2461),(5.63610104335 2558),(2.6457299551 2731),(5.79709084921 2829),,(3.1643626565 3116),(-3.5527136788e-15 3256),(2.57938257928 3402),(7.02359924569 3503),,,,(2.87272113687 4170),,(1.50556314994 4474),(2.31526527793 4617),,,(2.07757138031 5063),(1.68989646123 5227),(2.44151049647 5370),(3.36161731731 5533),,,
