Cycle,0.953857142857
Average Width,6.50244027757
Width,,6.05236065285,7.58595306812,6.27847198783,6.15657539818,6.35008945079,6.41312433881,6.54063742461,6.45218496235,6.99042091114,8.68170840083,6.33722785604,6.24502094121,6.63391713216,6.24883707056,6.44943130402
Point0,H1,(16.6885639693 48),(19.3397144183 235),(23.3315709686 443),(19.2868212333 649),(24.394571315 859),(22.121011988 1067),(20.6308185436 1273),(24.4440351536 1489),(19.9165469823 1676),(15.4212558792 1880),(20.7078159196 2092),(17.9896058601 2296),(24.3457674289 2509),(19.3976549898 2713),(21.0984783147 2913),
Point0,H2,,(7.53795654105 281),,(7.28953209908 701),(12.7763197744 910),,,,(7.97387285621 1724),(13.3647863554 1895),,(8.48893156661 2348),(14.1291948859 2557),,,
Point0,H3,,(9.75288987092 299),,(7.33875247211 706),(12.776471767 911),,,,(8.11790207371 1731),(14.3300609042 1906),,(8.58277754409 2355),(14.1389467476 2560),,,
Point0,H4,(3.5625779882 130),(1.62528400735 374),(11.9560875391 491),(1.03418135792 787),(3.53025500926 998),(8.33258081775 1148),,(2.97947467214 1622),(1.62307671528 1813),(9.51827400032 1928),,(2.54545212765 2436),(3.75076112209 2645),,,
Point0,H5,(3.57746152547 134),(1.73185106652 382),(12.3810040967 501),(1.95190325532 801),(3.5801106979 1004),(8.45387632881 1157),,(3.13712437858 1630),(1.62778570744 1816),(10.722129091 1942),,(2.8046658375 2445),(3.79452110518 2650),,,
Point0,H6,(-0.0635032622248 1),(0.0 203),(-8.881784197e-15 403),(-3.5527136788e-15 610),(1.24344978758e-14 816),(1.7763568394e-14 1024),(5.3290705182e-15 1231),(0.0 1438),(-1.7763568394e-15 1647),(-1.7763568394e-15 1841),(7.1054273576e-15 2052),(-1.7763568394e-15 2257),(0.0 2464),(1.7763568394e-15 2673),(0.0 2880),
Point1,H1,(22.501819931 29),(27.3859338638 234),(31.6911575554 442),(27.1817682256 649),(33.6241823819 858),(31.0872275607 1065),(28.9188863754 1271),(33.4965889801 1488),(27.8132310567 1675),(23.1111101939 1880),(28.7787728253 2090),(26.6191816446 2296),(33.4626283555 2508),(27.329636202 2713),(28.1953761059 2912),
Point1,H2,(21.6125901151 39),(10.0639936122 281),,,(17.2864174155 907),(13.9747036244 1114),,,(10.0921905947 1724),,(13.5903428494 2138),(10.5876027082 2346),(17.9416697523 2555),,,
Point1,H3,(22.061818923 47),(12.2972367465 295),,,(17.3697808341 913),(14.2864433799 1123),,,(10.3994292229 1732),,(14.4967939955 2148),(10.9948715832 2356),(18.1353556281 2562),,,
Point1,H4,(4.05951520523 131),(2.03067075729 374),(15.2067702257 491),,(4.72285285706 998),(10.2704163449 1149),,,(1.84399009384 1811),,(10.1958864211 2174),(2.90261482508 2435),(5.22035516083 2648),,,
Point1,H5,(4.06741503616 135),(2.07498360848 380),(15.9603846042 501),,(4.82966249216 1004),(10.466772904 1158),,,(1.94395074665 1819),,(10.2033743372 2177),(3.45695922682 2446),(5.22131066301 2649),,,
Point1,H6,(-0.0259713284898 1),(-1.42108547152e-14 203),(-1.42108547152e-14 402),(-0.00799499659032 611),(1.95399252334e-14 816),(-7.1054273576e-15 1024),(0.0 1231),(3.5527136788e-14 1438),(1.7763568394e-15 1647),(2.6645352591e-15 1841),(-2.13162820728e-14 2052),(-1.7763568394e-15 2257),(-1.7763568394e-15 2464),(-1.7763568394e-15 2673),(-5.3290705182e-15 2879),
Point2,H1,(18.1023022135 30),(22.5145504174 234),(27.8473920458 443),(23.6068394991 649),(29.0364102557 859),(26.894805874 1064),(24.6841830446 1273),(28.9454608454 1489),(24.2008666127 1675),(16.9030686259 1879),(24.2291450795 2091),(23.370366692 2298),(29.7985207699 2510),(24.2062910763 2712),(24.3678311496 2912),
Point2,H2,(17.6535461207 38),(19.9493796757 249),,(8.52347272171 698),,,,,,(13.6762517749 1896),(12.4301301058 2139),(10.1686512873 2347),,,,
Point2,H3,(17.9174319496 46),(20.0482616666 254),,(9.11937936941 708),,,,,,(14.5504239201 1908),(13.0268274501 2150),(10.4058740033 2356),,,,
Point2,H4,(3.8483233207 130),(8.81814427065 280),(13.9634689711 491),(1.97398461291 787),(3.85915749567 999),(10.0340734464 1147),,,(1.35077780137 1813),(10.9555026883 1929),(8.05056396218 2197),(3.41380619122 2437),(16.9447909021 2556),(10.6835638973 2763),,
Point2,H5,(3.91087408644 138),(11.767842493 298),(14.5014169604 501),(2.73847672737 799),(3.92842164863 1005),(10.1458567158 1155),,,(1.67194559795 1824),(11.4548729864 1940),(8.08972828862 2203),(3.56582340486 2444),(17.0504365886 2562),(10.7595264965 2770),,
Point2,H6,(-0.0679835714472 1),(-0.0148894106356 202),(-0.00573308553051 400),(-0.00558149093193 611),(2.13162820728e-14 816),(0.0 1024),(0.0 1231),(-1.59872115546e-14 1437),(-0.0146422343515 1647),(-8.881784197e-16 1843),(3.5527136788e-15 2052),(-1.7763568394e-15 2257),(1.7763568394e-15 2464),(3.5527136788e-15 2673),(-3.5527136788e-15 2879),
Point3,H1,(23.1094657273 53),(7.46204247938 232),(17.6161916757 443),(13.2397905634 650),(18.0650560509 862),(17.0485076532 1061),(14.600869726 1274),(18.1946612117 1491),(14.0760523419 1675),(7.79448068003 1944),(14.3010925354 2111),(13.4102363147 2294),(19.9672337437 2522),(14.4400583404 2710),(14.1087391905 2911),
