Cycle,0.786488095238
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0
Point0,H1,(6.01368265851 31),(3.8302669657 195),(6.45936322126 354),(5.21648949268 511),(6.49842279341 672),(6.17534298495 832),(6.59619880879 992),(7.62560424406 1157),(6.83059818934 1314),(7.76002177706 1465),(8.68539701422 1625),(8.95174449405 1790),(7.7132881025 1952),(8.76826631003 2115),(10.2090446315 2272),(9.29229249504 2439),(6.91520775344 2596),(8.63067372991 2760),(8.29233093937 2927),(8.48784577819 3088),(8.98348385417 3236),(6.50500745174 3403),(3.3111141816 3560),(7.82094838467 3730),(6.6887523108 3888),(7.89875627378 4057),(7.86964714699 4224),(6.96022885868 4384),(8.00363512122 4548),(8.20447820098 4710),(8.48232619965 4870),(7.56163545477 5040),(7.85284369135 5202),(7.43744768436 5358),(7.87691755123 5515),(7.53325724303 5679),(7.42070776517 5839),(7.38614548717 5996),(7.73626405152 6158),(7.97339085921 6319),(7.57685843304 6480),(8.1962183424 6639),(8.04758466162 6798),
Point0,H2,,,(3.37862812512 384),(3.50189181799 544),(0.994221431589 752),,(3.3582338985 1032),(4.31039614258 1185),(2.78539663611 1349),(1.68378209445 1536),,,,(4.12779060522 2146),,(3.83532879082 2480),(2.88894192863 2640),(3.40851663635 2798),,,(2.51577453893 3278),(2.1553981112 3441),,,,,(3.03216558918 4264),,(4.45157531031 4592),,,(2.74976409148 5072),(3.01225371564 5233),,,,(2.1471993378 5887),,(3.24823473292 6194),(2.87685436904 6362),,,
Point0,H3,,,(3.73653471436 397),(3.51500294133 549),(1.06776170915 760),,(3.78299949922 1045),(4.3957350496 1193),(3.07316859577 1363),(1.80763220561 1544),,,,(4.28337888106 2155),,(3.96468334855 2489),(2.94479657241 2648),(3.8392571462 2810),,,(2.58339892896 3286),(2.17714968866 3446),,,,,(3.152492924 4274),,(4.46857397992 4596),,,(3.02939771173 5082),(3.74321834375 5250),,,,(2.18474942501 5894),,(3.54278798019 6209),(3.14636309755 6376),,,
Point0,H4,,,,(2.63272957359 573),(-0.00228016714151 781),(0.416635030568 918),(1.00210284522 1071),(1.28859752349 1235),,(0.552100956307 1567),(1.02904827332 1716),,,(0.813742178304 2200),(1.80045158468 2353),(0.923695293622 2541),(0.922478693075 2683),(0.936790801806 2858),,(0.592004556012 3176),(2.6645352591e-15 3334),(-0.00401093695174 3494),,(0.0 3819),(0.99066000459 3976),,(0.722364408166 4304),,(2.28902523803 4624),(1.09418850689 4794),,(1.20975007242 5110),(2.25481726939 5287),(0.646925685213 5448),(0.548250222655 5600),(-0.000582186254217 5759),(0.885485717317 5927),,,(0.876383418751 6411),(1.36963856099 6567),,
Point0,H5,,,,(2.85376987276 586),(0.251262843869 793),(1.23937284323 936),(1.72170167433 1087),(1.45510299688 1248),,(0.613632664608 1574),(1.76780826103 1733),,,(1.33416773371 2215),(2.17002942584 2369),(0.962146230698 2548),(1.23122082359 2703),(1.19577018428 2870),,(1.35068665574 3191),(0.767110023663 3352),(1.54184301562 3515),,(1.00120833456 3839),(1.22717563126 3999),,(1.08012248919 4318),,(2.45155575486 4634),(2.00037996614 4813),,(1.62590570576 5135),(2.3498017442 5296),(1.14338126718 5463),(1.10567852373 5620),(1.59542724644 5783),(1.03446475367 5939),,,(0.971161834816 6423),(1.62853400327 6580),,
Point0,H6,(-0.0178627558206 155),(-5.10702591328e-15 310),(-8.881784197e-15 471),(-0.00559380785897 628),(-0.00228016714151 781),(8.881784197e-16 953),(-1.7763568394e-15 1111),(3.99680288865e-15 1272),(-1.7763568394e-15 1423),(-0.00684927303817 1588),(-1.7763568394e-15 1752),(-0.000634407077077 1910),(-2.6645352591e-15 2069),(-1.11022302463e-14 2234),(-4.4408920985e-15 2402),(-1.33226762955e-15 2565),(-0.000287229767916 2724),(-0.00416477313074 2889),(-0.00693174484558 3045),(-4.21884749358e-15 3206),(-0.0934665036543 3368),(-0.00401093695174 3494),(-2.6645352591e-15 3692),(0.0 3819),(-6.2172489379e-15 4021),(-7.1054273576e-15 4188),(3.10862446895e-15 4347),(1.7763568394e-15 4514),(-8.881784197e-16 4678),(3.5527136788e-15 4837),(2.6645352591e-15 5000),(1.35447209004e-14 5161),(1.24344978758e-14 5323),(5.3290705182e-15 5479),(9.7699626167e-15 5640),(-0.0463234780801 5804),(-2.6645352591e-15 5959),(-0.00428628622882 6119),(1.7763568394e-15 6283),(4.4408920985e-16 6447),(1.7763568394e-15 6602),(-5.77315972805e-15 6759),
Point1,H1,(16.0884828077 41),(13.4471662281 202),(15.9322565357 360),(15.4248424503 522),(16.3069554047 684),(11.8817492822 842),(14.3787557462 1002),(13.1483785549 1162),(11.0705271389 1322),(11.3488036953 1481),(12.6164651909 1641),(12.866251808 1800),(9.87793337411 1960),(11.1269578569 2122),(11.7565746102 2283),(9.91947746129 2446),(9.32709160678 2609),(10.9606988881 2772),(10.1294022157 2940),(9.04117806143 3095),(8.6387282874 3255),(8.67477947281 3417),(4.2255925935 3571),(10.3458408235 3740),(9.47566160553 3902),(10.3587486385 4072),(8.11773481138 4233),(7.15280054463 4394),(9.75454702765 4570),(7.87208758719 4724),(8.71975397696 4886),(9.75798777559 5047),(10.0917367961 5206),(9.53148871858 5368),(8.8231754072 5529),(7.42164472426 5688),(6.79901290445 5850),(8.32813886892 6007),(6.10192510195 6167),(6.19478102514 6335),(4.78343894164 6489),(4.37732468124 6656),(5.46075223343 6812),
Point1,H2,,,,,,(6.25731752775 885),,,,(6.17802593404 1516),(6.63035703895 1673),,(5.44349407206 2000),,,(5.47686716966 2493),(5.42768886026 2642),,,(3.01015741731 3156),,,(1.61963534999 3595),,,,,,,(1.49890270106 4792),,,,(5.2866802407 5406),,,(3.63204833775 5885),(5.0831960026 6039),,(3.61567117569 6360),,,
Point1,H3,,,,,,(6.30527303513 892),,,,(6.18421225336 1519),(6.75269335169 1680),,(5.46976135989 2006),,,(5.79249959015 2506),(6.36239937812 2657),,,(3.4119020565 3168),,,(2.89482463949 3627),,,,,,,(1.56513549703 4799),,,,(5.34034277367 5413),,,(3.65160921361 5890),(5.60834965708 6058),,(3.98688649914 6372),,,
Point1,H4,,(1.7458309669 290),,,(1.15232296401 778),,,,(1.36110606193 1408),(1.95172301107 1563),,,(1.28301450952 2048),,(1.23313313462 2384),(1.97163505334 2537),,(1.32340258784 2871),,(1.19680116406 3187),(0.836695719372 3325),,(2.88882926371 3632),(2.07295902769 3826),,(2.24475166989 4162),,(1.28480205703 4471),(3.06958363557 4633),(0.289229994511 4819),(3.80525862783 4931),,,,(2.72574988277 5587),(1.19140636267 5764),(1.22030051486 5929),,,(1.29261597348 6420),(0.086435028823 6582),,
