Cycle,0.889094090909
Average Width,4.80642880261
Width,,4.91214910393,4.74141657758,4.69353639865,4.88847369081,4.81187310336,4.84736425738,4.91491000987,5.03310661156,4.96035809986,5.01099852494,5.48286360049,4.94816443006,5.22740459725,4.99467916368,4.93669774376,4.82622943041,4.74829126069,4.61267930785,4.90883930639,4.90143212951,5.07920642868,5.00154977102,4.98120069813
Point0,H1,(5.00159882527 152),(3.73526276276 231),(4.80733921589 352),(5.17254468733 545),(5.75562552796 734),(6.48668500596 921),(5.92437843259 1123),(7.20333771198 1294),(6.43204346766 1519),(6.35894627665 1717),(8.24490546038 1880),(6.91514561792 2068),(8.2046790368 2246),(8.15711145255 2302),(8.50829115985 2494),(6.68291154133 2691),(6.88191126838 2839),(7.09309992995 3061),(7.71629928904 3190),(7.74754957805 3267),(7.17635229066 3471),(8.3227239187 3655),(7.58472816024 3869),(8.08940353422 4067),(7.56871411737 4181),(8.72276100765 4270),
Point0,H2,,(2.61458032543 249),(-0.000407530628149 396),,,(-4.4408920985e-15 978),(4.4408920985e-16 1169),(6.57394837702 1315),,,(-0.000440455810462 1948),,,,,(-7.9936057773e-15 2736),(0.102654547228 2906),,(6.84243350106 3223),(5.3290705182e-15 3313),,,
Point0,H3,,(3.39770076305 272),(4.00710464701 481),,,(3.47867708916 1018),(4.06973108716 1215),(6.97136619756 1327),,,(5.01124326 1987),,,,,(5.18334571344 2777),(0.7839524596 2918),,(6.95845597497 3233),(6.52387778155 3386),,,
Point0,H4,,(3.39642532361 275),(3.62417626358 498),,,(3.36547554325 1027),(4.05226662712 1219),(-4.4408920985e-15 1374),,,(4.85672960348 1999),,,(-6.2172489379e-15 2352),,(4.60430455625 2789),(-6.2172489379e-15 2932),,,(6.47505636171 3397),,,
Point0,H5,,(4.64882457055 325),(5.00742903494 520),,,(5.80707922713 1083),(6.45706088985 1256),(6.23240790629 1491),,,(6.1441391121 2025),,,(7.80505690064 2444),,(6.29882192551 2811),(6.8436997847 3029),,,(7.09788972102 3422),,,
Point0,H6,(-1.7763568394e-15 186),(-0.000407530628149 396),(-0.0150901901008 577),(-2.6645352591e-15 781),(-4.4408920985e-15 978),(4.4408920985e-16 1169),(-4.4408920985e-15 1374),(-9.32587340685e-15 1563),(-6.2172489379e-15 1758),(-0.000440455810462 1948),(0.0 2141),(-6.2172489379e-15 2352),(-1.42108547152e-14 2547),(-7.9936057773e-15 2736),(-6.2172489379e-15 2932),(2.6645352591e-15 3102),(5.3290705182e-15 3313),(-8.881784197e-16 3521),(-6.2172489379e-15 3730),(-0.0398719515314 3906),(4.4408920985e-15 4109),(2.6645352591e-15 4320),
Point1,H1,(11.9055991332 38),(12.7998450196 249),(12.3817277027 444),(10.162539468 636),(11.4733356561 824),(10.8536121996 1013),(10.7722943967 1208),(10.5882574732 1399),(10.4098564008 1612),(9.29712543381 1799),(6.24167441367 1972),(8.01748916286 2190),(6.59726772312 2379),(7.80046853566 2582),(9.27755287457 2773),(7.44727305479 2952),(8.43421481068 3143),(10.1054125776 3355),(8.06219433785 3545),(7.59505771948 3748),(4.66242785863 3940),(5.80185591551 4186),(4.42033057104 4381),
Point1,H2,,,(0.940703423196 550),,,(3.36594363373 1106),,(9.89701170591 1412),,(5.1993991237 1846),,,,(4.98225605427 2630),,(4.29729761751 2997),,,(7.75258259658 3556),,,,
Point1,H3,,,(1.1099625566 564),,,(3.49202715369 1115),,(9.97775951994 1419),,(5.20598312912 1849),,,,(4.99650673727 2634),,(4.42428608036 3007),,,(7.77776886823 3561),,,,
Point1,H4,(0.89727059165 159),(1.85101531607 349),(6.2172489379e-15 585),(1.74179471067 722),,(1.4320166703 1141),,(0.798960515528 1540),(2.90274884424 1700),,,,(0.616424258397 2516),,,,,(1.46149063501 3487),(5.76341022722 3588),,,,
