Cycle,0.662859848485
Average Width,58.8427205312
Width,,0.0,14.7552745428,15.0962880787,0,16.3744058775,0,368.293538121,14.9427958904,0,53.3437721788,29.0358083643,11.3316206736,19.5681824543,24.1724235496,17.4070271727,12.6204816933,17.589874997,9.35156713608,0.0,9.30367895617,0.0,8.93502107378
Point0,H1,(4.70160466307 86),(7.65514027609 232),(6.49287646302 372),(6.54814914454 529),(5.60406677409 648),(4.76301425979 791),(4.97151911882 938),(4.77155801781 1075),(5.29214744521 1219),(5.80023590891 1361),(5.72719813012 1494),(7.04494561905 1640),(6.59263291124 1786),(8.15473076796 1927),(7.47060435983 2071),(8.31384952213 2215),(6.88303037537 2358),(5.1285496517 2497),(5.50537405027 2645),(6.60539932187 2791),(7.4445196897 2935),(7.35340469994 3080),
Point0,H2,,,,,,,,(2.15937883133 1095),(2.8068637701 1243),,(4.44653358397 1509),(1.46803832779 1710),,(4.2258327219 1953),(3.65298267494 2119),,(3.50324731286 2387),(1.58471080928 2526),(3.34759771715 2664),,,,
Point0,H3,,,,,,,,(2.87791364069 1110),(2.85841886139 1249),,(5.14263144785 1523),(1.4783523052 1716),,(5.10379971899 1971),(3.65797201128 2122),,(3.660518384 2400),(2.56173154134 2550),(3.74555883064 2678),,,,
Point0,H4,(-0.0108864177677 151),,(0.891556072959 452),(0.0 595),,(4.66293670343e-15 879),(4.21884749358e-15 1010),(0.973861470527 1146),(0.885245820193 1295),,(0.680836706018 1588),(1.37889264109 1728),(3.12193722824 1853),(2.07004863133 2000),(2.40852893012 2146),(3.08296871316 2289),(3.00975711876 2420),(0.0491476274635 2602),(2.6755760988 2709),(2.6645352591e-15 2884),(3.5527136788e-15 3028),,
Point0,H5,(1.03341777653 191),,(1.00631324838 461),(1.36245373666 611),,(0.417132700686 896),(0.272812048076 1026),(1.00635074809 1153),(1.25881454704 1309),,(0.948959845518 1599),(1.53844858475 1739),(3.28120362214 1865),(2.24444250832 2011),(2.66956192899 2157),(3.52236251568 2301),(3.19691548108 2432),(0.084926811959 2608),(2.73698713862 2717),(1.12960849755 2901),(0.790015671331 3044),,
Point0,H6,(-0.00371173376953 1),(-1.55431223448e-15 62),(-0.0108864177677 151),(-2.22044604925e-15 300),(5.77315972805e-15 479),(0.0 595),(-0.000220913020304 767),(4.66293670343e-15 879),(4.21884749358e-15 1010),(-0.000782310456143 1177),(3.5527136788e-15 1328),(4.4408920985e-16 1464),(4.4408920985e-15 1613),(3.5527136788e-15 1758),(-0.000919761166491 1899),(-2.6645352591e-15 2040),(-1.33226762955e-15 2182),(0.0 2326),(-0.00268419988674 2464),(-0.0025018452331 2616),(4.4408920985e-16 2746),(2.6645352591e-15 2884),(3.5527136788e-15 3028),
Point1,H1,(5.71169638289 86),(9.2530460787 232),(8.278298655 373),(7.33004173107 528),(6.52374352645 648),(5.90139290816 792),(6.12568820212 936),(6.23943087757 1076),(6.16024602804 1221),(7.00932332874 1358),(6.99992039634 1494),(8.24259365199 1642),(7.91210319764 1786),(8.67263077228 1927),(8.84709635697 2071),(9.62489957817 2217),(7.67602390595 2358),(6.63158497579 2498),(2.93975919844 2578),(6.96573198554 2646),(7.72290350776 2791),(9.19031891823 2935),(8.28006228574 3079),
Point1,H2,,,(0.457543634641 455),,,(1.76910087014 836),,(2.89111476538 1098),,(2.47467046445 1399),(4.90880449191 1511),,,(4.00858077065 1953),(3.89543161766 2118),(5.24416270611 2250),,(2.14551036186 2529),,(4.09650188856 2667),,,
Point1,H3,,,(0.654048521365 465),,,(1.8368879586 844),,(3.21577994772 1109),,(2.56982859278 1407),(5.51760741502 1523),,,(4.84254459209 1973),(4.00085152389 2125),(5.34321995372 2261),,(2.44554949207 2545),,(4.42728990226 2679),,,
Point1,H4,(-0.0278413646575 160),,(-3.99680288865e-15 478),(-4.4408920985e-16 596),(3.5527136788e-15 738),(-0.0465237158562 885),(3.99680288865e-15 1013),,(0.86471044504 1296),,(0.922419341791 1590),(1.11449092382 1728),(2.48224739137 1857),(1.448456651 2004),(1.96239109528 2148),(2.640001316 2291),(2.80940022565 2425),,,,(5.77315972805e-15 2885),,
Point1,H5,(1.27832398751 193),,(6.59194100991 508),(1.298790292 612),(0.712462533303 753),(0.0142920066957 897),(0.692640950809 1030),,(1.34724663273 1311),,(0.970830367577 1597),(1.45593884403 1742),(2.5422676055 1865),(1.65263558685 2016),(2.34676657667 2160),(3.10935599051 2303),(2.81531874812 2431),,,,(0.890195997151 2900),,
Point1,H6,(-0.182271280199 33),(-0.0278413646575 160),(-1.33226762955e-15 302),(-3.99680288865e-15 478),(-4.4408920985e-16 596),(-0.0538339864867 766),(-0.0465237158562 885),(3.99680288865e-15 1013),(-8.881784197e-16 1180),(-2.22044604925e-15 1328),(-2.6645352591e-15 1466),(-8.881784197e-16 1613),(2.22044604925e-15 1759),(4.4408920985e-15 1900),(0.0 2041),(-6.2172489379e-15 2182),(-5.3290705182e-15 2326),(-0.00180636975858 2465),(2.22044604925e-15 2602),(4.4408920985e-15 2746),(5.77315972805e-15 2885),(-0.00155341809794 3030),
Point2,H1,(9.25832470767 51),(11.7364657393 196),(11.4378372529 336),(9.83863630348 493),(9.20793710618 614),(9.50955974381 757),(9.10185319959 900),(9.332488467 1041),(9.48479621957 1186),(10.283109437 1324),(9.91216845931 1461),(11.7555567239 1606),(9.7424321095 1751),(11.6692810735 1893),(11.3347057886 2036),(12.935301345 2181),(10.7510387787 2322),(8.22275123399 2464),(3.52237741481 2544),(9.79103109705 2611),(9.29321638953 2755),(11.1374197493 2900),(10.9086695952 3046),
