Cycle,0.834635416667
Average Width,4.22594470332
Width,,4.50657757543,3.89692473523,4.25379723876,4.43201905761,4.25274304636,4.27939416325,3.87218117551,4.04821891085,4.14696914094,4.29269239942,4.10125796318,4.04904395584,4.07729273625,4.15366505166,4.20351571813,4.11846254774,4.26133171464,4.17335619698,4.48719920594,4.41437253546,4.44221885676,4.44497001342,4.50841675167,4.49712245767,4.61155039621
Point0,H1,(16.2748635492 49),(12.6230299108 222),(14.3049984074 398),(13.4979352671 574),(12.247799605 748),(12.4400741678 930),(9.30946556399 1085),(11.3612506406 1265),(10.7895407841 1439),(12.2742299099 1597),(11.1339603716 1760),(9.68165323116 1933),(7.60121042968 2108),(7.30094519473 2269),(6.983085302 2452),(5.70481057176 2620),(7.75507008201 2800),(6.44500486606 2988),(7.58014749977 3158),(7.39399321882 3327),(7.33306032298 3527),(6.78849952043 3691),(7.27337024248 3866),(8.24611656866 4050),(8.26573916505 4222),
Point0,H2,(9.88297221455 77),(1.68668715193 302),,,,,,,,,,(2.612909413 2007),,,,(4.41924806648 2674),(4.12968224782 2847),,,,(6.3207641987 3548),(5.87199833027 3706),,,
Point0,H3,(10.1675400947 88),(1.68798577488 304),,,,,,,,,,(3.11601725209 2020),,,,(4.47942251338 2685),(4.26249145123 2859),,,,(6.35073539044 3554),(6.2337269746 3717),,,
Point0,H4,(2.47091947923 152),(0.489721005479 327),,(1.72328861782 677),(2.85712987522 848),,,(2.02703428877 1340),(1.685425004 1529),(2.04546177182 1699),,(1.58487425174 2040),(0.245309989466 2195),(2.41287406838 2372),(2.46448149368 2526),(0.473389895718 2740),(1.49959840357 2904),(3.41738071024 3062),(2.5668317043 3243),(0.960165237913 3446),,(4.59395489632 3736),,,
Point0,H5,(2.76164734004 162),(0.863926941758 340),,(1.94670621415 688),(3.0561385714 859),,,(2.51389530675 1359),(1.69506293293 1533),(2.17231013903 1709),,(1.81508893723 2050),(0.741531366562 2223),(2.73479021929 2384),(2.59416455107 2537),(0.721339008018 2753),(1.9138249391 2925),(3.80956483588 3075),(2.66351018087 3252),(1.30410087619 3458),,(5.18956097782 3749),,,
Point0,H6,(8.881784197e-15 180),(1.7763568394e-15 358),(1.59872115546e-14 544),(1.68753899743e-14 711),(9.7699626167e-15 882),(5.3290705182e-15 1050),(-0.000732370132497 1220),(1.86517468137e-14 1396),(8.881784197e-15 1557),(6.2172489379e-15 1729),(1.7763568394e-15 1896),(-7.54951656745e-15 2070),(-8.881784197e-15 2239),(-1.7763568394e-15 2405),(2.6645352591e-15 2579),(-4.88498130835e-15 2768),(-2.6645352591e-15 2948),(-4.4408920985e-15 3122),(-5.3290705182e-15 3292),(-5.3290705182e-15 3475),(-1.7763568394e-15 3658),(-4.4408920985e-15 3830),(-4.88498130835e-15 4002),(-2.6645352591e-15 4192),
Point1,H1,(23.1994129487 47),(20.8585719825 221),(22.6362006872 397),(21.6676293445 574),(20.0340635871 747),(21.5781003438 916),(19.8006406425 1084),(21.5872277039 1262),(19.7341680454 1436),(20.4051841482 1597),(20.4499988745 1760),(20.2858813971 1933),(18.0631747146 2108),(16.8942867393 2269),(19.1972816436 2447),(17.8396201041 2621),(17.8940231287 2799),(16.9467748226 2988),(15.7328303399 3154),(17.0514234168 3327),(17.9503733217 3520),(16.8116021385 3693),(16.3533395468 3868),(18.8919518515 4045),(17.0571042654 4223),
Point1,H2,,,(8.82881429045 445),,,,(7.78634993988 1134),(4.93636948612 1342),,,,,,(4.17692862694 2348),,,,,,,,(6.75876899299 3740),,(7.97588629852 4092),,
Point1,H3,,,(8.86825482808 449),,,,(7.96784750083 1141),(4.94075943689 1344),,,,,,(4.24833974981 2355),,,,,,,,(6.95645014968 3749),,(8.20915657725 4100),,
Point1,H4,(3.92769970363 152),,(1.08872680274 519),(2.20656247636 679),(2.97242898313 855),,(2.57898688042 1189),(3.25026995216 1366),,,,(2.25795788378 2038),(0.954087081563 2216),(2.94674116863 2375),(2.45383641949 2550),(1.09841817188 2742),,(2.64559525193 3097),(0.782985718106 3274),,,(2.13241038047 3800),(1.74826905706 3975),(1.59392273258 4168),,
