Cycle,0.659047619048
Average Width,6.86414368337
Width,,6.72983832714,8.02792149107,7.23859560265,6.25577260209,6.78166269911,6.39323235085,7.06328186223,5.89733682522,6.86021896472,7.96287965551,6.20216747952,6.60958223218,7.72938016148,8.03491604876,5.69776303687,7.2862408189,6.2028812567,7.60370212519,5.69588447334,6.86982164091,0.0,6.11617220075
Point0,H1,(11.4887668499 47),(10.0132738577 172),(5.17324092594 306),(9.46208735075 451),(6.84254197934 576),(7.33994383443 735),(8.88954920677 868),(5.49847106934 1008),(9.72989215325 1117),(8.51651406854 1248),(4.47357606897 1397),(7.04245202611 1524),(15.4748893636 1674),(10.5134294237 1809),(6.93952982038 1972),(10.7957496396 2105),(9.97818657543 2243),(10.2584172082 2344),(9.25750237958 2517),(7.1031532891 2639),(4.52088525545 2834),(4.45252787545 2939),
Point0,H2,,,,,,,(6.66133814775e-15 924),,(6.44534458274 1135),(-0.0105631627092 1311),,,,,(-0.0237765056085 2010),,,,(2.6645352591e-15 2547),,,,
Point0,H3,,,,,,,(3.25527163981 946),,(8.70666086404 1150),(2.45944760034 1327),,,,,(10.0371542961 2044),,,,(2.39027969415 2566),,,,
Point0,H4,(5.3290705182e-15 91),(7.9936057773e-15 232),,(1.7763568394e-15 493),(-0.0121699857851 627),(-0.00888389986407 770),(2.875748505 956),(-0.0100802156424 1036),,(0.158624114284 1343),(2.6645352591e-15 1455),(-0.0159591853156 1585),(1.15463194561e-14 1717),(-0.0336621903469 1870),(8.82028581157 2063),(-0.00590127208075 2161),,(-0.00608916323617 2415),(2.3613431797 2571),,(-0.0352073482655 2875),,
Point0,H5,(2.43754178194 118),(2.12495998549 254),,(3.9401430447 519),(3.37928398966 675),(2.97321826039 796),(4.51074124414 973),(5.06694768048 1064),,(2.37255534165 1360),(1.65971847613 1472),(1.55921915354 1606),(6.83638550615 1755),(2.73384045327 1892),(10.07635154 2084),(4.05708759443 2207),,(4.72009232724 2442),(3.45782522665 2586),,(3.01950938916 2907),,
Point0,H6,(5.3290705182e-15 91),(7.9936057773e-15 232),(-0.0124623866949 358),(1.7763568394e-15 493),(-0.0121699857851 627),(-8.881784197e-16 703),(-0.00888389986407 770),(6.66133814775e-15 924),(-0.0100802156424 1036),(-8.881784197e-16 1179),(-0.0105631627092 1311),(2.6645352591e-15 1455),(-0.0159591853156 1585),(1.15463194561e-14 1717),(-0.0336621903469 1870),(-0.0207824148054 1940),(-0.0237765056085 2010),(-0.00590127208075 2161),(-0.00277391191862 2287),(-0.00608916323617 2415),(2.6645352591e-15 2547),(-5.3290705182e-15 2606),(-0.0331788180932 2687),(-0.0233494698543 2751),(-3.5527136788e-15 2813),(-0.0352073482655 2875),(-5.3290705182e-15 2961),(-0.027991927402 3022),
Point1,H1,(14.5853845668 56),(12.9490636039 177),(8.57621746059 312),(13.8913560875 455),(11.1363378725 579),(9.69665930278 737),(13.8552249196 873),(9.10496636617 1009),(13.6258213941 1149),(11.1891073532 1251),(8.15238350467 1413),(10.7349334813 1533),(18.9296426727 1671),(13.6777207662 1810),(9.510852401 1972),(14.7588990325 2105),(14.4127669353 2247),(14.7204376947 2349),(14.6921100786 2520),(11.1473206104 2640),(3.68932676193 2732),(8.55379484738 2940),
Point1,H2,,,,,,,(9.7699626167e-15 926),(-3.5527136788e-15 1040),,(1.06581410364e-14 1312),,,(5.3290705182e-15 1721),,,,,(-0.00675361889673 2416),(-1.33226762955e-14 2549),(8.53871230734 2660),,,
Point1,H3,,,,,,,(4.90824360616 948),(5.2276601713 1067),,(3.39933413164 1329),,,(6.55141811631 1753),,,,,(6.91857461442 2444),(2.04087964571 2563),(8.58863572181 2664),,,
Point1,H4,(-3.5527136788e-15 88),(-0.00211318746294 233),(-0.0143073371919 357),,(-0.0327095709169 629),(-0.0873816702896 769),(4.38295339433 957),(5.0869186284 1074),,(0.623756490897 1344),(1.68753899743e-14 1455),(-0.0117544618001 1588),(6.38634994943 1760),(-0.124869134962 1872),(-0.0310736147051 2010),,,(6.47454136207 2466),(1.15153341797 2575),(-0.0389529503521 2690),,,
Point1,H5,(2.09625170604 123),(2.64432712304 258),(9.67854221611 407),,(3.06256615228 657),(4.99059638387 797),(6.70877311799 974),(13.368935673 1119),,(4.10371779463 1362),(3.05591101448 1475),(2.05309376215 1609),(7.43602962699 1780),(2.20206355047 1897),(11.7742344201 2048),,,(14.6506475175 2501),(2.29162199581 2589),(3.6187581726 2708),,,
Point1,H6,(-3.5527136788e-15 88),(-0.00211318746294 233),(-0.0143073371919 357),(7.1054273576e-15 493),(-0.0327095709169 629),(-1.75415237891e-14 705),(-0.0873816702896 769),(9.7699626167e-15 926),(-3.5527136788e-15 1040),(-3.5527136788e-15 1179),(1.06581410364e-14 1312),(1.68753899743e-14 1455),(-0.0117544618001 1588),(5.3290705182e-15 1721),(-0.124869134962 1872),(-0.0194168029394 1938),(-0.0310736147051 2010),(-0.00892040647422 2159),(-7.9936057773e-15 2286),(-0.00675361889673 2416),(-1.33226762955e-14 2549),(-0.00891163376542 2606),(-0.0389529503521 2690),(-0.0115491805414 2753),(-0.791810060722 2817),(-2.6645352591e-15 2963),(-2.22044604925e-15 3024),
Point2,H1,(13.0731881264 91),(11.0058802723 208),(8.86770496876 350),(12.4477493423 491),(8.72651001271 611),(11.1816562925 769),(11.7196845479 908),(8.46706895685 1042),(12.1421671061 1152),(10.7761936879 1290),(9.32440905152 1451),(11.5355044188 1568),(17.1047082355 1722),(11.0962230806 1843),(11.7093770472 2005),(12.1536090722 2140),(13.4003714089 2281),(14.0454942239 2386),(13.8240998751 2555),(10.1451590262 2674),(6.50345205396 2827),(9.69435458685 2973),
Point2,H2,,,,,(8.26779676969 625),,(0.865029678179 940),,,,,,,(9.51649203514 1858),,,,,(-8.881784197e-16 2584),,,,
Point2,H3,,,,,(8.36948342835 631),,(0.940735170543 945),,,,,,,(10.3432270309 1869),,,,,(1.25526945083 2598),,,,
Point2,H4,(-8.881784197e-15 123),(-0.00716332623501 267),(-0.0151176878788 391),,(8.881784197e-15 662),(5.3290705182e-15 803),(1.15463194561e-14 959),,(10.6643972942 1168),,,,(-0.00778379141225 1759),(7.1054273576e-15 1903),(-7.9936057773e-15 2043),,,,(1.01783313842 2606),,(5.3290705182e-15 2877),,
Point2,H5,(3.54312548743 157),(3.51096248286 292),(8.25627365306 436),,(5.69207939797 728),(2.89991545617 829),(6.61497277812 1009),,(12.1155907571 1181),,,,(4.05048970235 1786),(4.97443992592 1959),(8.44649106365 2081),,,,(3.08882758072 2625),,(1.56678255388 2899),,
Point2,H6,(-8.881784197e-15 123),(-0.00716332623501 267),(-0.0151176878788 391),(-0.00581873112513 529),(8.881784197e-15 662),(5.3290705182e-15 803),(1.15463194561e-14 959),(-0.0194726498075 1073),(-5.3290705182e-15 1211),(-0.00121560339584 1349),(-4.4408920985e-15 1489),(7.9936057773e-15 1624),(-0.00778379141225 1759),(7.1054273576e-15 1903),(-7.9936057773e-15 2043),(-5.3290705182e-15 2188),(-7.1054273576e-15 2319),(-6.2172489379e-15 2452),(-8.881784197e-16 2584),(-3.5527136788e-15 2724),(5.3290705182e-15 2877),(-8.881784197e-16 2997),
Point3,H1,(8.03803655227 91),(7.58955972107 197),(7.40710219165 351),(7.86321352048 492),(6.07581675107 607),(8.05539069082 767),(9.04035810063 907),(6.11996046603 1039),(9.15647555017 1178),(10.059509184 1298),(7.6641160042 1453),(9.31003996354 1567),(12.6510886222 1725),(9.39141174841 1870),(7.52148163983 2003),(8.85221228754 2137),(9.18561919566 2278),(10.7193701883 2414),(8.88473901866 2558),(8.12971974884 2700),(8.84123636982 2820),(8.37280870882 2970),
Point3,H2,,(-2.6645352591e-15 261),(0.0 391),,,(-0.00247099427096 799),(-0.0116909695992 935),,,,,(8.30635693227 1582),,(4.88498130835e-15 1899),,,,(-3.5527136788e-15 2452),,,,,
Point3,H3,,(4.4993186246 296),(5.24031381337 436),,,(3.00765301983 827),(1.011616234 948),,,,,(9.24991812559 1595),,(0.115588078086 1906),,,,(5.25581160706 2500),,,,,
Point3,H4,(8.881784197e-16 122),(4.49899015075 298),(4.76087580748 447),,,(2.80547169631 837),(0.574750547228 960),(-0.0171638643071 1069),,,,(-0.00270584778405 1622),(0.0 1762),(0.00751012920276 1914),(4.4408920985e-15 2039),,(-0.00711576753886 2312),(5.22199399845 2505),(4.88498130835e-15 2585),,(-0.00485546569281 2874),,
Point3,H5,(4.78110933757 156),(7.14539700046 329),(6.78448242316 469),,,(7.64727925063 884),(4.73553370187 1008),(9.13963243052 1149),,,,(1.48994493601 1640),(8.01991572599 1841),(3.58455996299 1942),(5.63487863427 2077),,(10.7028374185 2386),(8.35837056453 2529),(7.23391123189 2671),,(6.19432857294 2930),,
