Cycle,0.81560828877
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(21.9090445954 28),(27.3760191597 186),(29.5066429552 345),(30.9984546241 504),(28.7441735852 664),(32.1702414793 826),(31.3689433345 1002),(30.7270983998 1161),(29.8670487886 1320),(30.1696984847 1481),(29.0264678368 1642),(29.079787158 1818),(29.1403180233 1993),(33.6994988714 2169),(30.4631070235 2350),(30.5075499553 2506),(32.3853356494 2680),(31.6975550405 2857),(36.8700719401 3035),(34.095212253 3209),(33.557667825 3389),(34.3290486714 3545),(32.2629353454 3709),(33.3221672883 3882),(34.4751567625 4061),(33.6843461176 4248),(33.2298942868 4411),(34.5303404016 4585),(32.0060805479 4747),(33.8662106099 4921),(31.6567676887 5098),(31.3932871018 5276),(31.2777215524 5450),(31.2461856621 5625),
Point0,H2,(20.588941591 41),(9.34181938666 236),,(10.2978695503 553),(9.92530855434 715),,,,,,(26.1824437785 1656),(12.0352769868 1866),(9.99905694853 2041),(12.7536327156 2221),(4.98884010351 2432),(27.4116631835 2519),,(12.4190501522 2905),,(11.3389096661 3260),,(13.3121243826 3595),(31.1285271167 3718),,,,(13.6797078983 4460),,(29.074667888 4759),(29.3490922453 4936),(12.6487807346 5145),(29.6439971098 5288),,,
Point0,H3,(20.6103597791 44),(9.37593019828 240),,(10.9315668183 563),(10.355607702 723),,,,,,(26.4893517115 1663),(12.5996576122 1875),(11.8142628506 2052),(12.8642510559 2226),(4.99012849207 2434),(28.2717136174 2528),,(13.3582975497 2916),,(11.6676111789 3267),,(14.1534361483 3604),(32.1830305328 3728),,,,(14.0210989664 4467),,(30.1588231839 4769),(29.7789419401 4943),(14.3446804189 5156),(30.008543553 5295),,,
Point0,H4,(9.53522810717 75),(2.50882588023 276),(3.21989193944 439),(2.47269044963 595),(1.28704420245 773),,(4.53415432107 1094),(3.2983276307 1252),(3.01221595892 1411),(11.0345460569 1531),(11.349362558 1692),(2.84937108036 1924),(1.44234654833 2099),(3.60899763416 2275),(3.07677638444 2454),(3.20540637206 2612),(13.0943653001 2731),(3.10140303904 2962),(13.9287234893 3083),(3.85169747655 3315),,(3.57833971788 3652),(1.81144773123 3830),,,(2.33628527944 4362),(3.83282364467 4515),,(2.26801896203 4850),(12.571353167 4972),(2.60176417219 5221),(1.84759468323 5397),,,
Point0,H5,(9.75813754234 83),(2.65558985561 284),(3.29895652251 445),(3.07989452267 607),(2.24797385683 784),,(4.54461473046 1097),(3.57227901899 1261),(3.11916524342 1418),(11.4032643383 1539),(11.8760814132 1700),(3.05746886761 1932),(1.77940322941 2109),(4.72748555444 2287),(3.38822548177 2463),(3.74385295389 2622),(13.4129460656 2738),(3.79140085574 2974),(14.4903593514 3091),(4.98871780735 3327),,(4.53312668325 3663),(2.20478817826 3839),,,(2.34871466348 4365),(4.44031046014 4525),,(2.37153770808 4857),(12.9617699272 4979),(3.41512098691 5232),(2.34932974026 5408),,,
Point0,H6,(-0.0555026847716 1),(-0.020697966675 148),(-5.3290705182e-15 306),(0.0 465),(-5.3290705182e-15 627),(-2.84217094304e-14 797),(3.5527136788e-15 961),(-3.19744231092e-14 1122),(-1.42108547152e-14 1281),(-3.5527136788e-15 1442),(-3.5527136788e-15 1611),(-2.6645352591e-14 1784),(-3.19744231092e-14 1959),(-0.010639077353 2130),(-1.06581410364e-14 2305),(-1.95399252334e-14 2478),(-2.48689957516e-14 2641),(-3.73034936274e-14 2816),(-3.37507799486e-14 2994),(-2.6645352591e-14 3172),(-1.06581410364e-14 3344),(1.7763568394e-15 3505),(-3.5527136788e-15 3679),(-1.06581410364e-14 3853),(-5.3290705182e-15 4031),(-1.42108547152e-14 4208),(1.06581410364e-14 4381),(2.13162820728e-14 4545),(1.59872115546e-14 4718),(2.6645352591e-14 4882),(3.5527136788e-14 5061),(2.30926389122e-14 5247),(3.19744231092e-14 5421),(1.24344978758e-14 5587),
Point1,H1,(12.7028590862 48),(18.4063892688 185),(19.7656345288 344),(20.8778205274 504),(18.595469617 664),(22.0184964484 826),(21.3859703162 1002),(19.9351685878 1160),(19.5430351107 1318),(20.2946921425 1480),(19.2516410367 1642),(19.2800204199 1818),(19.0060357863 1992),(24.7047002692 2169),(22.2922768126 2351),(20.9632211584 2506),(21.7157242048 2680),(21.1008166156 2856),(27.5247664708 3037),(22.400964182 3208),(23.2852214767 3388),(23.5263067835 3545),(21.9464631619 3728),(21.7955769021 3880),(23.5911887491 4078),(23.5127306077 4249),(22.804891769 4410),(24.1806934921 4584),(20.8849241315 4746),(23.6814384619 4921),(21.1689315336 5097),(20.1672787562 5276),(21.3260740673 5450),(19.8032693687 5623),
Point1,H2,(7.04228756882 73),,,(7.08507229663 552),(6.39075964296 716),(19.7189270041 840),,,,,(17.5098389404 1656),(17.7400569376 1832),,,(3.86980659783 2426),(19.0318279178 2518),,(8.787763346 2905),,(6.85956712468 3259),,,(2.51382647828 3805),,(13.8415854307 4107),,,,(19.3084405429 4757),,,,(19.8691213449 5463),,
Point1,H3,(7.46257519665 83),,,(7.70873227703 562),(6.44772580948 721),(19.919253423 846),,,,,(17.5936193536 1661),(17.8050606424 1837),,,(4.21288333144 2436),(19.5812842157 2527),,(9.21418417635 2914),,(7.13557619754 3268),,,(2.53887206864 3810),,(13.9014574521 4113),,,,(20.2863285746 4768),,,,(20.155563468 5470),,
Point1,H4,,(6.71520292277 235),(1.69387664325 441),(2.30096385635 592),(0.463310737204 771),(9.37427927731 878),,(1.46642643127 1249),,(7.97383405893 1530),(7.70333588205 1691),(9.09760736954 1865),,(2.69368212338 2275),(2.72828527761 2456),(1.61832268897 2611),(8.60703550193 2730),(1.91374929551 2961),(11.3220980532 3083),(2.6811254846 3313),,,(1.05407275153 3828),,,(1.38570284781 4360),,(4.06683031121 4672),(0.801556527543 4852),,,,(9.43987000091 5497),,
