Cycle,0.80565
Average Width,4.49551642833
Width,,4.88698099365,4.60826268443,4.51509647265,5.11065854248,4.20378916502,4.93693145857,4.57717981395,4.39940330829,4.39381133281,4.48735271717,4.25119615518,4.50601827436,4.45089421329,4.85685257751,4.4147317012,4.29647909485,4.55356725429,4.73835350247,4.37261343884,4.97922648354,4.17554082185,4.44355297204,4.5337432146,4.35458291026,4.42461924532,4.10557169883
Point0,H1,(8.03539538821 40),(7.17637671044 208),(8.61526961902 383),(8.23016660557 562),(7.62531650485 718),(7.91709140318 887),(8.99659095022 1054),(8.1380623687 1218),(8.04305292424 1390),(8.49254533285 1566),(8.20710029504 1746),(7.907036149 1909),(7.70728478265 2075),(8.45410184227 2241),(8.6534341562 2397),(7.44692649844 2558),(8.97422757057 2718),(9.22464560828 2894),(8.1585702552 3057),(10.0741084969 3234),(8.98741711352 3413),(7.6816987147 3585),(9.94275138882 3758),(8.91482006779 3919),(9.24033609555 4081),(7.48678914502 4239),
Point0,H2,(3.50716568112 103),,,(4.9855017241 591),,(3.89774501245 923),(4.52432165453 1098),,,(4.4381887527 1613),(5.69315801268 1776),,(4.06864760422 2104),,,,,,(6.10765077055 3098),,,(5.57465563555 3629),,(5.19376503567 3963),,,
Point0,H3,(3.63617113698 112),,,(5.14738053021 601),,(4.6239166708 938),(5.25679742224 1113),,,(4.54796033147 1622),(5.70456114617 1781),,(4.71558028051 2121),,,,,,(6.15115251893 3105),,,(5.5832604254 3632),,(5.25195151512 3970),,,
Point0,H4,(0.749647418845 141),(2.80758334002 248),(3.39911503033 441),(2.65617385557 637),(3.59867067122 779),(1.26156489129 981),(1.48664707905 1150),,,(1.2693812815 1669),,,(1.93783737883 2165),,,(4.47494514305 2604),(4.87176509544 2762),(2.14243903809 2988),(3.2172652094 3151),,,(3.36891776359 3684),(2.14137093056 3863),(2.72463090093 4002),(5.27165682209 4125),,
Point0,H5,(1.14904205248 156),(4.13334718267 265),(3.47960589888 451),(2.75376705501 646),(3.93131055069 797),(2.18034100849 999),(2.28817311292 1169),,,(1.50988000009 1682),,,(1.94239025851 2169),,,(4.49591686663 2610),(5.31374916657 2775),(2.57334888203 3007),(3.35514725599 3162),,,(3.39343933523 3690),(2.58892538807 3875),(2.74426774464 4007),(5.31079635537 4131),,
Point0,H6,(-0.0422441412424 2),(3.10862446895e-15 177),(-4.4408920985e-16 340),(8.881784197e-16 514),(4.4408920985e-15 677),(8.43769498715e-15 852),(1.06581410364e-14 1023),(5.3290705182e-15 1188),(8.881784197e-15 1357),(-3.99680288865e-15 1534),(-8.881784197e-16 1704),(-5.3290705182e-15 1875),(-1.02140518266e-14 2036),(-5.3290705182e-15 2196),(-5.77315972805e-15 2361),(-0.000779861224791 2529),(-8.881784197e-16 2690),(1.7763568394e-15 2854),(8.881784197e-16 3028),(-4.4408920985e-15 3201),(-1.7763568394e-15 3378),(-3.5527136788e-15 3554),(-1.7763568394e-15 3726),(2.22044604925e-15 3893),(-4.4408920985e-15 4050),(-1.7763568394e-15 4197),
Point1,H1,(10.4633168985 36),(9.33509373824 208),(12.1766151953 381),(10.756535665 561),(11.3143898984 717),(11.6858658808 883),(12.0881558493 1054),(11.0669242543 1219),(11.6259574332 1388),(12.2459037406 1564),(12.0810680539 1740),(10.976504827 1905),(10.9672481347 2073),(11.3006602333 2236),(12.1595270962 2397),(10.6503394653 2557),(12.0065719991 2718),(12.5003760388 2893),(11.7039533403 3060),(13.9413952276 3230),(12.79872071 3422),(11.58224086 3583),(14.1783507132 3756),(12.5033060692 3917),(12.7721807697 4080),(11.4650839073 4237),
Point1,H2,(3.91181391828 101),,,(6.89985364528 591),,(6.00494519675 922),(6.59525402481 1100),(6.70176972701 1259),,,,,(5.31475412176 2108),,,,,,(7.18751960754 3101),(13.0835083938 3242),(3.09508703831 3505),,,(7.20732354862 3960),(7.51476472003 4122),,
Point1,H3,(4.23470167574 113),,,(6.91188340193 595),,(6.53521495076 934),(6.61432585054 1105),(6.83603505052 1267),,,,,(5.52120024254 2120),,,,,,(7.20749441896 3107),(13.2734222928 3250),(3.09748157142 3507),,,(7.40280436236 3970),(7.6372946191 4130),,
Point1,H4,(0.898465218159 142),(3.69483798991 246),,,(4.66174397172 797),(2.08069011923 983),(2.14900987016 1144),(2.72805130268 1314),(2.83243048594 1486),(2.15151105789 1672),(2.95962973562 1847),,(2.44394785626 2166),,,(5.94613879011 2605),,(1.91066156985 2996),,(8.80953567031 3275),(2.31033448327 3527),(3.86837566264 3680),(2.28875119165 3862),(2.814674883 4022),,,
Point1,H5,(1.12760868921 154),(5.29632301068 264),,,(4.66890428485 801),(2.20059124484 993),(3.08822819437 1164),(2.73029494968 1317),(3.07558318649 1498),(2.21321001372 1679),(3.17482351163 1856),,(2.4679351753 2171),,,(5.96145105427 2609),,(2.41317095081 3009),,(9.03661113303 3284),(2.43450749157 3535),(3.87094726207 3683),(3.03524982018 3874),(2.95607123008 4031),,,
Point1,H6,(-0.0187554894144 1),(-0.000652095682764 174),(-0.00539485722571 338),(3.5527136788e-15 512),(-2.6645352591e-15 675),(5.3290705182e-15 850),(8.881784197e-15 1021),(-2.6645352591e-15 1186),(-2.6645352591e-15 1355),(-6.2172489379e-15 1530),(1.7763568394e-15 1702),(7.1054273576e-15 1876),(2.6645352591e-15 2036),(-1.15463194561e-14 2196),(-8.881784197e-15 2357),(-1.42108547152e-14 2527),(-8.881784197e-15 2687),(-3.5527136788e-15 2853),(1.7763568394e-15 3027),(-2.6645352591e-15 3201),(-0.00250020242489 3378),(6.2172489379e-15 3554),(6.2172489379e-15 3727),(5.3290705182e-15 3891),(3.5527136788e-15 4051),(-0.0138459637529 4197),
Point2,H1,(11.0537293193 34),(9.68606889272 207),(13.3122956923 375),(11.2636364564 543),(11.61508944 718),(11.4195684364 883),(9.74197874236 1053),(11.2772598877 1216),(12.4980443737 1388),(13.0199126114 1563),(12.2962853523 1737),(11.348623991 1906),(12.0101672027 2071),(11.8728993394 2234),(12.8015672357 2394),(11.8968206792 2555),(12.4952202656 2716),(12.633438748 2891),(11.7147985844 3056),(13.1730557346 3230),(14.0507483277 3406),(11.9235430339 3581),(15.1237680469 3754),(14.1625503947 3917),(14.3141495023 4078),(12.8137182014 4234),
