Cycle,1.01172043011
Average Width,3.24643035712
Width,,3.0247961019,3.25140847002,3.22917374408,3.19331325626,3.22100021459,3.54619230194,3.5247303742,3.45190585224,3.46775898191,3.48321012192,3.62101789039,3.29894271785,3.16434583654,3.15066209381,3.38364321637,3.23006751877,3.23888290373,3.46883462405,3.1863152834,3.18331372307,3.31968831615,3.23193975745,3.06179125752,3.16985492245,3.10818154048,3.14851872588,3.04872920234,3.17161142162,3.13147511377,3.52646010599,3.1662250964,3.20126426454
Point0,H1,(5.76980996652 47),(6.72457303069 256),(5.92192776543 473),(6.58496455572 669),(8.02379061922 876),(8.24600985427 1101),(8.93661419851 1316),(7.96523043962 1521),(8.19832107136 1723),(6.91261728302 1936),(7.91979897833 2139),(6.69817448401 2342),(6.33887313734 2557),(6.56782220814 2761),(6.63376463095 2957),(7.20226216171 3178),(6.92360062552 3394),(7.02659093005 3593),(6.89250690978 3806),(6.96679523669 4012),(7.48041964832 4221),(6.80578721646 4426),(5.14781313518 4634),(6.53916681421 4845),(6.7336943005 5045),(6.39350093139 5268),(5.02529229144 5476),(6.60129624446 5676),(6.27657659638 5901),(7.6092196663 6107),(6.1103210427 6327),(6.42950885943 6541),
Point0,H2,,,,(2.82786949836 709),(2.8880160765 950),,,,,(4.47042929739 1972),,,(3.45214110342 2599),,,(1.28639051283 3286),,(2.84391427676 3653),,(3.18747926068 4058),(2.17949372531 4306),(3.18145061368 4471),,(2.81175521985 4921),(5.79569342842 5061),,,,,,,
Point0,H3,,,,(3.61299672034 725),(2.9171303941 957),,,,,(4.79391819034 1987),,,(3.73177162645 2612),,,(1.5638101562 3298),,(3.11979884746 3667),,(3.46084087064 4073),(2.20454133271 4314),(3.55524008645 4483),,(2.8241005976 4926),(6.17740944512 5072),,,,,,,
Point0,H4,(1.55144257865 146),(2.93276241844 320),,(-0.0024437252539 800),(4.4408920985e-16 1027),,,,(0.489219754722 1857),,,(0.418498141318 2483),(2.30334043047 2658),,,(0.759242724036 3315),(1.58731967164 3491),(2.17528561393 3689),,(0.463104465129 4143),(1.1604010909 4346),(1.45910095667 4535),,(2.02197558448 4949),(3.02991290341 5095),(0.642065750676 5372),(1.37235714835 5557),,,(1.21413935304 6241),,
Point0,H5,(1.72303584418 159),(2.9666172011 328),,(0.86257742169 819),(8.23759700866 1086),,,,(1.03083739914 1873),,,(0.710384994529 2498),(2.30379428315 2660),,,(1.25361458393 3328),(1.75824007003 3503),(2.23361294147 3697),,(0.472949126315 4149),(1.18168184945 4353),(1.55442016867 4547),,(2.28647796514 4962),(3.83472762825 5108),(0.764850405769 5390),(1.98361514214 5580),,,(1.3858114928 6254),,
Point0,H6,(3.5527136788e-15 218),(4.4408920985e-16 425),(-0.000200889144998 624),(-0.0024437252539 800),(4.4408920985e-16 1027),(2.6645352591e-15 1249),(-0.002694858282 1471),(-0.00125399996121 1676),(6.66133814775e-15 1889),(8.881784197e-16 2094),(1.33226762955e-15 2303),(2.6645352591e-15 2518),(1.02140518266e-14 2724),(6.66133814775e-15 2927),(8.881784197e-16 3136),(3.5527136788e-15 3344),(-0.00111254703773 3540),(6.2172489379e-15 3757),(8.881784197e-16 3941),(-2.22044604925e-15 4174),(-1.33226762955e-15 4380),(-2.6645352591e-15 4590),(-0.00236143808303 4797),(3.10862446895e-15 5008),(-0.000635747865949 5216),(-0.000725472175208 5431),(-1.7763568394e-15 5621),(-1.33226762955e-15 5852),(-1.7763568394e-15 6029),(0.0 6281),(-0.00075214286071 6446),
Point1,H1,(11.4863886777 49),(12.804207284 269),(12.1546090064 471),(11.7443733728 669),(13.44046916 872),(13.0960427537 1087),(11.8664791375 1313),(10.9099189826 1515),(11.4723439153 1723),(10.5872208877 1930),(10.1765676976 2137),(11.4250202045 2344),(11.986704449 2555),(10.4176179465 2760),(11.3897407654 2971),(12.4894047733 3182),(13.0256718231 3389),(10.0359750376 3594),(11.6135966418 3804),(13.8417126092 4009),(13.9249306868 4222),(13.2029463699 4425),(13.1533361421 4638),(13.3136958276 4841),(14.7164368065 5049),(14.3476290002 5267),(12.7596980799 5476),(13.5341439204 5675),(12.4921674329 5902),(12.4930369391 6127),(12.7356077411 6325),(13.4255940634 6533),
Point1,H2,,,,,,,,(6.73857196783 1557),,,,,,(4.65599012768 2810),,,,,,(6.58558498195 4055),,,(13.0830956769 4645),,,,,,,,(5.33405157778 6375),,
Point1,H3,,,,,,,,(6.84649966944 1566),,,,,,(5.02513614496 2825),,,,,,(7.20747288327 4066),,,(13.091161261 4648),,,,,,,,(5.47556193131 6385),,
Point1,H4,(0.364837281408 200),,(1.51893286354 591),,,(-7.9936057773e-15 1245),(6.20594893274 1367),(1.24459617261 1649),,,(5.84852206837 2188),(6.202849797 2395),(6.0461138477 2601),(0.99950740988 2901),(0.696690910171 3103),(1.76853019878 3316),,(4.52803226077 3648),(1.05163639932 3937),(0.80789713611 4148),,(6.382636567 4471),(1.63923295124 4772),(7.35644285457 4888),(6.60877499268 5098),,(3.12332407781 5569),(0.79859574589 5828),(-8.881784197e-15 6059),(1.6498275843 6239),(0.428325311595 6466),,
Point1,H5,(0.402076832558 206),,(1.61601709157 601),,,(11.2259554919 1288),(6.23720692045 1373),(1.3838568675 1659),,,(5.93548591863 2198),(6.22663757039 2400),(6.16676492857 2608),(1.01276072988 2907),(1.20381628099 3118),(1.76877839683 3317),,(4.7189385461 3662),(1.26782056172 3948),(0.886674309068 4157),,(6.72889556769 4481),(1.64359532784 4775),(7.51687079053 4896),(6.79057753935 5106),,(3.12464522594 5572),(0.995189006176 5838),(12.4652912931 6106),(1.65579190683 6243),(0.526374030429 6476),,
Point1,H6,(-0.00794019654957 1),(1.15463194561e-14 218),(4.4408920985e-15 428),(-1.15463194561e-14 626),(-3.5527136788e-15 832),(-6.2172489379e-15 1033),(-7.9936057773e-15 1245),(-9.7699626167e-15 1469),(-7.1054273576e-15 1678),(-2.6645352591e-15 1885),(-0.000906453141794 2092),(-7.1054273576e-15 2300),(-0.000333048195107 2515),(-7.9936057773e-15 2722),(1.7763568394e-15 2924),(4.4408920985e-15 3134),(-6.2172489379e-15 3341),(-0.00298001294284 3544),(-0.000954284679491 3755),(-6.2172489379e-15 3966),(-6.2172489379e-15 4176),(-3.5527136788e-15 4384),(0.0 4595),(-3.5527136788e-15 4800),(-2.6645352591e-15 5006),(-7.1054273576e-15 5215),(-4.4408920985e-15 5433),(-3.5527136788e-15 5624),(-1.7763568394e-15 5853),(-8.881784197e-15 6059),(-3.5527136788e-15 6283),(5.3290705182e-15 6490),
Point2,H1,(7.1391897526 61),(9.13785471102 272),(8.96784901296 477),(7.67734128624 672),(8.49122334692 881),(9.59751701345 1095),(7.1205867801 1291),(6.50551116003 1513),(7.10116855326 1724),(7.27931797759 1936),(6.18757716169 2142),(7.74155541352 2356),(8.02804026258 2563),(5.86584679735 2781),(8.16161629178 2977),(8.19025005709 3189),(9.14708493698 3394),(6.36754925646 3604),(7.18255600103 3813),(9.72104546992 4012),(10.1951724378 4222),(9.42369464369 4426),(9.73742470542 4652),(9.4112388644 4845),(10.3995575665 5054),(10.5728868843 5279),(9.33295029206 5487),(9.61980610411 5700),(8.46859702649 5907),(9.31123079976 6125),(9.11022246805 6328),(9.83436805596 6541),
Point2,H2,,,,,,,(6.36688841268 1306),,(3.75748311196 1766),,,(4.16442614115 2395),,,,,,(1.96561025293 3672),,,,,,(5.14030426072 4894),,,(1.29824833345 5600),,,,,,
Point2,H3,,,,,,,(6.57426149745 1316),,(4.14947298438 1780),,,(4.37059889505 2407),,,,,,(2.03051493618 3682),,,,,,(5.14078666219 4896),,,(1.30258395442 5603),,,,,,
Point2,H4,,(0.627032359755 408),(0.210475304748 600),,(0.969908965512 1013),(0.497498331855 1221),,,(0.567610740218 1857),(1.98335890957 2037),(1.08626175611 2266),(1.61055902268 2469),,,,,(-4.4408920985e-16 3543),(3.10862446895e-15 3735),,,(3.23478296131 4296),,(1.48841031546 4746),(1.22190245187 4980),,,(3.10862446895e-15 5645),,,(3.99680288865e-15 6263),,,
Point2,H5,,(0.765437010224 418),(0.212572702482 603),,(1.04957381732 1023),(0.575149141369 1231),,,(0.869849933371 1872),(2.00402040865 2044),(1.10589678478 2275),(1.64848727045 2478),,,,,(0.384039931771 3559),(0.383605082385 3751),,,(3.43407903349 4308),,(1.59389447329 4758),(1.50730283866 4992),,,(8.82669774015 5675),,,(0.231803295277 6275),,,
Point2,H6,(-0.0108059884533 1),(-0.00610235883298 223),(-6.2172489379e-15 433),(-1.02140518266e-14 628),(-0.002376640493 834),(6.2172489379e-15 1045),(1.06581410364e-14 1256),(0.0 1465),(-8.881784197e-16 1682),(1.33226762955e-15 1890),(5.3290705182e-15 2093),(1.06581410364e-14 2304),(-1.7763568394e-15 2506),(-0.00282901933119 2714),(-0.0018573663805 2928),(0.0 3136),(-2.22044604925e-15 3343),(-4.4408920985e-16 3543),(3.10862446895e-15 3735),(-4.4408920985e-15 3970),(5.3290705182e-15 4180),(3.99680288865e-15 4391),(-0.000246871398413 4584),(-3.10862446895e-15 4798),(-6.2172489379e-15 5010),(-1.06581410364e-14 5223),(-0.00199074036965 5434),(3.10862446895e-15 5645),(4.88498130835e-15 5857),(3.5527136788e-15 6068),(3.99680288865e-15 6263),(-8.881784197e-16 6493),
