Cycle,0.862428571429
Average Width,0.0
Width,,10.4289017689,11.5113468719,11.546890114,12.8782981578,13.8193306237,14.2122929782,18.5975617281,31.9755796728,137.23796174,19.6900744254,32.392129858,0,0,0,0,0,0,0,76.5414368856,0,0,0
Point0,H1,(35.6697068175 43),(32.6253854368 209),(27.9034265903 397),(33.3655150538 572),(31.6042476375 750),(28.0058920989 924),(24.2221526522 1115),(27.9217857885 1294),(19.7181369347 1473),(20.3984710431 1642),(18.128486853 1824),(19.4995492447 2011),(19.2789630542 2202),(21.1153592124 2378),(19.8065543892 2555),(23.0597774861 2734),(25.197181346 2924),(23.9761697028 3100),(27.2696217741 3277),(25.5933464954 3468),(24.0870608826 3660),(25.2426913578 3836),
Point0,H2,,(32.4117700075 215),,,,(8.32118532947 974),(1.12947897942 1193),,,(-0.00721052014195 1731),(-0.0028050915273 1916),,,(2.11742664023 2456),(0.58717236153 2631),,,,(-1.06581410364e-14 3367),,,,
Point0,H3,,(32.5331271867 221),,,,(8.35899952856 978),(1.58942551242 1206),,,(2.26788190529 1751),(0.278077040348 1929),,,(2.74200778551 2470),(1.8807143044 2647),,,,(0.979337084367 3384),,,,
Point0,H4,(1.55946546483 153),,(-0.000243055175968 500),(7.1054273576e-15 673),(0.949296343166 853),(-0.010307686418 1045),(1.06727670664 1221),(1.28734489984 1413),,(1.20967501265 1765),(0.271958401247 1933),(1.10602570338 2086),(0.575081085132 2308),(1.39195194316 2489),(0.85082475039 2664),(1.78143041609 2857),(1.80181092304 3032),(-1.95399252334e-14 3196),(0.47531011578 3396),(-3.17659143576e-05 3560),(-0.00182280818257 3763),,
Point0,H5,(1.64159706038 159),,(1.20145833538 515),(1.02974521655 691),(0.956683974015 857),(0.417915511922 1058),(1.40255004884 1232),(1.32703483951 1421),,(2.21634976946 1778),(1.23688857627 1957),(3.21286102452 2114),(0.926005114455 2321),(1.49198151068 2496),(0.996239401544 2672),(1.79745906667 2861),(1.84210441435 3038),(1.33819416219 3218),(1.37147747112 3410),(1.37397968097 3582),(1.42274253705 3780),,
Point0,H6,(1.24344978758e-14 173),(1.06581410364e-14 349),(-0.000243055175968 500),(7.1054273576e-15 673),(5.3290705182e-15 878),(-0.0780741815439 1068),(-0.00999369097522 1248),(-0.0690407755048 1438),(-0.023699466439 1562),(-0.00721052014195 1731),(-0.00459978117369 1793),(-0.0028050915273 1916),(1.10602570338 2086),(-0.010930189754 2157),(-7.1054273576e-15 2334),(-0.00674677732349 2512),(0.58717236153 2631),(-4.27769233013e-06 2689),(-1.06581410364e-14 2879),(-1.7763568394e-14 3056),(-1.95399252334e-14 3196),(-1.06581410364e-14 3367),(-1.06581410364e-14 3424),(-3.17659143576e-05 3560),(-6.2172489379e-15 3612),(-0.055925047028 3794),
Point1,H1,(43.6751187802 42),(42.6182229243 207),(36.669403818 396),(41.6687836935 573),(39.8043417743 749),(37.2346467065 925),(31.8729928633 1105),(35.9545324178 1295),(24.3371284588 1472),(26.6061734722 1643),(26.0342365098 1826),(24.0316548123 2010),(23.6141190838 2201),(26.7933575925 2379),(26.3597181632 2555),(30.0649910363 2734),(30.9458942715 2924),(28.9567694217 3099),(35.8819536617 3278),(31.8363388804 3468),(30.2023664664 3649),(32.5286632942 3837),
Point1,H2,,(41.9432375534 215),(1.08232818113 481),,,(10.6461517949 976),(1.80159810517 1194),,,(-0.0773249144098 1728),(-0.057194058698 1919),,,,(0.993533650972 2640),,,,(1.33668054204 3369),(-8.881784197e-15 3555),(1.77602050486 3740),,
Point1,H3,,(42.2559493972 222),(1.08417189689 483),,,(10.6485689011 977),(1.95205516612 1204),,,(2.9261931087 1754),(-0.0531983758696 1921),,,,(1.01588322863 2645),,,,(1.68153774972 3382),(1.59670368054 3579),(1.92829605047 3749),,
Point1,H4,(0.9762440564 151),(2.27720294113 330),(0.252725825529 500),(1.7763568394e-15 677),(0.826583661691 851),(1.09541362387 1046),(0.921668818639 1222),(-0.120814027501 1411),,(2.75028748947 1762),(-0.494221037345 1936),(1.33226762955e-14 2084),(0.55518361771 2303),(2.47083195071 2488),(0.931257833211 2654),(1.85985274376 2857),(1.9198379825 3029),(-0.0488243671338 3185),(0.898046137293 3397),(1.30850371982 3591),(1.1823598248 3766),,
