Cycle,0.87325
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(23.4820645312 41),(26.5572288496 232),(27.182133156 411),(26.5967395071 587),(26.262968897 764),(30.0500774589 957),(28.6632884187 1131),(33.2752846726 1311),(29.7681571037 1500),(28.2949973082 1692),(28.9802292563 1869),(28.7549843314 2056),(32.6192906545 2241),(25.1942597542 2429),(25.5385806347 2616),(26.5177706545 2795),(30.6944659865 2987),(24.6774260548 3179),(24.3215102565 3359),(23.6771710049 3544),(29.0781359711 3726),
Point0,H2,,,,(6.99035916169 637),,(10.9674471376 1003),,,(1.24344978758e-14 1590),,,,,,,,,,,,,
Point0,H3,,,,(7.0401928449 642),,(11.0170231115 1008),,,(0.901616215079 1606),,,,,,,,,,,,,
Point0,H4,(2.42103604799 119),(1.83422691168 340),,(1.59850214296 686),(1.95692643423 889),,(-0.00786507900333 1232),(1.19623268144 1426),(0.194684091106 1619),(0.396772737703 1794),(1.07379402188 1964),,,(0.728292018798 2530),(-0.45556963294 2724),,(-0.00161071218871 3063),(8.881784197e-15 3259),(-0.032866686186 3441),(-0.12643360735 3626),,
Point0,H5,(2.91995403728 147),(2.13871940473 350),,(2.20252271376 700),(1.96645518095 892),,(1.21148438968 1251),(2.2171892344 1440),(1.02313790738 1633),(0.932465178996 1809),(1.20650072825 1974),,,(1.02406056951 2548),(0.411766275246 2739),,(2.15510422633 3114),(1.71238382134 3293),(1.66953511798 3467),(0.832700723026 3652),,
Point0,H6,(-0.0644562363549 2),(2.6645352591e-15 188),(-7.1054273576e-15 366),(-0.0035678962363 542),(-1.7763568394e-15 723),(1.7763568394e-14 909),(3.19744231092e-14 1087),(-0.00786507900333 1232),(-1.06581410364e-14 1455),(1.24344978758e-14 1590),(7.1054273576e-15 1644),(5.3290705182e-15 1824),(4.4408920985e-15 2007),(-0.0437198581911 2154),(-0.0354300641898 2383),(9.7699626167e-15 2569),(-0.45556963294 2724),(-0.204849792393 2910),(-0.00161071218871 3063),(-0.000440068445895 3133),(8.881784197e-15 3259),(-0.032866686186 3441),(0.0520243080631 3499),(-0.12643360735 3626),
Point1,H1,(22.3451472335 75),(26.266447967 267),(26.2918343123 444),(26.0046653402 620),(26.396937076 796),(29.1471678948 989),(28.1054801993 1166),(31.8386707752 1344),(29.6229216528 1534),(27.487004024 1725),(27.9338742918 1902),(27.8813931155 2088),(31.7133943436 2274),(25.7019669941 2463),(24.9727710429 2649),(26.6061370932 2829),(30.5770243851 3020),(25.1968387243 3213),(25.0212204942 3393),(24.4740709627 3577),(28.5301108344 3759),
Point1,H2,(0.950856481725 163),,,(5.57875206951 670),,(9.47006075547 1038),,,(0.841056204291 1624),,,,,(0.944132052508 2562),,,,,,,,
Point1,H3,(1.82651054962 184),,,(5.79795060464 678),,(9.49707116385 1042),,,(1.35201448589 1639),,,,,(1.0416458149 2573),,,,,,,,
Point1,H4,(1.32661968676 197),(1.81638278522 374),(1.69389040431 548),(1.10011755448 720),(1.71004874961 921),(2.17315425256 1094),(3.5527136788e-15 1267),(1.02391708368 1459),(0.701673761531 1654),(0.0604500764738 1829),(0.427928367443 2024),,,(1.019332884 2578),(-0.321685237296 2756),(-0.0490590891291 2937),(2.22044604925e-15 3096),(-0.00117424831009 3298),(-0.0231810991367 3476),(-0.365019685822 3661),,
Point1,H5,(1.65481499549 208),(2.05688814874 384),(1.95358130224 558),(1.69083361449 734),(1.75957256532 927),(2.6504508481 1105),(1.07398245597 1285),(1.98668917597 1474),(1.1768927187 1666),(0.562772673427 1844),(0.470289332413 2032),,,(1.1032156246 2589),(0.459905801476 2772),(2.13917869318 2964),(2.41205770344 3147),(1.76922036125 3327),(1.2995063324 3500),(0.222108835948 3686),,
Point1,H6,(-1.73046346567 36),(0.950856481725 163),(6.2172489379e-15 223),(-1.59872115546e-14 400),(-3.5527136788e-15 576),(-0.00597556210725 756),(5.3290705182e-15 943),(-1.42108547152e-14 1121),(3.5527136788e-15 1267),(-0.00563102851761 1489),(1.95399252334e-14 1678),(8.881784197e-15 1857),(-8.881784197e-16 2043),(-0.0426551370325 2190),(-0.0086244763102 2417),(-3.5527136788e-15 2605),(-0.321685237296 2756),(-0.0490590891291 2937),(2.22044604925e-15 3096),(1.24344978758e-14 3168),(-0.00117424831009 3298),(-0.0231810991367 3476),(0.100108137415 3532),(-0.365019685822 3661),
Point2,H1,(25.9053684545 81),(31.1102922868 271),(30.0534464679 449),(30.0752722113 624),(31.2395931398 802),(33.4334888204 995),(31.7548171558 1170),(36.5681291563 1349),(33.4075861803 1538),(32.7382788167 1729),(33.2129950751 1907),(33.3177307342 2093),(37.7584265598 2278),(30.8235059329 2467),(30.0845883312 2653),(32.5653999607 2834),(37.5280402974 3026),(29.8436150063 3217),(30.2109394909 3395),(28.5614303333 3581),(36.1000317422 3765),
Point2,H2,,,,,,,,,(-1.7763568394e-15 1632),,(1.08880901791 2006),,,,,,,,(-0.0908967610849 3480),,,
Point2,H3,,,,,,,,,(0.671697429489 1650),,(1.09046787974 2008),,,,,,,,(0.297634107437 3496),,,
Point2,H4,,(2.19753686149 378),,(1.26706724573 727),(1.96448354229 924),(2.64905771943 1098),(-0.00386071807164 1269),(0.760379079533 1464),(0.660012747485 1654),(2.34791125972 1818),(0.372597352 2031),,,(0.633465412049 2575),(0.0346777122017 2760),,(-0.0265054703357 3105),(-0.0360510038255 3297),(-0.637424708857 3513),(-1.04260216815 3675),,
Point2,H5,,(2.54905991447 388),,(1.76143638429 740),(2.19624717769 933),(2.87819025236 1107),(1.63432340881 1288),(1.88375403357 1479),(1.55741540792 1671),(2.79519883757 1836),(0.401205366895 2037),,,(1.07790865689 2596),(1.43617338369 2776),,(1.59145351976 3137),(3.24375321828 3339),(0.360676336857 3528),(0.768983339579 3697),,
Point2,H6,(-0.5846834182 40),(-0.000195648531683 160),(-3.10862446895e-14 228),(-3.37507799486e-14 405),(-7.1054273576e-15 580),(-0.00795276054041 762),(8.881784197e-15 948),(-3.5527136788e-15 1126),(-0.00386071807164 1269),(-1.59872115546e-14 1493),(-1.7763568394e-15 1632),(0.0 1862),(0.0 2047),(-0.0197053242701 2192),(-0.00969375347374 2421),(8.881784197e-16 2610),(-0.00195726469198 2789),(-0.0566527553912 2943),(-0.0265054703357 3105),(-0.00434923493805 3170),(-0.0360510038255 3297),(-0.637424708857 3513),(-1.04260216815 3675),
