Cycle,0.728552631579
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Point0,H1,(10.4739649536 38),(13.317921251 183),(12.6908799706 341),(12.2020090166 505),(12.4422640889 663),(12.8048495725 823),(11.9027505562 983),(12.0229147844 1142),(13.1267364028 1301),(13.346848939 1462),(13.0959041168 1621),(11.6131883917 1776),(13.3191949649 1926),(10.4360387156 2092),(12.1404714828 2229),(13.3838399707 2374),(10.9146867279 2517),(11.9133818149 2651),(12.5270837067 2813),(13.0589725 2950),
Point0,H2,,,,,(11.3024225335 677),(11.5861634368 837),,(9.91566054651 1160),,,,,,,,,,,,
Point0,H3,,,,,(11.4513807873 684),(11.6751814201 843),,(9.92080973095 1162),,,,,,,,,,,,
Point0,H4,,,,(0.993975684764 608),(2.17889676524 769),(1.04359185613 926),,(0.584374628298 1251),(1.2907312322 1391),,(0.975999430827 1714),(0.185354884111 1872),(0.866228880486 2013),(4.27989105457 2134),(5.83008699499 2270),,(3.06552347573 2593),,,
Point0,H5,,,,(1.56255467291 620),(2.57001606143 779),(1.92384360571 941),,(0.653132706185 1259),(1.33764066542 1398),,(0.99314405962 1720),(0.541510098876 1885),(2.06268708299 2030),(4.36765159536 2141),(5.83404633387 2274),,(3.09541736211 2598),,,
Point0,H6,(-0.00259195464032 142),(6.2172489379e-15 302),(-0.00415883177499 467),(-1.7763568394e-15 635),(7.9936057773e-15 796),(8.881784197e-16 956),(8.881784197e-15 1114),(1.15463194561e-14 1272),(-0.00395108847723 1423),(-0.00209924215581 1582),(-0.000580103245521 1739),(-3.5527136788e-15 1896),(0.0 2047),(-0.0040769140496 2189),(0.0 2337),(-8.881784197e-16 2478),(-1.7763568394e-15 2621),(-2.6645352591e-15 2765),(-7.1054273576e-15 2910),
Point1,H1,(10.6007205369 42),(15.9116942118 182),(13.8780457631 344),(14.6948467267 503),(14.3549870997 664),(14.1694048451 825),(12.7085444184 984),(13.0115094961 1142),(14.2952012806 1302),(13.9381139375 1462),(13.056573134 1622),(12.8865482749 1779),(12.264189533 1927),(12.7406880696 2090),(12.7743366279 2230),(13.5691114344 2377),(11.5876882095 2519),(12.5913718321 2651),(13.4679587223 2813),(12.726066853 2952),
Point1,H2,,,,,(12.6471630135 680),,,,,,,,,,,,,,,
Point1,H3,,,,,(12.6548980629 682),,,,,,,,,,,,,,,
Point1,H4,(5.58825700171 84),,,(0.748955529332 610),(1.62979711506 771),(1.5867819969 927),(2.11404063998 1064),,(1.21376520834 1381),,(1.73143084635 1718),(3.41065198037 1848),(1.69408306815 2005),(1.36227413172 2165),,,(2.21348003193 2598),,,
Point1,H5,(5.63654277554 91),,,(1.08980000206 621),(1.76049451096 779),(1.82431221497 938),(2.37295847538 1076),,(1.86681968379 1396),,(1.74346089113 1722),(3.49856202529 1855),(2.51276102203 2025),(1.57584371984 2174),,,(2.21615703643 2600),,,
Point1,H6,(9.7699626167e-15 143),(-5.3290705182e-15 303),(-0.00164817744577 469),(-7.1054273576e-15 635),(-5.3290705182e-15 796),(-1.24344978758e-14 956),(8.881784197e-16 1114),(7.1054273576e-15 1244),(5.3290705182e-15 1422),(-8.881784197e-16 1582),(-3.5527136788e-15 1741),(0.0 1898),(4.4408920985e-15 2047),(-6.2172489379e-15 2191),(3.5527136788e-15 2336),(-9.15110875876e-05 2481),(5.3290705182e-15 2621),(0.0 2766),(-0.00277854603593 2912),
